태광(023160),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,1344,1344,1344,1346,0,26220.0,230000.0
1999-01-05,1344,1344,1344,1346,0,26220.0,230000.0
1999-01-06,1344,1344,1344,1346,0,,
1999-01-07,1344,1344,1344,1346,0,,
1999-01-08,1344,1344,1344,1346,0,,
1999-01-11,1344,1344,1344,1346,0,,
1999-01-12,1344,1344,1344,1346,0,,
1999-01-13,1344,1344,1344,1346,0,,
1999-01-14,1344,1344,1344,1346,0,,
1999-01-15,1344,1344,1344,1346,0,,
1999-01-18,1344,1344,1344,1346,0,,
1999-01-19,1344,1344,1344,1346,0,,
1999-01-20,1344,1344,1344,1346,0,,
1999-01-21,1344,1344,1344,1346,0,,
1999-01-22,1344,1344,1344,1346,0,,
1999-01-25,1344,1344,1344,1346,0,,
1999-01-26,1344,1344,1344,1346,0,,
1999-01-27,1344,1344,1344,1346,0,,
1999-01-28,1344,1344,1344,1346,0,,
1999-01-29,1504,1504,1504,1507,100,29325.0,230000.0
1999-02-01,1504,1504,1504,1507,0,29325.0,230000.0
1999-02-02,1451,1451,1451,1453,50,28290.0,230000.0
1999-02-03,1451,1451,1451,1453,0,28290.0,230000.0
1999-02-04,1280,1280,1280,1282,50,24955.0,230000.0
1999-02-05,1280,1280,1280,1282,0,24955.0,230000.0
1999-02-08,1126,1126,1126,1128,0,21965.0,230000.0
1999-02-09,1126,1126,1126,1128,0,21965.0,230000.0
1999-02-10,991,991,991,994,90,19343.0,230000.0
1999-02-11,990,990,990,993,0,19320.0,230000.0
1999-02-12,990,990,990,993,0,19320.0,230000.0
1999-02-18,990,990,990,993,0,,
1999-02-19,990,990,990,993,0,,
1999-02-22,990,990,990,993,0,,
1999-02-23,990,990,990,993,0,,
1999-02-24,990,990,990,993,0,,
1999-02-25,990,990,990,993,0,,
1999-02-26,872,872,872,875,50,17020.0,230000.0
1999-03-02,769,769,769,771,50,14996.0,230000.0
1999-03-03,769,769,769,771,0,14996.0,230000.0
1999-03-04,769,769,769,771,0,,
1999-03-05,825,861,719,862,210,16790.0,230000.0
1999-03-08,861,861,861,862,0,16790.0,230000.0
1999-03-09,961,961,961,964,10,18791.0,230000.0
1999-03-10,1059,1059,846,1063,70,20700.0,230000.0
1999-03-11,1109,1132,1109,1134,110,22080.0,230000.0
1999-03-12,1237,1237,1118,1239,220,24150.0,230000.0
