알에스오토메이션(140670),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-06-05,15000,15050,14250,14250,159128,129720.0,9103140.0
2018-06-07,14400,14800,14200,14350,106430,130630.0,9103140.0
2018-06-08,14500,17450,14250,15900,1953657,144740.0,9103140.0
2018-06-11,15700,16700,15550,15900,495118,144740.0,9103140.0
2018-06-12,15850,16000,15200,15300,271070,139278.0,9103140.0
2018-06-14,15200,15500,14950,15100,142705,137457.0,9103140.0
2018-06-15,15150,16650,15100,16100,662874,146561.0,9103140.0
2018-06-18,16100,16400,15100,15250,278207,138823.0,9103140.0
2018-06-19,15400,16250,15400,15500,317660,141099.0,9103140.0
2018-06-20,15700,16350,15450,16150,274528,147016.0,9103140.0
2018-06-21,16250,17400,15750,16100,633100,146561.0,9103140.0
2018-06-22,16150,16650,15750,16550,243236,150657.0,9103140.0
2018-06-25,16600,17400,16550,17350,346051,157939.0,9103140.0
2018-06-26,17050,17350,16750,17350,215786,157939.0,9103140.0
2018-06-27,17350,17650,16300,16300,300235,148381.0,9103140.0
2018-06-28,16000,16700,15850,16000,179742,145650.0,9103140.0
2018-06-29,16150,16450,15150,15950,200219,145195.0,9103140.0
2018-07-02,16000,16000,14450,14450,245332,131540.0,9103140.0
2018-07-03,14600,14750,13200,13900,277313,126534.0,9103140.0
2018-07-04,13800,14250,13650,13800,109976,125623.0,9103140.0
2018-07-05,13800,14100,12900,13300,151959,121072.0,9103140.0
2018-07-06,13600,13600,13000,13550,130972,123348.0,9103140.0
2018-07-09,13500,13700,13100,13300,71170,121072.0,9103140.0
2018-07-10,13650,15250,13450,14450,472039,131540.0,9103140.0
2018-07-11,14300,14850,14050,14350,144195,130630.0,9103140.0
2018-07-12,14700,15650,14650,15100,496289,137457.0,9103140.0
2018-07-13,15200,15550,14850,15250,195413,138823.0,9103140.0
2018-07-16,15200,15950,14850,15850,225082,144285.0,9103140.0
2018-07-17,15800,16250,15500,15700,137098,142919.0,9103140.0
2018-07-18,15700,15700,15000,15150,96748,137913.0,9103140.0
2018-07-19,15200,15250,14150,14150,113632,128809.0,9103140.0
2018-07-20,14050,14850,13900,14250,107770,129720.0,9103140.0
2018-07-23,14300,14300,13500,13500,77081,122892.0,9103140.0
2018-07-24,13350,13900,13300,13750,68085,125168.0,9103140.0
2018-07-25,13700,14050,13300,13400,71371,121982.0,9103140.0
2018-07-26,13350,13900,13350,13750,66953,125168.0,9103140.0
2018-07-27,13850,14300,13650,14150,95700,128809.0,9103140.0
2018-07-30,14200,14500,13950,14300,55505,130175.0,9103140.0
2018-07-31,14150,14500,14000,14150,53140,128809.0,9103140.0
2018-08-01,14400,15700,14400,15100,442186,137457.0,9103140.0
2018-08-02,14950,15600,14900,15600,190103,142009.0,9103140.0
2018-08-03,15600,15900,15300,15800,163300,143830.0,9103140.0
2018-08-06,15700,15750,15200,15200,93840,138368.0,9103140.0
2018-08-07,15350,15450,14900,15450,82332,140644.0,9103140.0
2018-08-08,15650,17400,15400,17400,1228807,158395.0,9103140.0
2018-08-09,17200,17750,16850,17500,774734,159305.0,9103140.0
2018-08-10,17500,17750,16450,16600,492575,151112.0,9103140.0
2018-08-13,16200,16300,15450,15500,329641,141099.0,9103140.0
2018-08-14,15500,16050,15450,15750,167141,143374.0,9103140.0
2018-08-16,15000,15100,14250,14550,325565,132451.0,9103140.0
2018-08-17,14700,15150,14600,14700,164928,133816.0,9103140.0
2018-08-20,14650,14850,14100,14150,218721,128809.0,9103140.0
2018-08-21,14250,14650,14100,14450,124531,131540.0,9103140.0
2018-08-22,14500,15050,14500,14750,178571,134271.0,9103140.0
2018-08-23,14800,14900,14400,14450,97348,131540.0,9103140.0
2018-08-24,14450,15100,14350,14750,172715,134271.0,9103140.0
2018-08-27,14750,15050,14550,14850,111133,135182.0,9103140.0
2018-08-28,15100,15550,15050,15150,275972,137913.0,9103140.0
2018-08-29,15600,15750,15050,15050,210167,137002.0,9103140.0
2018-08-30,15050,15500,14950,15150,134232,137913.0,9103140.0
2018-08-31,15050,15150,14750,14800,133029,134726.0,9103140.0
2018-09-03,14850,15400,14450,15400,213224,140188.0,9103140.0
2018-09-04,15450,15750,15150,15700,276914,142919.0,9103140.0
2018-09-05,15750,16150,15600,15600,311523,142009.0,9103140.0
2018-09-06,15650,16050,15350,15700,186479,142919.0,9103140.0
2018-09-07,15600,15900,15300,15600,129433,142009.0,9103140.0
2018-09-10,15650,15650,15050,15050,105536,137002.0,9103140.0
2018-09-11,15000,15950,14950,15950,228974,145195.0,9103140.0
2018-09-12,16000,16150,15400,15600,185393,142009.0,9103140.0
2018-09-13,15750,15950,15500,15950,100066,145195.0,9103140.0
2018-09-14,16150,16300,15650,15900,181902,144740.0,9103140.0
2018-09-17,15950,15950,15400,15450,121889,140644.0,9103140.0
2018-09-18,15300,15900,15200,15650,138493,142464.0,9103140.0
2018-09-19,15650,16650,15550,16450,548771,149747.0,9103140.0
2018-09-20,16500,16800,15950,16150,322643,147016.0,9103140.0
2018-09-21,16250,16500,16050,16250,128166,147926.0,9103140.0
2018-09-27,16300,16600,16100,16250,124361,147926.0,9103140.0
2018-09-28,16300,16750,16100,16350,196572,148836.0,9103140.0
2018-10-01,16250,16350,15600,15600,165446,142009.0,9103140.0
2018-10-02,15600,15750,14500,14500,176728,131996.0,9103140.0
2018-10-04,14500,14700,13850,14150,179029,128809.0,9103140.0
2018-10-05,13950,14500,13550,13700,180228,124713.0,9103140.0
2018-10-08,13600,14050,13350,13450,105921,122437.0,9103140.0
2018-10-10,13450,13650,12700,12950,126123,117886.0,9103140.0
2018-10-11,12100,12450,11600,11600,233810,105596.0,9103140.0
2018-10-12,11600,12250,11450,12000,139372,109238.0,9103140.0
2018-10-15,12000,12300,11850,11900,80218,108327.0,9103140.0
2018-10-16,11900,12500,11900,12300,149324,111969.0,9103140.0
2018-10-17,12550,12600,12300,12400,77977,112879.0,9103140.0
2018-10-18,12500,12750,12350,12500,69915,113789.0,9103140.0
2018-10-19,12250,12600,11900,12600,75101,114700.0,9103140.0
2018-10-22,12350,12850,12250,12650,41724,115155.0,9103140.0
2018-10-23,12650,12750,11850,12050,91912,109693.0,9103140.0
