세화피앤씨(252500),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-11-02,2050,2180,1995,1995,2376289,10603.0,5315000.0
2016-11-03,2000,2010,1975,1995,281396,10603.0,5315000.0
2016-11-04,1990,2000,1990,1990,49910,10577.0,5315000.0
2016-11-07,2000,2015,1995,2000,26119,10630.0,5315000.0
2016-11-08,2000,2010,1990,1990,28319,10577.0,5315000.0
2016-11-09,2005,2005,1975,1985,56632,10550.0,5315000.0
2016-11-10,1980,2005,1980,1990,24629,10577.0,5315000.0
2016-11-11,1990,2005,1990,2005,19398,10657.0,5315000.0
2016-11-14,1995,2005,1990,1990,5961,10577.0,5315000.0
2016-11-15,1985,2000,1985,1990,16427,10577.0,5315000.0
2016-11-16,1990,2000,1990,1995,21551,10603.0,5315000.0
2016-11-17,2000,2000,1995,2000,15330,10630.0,5315000.0
2016-11-18,1990,2000,1990,2000,17643,10630.0,5315000.0
2016-11-21,1995,2000,1995,1995,7037,10603.0,5315000.0
2016-11-22,1995,2005,1995,1995,26204,10603.0,5315000.0
2016-11-23,1995,1995,1995,1995,1033,10603.0,5315000.0
2016-11-24,1990,2000,1990,1990,2681,10577.0,5315000.0
2016-11-25,2000,2000,1985,2000,2490,10630.0,5315000.0
2016-11-28,1995,1995,1990,1995,1434,10603.0,5315000.0
2016-11-29,1995,2005,1990,2005,4932,10657.0,5315000.0
2016-11-30,1980,2000,1980,2000,17712,10630.0,5315000.0
2016-12-01,1995,1995,1995,1995,7505,10603.0,5315000.0
2016-12-02,2000,2000,1995,1995,5058,10603.0,5315000.0
2016-12-05,1995,2020,1995,1995,10159,10603.0,5315000.0
2016-12-06,1995,2000,1995,2000,1903,10630.0,5315000.0
2016-12-07,1995,2000,1995,1995,3904,10603.0,5315000.0
2016-12-08,1990,2000,1990,1990,19478,10577.0,5315000.0
2016-12-09,1990,2015,1990,2000,609,10630.0,5315000.0
2016-12-12,2000,2000,1995,1995,865,10603.0,5315000.0
2016-12-13,2000,2000,1995,1995,18308,10603.0,5315000.0
2016-12-14,2005,2005,2005,2005,1,10657.0,5315000.0
2016-12-15,2000,2005,1995,1995,6780,10603.0,5315000.0
2016-12-16,1985,2000,1985,2000,32,10630.0,5315000.0
2016-12-19,2000,2000,1995,1995,3122,10603.0,5315000.0
2016-12-20,2000,2005,1995,2005,12189,10657.0,5315000.0
2016-12-21,1995,2000,1995,1995,1715,10603.0,5315000.0
2016-12-22,2005,2025,1990,1990,363,10577.0,5315000.0
