한류AI센터(222810),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-08-13,3163,4042,2942,2961,15715960,9765.0,3100000.0
2015-08-17,2843,2895,2420,2529,2035276,8339.0,3100000.0
2015-08-18,2538,2561,2251,2252,1368723,7424.0,3100000.0
2015-08-19,2307,2364,2134,2162,1513422,7130.0,3100000.0
2015-08-20,2204,2307,2143,2176,842898,7176.0,3100000.0
2015-08-21,2101,2148,2063,2092,673757,6898.0,3100000.0
2015-08-24,2044,2143,2044,2087,241014,6882.0,3100000.0
2015-08-25,2077,2242,2077,2139,322581,7052.0,3100000.0
2015-08-26,2157,2209,2101,2129,244172,7022.0,3100000.0
2015-08-27,2129,2162,2091,2115,172074,6975.0,3100000.0
2015-08-28,2115,2209,2105,2195,206561,7238.0,3100000.0
2015-08-31,2195,2195,2096,2139,152134,7052.0,3100000.0
2015-09-01,2148,2148,2068,2101,105549,6928.0,3100000.0
2015-09-02,2072,2119,2068,2106,73506,6944.0,3100000.0
2015-09-03,2129,2129,2072,2082,78699,6866.0,3100000.0
2015-09-04,2082,2091,2068,2087,35267,6882.0,3100000.0
2015-09-07,2101,2110,2049,2068,90932,6820.0,3100000.0
2015-09-08,2068,2087,2049,2068,48287,6820.0,3100000.0
2015-09-09,2077,2129,2030,2054,98151,6774.0,3100000.0
2015-09-10,2068,2068,2040,2059,7258,6789.0,3100000.0
2015-09-11,2058,2082,2035,2059,26275,6789.0,3100000.0
2015-09-14,2040,2068,2025,2054,27101,6774.0,3100000.0
2015-09-15,2025,2054,2007,2049,29266,6758.0,3100000.0
2015-09-16,2058,2068,2007,2021,23464,6665.0,3100000.0
2015-09-17,2054,2054,2002,2040,32930,6727.0,3100000.0
2015-09-18,2030,2058,2007,2031,47394,6696.0,3100000.0
2015-09-21,2016,2049,2002,2002,41749,6603.0,3100000.0
2015-09-22,2002,2030,1978,2012,32250,6634.0,3100000.0
2015-09-23,2011,2040,1997,2031,30864,6696.0,3100000.0
2015-09-24,2044,2044,1997,2026,45230,6680.0,3100000.0
2015-09-25,2025,2096,2002,2054,54897,6774.0,3100000.0
2015-09-30,2030,2072,2007,2059,28741,6789.0,3100000.0
2015-10-01,2030,2077,2030,2068,37765,6820.0,3100000.0
2015-10-02,2068,2068,2035,2054,28720,6774.0,3100000.0
2015-10-05,2044,2063,2021,2040,21168,6727.0,3100000.0
2015-10-06,0,0,0,2040,0,6727.0,3100000.0
2015-10-07,0,0,0,2040,0,,
2015-10-08,0,0,0,2040,0,,
2015-10-12,0,0,0,2040,0,,
2015-10-13,0,0,0,2040,0,,
2015-10-14,0,0,0,2040,0,,
2015-10-15,0,0,0,2040,0,,
2015-10-16,0,0,0,2040,0,,
2015-10-19,0,0,0,2040,0,,
2015-10-20,0,0,0,2040,0,,
2015-10-21,0,0,0,2040,0,,
2015-10-22,0,0,0,2040,0,,
2015-10-23,0,0,0,2040,0,,
2015-10-26,0,0,0,2040,0,,
2015-10-27,0,0,0,2040,0,,
2015-10-28,0,0,0,2040,0,,
2015-10-29,0,0,0,2040,0,,
2015-10-30,0,0,0,2040,0,,
2015-11-02,0,0,0,2040,0,,
2015-11-03,0,0,0,2040,0,,
2015-11-04,0,0,0,2040,0,,
2015-11-05,0,0,0,2040,0,,
2015-11-06,0,0,0,2040,0,,
2015-11-09,0,0,0,2040,0,,
2015-11-10,0,0,0,2040,0,,
2015-11-11,0,0,0,2040,0,,
2015-11-12,0,0,0,2040,0,,
2015-11-13,0,0,0,2040,0,,
2015-11-16,0,0,0,2040,0,,
2015-11-17,0,0,0,2040,0,,
2015-11-18,0,0,0,2040,0,,
2015-11-19,0,0,0,2040,0,,
2015-11-20,0,0,0,2040,0,,
2015-11-23,0,0,0,2040,0,,
2015-11-24,0,0,0,2040,0,,
2015-11-25,0,0,0,2040,0,,
2015-11-26,0,0,0,2040,0,,
2015-11-27,2040,2040,1905,1910,421032,5921.0,3100000.0
2015-11-30,1910,1935,1850,1855,47509,5750.0,3100000.0
2015-12-01,1855,1925,1825,1925,60678,5968.0,3100000.0
2015-12-02,1920,1920,1850,1865,46150,5782.0,3100000.0
2015-12-03,1875,1875,1825,1860,59893,5766.0,3100000.0
2015-12-04,1825,1880,1825,1870,32108,5797.0,3100000.0
2015-12-07,1835,1925,1835,1855,24973,5750.0,3100000.0
2015-12-08,1850,1915,1850,1895,16538,5874.0,3100000.0
2015-12-09,1910,1935,1865,1930,30759,5983.0,3100000.0
2015-12-10,1915,1950,1895,1935,26516,5998.0,3100000.0
2015-12-11,1905,1960,1905,1950,31989,6045.0,3100000.0
2015-12-14,1960,1960,1880,1895,66358,5874.0,3100000.0
2015-12-15,1875,1900,1875,1895,36104,5874.0,3100000.0
2015-12-16,1885,1920,1880,1900,50494,5890.0,3100000.0
2015-12-17,1900,1945,1885,1925,39641,5968.0,3100000.0
2015-12-18,1925,1930,1895,1895,18260,5874.0,3100000.0
2015-12-21,1890,1905,1870,1900,18848,5890.0,3100000.0
2015-12-22,1890,1925,1890,1905,29752,5906.0,3100000.0
2015-12-23,1905,1930,1880,1920,33403,5952.0,3100000.0
2015-12-24,1920,1920,1890,1915,2709,5936.0,3100000.0
2015-12-28,1935,1935,1895,1910,4841,5921.0,3100000.0
2015-12-29,1905,1905,1850,1880,44490,5828.0,3100000.0
2015-12-30,1880,1880,1840,1865,20405,5782.0,3100000.0
2016-01-04,1865,1910,1865,1900,42044,5890.0,3100000.0
2016-01-05,1895,1900,1870,1900,25816,5890.0,3100000.0
2016-01-06,1900,1920,1885,1915,33873,5936.0,3100000.0
2016-01-07,1920,1930,1885,1925,9276,5968.0,3100000.0
2016-01-08,1890,1935,1890,1925,12380,5968.0,3100000.0
2016-01-11,1935,1935,1900,1925,18809,5968.0,3100000.0
2016-01-12,1925,1930,1905,1930,26397,5983.0,3100000.0
2016-01-13,1925,1935,1915,1930,5723,5983.0,3100000.0
2016-01-14,1930,1930,1905,1905,19436,5906.0,3100000.0
2016-01-15,1900,1920,1895,1915,26145,5936.0,3100000.0
2016-01-18,1915,1940,1880,1935,19311,5998.0,3100000.0
2016-01-19,1915,1950,1910,1935,26800,5998.0,3100000.0
2016-01-20,1935,1935,1900,1920,13990,5952.0,3100000.0
2016-01-21,1910,1935,1910,1925,3129,5968.0,3100000.0
2016-01-22,1925,1940,1920,1940,10828,6014.0,3100000.0
2016-01-25,1920,1955,1920,1940,1352,6014.0,3100000.0
2016-01-26,1955,1955,1925,1945,10010,6030.0,3100000.0
2016-01-27,1975,1975,1935,1945,14670,6030.0,3100000.0
2016-01-28,1975,1980,1960,1970,14020,6107.0,3100000.0
2016-01-29,1995,2005,1975,1990,86501,6169.0,3100000.0
2016-02-01,1965,2025,1965,2000,45976,6200.0,3100000.0
2016-02-02,1995,2015,1975,1990,48616,6169.0,3100000.0
2016-02-03,1965,2005,1960,1990,11081,6169.0,3100000.0
2016-02-04,1980,1990,1965,1990,33371,6169.0,3100000.0
2016-02-05,1980,1985,1970,1970,6123,6107.0,3100000.0
2016-02-11,1970,1985,1960,1980,7749,6138.0,3100000.0
2016-02-12,1980,1980,1930,1970,29120,6107.0,3100000.0
2016-02-15,1975,1990,1955,1975,6161,6122.0,3100000.0
2016-02-16,1995,2000,1955,1995,48065,6184.0,3100000.0
2016-02-17,1995,1995,1985,1995,14420,6184.0,3100000.0
2016-02-18,1995,1995,1965,1980,8331,6138.0,3100000.0
2016-02-19,1960,2000,1945,1995,68897,6184.0,3100000.0
2016-02-22,1960,2000,1960,1990,29602,6169.0,3100000.0
2016-02-23,1990,1990,1975,1975,20650,6122.0,3100000.0
2016-02-24,1960,2000,1960,2000,103659,6200.0,3100000.0
2016-02-25,2000,2000,1965,1965,34232,6092.0,3100000.0
2016-02-26,1955,1990,1910,1910,68323,5921.0,3100000.0
2016-02-29,1950,1950,1870,1875,38318,5812.0,3100000.0
2016-03-02,1935,1935,1855,1865,25807,5782.0,3100000.0
2016-03-03,1870,1870,1860,1870,11357,5797.0,3100000.0
2016-03-04,1870,1870,1860,1865,28838,5782.0,3100000.0
2016-03-07,1865,1885,1845,1870,34331,5797.0,3100000.0
2016-03-08,1870,1870,1860,1865,10523,5782.0,3100000.0
2016-03-09,1845,1870,1845,1860,7711,5766.0,3100000.0
2016-03-10,1860,1930,1860,1900,14234,5890.0,3100000.0
2016-03-11,1895,1935,1855,1925,64959,5968.0,3100000.0
2016-03-14,1935,1935,1880,1885,22771,5844.0,3100000.0
2016-03-15,1890,1915,1880,1885,30735,5844.0,3100000.0
2016-03-16,1890,1940,1890,1940,18718,6014.0,3100000.0
2016-03-17,1940,1940,1905,1915,12080,5936.0,3100000.0
2016-03-18,1920,1940,1870,1900,35183,5890.0,3100000.0
2016-03-21,1925,1955,1905,1920,23312,5952.0,3100000.0
2016-03-22,1945,2010,1880,2000,57133,6200.0,3100000.0
2016-03-23,1960,2080,1960,2060,41000,6386.0,3100000.0
2016-03-24,2015,2030,2000,2010,20424,6231.0,3100000.0
2016-03-25,2045,2060,2010,2040,33803,6324.0,3100000.0
2016-03-28,2040,2055,2040,2050,17645,6355.0,3100000.0
2016-03-29,2015,2060,2015,2045,11389,6340.0,3100000.0
2016-03-30,2050,2060,2050,2050,33237,6355.0,3100000.0
2016-03-31,2080,2105,2050,2085,42489,6464.0,3100000.0
2016-04-01,2085,2590,2055,2190,679819,6789.0,3100000.0
2016-04-04,2190,2290,2135,2230,112447,6913.0,3100000.0
2016-04-05,2245,2295,2130,2160,60222,6696.0,3100000.0
2016-04-06,2200,2270,2135,2165,27751,6712.0,3100000.0
2016-04-07,2215,2215,2150,2160,13134,6696.0,3100000.0
2016-04-08,2165,2285,2160,2185,21829,6774.0,3100000.0
2016-04-11,2280,2280,2135,2235,81039,6928.0,3100000.0
2016-04-12,2250,2285,2085,2150,135090,30829.0,14339200.0
2016-04-14,2150,2210,1950,2000,171639,28678.0,14339200.0
2016-04-15,1995,2000,1900,1925,167233,27603.0,14339200.0
2016-04-18,1940,1955,1900,1925,41585,27603.0,14339200.0
2016-04-19,1965,2050,1930,2000,98894,28678.0,14339200.0
2016-04-20,2035,2040,2000,2025,57736,29037.0,14339200.0
2016-04-21,2000,2025,1950,2000,87673,28678.0,14339200.0
2016-04-22,2000,2070,1990,2005,111326,28750.0,14339200.0
2016-04-25,2015,2060,1990,2025,191301,29037.0,14339200.0
2016-04-26,2025,2035,1960,2005,86528,28750.0,14339200.0
2016-04-27,2020,2020,1970,1990,30462,28535.0,14339200.0
2016-04-28,1975,2010,1950,1950,92470,27961.0,14339200.0
2016-04-29,1945,1960,1900,1925,143385,27603.0,14339200.0
2016-05-02,1930,1965,1915,1960,45389,28105.0,14339200.0
2016-05-03,1960,2000,1925,1925,37817,27603.0,14339200.0
2016-05-04,1955,2500,1955,2500,6726326,35848.0,14339200.0
2016-05-09,2745,3100,2465,2510,14548579,35991.0,14339200.0
2016-05-10,2525,2555,2300,2415,2663728,34629.0,14339200.0
2016-05-11,2430,2900,2330,2625,12361411,37640.0,14339200.0
2016-05-12,2575,2890,2515,2550,4908552,36565.0,14339200.0
2016-05-13,2555,2730,2430,2485,2077339,35633.0,14339200.0
2016-05-16,2470,2480,2330,2390,731347,34271.0,14339200.0
2016-05-17,2390,2480,2300,2325,1090567,33339.0,14339200.0
2016-05-18,2410,2595,2310,2330,2632757,33410.0,14339200.0
2016-05-19,2375,2405,2320,2345,649981,33625.0,14339200.0
2016-05-20,2375,2400,2220,2240,682817,32120.0,14339200.0
2016-05-23,2275,2290,2220,2230,273890,31976.0,14339200.0
2016-05-24,2300,2620,2270,2300,4078812,32980.0,14339200.0
2016-05-25,2390,2410,2285,2285,753525,32765.0,14339200.0
2016-05-26,2340,2380,2275,2330,642004,33410.0,14339200.0
2016-05-27,2350,2430,2330,2330,483645,33410.0,14339200.0
2016-05-30,2335,2355,2245,2245,321748,32192.0,14339200.0
2016-05-31,2240,2295,2185,2245,262232,32192.0,14339200.0
2016-06-01,2305,2305,2230,2240,253098,32120.0,14339200.0
2016-06-02,2240,2265,2160,2175,331685,31188.0,14339200.0
2016-06-03,2195,2195,2105,2140,206891,30686.0,14339200.0
2016-06-07,2115,2275,2115,2235,401558,32048.0,14339200.0
2016-06-08,2240,2260,2165,2165,158107,31044.0,14339200.0
2016-06-09,2165,2220,2150,2160,83877,30973.0,14339200.0
2016-06-10,2205,2205,2130,2130,89588,30542.0,14339200.0
2016-06-13,2120,2135,2055,2085,126758,29897.0,14339200.0
2016-06-14,2085,2090,2030,2070,135874,29682.0,14339200.0
2016-06-15,2080,2100,1985,2050,304794,29395.0,14339200.0
2016-06-16,2045,2055,1985,2015,173451,28893.0,14339200.0
2016-06-17,2020,2080,1980,2045,121766,29324.0,14339200.0
2016-06-20,2045,2080,2025,2075,49881,29754.0,14339200.0
2016-06-21,2075,2115,2055,2100,105509,30112.0,14339200.0
2016-06-22,2115,2145,2075,2145,295828,30758.0,14339200.0
2016-06-23,2100,2130,2015,2050,214447,29395.0,14339200.0
2016-06-24,2075,2075,1895,2000,269626,28678.0,14339200.0
2016-06-27,1930,2045,1930,2035,104434,29180.0,14339200.0
2016-06-28,2030,2090,1995,2090,94753,29969.0,14339200.0
