와이제이엠게임즈(193250),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-12-29,2200,2530,1902,1902,4344869,25617.0,2693705.0
2014-12-30,1860,2060,1728,1858,916858,25025.0,2693705.0
2015-01-02,1888,1998,1850,1926,432140,25940.0,2693705.0
2015-01-05,1930,1954,1740,1820,404115,24513.0,2693705.0
2015-01-06,1784,1808,1724,1794,174825,24163.0,2693705.0
2015-01-07,1808,1820,1718,1730,201274,23301.0,2693705.0
2015-01-08,1732,1866,1700,1700,320036,22896.0,2693705.0
2015-01-09,1732,1774,1682,1692,202707,22789.0,2693705.0
2015-01-12,1696,1724,1652,1654,122109,22277.0,2693705.0
2015-01-13,1668,1816,1648,1710,468247,23031.0,2693705.0
2015-01-14,1726,1764,1682,1760,167129,23705.0,2693705.0
2015-01-15,1790,1810,1720,1720,145148,23166.0,2693705.0
2015-01-16,1728,1756,1682,1756,145721,23651.0,2693705.0
2015-01-19,1766,1834,1714,1714,173894,23085.0,2693705.0
2015-01-20,1704,1820,1684,1820,194431,24513.0,2693705.0
2015-01-21,1840,2090,1824,2090,376073,28149.0,2693705.0
2015-01-22,2240,2400,2230,2400,204692,32324.0,2693705.0
2015-01-23,2640,2760,2380,2490,981833,33537.0,2693705.0
2015-01-26,2470,2710,2460,2500,505424,33671.0,2693705.0
2015-01-27,2450,2520,2270,2290,358367,30843.0,2693705.0
2015-01-28,2300,2380,2210,2310,342605,31112.0,2693705.0
2015-01-29,2310,2490,2270,2440,449268,32863.0,2693705.0
2015-01-30,2490,2580,2280,2280,259825,30708.0,2693705.0
2015-02-02,2270,2390,2110,2140,185908,28823.0,2693705.0
2015-02-03,2160,2230,2110,2170,101388,29227.0,2693705.0
2015-02-04,2170,2250,2150,2150,74239,28957.0,2693705.0
2015-02-05,2160,2350,2150,2240,175724,30169.0,2693705.0
2015-02-06,2280,2440,2260,2320,123895,31247.0,2693705.0
2015-02-09,2330,2360,2230,2270,67989,30574.0,2693705.0
2015-02-10,2280,2340,2170,2220,61579,29900.0,2693705.0
2015-02-11,2240,2550,2200,2470,174599,33267.0,2693705.0
2015-02-12,2540,2580,2410,2410,158958,32459.0,2693705.0
2015-02-13,2410,2460,2290,2380,130202,32055.0,2693705.0
2015-02-16,2370,2490,2310,2380,116608,32055.0,2693705.0
2015-02-17,2350,2410,2310,2410,100229,32459.0,2693705.0
2015-02-23,2450,2500,2340,2400,138231,32324.0,2693705.0
2015-02-24,2400,2500,2330,2490,135747,33537.0,2693705.0
2015-02-25,2470,2510,2360,2360,82344,31786.0,2693705.0
2015-02-26,2340,2340,2110,2120,165020,28553.0,2693705.0
2015-02-27,2130,2190,2080,2110,57813,28419.0,2693705.0
2015-03-02,2130,2150,2060,2120,51077,28553.0,2693705.0
2015-03-03,2160,2160,2090,2100,29972,28284.0,2693705.0
