이상네트웍스(080010),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2005-09-30,6072,6781,5629,5717,735051,46440.0,3600000.0
2005-10-04,5761,6205,5451,5672,253954,46080.0,3600000.0
2005-10-05,5540,5872,5495,5628,122076,45720.0,3600000.0
2005-10-06,5540,5784,5540,5717,72607,46440.0,3600000.0
2005-10-07,5739,5828,5562,5606,45244,45540.0,3600000.0
2005-10-10,5607,5785,5474,5495,65587,44640.0,3600000.0
2005-10-11,5473,5541,5252,5407,56634,43920.0,3600000.0
2005-10-12,5385,5495,5274,5450,37882,44280.0,3600000.0
2005-10-13,5362,5451,5185,5273,32940,42840.0,3600000.0
2005-10-14,5230,5296,4964,4985,44502,40500.0,3600000.0
2005-10-17,4875,5008,4520,4786,32378,38880.0,3600000.0
2005-10-18,4654,4808,4609,4630,24021,37620.0,3600000.0
2005-10-19,4476,4564,4299,4303,36819,34956.0,3600000.0
2005-10-20,4410,4609,4311,4311,38769,35028.0,3600000.0
2005-10-21,4166,4942,4166,4941,86941,40140.0,3600000.0
2005-10-24,4985,5140,4764,4896,69332,39780.0,3600000.0
2005-10-25,4920,5253,4765,5185,52824,42120.0,3600000.0
2005-10-26,5230,5275,5052,5229,29262,42480.0,3600000.0
2005-10-27,5096,5252,4964,5074,38630,41220.0,3600000.0
2005-10-28,5052,5141,4920,5074,22683,41220.0,3600000.0
2005-10-31,4875,5163,4875,5140,63047,41760.0,3600000.0
2005-11-01,5185,5517,5185,5516,68458,44820.0,3600000.0
2005-11-02,5585,6337,5585,6293,396183,51120.0,3600000.0
2005-11-03,6471,7135,6293,6603,470793,53640.0,3600000.0
2005-11-04,6603,7091,6559,6603,277547,53640.0,3600000.0
2005-11-07,6714,7578,6714,7577,580786,61560.0,3600000.0
2005-11-08,7579,8155,7291,7799,324304,63360.0,3600000.0
2005-11-09,7645,8065,7423,7777,123547,63180.0,3600000.0
2005-11-10,7801,8931,7711,8929,327177,72540.0,3600000.0
2005-11-11,9086,9927,8642,9129,365428,74160.0,3600000.0
2005-11-14,9086,9528,8952,9306,156129,75600.0,3600000.0
2005-11-15,9085,9528,8907,9151,148605,74340.0,3600000.0
2005-11-16,9196,10503,9196,10502,276564,85320.0,3600000.0
2005-11-17,10946,12076,10724,12075,167201,98100.0,3600000.0
2005-11-18,13561,13871,12253,13870,475284,112680.0,3600000.0
2005-11-21,14270,15931,13871,15931,299081,129420.0,3600000.0
2005-11-22,16618,17638,15090,16574,598025,134640.0,3600000.0
2005-11-23,16574,17040,15953,16728,310454,135900.0,3600000.0
2005-11-24,17482,19232,16928,19232,276485,156240.0,3600000.0
2005-11-25,19565,22113,19565,22112,279192,179640.0,3600000.0
2005-11-28,23930,25392,23442,25392,156821,206280.0,3600000.0
2005-11-29,27032,29159,21625,21625,779045,175680.0,3600000.0
2005-11-30,19720,21937,18391,21271,1206700,172800.0,3600000.0
2005-12-01,21271,23930,21049,22201,605544,180360.0,3600000.0
2005-12-02,22202,22246,18878,18878,407197,153360.0,3600000.0
2005-12-05,17549,18413,16463,17282,676888,140400.0,3600000.0
2005-12-06,17460,18634,16884,17725,487487,144000.0,3600000.0
2005-12-07,18059,20386,17106,19720,613567,160200.0,3600000.0
2005-12-08,19498,21759,18701,18700,562840,151920.0,3600000.0
2005-12-09,19189,19189,16618,17460,268982,141840.0,3600000.0
2005-12-12,17282,17704,14845,14845,342638,120600.0,3600000.0
2005-12-13,14668,16263,13826,16085,457899,130680.0,3600000.0
2005-12-14,15643,18480,15643,18479,418388,150120.0,3600000.0
2005-12-15,19410,21249,18878,19941,706968,162000.0,3600000.0
2005-12-16,19499,21627,18170,20961,330006,170280.0,3600000.0
2005-12-19,20607,22956,20518,21492,334716,174600.0,3600000.0
2005-12-20,21604,21892,19632,20075,245107,163080.0,3600000.0
2005-12-21,19986,21847,19632,21271,235434,172800.0,3600000.0
2005-12-22,21271,21980,18080,18080,242601,146880.0,3600000.0
2005-12-23,17726,19145,16175,17460,181426,141840.0,3600000.0
