가온미디어(078890),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2005-07-12,10791,11297,9442,9864,1020365,85742.0,7328370.0
2005-07-13,10242,10790,9863,10328,449235,89773.0,7328370.0
2005-07-14,10454,10580,9864,9948,146301,86475.0,7328370.0
2005-07-15,9989,10158,9863,10075,143705,87574.0,7328370.0
2005-07-18,10368,10411,9736,9738,148621,84643.0,7328370.0
2005-07-19,9483,9820,9483,9780,85129,85009.0,7328370.0
2005-07-20,9567,9778,8851,9274,125294,80612.0,7328370.0
2005-07-21,9273,9484,9020,9358,80940,81345.0,7328370.0
2005-07-22,9358,9400,9105,9105,46320,79146.0,7328370.0
2005-07-25,8977,9357,8893,9274,109295,80612.0,7328370.0
2005-07-26,9230,9820,9188,9527,112649,82811.0,7328370.0
2005-07-27,9694,9694,9315,9485,76289,82444.0,7328370.0
2005-07-28,9525,9610,9315,9443,84718,82078.0,7328370.0
2005-07-29,9442,9695,9273,9695,93798,84276.0,7328370.0
2005-08-01,9948,10580,9695,9864,423882,85742.0,7328370.0
2005-08-02,9694,9694,9062,9274,122329,80612.0,7328370.0
2005-08-03,9146,9272,8598,8642,115526,75116.0,7328370.0
2005-08-04,8287,8422,8009,8262,105969,71818.0,7328370.0
2005-08-05,8008,8210,7510,8043,158065,69913.0,7328370.0
2005-08-08,8009,8042,7672,7832,27465,68081.0,7328370.0
2005-08-09,7655,7832,7613,7638,67836,66395.0,7328370.0
2005-08-10,7562,7747,7528,7672,151608,66688.0,7328370.0
2005-08-11,7629,7773,7629,7655,56677,66542.0,7328370.0
2005-08-12,7578,7586,7232,7377,205283,64123.0,7328370.0
2005-08-16,7275,7410,7073,7166,121581,62291.0,7328370.0
2005-08-17,7047,7198,6878,7082,162220,61558.0,7328370.0
2005-08-18,6862,7056,6820,6871,186647,59726.0,7328370.0
2005-08-19,6802,6895,6617,6804,126834,59140.0,7328370.0
2005-08-22,6929,7671,6912,7234,382258,62877.0,7328370.0
2005-08-23,7267,7343,7124,7242,175732,62951.0,7328370.0
2005-08-24,7333,7367,6996,6998,170125,60825.0,7328370.0
2005-08-25,6938,7225,6862,7166,102674,62291.0,7328370.0
2005-08-26,7165,7249,6996,7082,133799,61558.0,7328370.0
2005-08-29,6997,7039,6677,6677,100240,58041.0,7328370.0
2005-08-30,6795,6887,6542,6643,73635,57748.0,7328370.0
2005-08-31,6458,6744,6458,6576,70083,57161.0,7328370.0
2005-09-01,6667,6853,6667,6829,88146,59360.0,7328370.0
2005-09-02,6752,6827,6701,6821,50842,59287.0,7328370.0
2005-09-05,6912,7106,6853,7082,110485,61558.0,7328370.0
2005-09-06,7089,7746,7089,7495,390621,65149.0,7328370.0
2005-09-07,7628,7671,7460,7495,171501,65149.0,7328370.0
2005-09-08,7494,7672,7419,7562,187189,65735.0,7328370.0
2005-09-09,7503,8009,7503,8009,341772,69620.0,7328370.0
2005-09-12,8051,8354,7924,8262,362966,71818.0,7328370.0
2005-09-13,8042,8093,7511,7672,300148,66688.0,7328370.0
2005-09-14,7620,8345,7620,8347,494684,72551.0,7328370.0
2005-09-15,8303,8345,7671,7883,516988,68520.0,7328370.0
2005-09-16,7815,8135,7815,8085,217287,70279.0,7328370.0
2005-09-20,8177,8211,7933,8009,152476,69620.0,7328370.0
2005-09-21,7957,8025,7671,7723,149787,67128.0,7328370.0
2005-09-22,7596,7823,7596,7731,135186,67201.0,7328370.0
2005-09-23,7832,7840,7545,7613,194933,66175.0,7328370.0
2005-09-26,7721,7982,7713,7858,266367,68300.0,7328370.0
2005-09-27,7874,8177,7756,8085,205971,70279.0,7328370.0
2005-09-28,8203,8211,7941,7950,181441,69107.0,7328370.0
2005-09-29,7957,8075,7763,8077,208464,70206.0,7328370.0
2005-09-30,8135,8852,8110,8599,573792,74749.0,7328370.0
2005-10-04,8935,9062,8514,8642,422431,75116.0,7328370.0
2005-10-05,8683,8894,8430,8768,227834,76215.0,7328370.0
2005-10-06,8936,9526,8768,8768,664804,76215.0,7328370.0
2005-10-07,8683,9105,8599,8599,275159,74749.0,7328370.0
2005-10-10,8682,8767,8387,8473,342630,73650.0,7328370.0
2005-10-11,8557,8810,8380,8810,284150,76581.0,7328370.0
2005-10-12,8852,9400,8852,9147,521016,79513.0,7328370.0
2005-10-13,9273,10496,8936,9864,954535,85742.0,7328370.0
2005-10-14,9653,9948,9316,9400,223871,81711.0,7328370.0
2005-10-17,9400,9484,9063,9316,228600,80978.0,7328370.0
2005-10-18,9272,9567,8977,9232,241465,80246.0,7328370.0
2005-10-19,9230,9230,8421,8642,171963,75116.0,7328370.0
2005-10-20,8768,8852,8430,8557,167655,74383.0,7328370.0
2005-10-21,8429,8598,8286,8473,123590,73650.0,7328370.0
2005-10-24,8429,8893,8429,8726,419809,75849.0,7328370.0
2005-10-25,8935,9019,8429,8473,135610,73650.0,7328370.0
2005-10-26,8640,8640,8337,8355,129166,72624.0,7328370.0
2005-10-27,8388,8515,8220,8220,90712,71452.0,7328370.0
2005-10-28,8009,8093,7764,7874,160524,68447.0,7328370.0
2005-10-31,8033,8219,7898,8060,126830,70059.0,7328370.0
2005-11-01,8177,9231,8110,8852,1089696,76948.0,7328370.0
2005-11-02,8768,8810,8413,8515,250208,74017.0,7328370.0
2005-11-03,8557,8641,8329,8380,198679,72844.0,7328370.0
2005-11-04,8387,8809,8387,8473,202560,73650.0,7328370.0
2005-11-07,8514,8514,8286,8296,135453,72111.0,7328370.0
2005-11-08,8235,8337,8185,8195,82681,71232.0,7328370.0
2005-11-09,8193,8379,8084,8195,89930,71232.0,7328370.0
2005-11-10,8252,8412,8193,8296,74890,72111.0,7328370.0
2005-11-11,8320,8556,8269,8473,151084,73650.0,7328370.0
2005-11-14,8724,8767,8429,8473,142987,73650.0,7328370.0
2005-11-15,8598,8977,8556,8937,266839,77681.0,7328370.0
2005-11-16,9189,9189,8683,8810,248368,76581.0,7328370.0
2005-11-17,8767,8935,8682,8726,159429,75849.0,7328370.0
2005-11-18,8768,9063,8515,9063,212710,78780.0,7328370.0
2005-11-21,9146,9525,8724,9274,613939,80612.0,7328370.0
2005-11-22,9188,9315,8682,8684,321251,75482.0,7328370.0
2005-11-23,8768,8936,8683,8768,173680,76215.0,7328370.0
2005-11-24,8852,9147,8725,8768,196773,76215.0,7328370.0
2005-11-25,8767,8977,8682,8979,164301,78047.0,7328370.0
2005-11-28,9272,9483,9146,9190,380529,79879.0,7328370.0
2005-11-29,9272,9694,9272,9569,386596,83177.0,7328370.0
2005-11-30,9737,10369,9737,9906,763136,86108.0,7328370.0
2005-12-01,9820,10284,9694,9991,355224,86841.0,7328370.0
2005-12-02,10159,10201,9231,9316,457973,80978.0,7328370.0
2005-12-05,9315,9483,9230,9274,208852,80612.0,7328370.0
2005-12-06,9230,9905,9188,9485,360874,82444.0,7328370.0
2005-12-07,9736,10031,9357,9527,362138,82811.0,7328370.0
2005-12-08,9736,9863,9525,9780,321487,85009.0,7328370.0
2005-12-09,9863,10073,9694,10033,317559,87208.0,7328370.0
2005-12-12,10159,10749,10074,10243,796896,89040.0,7328370.0
2005-12-13,10411,10874,10073,10876,527815,94536.0,7328370.0
2005-12-14,10960,11128,10580,10791,314959,93803.0,7328370.0
2005-12-15,10790,10874,10242,10328,282173,89773.0,7328370.0
2005-12-16,9906,10201,9779,9948,240128,86475.0,7328370.0
2005-12-19,9820,10621,9778,10581,247543,91971.0,7328370.0
2005-12-20,10368,11211,10368,11087,403347,96368.0,7328370.0
2005-12-21,11380,11675,11085,11129,557229,96734.0,7328370.0
2005-12-22,11170,11381,10622,10707,326580,93070.0,7328370.0
2005-12-23,10790,11001,10284,10834,259343,94170.0,7328370.0
2005-12-26,11128,11339,10749,10791,241393,93803.0,7328370.0
2005-12-27,10833,11086,10369,10454,173776,90872.0,7328370.0
2005-12-28,10368,10663,10368,10581,109540,91971.0,7328370.0
2005-12-29,10664,11044,10622,11044,185038,96002.0,7328370.0
2006-01-02,11423,11592,11086,11592,237853,100765.0,7328370.0
2006-01-03,11717,12223,11338,11424,390508,99299.0,7328370.0
2006-01-04,11718,11718,11170,11297,241173,98200.0,7328370.0
2006-01-05,11508,11550,10749,10960,313604,95269.0,7328370.0
2006-01-06,11044,11676,11044,11592,275566,100765.0,7328370.0
2006-01-09,11759,12181,11591,12014,500853,104429.0,7328370.0
2006-01-10,12013,12013,11465,11803,296153,102597.0,7328370.0
2006-01-11,11759,12097,11211,11213,651929,97467.0,7328370.0
2006-01-12,11211,11422,11127,11171,151673,97101.0,7328370.0
2006-01-13,11127,11464,11085,11171,143743,97101.0,7328370.0
2006-01-16,11296,11507,11169,11213,172850,97467.0,7328370.0
2006-01-17,11212,11381,10327,10412,393381,90505.0,7328370.0
2006-01-18,10116,10243,9316,9695,323340,84276.0,7328370.0
2006-01-19,9610,9778,9357,9527,167793,82811.0,7328370.0
2006-01-20,9526,9779,8346,8557,361992,74383.0,7328370.0
2006-01-23,8093,8422,7343,7343,237025,63830.0,7328370.0
2006-01-24,7781,7975,7166,7967,193449,69253.0,7328370.0
2006-01-25,8051,8852,8051,8557,194043,74383.0,7328370.0
2006-01-26,8354,8683,8279,8515,85318,74017.0,7328370.0
2006-01-27,8894,9147,8683,9147,128873,79513.0,7328370.0
2006-01-31,9611,9821,9442,9653,225973,83910.0,7328370.0
2006-02-01,9526,9779,8641,9147,233675,79513.0,7328370.0
2006-02-02,9441,9525,8809,9232,142446,80246.0,7328370.0
2006-02-03,8852,8936,8472,8599,144516,74749.0,7328370.0
2006-02-06,8177,8641,8177,8599,83785,74749.0,7328370.0
2006-02-07,8514,9019,8514,9021,133715,78414.0,7328370.0
2006-02-08,8851,9483,8851,9190,104906,79879.0,7328370.0
2006-02-09,9483,10537,9483,10539,787272,91605.0,7328370.0
2006-02-10,10706,11296,10368,10834,621278,94170.0,7328370.0
2006-02-13,10916,12012,10621,10623,1157250,92337.0,7328370.0
2006-02-14,10496,11297,10074,11297,896024,98200.0,7328370.0
2006-02-15,11423,11634,10454,10496,377279,91238.0,7328370.0
2006-02-16,10327,10960,10159,10707,255092,93070.0,7328370.0
2006-02-17,10748,10832,10368,10623,251266,92337.0,7328370.0
2006-02-20,10453,10579,9947,10370,349903,90139.0,7328370.0
2006-02-21,10664,10749,9821,9864,434421,85742.0,7328370.0
2006-02-22,10031,10073,9736,10033,198728,87208.0,7328370.0
2006-02-23,10242,11254,10242,10581,1028901,91971.0,7328370.0
2006-02-24,10580,11086,10538,10749,399967,93437.0,7328370.0
2006-02-27,10875,10960,10496,10707,182392,93070.0,7328370.0
2006-02-28,10663,10874,10621,10876,124764,94536.0,7328370.0
2006-03-02,11127,11169,10621,10623,145342,92337.0,7328370.0
2006-03-03,10663,10706,10031,10075,192047,87574.0,7328370.0
2006-03-06,9864,10243,9821,10201,85172,88673.0,7328370.0
