테스나(131970),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-10-22,15300,15400,13050,13050,3120296,89392.0,6850000.0
2013-10-23,12250,12450,11800,11900,2341111,81515.0,6850000.0
2013-10-24,12200,12300,11250,11550,1399417,79118.0,6850000.0
2013-10-25,11750,11850,11400,11550,971122,79118.0,6850000.0
2013-10-28,11650,12000,11600,11650,846546,79802.0,6850000.0
2013-10-29,11900,12000,11500,11550,769379,79118.0,6850000.0
2013-10-30,11650,11800,11350,11500,655308,78775.0,6850000.0
2013-10-31,11500,11900,11400,11550,565234,79118.0,6850000.0
2013-11-01,11650,11750,11450,11550,424580,79118.0,6850000.0
2013-11-04,11550,11700,11400,11400,346476,78090.0,6850000.0
2013-11-05,11450,11600,10800,10900,564491,74665.0,6850000.0
2013-11-06,10850,11150,10650,10800,361299,73980.0,6850000.0
2013-11-07,10900,11000,10350,10400,317973,71240.0,6850000.0
2013-11-08,10300,10650,10300,10350,157878,70898.0,6850000.0
2013-11-11,10450,10550,9970,9970,251901,68294.0,6850000.0
2013-11-12,10050,10200,9750,9900,230115,67815.0,6850000.0
2013-11-13,9990,9990,9470,9470,252636,64870.0,6850000.0
2013-11-14,9500,9860,9450,9760,152980,66856.0,6850000.0
2013-11-15,9790,9860,9460,9570,111744,65554.0,6850000.0
2013-11-18,9520,9580,9000,9060,196650,62061.0,6850000.0
2013-11-19,9240,9680,9060,9620,331716,65897.0,6850000.0
2013-11-20,9570,9720,9400,9560,99458,65486.0,6850000.0
2013-11-21,9760,10150,9630,9740,363390,66719.0,6850000.0
2013-11-22,9940,9990,9510,9600,399048,65760.0,6850000.0
2013-11-25,9610,9790,9430,9460,102530,64801.0,6850000.0
2013-11-26,9410,9690,9380,9600,105443,65760.0,6850000.0
2013-11-27,9590,9770,9590,9670,82757,66240.0,6850000.0
2013-11-28,9700,9780,9570,9580,86411,65623.0,6850000.0
2013-11-29,9550,9620,9430,9490,72917,65006.0,6850000.0
2013-12-02,9470,9570,9300,9450,57305,64732.0,6850000.0
2013-12-03,9380,9440,9220,9250,65333,63362.0,6850000.0
2013-12-04,9230,9510,9200,9370,65314,64184.0,6850000.0
2013-12-05,9410,9630,9350,9530,51280,65280.0,6850000.0
2013-12-06,9590,9590,9450,9450,48403,64732.0,6850000.0
2013-12-09,9480,9700,9480,9610,72516,65828.0,6850000.0
2013-12-10,9620,9900,9510,9900,184595,67815.0,6850000.0
2013-12-11,10000,10700,10000,10150,627260,69528.0,6850000.0
2013-12-12,10150,10200,9830,10000,156361,68500.0,6850000.0
2013-12-13,10000,10300,9850,10300,126549,70555.0,6850000.0
2013-12-16,10300,10550,9850,9850,124326,67472.0,6850000.0
2013-12-17,9910,9950,9440,9600,136701,65760.0,6850000.0
2013-12-18,9470,9690,9320,9320,141883,63842.0,6850000.0
2013-12-19,9430,9530,9200,9240,101619,63294.0,6850000.0
2013-12-20,9340,9440,9240,9420,39539,64527.0,6850000.0
2013-12-23,9460,9620,9420,9490,50073,65006.0,6850000.0
2013-12-24,9580,9620,9480,9590,33640,65692.0,6850000.0
2013-12-26,9610,9690,9430,9500,62997,65075.0,6850000.0
2013-12-27,9500,9500,9300,9410,53018,64458.0,6850000.0
2013-12-30,9410,9680,9350,9580,52851,65623.0,6850000.0
2014-01-02,9630,9630,9350,9350,42961,64048.0,6850000.0
2014-01-03,9330,9400,9160,9200,54179,63020.0,6850000.0
2014-01-06,9360,9360,9150,9180,24522,62883.0,6850000.0
2014-01-07,9180,9430,9130,9370,32362,64184.0,6850000.0
2014-01-08,9430,9510,9350,9490,39331,65006.0,6850000.0
2014-01-09,9490,9530,9370,9390,38761,64322.0,6850000.0
2014-01-10,9480,9480,9120,9260,76621,63431.0,6850000.0
2014-01-13,9220,9360,9200,9290,45657,63636.0,6850000.0
2014-01-14,9200,9310,9150,9170,59243,62814.0,6850000.0
2014-01-15,9260,9260,9080,9150,185980,62678.0,6850000.0
2014-01-16,9210,9850,9200,9700,284370,66445.0,6850000.0
2014-01-17,9650,9820,9540,9800,111480,67130.0,6850000.0
2014-01-20,9750,9780,9610,9760,45647,66856.0,6850000.0
2014-01-21,9840,10050,9670,10050,166977,68842.0,6850000.0
2014-01-22,10100,10200,9850,9900,106927,67815.0,6850000.0
2014-01-23,9950,9950,9630,9690,107130,66376.0,6850000.0
2014-01-24,9640,9730,9450,9600,68054,65760.0,6850000.0
