아이티센(124500),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-07-01,16500,18950,16500,18950,1500,45480.0,2400000.0
2013-07-02,0,0,0,18950,0,45480.0,2400000.0
2013-07-03,17000,17000,17000,17000,600,40800.0,2400000.0
2013-07-04,14450,14450,14450,14450,100,34680.0,2400000.0
2013-07-05,13450,13450,13450,13450,100,32280.0,2400000.0
2013-07-08,0,0,0,13950,0,33480.0,2400000.0
2013-07-09,0,0,0,14000,0,33600.0,2400000.0
2013-07-10,0,0,0,14000,0,33600.0,2400000.0
2013-07-11,15950,15950,15950,15950,100,38280.0,2400000.0
2013-07-12,15950,15950,15950,15950,100,38280.0,2400000.0
2013-07-15,15000,15000,15000,15000,100,36000.0,2400000.0
2013-07-16,12750,12750,12750,12750,700,30600.0,2400000.0
2013-07-17,11500,11500,11500,11500,3000,27600.0,2400000.0
2013-07-18,11500,11500,11500,11500,500,27600.0,2400000.0
2013-07-19,12000,12000,12000,12000,100,28800.0,2400000.0
2013-07-22,12500,12500,12500,12500,100,30000.0,2400000.0
2013-07-23,12850,12850,12850,12850,100,30840.0,2400000.0
2013-07-24,12900,12900,12900,12900,100,30960.0,2400000.0
2013-07-25,0,0,0,12900,0,30960.0,2400000.0
2013-07-26,0,0,0,12900,0,,
2013-07-29,12900,12900,12900,12900,500,30960.0,2400000.0
2013-07-30,12900,12900,12900,12900,14000,30960.0,2400000.0
2013-07-31,13350,13350,13350,13350,100,32040.0,2400000.0
2013-08-01,13350,15350,13350,15350,900,36840.0,2400000.0
2013-08-02,0,0,0,15200,0,36480.0,2400000.0
2013-08-05,17450,17450,15200,16000,13800,38400.0,2400000.0
2013-08-06,17800,17800,16500,16500,3100,39600.0,2400000.0
2013-08-07,17900,17900,17900,17900,100,42960.0,2400000.0
2013-08-08,19500,19500,19500,19500,3000,46800.0,2400000.0
2013-08-09,20450,20450,20450,20450,2000,49080.0,2400000.0
2013-08-12,20450,20500,20450,20500,2300,49200.0,2400000.0
2013-08-13,21500,21500,19500,20000,4200,48000.0,2400000.0
2013-08-14,20400,20400,19950,19950,1100,47880.0,2400000.0
2013-08-16,19000,19000,17500,17500,2300,42000.0,2400000.0
2013-08-19,16000,17400,15500,17400,1100,41760.0,2400000.0
2013-08-20,20000,20000,20000,20000,100,48000.0,2400000.0
2013-08-21,17000,17000,17000,17000,300,40800.0,2400000.0
2013-08-22,0,0,0,15900,0,38160.0,2400000.0
2013-08-23,15900,15900,15900,15900,17000,38160.0,2400000.0
2013-08-26,16500,16500,16500,16500,100,39600.0,2400000.0
2013-08-27,18000,18000,18000,18000,100,43200.0,2400000.0
2013-08-28,19800,19800,19800,19800,100,47520.0,2400000.0
2013-08-29,20400,20400,20400,20400,100,48960.0,2400000.0
2013-08-30,21900,21900,21900,21900,100,52560.0,2400000.0
2013-09-02,20750,20750,20750,20750,100,49800.0,2400000.0
2013-09-03,18400,18400,18400,18400,100,44160.0,2400000.0
2013-09-04,20100,20100,20100,20100,100,48240.0,2400000.0
2013-09-05,0,0,0,18100,0,43440.0,2400000.0
2013-09-06,17000,17000,17000,17000,100,40800.0,2400000.0
2013-09-09,19550,19550,19550,19550,100,46920.0,2400000.0
2013-09-10,19550,20000,19550,20000,1700,48000.0,2400000.0
2013-09-11,19750,19750,19750,19750,500,47400.0,2400000.0
2013-09-12,17950,17950,17950,17950,100,43080.0,2400000.0
2013-09-13,19400,19400,19400,19400,100,46560.0,2400000.0
2013-09-16,16600,16600,16600,16600,100,39840.0,2400000.0
2013-09-17,17000,17000,17000,17000,100,40800.0,2400000.0
2013-09-23,17800,17800,14450,16500,5400,39600.0,2400000.0
2013-09-24,18000,18000,16850,16850,2600,40440.0,2400000.0
2013-09-25,16900,16900,16000,16000,11000,38400.0,2400000.0
2013-09-26,16050,16050,13750,16000,9600,38400.0,2400000.0
2013-09-27,15500,16100,15500,15850,21000,38040.0,2400000.0
2013-09-30,15850,16000,15850,16000,20000,38400.0,2400000.0
2013-10-01,0,0,0,15600,0,37440.0,2400000.0
2013-10-02,16000,16000,16000,16000,10000,38400.0,2400000.0
2013-10-04,15900,15900,15900,15900,2000,38160.0,2400000.0
2013-10-07,15850,15850,15850,15850,1000,38040.0,2400000.0
2013-10-08,0,0,0,15000,0,36000.0,2400000.0
2013-10-10,14200,14200,14200,14200,100,34080.0,2400000.0
2013-10-11,14200,14200,14200,14200,4000,34080.0,2400000.0
2013-10-14,0,0,0,14200,0,34080.0,2400000.0
2013-10-15,14200,14200,14100,14100,3100,33840.0,2400000.0
2013-10-16,14100,15450,14100,15450,3500,37080.0,2400000.0
2013-10-17,14100,14750,14100,14750,7300,35400.0,2400000.0
2013-10-18,14750,14750,14750,14750,3000,35400.0,2400000.0
2013-10-21,0,0,0,14750,0,35400.0,2400000.0
2013-10-22,15500,15500,15400,15400,20000,36960.0,2400000.0
2013-10-23,15400,15400,15400,15400,15000,36960.0,2400000.0
2013-10-24,0,0,0,15350,0,36840.0,2400000.0
2013-10-25,15500,15500,15500,15500,10000,37200.0,2400000.0
2013-10-28,0,0,0,14500,0,34800.0,2400000.0
2013-10-29,16000,16000,16000,16000,1000,38400.0,2400000.0
2013-10-30,16100,16100,15900,15900,9000,38160.0,2400000.0
2013-10-31,15900,15900,15900,15900,2000,38160.0,2400000.0
2013-11-01,14850,15700,14850,15700,200,37680.0,2400000.0
2013-11-04,0,0,0,15700,0,37680.0,2400000.0
2013-11-05,14850,14850,14850,14850,100,35640.0,2400000.0
2013-11-06,0,0,0,14850,0,35640.0,2400000.0
2013-11-07,0,0,0,14850,0,,
2013-11-08,15700,15700,15700,15700,100,37680.0,2400000.0
2013-11-11,0,0,0,15650,0,37560.0,2400000.0
2013-11-12,15000,15000,15000,15000,2000,36000.0,2400000.0
2013-11-13,14950,14950,14950,14950,5000,35880.0,2400000.0
2013-11-14,15000,15000,13500,14750,9200,35400.0,2400000.0
2013-11-15,14650,14700,13000,14700,6100,35280.0,2400000.0
2013-11-18,14600,14600,14600,14600,1800,35040.0,2400000.0
2013-11-19,14400,14400,14400,14400,2200,34560.0,2400000.0
2013-11-20,14350,14350,13500,13500,3200,32400.0,2400000.0
2013-11-21,13400,13400,13400,13400,4000,32160.0,2400000.0
2013-11-22,12500,12500,12000,12000,7400,28800.0,2400000.0
2013-11-25,0,0,0,12000,0,28800.0,2400000.0
2013-11-26,0,0,0,12050,0,28920.0,2400000.0
2013-11-27,0,0,0,12050,0,28920.0,2400000.0
2013-11-28,12050,12050,12050,12050,2000,28920.0,2400000.0
2013-11-29,12800,12800,12800,12800,100,30720.0,2400000.0
2013-12-02,0,0,0,12800,0,30720.0,2400000.0
2013-12-03,0,0,0,12800,0,,
2013-12-04,13800,14500,13800,14500,3600,34800.0,2400000.0
2013-12-05,0,0,0,14500,0,34800.0,2400000.0
2013-12-06,16450,16450,16450,16450,2000,39480.0,2400000.0
2013-12-09,14000,16900,14000,16000,9200,38400.0,2400000.0
2013-12-10,0,0,0,15500,0,37200.0,2400000.0
2013-12-11,14000,14700,14000,14450,6100,34680.0,2400000.0
2013-12-12,13000,15950,13000,14200,10200,34080.0,2400000.0
2013-12-13,14050,14200,14050,14200,9200,34080.0,2400000.0
2013-12-16,0,0,0,14200,0,,
2013-12-17,15500,15500,15500,15500,5100,37200.0,2400000.0
2013-12-18,15500,15500,15500,15500,20000,37200.0,2400000.0
2013-12-19,15000,15700,15000,15700,200,37680.0,2400000.0
2013-12-20,0,0,0,15400,0,36960.0,2400000.0
2013-12-23,15100,15100,14950,14950,9000,35880.0,2400000.0
2013-12-24,14550,14550,14550,14550,2000,34920.0,2400000.0
2013-12-26,14200,15400,14200,15400,25100,36960.0,2400000.0
2013-12-27,14450,14450,14350,14350,6000,34440.0,2400000.0
2013-12-30,14350,14350,14350,14350,300,34440.0,2400000.0
2014-01-02,0,0,0,13500,0,32400.0,2400000.0
2014-01-03,0,0,0,13500,0,32400.0,2400000.0
2014-01-06,15400,15400,15400,15400,100,36960.0,2400000.0
2014-01-07,0,0,0,14400,0,34560.0,2400000.0
2014-01-08,0,0,0,13700,0,32880.0,2400000.0
2014-01-09,13200,13200,13000,13000,2100,31200.0,2400000.0
2014-01-10,12800,12800,12800,12800,200,30720.0,2400000.0
2014-01-13,13500,13500,13000,13000,200,31200.0,2400000.0
2014-01-14,0,0,0,13000,0,31200.0,2400000.0
2014-01-15,12500,12500,12400,12400,7000,29760.0,2400000.0
2014-01-16,0,0,0,12400,0,29760.0,2400000.0
2014-01-17,13100,13100,13100,13100,100,31440.0,2400000.0
2014-01-20,0,0,0,13300,0,31920.0,2400000.0
2014-01-21,13500,14350,13500,14350,1100,34440.0,2400000.0
2014-01-22,13000,14300,13000,14300,4100,34320.0,2400000.0
2014-01-23,13000,14300,13000,14300,3100,34320.0,2400000.0
2014-01-24,0,0,0,14300,0,34320.0,2400000.0
2014-01-27,0,0,0,14300,0,,
2014-01-28,0,0,0,14000,0,33600.0,2400000.0
2014-01-29,0,0,0,14000,0,35706.0,2550400.0
