퓨전데이타(195440),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-12-21,2768,3122,2468,2642,3461522,59994.0,3030000.0
2016-12-22,2775,2862,2575,2702,1222259,61358.0,3030000.0
2016-12-23,2688,2735,2548,2555,555918,58024.0,3030000.0
2016-12-26,2668,2688,2421,2442,414309,55449.0,3030000.0
2016-12-27,2448,2462,2301,2322,271141,52722.0,3030000.0
2016-12-28,2341,2388,2275,2335,186238,53025.0,3030000.0
2016-12-29,2335,2348,2141,2168,249925,49238.0,3030000.0
2017-01-02,2188,2401,2188,2342,239001,53176.0,3030000.0
2017-01-03,2341,2408,2315,2355,150721,53480.0,3030000.0
2017-01-04,2361,2381,2228,2262,95391,51358.0,3030000.0
2017-01-05,2288,2308,2188,2195,134223,49844.0,3030000.0
2017-01-06,2208,2295,2201,2222,108842,50450.0,3030000.0
2017-01-09,2235,2328,2235,2249,91874,51056.0,3030000.0
2017-01-10,2248,2281,2155,2175,97856,49389.0,3030000.0
2017-01-11,2195,2235,2021,2075,143505,47116.0,3030000.0
2017-01-12,2081,2088,1948,1995,112473,45298.0,3030000.0
2017-01-13,1981,1994,1808,1821,223108,41360.0,3030000.0
2017-01-16,1928,2361,1908,2255,1715362,51207.0,3030000.0
2017-01-17,2188,2235,2048,2055,388313,46662.0,3030000.0
2017-01-18,2048,2068,1974,1982,147748,44996.0,3030000.0
2017-01-19,1988,2061,1961,1968,166598,44692.0,3030000.0
2017-01-20,1954,1994,1894,1962,111648,44541.0,3030000.0
2017-01-23,2021,2301,1988,2022,1232272,50954.0,3363300.0
2017-01-24,1994,2008,1881,1895,300852,47759.0,3363300.0
2017-01-25,2028,2155,1921,1922,547835,48432.0,3363300.0
2017-01-26,1941,1994,1901,1975,206818,49777.0,3363300.0
2017-01-31,1968,2108,1948,2015,234289,50786.0,3363300.0
2017-02-01,2041,2121,2014,2015,303647,50786.0,3363300.0
2017-02-02,2041,2108,2001,2108,248664,53140.0,3363300.0
2017-02-03,2155,2181,2081,2102,243241,52972.0,3363300.0
2017-02-06,2088,2121,1974,1995,162534,50281.0,3363300.0
2017-02-07,2021,2075,1988,1995,143280,50281.0,3363300.0
2017-02-08,1988,2008,1908,1935,152578,48768.0,3363300.0
2017-02-09,1928,1954,1901,1942,59634,48936.0,3363300.0
2017-02-10,1954,2035,1921,2035,138529,51290.0,3363300.0
2017-02-13,2014,2061,1981,2008,68626,50618.0,3363300.0
2017-02-14,2021,2021,1948,1955,61296,49272.0,3363300.0
2017-02-15,1928,2014,1928,1975,81850,49777.0,3363300.0
2017-02-16,2001,2035,1968,1975,70100,49777.0,3363300.0
2017-02-17,1994,1994,1948,1955,39191,49272.0,3363300.0
2017-02-20,1974,2028,1954,2022,81143,50954.0,3363300.0
2017-02-21,2041,2068,1988,2002,62690,50450.0,3363300.0
2017-02-22,2014,2028,1961,1975,62868,49777.0,3363300.0
2017-02-23,1968,1994,1941,1955,46106,49272.0,3363300.0
2017-02-24,1968,1974,1901,1915,70909,48263.0,3363300.0
2017-02-27,1934,1934,1881,1895,34030,47759.0,3363300.0
2017-02-28,1894,1914,1854,1882,43877,47423.0,3363300.0
2017-03-02,1894,1994,1888,1935,73025,48768.0,3363300.0
2017-03-03,1934,1961,1901,1922,25799,48432.0,3363300.0
2017-03-06,1908,2041,1894,2022,131982,50954.0,3363300.0
2017-03-07,2048,2115,2021,2055,183514,51795.0,3363300.0
2017-03-08,2081,2081,2008,2028,40967,51122.0,3363300.0
2017-03-09,2041,2121,2035,2042,116482,51458.0,3363300.0
2017-03-10,2041,2215,1994,2155,230874,54317.0,3363300.0
2017-03-13,2161,2275,2141,2222,188375,55999.0,3363300.0
2017-03-14,2235,2241,2168,2182,66940,54990.0,3363300.0
