DB금융스팩6호(306620),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-10-31,2010,2015,2000,2010,697681,9728.0,4840000.0
2018-11-01,2005,2010,2000,2005,164007,9704.0,4840000.0
2018-11-02,2005,2015,2005,2005,173780,9704.0,4840000.0
2018-11-05,2015,2015,2005,2015,81204,9753.0,4840000.0
2018-11-06,2015,2015,2005,2015,81305,9753.0,4840000.0
2018-11-07,2010,2010,2005,2010,10428,9728.0,4840000.0
2018-11-08,2015,2015,2005,2015,27856,9753.0,4840000.0
2018-11-09,2015,2020,2010,2010,37417,9728.0,4840000.0
2018-11-12,2010,2015,2005,2010,12721,9728.0,4840000.0
2018-11-13,2005,2025,2005,2015,70884,9753.0,4840000.0
2018-11-14,2015,2020,2015,2020,1617,9777.0,4840000.0
2018-11-15,2015,2020,2005,2020,31840,9777.0,4840000.0
2018-11-16,2020,2025,2020,2020,14259,9777.0,4840000.0
2018-11-19,2015,2020,2015,2020,525,9777.0,4840000.0
2018-11-20,2020,2020,2015,2020,56149,9777.0,4840000.0
2018-11-21,2025,2025,2020,2020,83851,9777.0,4840000.0
2018-11-22,2030,2030,2020,2025,8132,9801.0,4840000.0
2018-11-23,2025,2030,2020,2025,17095,9801.0,4840000.0
2018-11-26,2025,2025,2020,2025,443,9801.0,4840000.0
2018-11-27,2030,2030,2020,2025,9526,9801.0,4840000.0
2018-11-28,2020,2025,2020,2025,7803,9801.0,4840000.0
2018-11-29,2015,2025,2015,2025,9103,9801.0,4840000.0
2018-11-30,2025,2025,2020,2020,18012,9777.0,4840000.0
2018-12-03,2025,2025,2015,2025,4082,9801.0,4840000.0
2018-12-04,2010,2025,2010,2025,20931,9801.0,4840000.0
2018-12-05,2015,2025,2015,2025,701,9801.0,4840000.0
2018-12-06,2025,2025,2015,2020,502,9777.0,4840000.0
2018-12-07,2020,2025,2005,2025,72946,9801.0,4840000.0
2018-12-10,2025,2030,2020,2025,13032,9801.0,4840000.0
2018-12-11,2035,2035,2015,2030,28003,9825.0,4840000.0
2018-12-12,2030,2030,2025,2030,3902,9825.0,4840000.0
2018-12-13,2015,2030,2010,2030,16389,9825.0,4840000.0
2018-12-14,2015,2030,2015,2030,9,9825.0,4840000.0
2018-12-17,2020,2030,2020,2020,1030,9777.0,4840000.0
2018-12-18,2020,2020,2020,2020,0,9777.0,4840000.0
2018-12-19,2010,2025,2010,2020,310,9777.0,4840000.0
2018-12-20,2015,2015,2015,2015,150,9753.0,4840000.0
2018-12-21,2005,2015,2005,2015,477,9753.0,4840000.0
