컴퍼니케이(307930),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-05-23,8200,10650,7800,10650,13197518,166246.0,15610000.0
2019-05-24,11550,13300,10650,11450,11035669,178734.0,15610000.0
2019-05-27,13200,14850,12050,14850,8296387,231808.0,15610000.0
2019-05-28,15100,18850,13950,15650,14916433,244296.0,15610000.0
2019-05-29,15750,18200,15000,15900,7302678,248199.0,15610000.0
2019-05-30,16050,17400,15000,15150,2175794,236492.0,15610000.0
2019-05-31,16150,16350,14000,14700,1802204,229467.0,15610000.0
2019-06-03,14300,15200,13800,14300,1168908,223223.0,15610000.0
2019-06-04,14850,15500,14050,14200,1492811,221662.0,15610000.0
2019-06-05,14000,14150,12900,13200,922462,206052.0,15610000.0
2019-06-07,12900,13300,12300,12600,1430596,196686.0,15610000.0
2019-06-10,12650,12800,11650,11800,1047099,184198.0,15610000.0
2019-06-11,11900,12250,11700,11950,786377,186540.0,15610000.0
2019-06-12,11950,12000,11100,11100,501891,173271.0,15610000.0
2019-06-13,11200,11500,11000,11450,372107,178734.0,15610000.0
2019-06-14,11250,11350,10600,10850,389357,169368.0,15610000.0
2019-06-17,10800,10800,10050,10250,399679,160002.0,15610000.0
2019-06-18,10100,10250,9350,9770,594406,152510.0,15610000.0
2019-06-19,9760,10150,9630,9830,399302,153446.0,15610000.0
2019-06-20,9870,11050,9870,10350,1337498,161564.0,15610000.0
2019-06-21,10250,10850,10000,10100,638941,157661.0,15610000.0
2019-06-24,9950,9960,9000,9020,927489,140802.0,15610000.0
2019-06-25,8930,9100,7920,8100,941103,126441.0,15610000.0
2019-06-26,8140,8450,7950,8140,518401,127065.0,15610000.0
2019-06-27,8220,8350,7690,7740,319659,120821.0,15610000.0
2019-06-28,7750,7840,7260,7390,385573,115358.0,15610000.0
2019-07-01,7480,9310,7390,8200,4610198,128002.0,15610000.0
2019-07-02,8250,8430,7960,8110,832595,126597.0,15610000.0
2019-07-03,8250,8410,8040,8130,577880,126909.0,15610000.0
2019-07-04,8110,8150,7460,7560,414021,118012.0,15610000.0
2019-07-05,7620,7630,7200,7600,263849,118636.0,15610000.0
2019-07-08,7420,7980,7350,7430,242602,115982.0,15610000.0
2019-07-09,7270,7580,7230,7310,122210,114109.0,15610000.0
2019-07-10,7450,9500,7360,8550,4110029,133466.0,15610000.0
2019-07-11,8480,9880,8330,9300,6037525,145173.0,15610000.0
2019-07-12,9250,9500,9050,9110,931624,142207.0,15610000.0
2019-07-15,9210,9720,9090,9130,1718088,142519.0,15610000.0
2019-07-16,9190,9230,8590,8610,664697,134402.0,15610000.0
2019-07-17,8670,8890,8010,8140,546414,127065.0,15610000.0
2019-07-18,8060,8210,7660,7750,303479,120978.0,15610000.0
2019-07-19,7800,10050,7620,10050,9465694,156880.0,15610000.0
2019-07-22,10700,11200,10050,10500,5209109,163905.0,15610000.0
2019-07-23,10500,11800,10350,10700,6334911,167027.0,15610000.0
2019-07-24,10750,10850,9910,10750,1485556,167808.0,15610000.0
2019-07-25,10750,11800,10550,10850,4091693,169368.0,15610000.0
2019-07-26,10700,11550,10100,10100,2207204,157661.0,15610000.0
2019-07-29,10050,10100,9050,9050,926476,141270.0,15610000.0
2019-07-30,9050,9740,9050,9310,1114723,145329.0,15610000.0
2019-07-31,9160,9310,8500,8770,724763,136900.0,15610000.0
2019-08-01,8890,11400,8890,9850,8580337,153758.0,15610000.0
2019-08-02,10200,12400,10050,12400,7618164,193564.0,15610000.0
2019-08-05,12450,14500,11850,12950,9143953,202150.0,15610000.0
2019-08-06,12900,13850,11650,12600,4772218,196686.0,15610000.0
2019-08-07,12600,13200,11450,11550,2409840,180296.0,15610000.0
2019-08-08,11850,12100,11050,12100,2289729,188881.0,15610000.0
2019-08-09,11900,12850,11750,12650,2266231,197466.0,15610000.0
2019-08-12,12700,12950,12000,12050,1471803,188100.0,15610000.0
