아우딘퓨쳐스(227610),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-07-12,13870,15263,13159,13811,1571149,138057.0,5925190.0
2017-07-13,13811,13900,12951,13278,269096,132724.0,5925190.0
2017-07-14,13307,13692,12684,13248,202628,132428.0,5925190.0
2017-07-17,13099,13633,12921,13248,133863,132428.0,5925190.0
2017-07-18,13366,14344,12773,13218,436200,132132.0,5925190.0
2017-07-19,13396,15204,13366,14967,967473,149611.0,5925190.0
2017-07-20,14937,14937,13988,14078,238865,140723.0,5925190.0
2017-07-21,14048,14552,13988,14019,147400,140131.0,5925190.0
2017-07-24,14285,14640,13544,13722,134769,137168.0,5925190.0
2017-07-25,13811,13840,13277,13396,70633,133909.0,5925190.0
2017-07-26,13396,13751,13159,13248,72180,132428.0,5925190.0
2017-07-27,13307,13336,12892,12892,72742,128873.0,5925190.0
2017-07-28,12833,13040,12714,12892,47344,128873.0,5925190.0
2017-07-31,12892,13781,12773,13041,95371,130354.0,5925190.0
2017-08-01,13336,13396,12862,12863,54971,128577.0,5925190.0
2017-08-02,12862,13040,12566,12685,40604,126799.0,5925190.0
2017-08-03,12684,12803,11973,12122,38340,121170.0,5925190.0
2017-08-04,12240,12269,11558,11677,50093,116726.0,5925190.0
2017-08-07,11528,13633,11528,12003,95393,119985.0,5925190.0
2017-08-08,12210,12507,11973,12477,46544,124725.0,5925190.0
2017-08-09,12299,12566,12121,12211,18588,122059.0,5925190.0
2017-08-10,11973,12181,11706,11974,19347,119689.0,5925190.0
2017-08-11,11825,12092,11469,11736,23447,117319.0,5925190.0
2017-08-14,11677,11943,11351,11351,27169,113467.0,5925190.0
2017-08-16,11558,11855,11291,11796,25863,117911.0,5925190.0
2017-08-17,11766,11855,11440,11855,12562,118504.0,5925190.0
2017-08-18,11825,11855,11528,11736,7675,117319.0,5925190.0
2017-08-21,11736,11795,11440,11440,16306,114356.0,5925190.0
2017-08-22,11410,11469,11262,11292,11579,112875.0,5925190.0
2017-08-23,11291,11647,11262,11470,13276,114652.0,5925190.0
2017-08-24,11499,13040,11469,11944,86381,119393.0,5925190.0
2017-08-25,11943,11973,11528,11648,15394,116430.0,5925190.0
2017-08-28,11647,12181,11647,12181,24143,121763.0,5925190.0
2017-08-29,12181,12181,11795,12092,10287,120874.0,5925190.0
2017-08-30,12092,12240,11884,11885,22073,118800.0,5925190.0
2017-08-31,11884,12003,11766,11766,8737,117615.0,5925190.0
2017-09-01,11943,11943,11410,11410,31541,114060.0,5925190.0
2017-09-04,11262,11380,11025,11025,46392,110209.0,5925190.0
2017-09-05,11202,11262,10699,10788,36611,107838.0,5925190.0
2017-09-06,10906,10906,10610,10670,27928,106653.0,5925190.0
2017-09-07,10699,10936,10580,10758,21574,107542.0,5925190.0
2017-09-08,10758,10758,10284,10284,39601,102802.0,5925190.0
2017-09-11,10432,10639,10254,10403,26573,103987.0,5925190.0
2017-09-12,10462,10936,10343,10551,39192,105468.0,5925190.0
2017-09-13,10639,10639,10047,10136,20596,101321.0,5925190.0
2017-09-14,10224,10254,10017,10106,12683,101024.0,5925190.0
2017-09-15,10254,10402,10136,10255,16702,102506.0,5925190.0
2017-09-18,10343,10402,10047,10077,17781,100728.0,5925190.0
2017-09-19,10106,10106,9543,9632,54332,96284.0,5925190.0
2017-09-20,9572,9632,9335,9365,35149,93618.0,5925190.0
2017-09-21,9306,9365,8950,8951,74638,89470.0,5925190.0
2017-09-22,8920,9128,8624,8921,40010,89174.0,5925190.0
2017-09-25,8920,9780,8624,8921,59713,89174.0,5925190.0
2017-09-26,8920,9454,8713,9454,39610,94507.0,5925190.0
2017-09-27,9750,10047,9454,10047,42197,100432.0,5925190.0
2017-09-28,10224,10432,9958,10047,29894,100432.0,5925190.0
2017-09-29,10017,11588,9987,10521,158828,105172.0,5925190.0
2017-10-10,10639,11202,10373,10551,51763,105468.0,5925190.0
2017-10-11,10639,10847,10254,10581,70034,105765.0,5925190.0
2017-10-12,10580,10788,10373,10521,50268,105172.0,5925190.0
2017-10-13,10580,10876,10106,10521,85146,105172.0,5925190.0
2017-10-16,10521,11558,10432,11025,115320,110209.0,5925190.0
2017-10-17,11054,11736,10550,10788,99683,107838.0,5925190.0
2017-10-18,11025,11025,10224,10521,70906,105172.0,5925190.0
2017-10-19,10491,10521,10136,10492,62040,104876.0,5925190.0
2017-10-20,10491,11084,10432,10847,34056,108431.0,5925190.0
2017-10-23,10876,10995,10847,10966,11596,109616.0,5925190.0
2017-10-24,11114,11202,10965,10996,15451,109912.0,5925190.0
2017-10-25,11202,11499,11025,11025,29206,110209.0,5925190.0
2017-10-26,11054,11677,10995,11292,40535,112875.0,5925190.0
2017-10-27,11588,12181,11440,12181,82456,121763.0,5925190.0
2017-10-30,12358,13099,12299,12774,137193,127688.0,5925190.0
2017-10-31,13040,13040,12566,12744,56514,127392.0,5925190.0
2017-11-01,12744,13040,12684,12952,28455,129465.0,5925190.0
2017-11-02,12833,14226,12714,13485,121578,134798.0,5925190.0
2017-11-03,13633,14522,13307,13989,99840,139834.0,5925190.0
2017-11-06,14018,14492,13870,14019,55162,140131.0,5925190.0
2017-11-07,14018,14285,13247,13604,87506,135983.0,5925190.0
2017-11-08,13781,13781,13040,13455,55076,134502.0,5925190.0
2017-11-09,13455,13692,12862,13367,61033,133613.0,5925190.0
2017-11-10,13396,13514,13070,13248,54977,132428.0,5925190.0
2017-11-13,13247,13751,13247,13604,61968,135983.0,5925190.0
2017-11-14,13633,13633,12833,13011,98614,130058.0,5925190.0
2017-11-15,12595,13277,12388,13278,82648,132724.0,5925190.0
2017-11-16,13455,13485,12921,13041,35094,130354.0,5925190.0
2017-11-17,13040,14226,12921,14226,100946,142205.0,5925190.0
2017-11-20,14226,14226,13692,13900,60967,138946.0,5925190.0
