모바일리더(100030),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-05-25,21000,24150,18900,18900,4635746,56662.0,2998000.0
2010-05-26,18350,19400,16200,16300,1567099,48867.0,2998000.0
2010-05-27,16650,18400,16200,16400,1422474,49167.0,2998000.0
2010-05-28,17300,18850,17100,18850,835476,56512.0,2998000.0
2010-05-31,19800,20100,16850,17300,1484166,51865.0,2998000.0
2010-06-01,17800,18000,16550,16700,555586,50067.0,2998000.0
2010-06-03,17050,17300,15100,15300,638219,45869.0,2998000.0
2010-06-04,15450,17300,15200,16100,1080087,48268.0,2998000.0
2010-06-07,15200,16300,14900,15850,418780,51972.0,3279014.0
2010-06-08,16050,17750,15750,16700,768378,54760.0,3279014.0
2010-06-09,16600,16700,15400,15450,321590,50661.0,3279014.0
2010-06-10,15500,15750,15150,15250,220319,50005.0,3279014.0
2010-06-11,15700,16550,15300,16300,660528,53448.0,3279014.0
2010-06-14,16650,17200,16200,16600,578476,54432.0,3279014.0
2010-06-15,16700,16900,16200,16200,380199,53120.0,3279014.0
2010-06-16,16600,17300,16400,17200,524596,56421.0,3280314.0
2010-06-17,17300,17450,16150,16200,347117,53141.0,3280314.0
2010-06-18,16150,16450,15750,15900,193957,52157.0,3280314.0
2010-06-21,16150,16800,16000,16300,258677,53469.0,3280314.0
2010-06-22,16100,16550,15800,15950,117579,52321.0,3280314.0
2010-06-23,15700,16100,15550,16000,86560,52485.0,3280314.0
2010-06-24,16100,16900,16050,16900,250196,55437.0,3280314.0
2010-06-25,16900,17300,16500,16550,380581,54289.0,3280314.0
2010-06-28,16650,16850,16300,16350,134444,53633.0,3280314.0
2010-06-29,16550,17150,15800,15800,344923,51829.0,3280314.0
2010-06-30,15350,15750,15200,15600,102266,51173.0,3280314.0
2010-07-01,15400,15900,15250,15450,82439,50681.0,3280314.0
2010-07-02,15450,15900,15400,15550,90977,51009.0,3280314.0
2010-07-05,15550,15800,15450,15650,65593,51390.0,3283714.0
2010-07-06,15500,15650,13350,14800,138634,48599.0,3283714.0
2010-07-07,14900,14950,13800,14100,133358,46300.0,3283714.0
2010-07-08,14200,14650,14050,14300,84191,46957.0,3283714.0
2010-07-09,14400,14500,13600,13950,63746,45808.0,3283714.0
2010-07-12,14000,14150,13450,13700,102316,44987.0,3283714.0
2010-07-13,13900,14300,13550,13900,85070,45644.0,3283714.0
2010-07-14,14000,14450,13950,14200,88788,46629.0,3283714.0
2010-07-15,14300,15300,14100,14850,222110,48763.0,3283714.0
2010-07-16,14850,15100,14400,14850,54342,48763.0,3283714.0
2010-07-19,14550,14800,14550,14750,28755,48435.0,3283714.0
2010-07-20,14650,14700,14100,14300,53170,46957.0,3283714.0
2010-07-21,14400,14400,13800,13800,49548,45315.0,3283714.0
2010-07-22,13800,14100,13600,13600,41669,44659.0,3283714.0
2010-07-23,13800,13900,13250,13600,31099,44659.0,3283714.0
2010-07-26,13500,13750,13150,13250,41712,43509.0,3283714.0
2010-07-27,13550,14300,13400,13600,87178,44659.0,3283714.0
2010-07-28,13950,13950,13350,13400,41259,44002.0,3283714.0
2010-07-29,13400,13700,13100,13100,45813,43017.0,3283714.0
2010-07-30,13100,13100,12450,12600,61772,41375.0,3283714.0
2010-08-02,12600,12800,12250,12350,29660,40554.0,3283714.0
2010-08-03,12400,12600,12000,12500,52633,41046.0,3283714.0
2010-08-04,13050,14200,12900,12900,264407,42360.0,3283714.0
2010-08-05,13000,13050,12200,12600,69979,41375.0,3283714.0
2010-08-06,12600,12600,12250,12550,19087,41211.0,3283714.0
2010-08-09,12400,13100,12400,13100,32607,43017.0,3283714.0
2010-08-10,13350,13350,12800,12800,25730,42032.0,3283714.0
2010-08-11,12800,13050,12450,12450,23157,40882.0,3283714.0
2010-08-12,12200,13050,12150,12950,29238,42524.0,3283714.0
2010-08-13,12950,13000,12650,12900,17595,42360.0,3283714.0
2010-08-16,12750,13000,12650,12900,21882,42360.0,3283714.0
2010-08-17,13050,13600,13000,13200,57823,43345.0,3283714.0
2010-08-18,13300,13500,12850,13000,33380,42688.0,3283714.0
2010-08-19,13050,13250,12750,13150,31876,43181.0,3283714.0
2010-08-20,13000,13150,12650,12950,25626,42524.0,3283714.0
2010-08-23,13000,13000,12400,12400,30606,40718.0,3283714.0
2010-08-24,12400,12550,12200,12450,16429,40882.0,3283714.0
2010-08-25,12450,12500,11900,12300,33079,40390.0,3283714.0
2010-08-26,12450,12450,11650,11850,25462,38912.0,3283714.0
2010-08-27,11600,11800,11000,11300,76679,37106.0,3283714.0
2010-08-30,11350,11600,10900,11100,38776,36449.0,3283714.0
2010-08-31,10850,11600,10450,11600,77178,38091.0,3283714.0
2010-09-01,11600,12300,11500,11700,134872,38419.0,3283714.0
2010-09-02,11800,11850,11250,11350,32494,37270.0,3283714.0
2010-09-03,11400,11600,11000,11400,27844,37434.0,3283714.0
