바이오리더스(142760),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-11-26,3155,3625,3155,3625,5653,23513.0,6486405.0
2014-11-27,4165,4165,4100,4165,7600,27016.0,6486405.0
2014-11-28,4100,4750,4000,4395,1002,28508.0,6486405.0
2014-12-01,4590,4590,4590,4590,188,29773.0,6486405.0
2014-12-02,5000,5000,3905,4440,4391,28800.0,6486405.0
2014-12-03,4000,4400,4000,4400,201,28540.0,6486405.0
2014-12-04,4000,4000,3805,3805,356,24681.0,6486405.0
2014-12-05,4000,4000,3900,3900,750,25297.0,6486405.0
2014-12-08,3920,3920,3920,3920,300,25427.0,6486405.0
2014-12-09,3730,3730,3635,3635,490,23578.0,6486405.0
2014-12-10,4000,4000,3950,4000,3001,25946.0,6486405.0
2014-12-11,3900,3900,3900,3900,200,25297.0,6486405.0
2014-12-12,3710,3710,3710,3710,300,24065.0,6486405.0
2014-12-15,3730,3800,3530,3800,801,24648.0,6486405.0
2014-12-16,3510,3800,3510,3800,751,24648.0,6486405.0
2014-12-17,4200,4200,4200,4200,1,27243.0,6486405.0
2014-12-18,3800,4830,3570,3570,5651,23156.0,6486405.0
2014-12-19,4000,4000,3500,3600,2202,23351.0,6486405.0
2014-12-22,3500,3500,3500,3500,0,22702.0,6486405.0
2014-12-23,3800,3800,3800,3800,1,24648.0,6486405.0
2014-12-24,3230,3700,3230,3700,381,24000.0,6486405.0
2014-12-26,4200,4200,4200,4200,1,27243.0,6486405.0
2014-12-29,3570,4095,3570,4095,301,26562.0,6486405.0
2014-12-30,4705,4705,4705,4705,1,30519.0,6486405.0
2015-01-02,4705,4705,4705,4705,1,30519.0,6486405.0
2015-01-05,4200,4200,4200,4200,300,27243.0,6486405.0
2015-01-06,3990,3990,3990,3990,300,25881.0,6486405.0
2015-01-07,3405,3990,3405,3520,8602,22832.0,6486405.0
2015-01-08,4000,4000,4000,4000,1,25946.0,6486405.0
2015-01-09,3515,4000,3515,4000,5001,25946.0,6486405.0
2015-01-12,4200,4200,4200,4200,1,27243.0,6486405.0
2015-01-13,3795,4000,3795,4000,302,25946.0,6486405.0
2015-01-14,4200,4200,4200,4200,1,,
2015-01-15,3990,3990,3990,3990,300,,
2015-01-16,3505,4200,3505,4200,11,27243.0,6486405.0
2015-01-19,3850,3850,3850,3850,300,24973.0,6486405.0
2015-01-20,4425,4425,3780,3800,4001,24648.0,6486405.0
2015-01-21,3900,3900,3555,3555,48,23059.0,6486405.0
2015-01-22,4000,4000,3600,3600,1558,23351.0,6486405.0
2015-01-23,3620,3620,3550,3550,1147,23027.0,6486405.0
2015-01-26,3570,3570,3570,3570,300,23156.0,6486405.0
2015-01-27,3590,4100,3590,4100,301,26594.0,6486405.0
2015-01-28,3900,3900,3900,3900,1510,25297.0,6486405.0
2015-01-29,4485,4485,4485,4485,1,30244.0,6743375.0
2015-01-30,3900,4000,3815,3900,4522,26299.0,6743375.0
2015-02-02,4000,4000,4000,4000,1,26974.0,6743375.0
2015-02-03,4050,4050,3800,3815,1081,25726.0,6743375.0
2015-02-04,3815,3815,3800,3815,2798,25726.0,6743375.0
2015-02-05,3750,4300,3250,4300,3001,28997.0,6743375.0
2015-02-06,4600,4600,3655,4600,1803,31020.0,6743375.0
2015-02-09,4370,4370,4000,4200,1301,28322.0,6743375.0
2015-02-10,3810,4000,3810,4000,1001,26974.0,6743375.0
2015-02-11,4000,4000,4000,4000,0,26974.0,6743375.0
2015-02-12,3900,4395,3900,4395,12960,29637.0,6743375.0
2015-02-13,5000,5000,3900,4500,3501,30345.0,6743375.0
2015-02-16,5000,5000,4000,4500,2503,30345.0,6743375.0
2015-02-17,4280,4280,4280,4280,297,28862.0,6743375.0
2015-02-23,4920,4920,4000,4800,603,32368.0,6743375.0
2015-02-24,5300,5300,4080,4800,702,32368.0,6743375.0
2015-02-25,4300,4900,4080,4885,1087,32941.0,6743375.0
2015-02-26,4250,4900,4250,4900,320,33043.0,6743375.0
2015-02-27,4800,4900,4310,4310,8101,29064.0,6743375.0
2015-03-02,4700,4700,4330,4500,5502,30345.0,6743375.0
2015-03-03,4700,4700,4225,4500,3102,30345.0,6743375.0
2015-03-04,4800,4800,4200,4650,5356,31357.0,6743375.0
2015-03-05,4420,4500,4120,4500,1889,30345.0,6743375.0
2015-03-06,4200,4500,4200,4500,7001,30345.0,6743375.0
2015-03-09,4700,4700,4200,4600,2158,31020.0,6743375.0
2015-03-10,5000,5000,4200,4395,4501,29637.0,6743375.0
2015-03-11,4000,4400,4000,4400,1649,29671.0,6743375.0
2015-03-12,4100,4500,4100,4500,8101,30345.0,6743375.0
2015-03-13,4600,4600,4030,4600,2202,31020.0,6743375.0
2015-03-16,4995,4995,4000,4495,5531,30311.0,6743375.0
2015-03-17,4800,4800,3950,4495,5004,30311.0,6743375.0
2015-03-18,4000,4795,3950,4495,5053,30311.0,6743375.0
2015-03-19,4850,4850,3955,4500,3001,30345.0,6743375.0
2015-03-20,4000,4695,3985,4495,9773,30311.0,6743375.0
2015-03-23,4200,4490,4200,4490,4745,30278.0,6743375.0
2015-03-24,4200,4450,4150,4150,4509,27985.0,6743375.0
2015-03-25,4750,4750,4110,4700,1002,31694.0,6743375.0
2015-03-26,5200,5200,4150,4495,4665,30311.0,6743375.0
2015-03-27,4205,4845,4205,4845,6101,32672.0,6743375.0
2015-03-30,4610,4610,4600,4600,6485,31020.0,6743375.0
2015-03-31,5000,5100,5000,5000,21145,33717.0,6743375.0
2015-04-01,5000,5500,5000,5500,7774,37089.0,6743375.0
2015-04-02,5990,5990,5500,5700,1220,38437.0,6743375.0
2015-04-03,5100,6100,5100,5990,24420,40393.0,6743375.0
2015-04-06,5980,6540,5980,6540,9145,44102.0,6743375.0
2015-04-07,6300,7520,5600,7500,15810,50575.0,6743375.0
2015-04-08,8000,8000,6500,8000,28647,53947.0,6743375.0
2015-04-09,8500,8500,8500,8500,10,57319.0,6743375.0
2015-04-10,9000,9000,7500,7900,2861,53273.0,6743375.0
2015-04-13,8490,8490,6950,6950,1031,46866.0,6743375.0
2015-04-14,7780,7780,6000,6990,823,47136.0,6743375.0
2015-04-15,7780,7780,5950,6500,2026,44579.0,6858375.0
2015-04-16,6500,6500,6500,6500,501,44579.0,6858375.0
2015-04-17,7000,7000,6000,6920,18479,47460.0,6858375.0
2015-04-20,7400,7490,6000,7490,16641,51369.0,6858375.0
2015-04-21,6550,7680,6550,7600,13966,52124.0,6858375.0
2015-04-22,7800,7800,7000,7590,12141,52055.0,6858375.0
2015-04-23,7000,7000,6610,7000,8456,48009.0,6858375.0
2015-04-24,7490,7500,7000,7290,10811,49998.0,6858375.0
2015-04-27,7310,7510,7310,7500,11388,51438.0,6858375.0
2015-04-28,7510,7800,7510,7800,4500,53495.0,6858375.0
2015-04-29,8000,8800,8000,8600,26950,58982.0,6858375.0
2015-04-30,9490,9490,8350,8600,9620,58982.0,6858375.0
2015-05-04,9280,9280,7310,8690,112,59599.0,6858375.0
2015-05-06,7500,7990,7390,7990,1011,54798.0,6858375.0
2015-05-07,8660,8660,7000,8490,602,58228.0,6858375.0
2015-05-08,8070,8070,8070,8070,200,55347.0,6858375.0
2015-05-11,7670,8000,7670,8000,202,54867.0,6858375.0
2015-05-12,8500,8500,6800,8000,3109,54867.0,6858375.0
2015-05-13,7000,7300,6800,7100,3521,48694.0,6858375.0
2015-05-14,6230,7050,6040,7050,49420,48352.0,6858375.0
