러셀(217500),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-06-16,2179,2227,2168,2179,2116259,9595.0,4750000.0
2015-06-17,2184,2195,2168,2190,371571,9642.0,4750000.0
2015-06-18,2190,2216,2173,2212,438540,9738.0,4750000.0
2015-06-19,2206,2222,2190,2222,219428,9785.0,4750000.0
2015-06-22,2222,2233,2206,2222,69600,9785.0,4750000.0
2015-06-23,2243,2243,2211,2222,46242,9785.0,4750000.0
2015-06-24,2222,2227,2211,2217,59689,9761.0,4750000.0
2015-06-25,2227,2227,2200,2212,24247,9738.0,4750000.0
2015-06-26,2211,2243,2211,2244,47949,9880.0,4750000.0
2015-06-29,2243,2249,2233,2239,73335,9856.0,4750000.0
2015-06-30,2249,2394,2233,2303,90769,10141.0,4750000.0
2015-07-01,2281,2341,2281,2314,39440,10189.0,4750000.0
2015-07-02,2287,2330,2281,2303,18861,10141.0,4750000.0
2015-07-03,2303,2319,2270,2309,25282,10165.0,4750000.0
2015-07-06,2297,2297,2270,2282,62931,10046.0,4750000.0
2015-07-07,2303,2303,2281,2287,22981,10070.0,4750000.0
2015-07-08,2292,2292,2270,2292,9662,10094.0,4750000.0
2015-07-09,2292,2297,2270,2282,22959,10046.0,4750000.0
2015-07-10,2292,2314,2281,2309,31378,10165.0,4750000.0
2015-07-13,2297,2324,2292,2325,28913,10236.0,4750000.0
2015-07-14,2319,2330,2314,2314,22951,10189.0,4750000.0
2015-07-15,2314,2314,2308,2309,2908,10165.0,4750000.0
2015-07-16,2308,2314,2276,2298,6025,10118.0,4750000.0
2015-07-17,2297,2314,2281,2303,9307,10141.0,4750000.0
2015-07-20,2292,2319,2292,2319,17342,10212.0,4750000.0
2015-07-21,2319,2346,2319,2336,22709,10284.0,4750000.0
2015-07-22,2351,2368,2341,2357,26572,10379.0,4750000.0
2015-07-23,2368,2373,2330,2357,35098,10379.0,4750000.0
2015-07-24,2357,2394,2351,2379,13853,10474.0,4750000.0
2015-07-27,2373,2378,2324,2352,26126,10355.0,4750000.0
2015-07-28,2346,2378,2335,2368,22895,10426.0,4750000.0
2015-07-29,2373,2378,2357,2363,11620,10402.0,4750000.0
2015-07-30,2362,2394,2351,2395,13412,10545.0,4750000.0
2015-07-31,2421,2421,2373,2417,11978,10640.0,4750000.0
2015-08-03,2416,2427,2416,2427,15116,10688.0,4750000.0
2015-08-04,2416,2427,2416,2417,5419,10640.0,4750000.0
2015-08-05,2394,2427,2394,2427,8226,10688.0,4750000.0
2015-08-06,2427,2470,2421,2444,42516,10759.0,4750000.0
2015-08-07,2470,2470,2427,2460,12615,10830.0,4750000.0
2015-08-10,2470,2470,2427,2427,9712,10688.0,4750000.0
2015-08-11,2427,2459,2427,2454,2078,10806.0,4750000.0
2015-08-12,2416,2427,2405,2427,21750,10688.0,4750000.0
2015-08-13,2411,2427,2411,2427,7728,10688.0,4750000.0
2015-08-17,2421,2421,2373,2400,9240,10569.0,4750000.0
2015-08-18,2378,2416,2373,2395,10760,10545.0,4750000.0
2015-08-19,2373,2394,2362,2379,17983,10474.0,4750000.0
2015-08-20,2378,2389,2357,2390,11251,10521.0,4750000.0
2015-08-21,2351,2373,2330,2341,63732,10308.0,4750000.0
2015-08-24,2341,2341,2314,2319,11914,10212.0,4750000.0
2015-08-25,2319,2357,2319,2346,15409,10331.0,4750000.0
2015-08-26,2357,2368,2335,2336,4126,10284.0,4750000.0
2015-08-27,2378,2421,2341,2341,18418,10308.0,4750000.0
2015-08-28,2341,2357,2335,2357,4451,10379.0,4750000.0
2015-08-31,2351,2357,2335,2336,21283,10284.0,4750000.0
2015-09-01,2335,2335,2281,2314,55551,10189.0,4750000.0
2015-09-02,2314,2330,2287,2309,16403,10165.0,4750000.0
2015-09-03,2292,2324,2292,2319,18132,10212.0,4750000.0
2015-09-04,2330,2330,2292,2298,28405,10118.0,4750000.0
2015-09-07,2303,2314,2292,2314,8900,10189.0,4750000.0
2015-09-08,2314,2314,2308,2314,4303,10189.0,4750000.0
2015-09-09,2287,2314,2287,2314,2680,10189.0,4750000.0
