DSC인베스트먼트(241520),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-03-07,6570,6650,6370,6430,303817,112525.0,17500000.0
2018-03-08,6430,6880,6410,6720,619237,117600.0,17500000.0
2018-03-09,6720,6870,6620,6630,256831,116025.0,17500000.0
2018-03-12,6770,6960,6690,6880,320526,120400.0,17500000.0
2018-03-13,7090,7090,6900,7030,912380,123025.0,17500000.0
2018-03-14,7280,7330,6520,6540,1444662,114450.0,17500000.0
2018-03-15,6520,6620,6330,6520,353008,114100.0,17500000.0
2018-03-16,6530,6530,6350,6360,276103,111300.0,17500000.0
2018-03-19,6220,6350,6180,6190,238090,108325.0,17500000.0
2018-03-20,6190,6240,6110,6120,212629,107100.0,17500000.0
2018-03-21,6160,6280,5570,5980,573941,104650.0,17500000.0
2018-03-22,5980,5980,5620,5620,486140,98350.0,17500000.0
2018-03-23,5320,5550,5150,5260,485111,92050.0,17500000.0
2018-03-26,5150,5470,5150,5400,284239,94500.0,17500000.0
2018-03-27,5400,5490,5360,5410,212007,94675.0,17500000.0
2018-03-28,5340,5350,5020,5090,329253,89075.0,17500000.0
2018-03-29,5130,5580,5090,5310,521310,92925.0,17500000.0
2018-03-30,5350,5460,5310,5350,195701,93625.0,17500000.0
2018-04-02,5330,5400,5300,5340,152828,93450.0,17500000.0
2018-04-03,5310,5440,5230,5440,151581,95200.0,17500000.0
2018-04-04,5540,5560,5270,5350,205505,93625.0,17500000.0
2018-04-05,5400,5460,5350,5420,154028,94850.0,17500000.0
2018-04-06,5430,5440,5260,5320,149488,93100.0,17500000.0
2018-04-09,5320,5490,5310,5310,78823,92925.0,17500000.0
2018-04-10,5270,5510,5150,5500,384083,96250.0,17500000.0
2018-04-11,5570,5690,5450,5660,258969,99050.0,17500000.0
2018-04-12,5700,5720,5580,5700,228394,99750.0,17500000.0
2018-04-13,5790,6770,5780,5860,1877794,102550.0,17500000.0
2018-04-16,5950,6020,5850,5930,277791,103775.0,17500000.0
2018-04-17,5840,5960,5750,5910,222903,103425.0,17500000.0
2018-04-18,5950,6150,5910,6150,387921,107625.0,17500000.0
2018-04-19,6270,6320,5960,5980,516773,104650.0,17500000.0
2018-04-20,6060,6090,5900,5970,180246,104475.0,17500000.0
2018-04-23,5940,6000,5600,5600,227191,98000.0,17500000.0
2018-04-24,5540,6020,5540,6000,321115,105000.0,17500000.0
2018-04-25,5990,6050,5740,5850,249866,102375.0,17500000.0
2018-04-26,5840,5950,5750,5800,110294,101500.0,17500000.0
2018-04-27,5800,6030,5770,5880,239165,102900.0,17500000.0
2018-04-30,5810,5900,5610,5680,190013,99400.0,17500000.0
2018-05-02,5650,5650,5370,5450,282393,95375.0,17500000.0
2018-05-03,5430,5520,5410,5440,114766,95200.0,17500000.0
2018-05-04,5480,5570,5300,5340,289628,93450.0,17500000.0
2018-05-08,5350,5470,5130,5180,173582,90650.0,17500000.0
2018-05-09,5030,5220,5030,5140,219002,89950.0,17500000.0
2018-05-10,5120,5250,5120,5240,91473,91700.0,17500000.0
2018-05-11,5240,5340,5200,5330,64428,93275.0,17500000.0
2018-05-14,5330,5330,5170,5200,102385,91000.0,17500000.0
2018-05-15,5260,5340,5100,5210,103332,91175.0,17500000.0
2018-05-16,5100,5250,5050,5110,110839,89425.0,17500000.0
2018-05-17,5050,5190,4985,5060,180116,88550.0,17500000.0
2018-05-18,4925,5080,4925,4940,167770,86450.0,17500000.0
2018-05-21,4950,5170,4950,5030,153181,88025.0,17500000.0
2018-05-23,5030,5080,4905,4935,155780,86362.0,17500000.0
2018-05-24,4930,5060,4890,4910,132689,85925.0,17500000.0
2018-05-25,4835,4915,4810,4815,103777,84262.0,17500000.0
2018-05-28,4800,4875,4645,4645,269128,81288.0,17500000.0
2018-05-29,4605,4760,4605,4635,176644,81112.0,17500000.0
2018-05-30,4640,4835,4455,4500,360041,78750.0,17500000.0
2018-05-31,4500,4605,4500,4510,108621,78925.0,17500000.0
2018-06-01,4515,4635,4510,4595,102889,80412.0,17500000.0
2018-06-04,4595,4820,4595,4780,165408,83650.0,17500000.0
2018-06-05,4810,4860,4700,4795,115381,83912.0,17500000.0
2018-06-07,4860,5200,4780,5110,465594,89425.0,17500000.0
2018-06-08,5110,5190,5020,5140,204595,89950.0,17500000.0
2018-06-11,5130,5190,5000,5010,106896,87675.0,17500000.0
2018-06-12,4980,5120,4810,4895,110748,85662.0,17500000.0
2018-06-14,4910,4915,4705,4800,86769,84000.0,17500000.0
2018-06-15,4785,4805,4680,4745,61814,83038.0,17500000.0
2018-06-18,4665,4755,4510,4515,109576,79012.0,17500000.0
2018-06-19,4515,4660,4270,4340,153450,75950.0,17500000.0
2018-06-20,4290,4690,4290,4495,217655,78662.0,17500000.0
2018-06-21,4465,4585,4350,4355,120339,76212.0,17500000.0
2018-06-22,4415,4420,4170,4235,154722,74112.0,17500000.0
2018-06-25,4140,4235,4130,4190,103858,73325.0,17500000.0
2018-06-26,4180,4320,4135,4275,79221,74812.0,17500000.0
2018-06-27,4205,4310,4185,4260,102297,74550.0,17500000.0
2018-06-28,4230,4310,4210,4220,78696,73850.0,17500000.0
2018-06-29,4280,4285,4055,4265,76307,74638.0,17500000.0
2018-07-02,4200,4265,4050,4070,113388,71225.0,17500000.0
2018-07-03,4005,4195,4005,4180,113082,73150.0,17500000.0
2018-07-04,4180,5430,4170,5040,6659042,88200.0,17500000.0
2018-07-05,4970,5300,4815,5230,2436036,91525.0,17500000.0
2018-07-06,5120,5170,4850,5050,1577623,88375.0,17500000.0
2018-07-09,5130,5470,4900,5110,2839751,89425.0,17500000.0
2018-07-10,5070,5250,5010,5170,854547,90475.0,17500000.0
2018-07-11,5280,5530,5010,5100,3327886,89250.0,17500000.0
2018-07-12,4960,5150,4890,4910,629427,85925.0,17500000.0
2018-07-13,4915,5030,4890,4905,286338,85838.0,17500000.0
2018-07-16,4850,4900,4710,4720,398974,82600.0,17500000.0
2018-07-17,4760,5050,4720,4910,649274,85925.0,17500000.0
2018-07-18,4900,5070,4705,4775,308163,83562.0,17500000.0
2018-07-19,4780,4840,4690,4690,149692,82075.0,17500000.0
2018-07-20,4650,4790,4470,4495,216212,78662.0,17500000.0
2018-07-23,4410,4490,4150,4170,157810,72975.0,17500000.0
2018-07-24,4100,4295,4100,4220,114268,73850.0,17500000.0
2018-07-25,4125,4740,4125,4310,1136566,75425.0,17500000.0
2018-07-26,4320,4450,4315,4385,168431,76738.0,17500000.0
2018-07-27,4340,4450,4320,4400,147576,77000.0,17500000.0
2018-07-30,4450,4475,4375,4475,113924,78312.0,17500000.0
2018-07-31,4515,4570,4400,4440,159136,77700.0,17500000.0
2018-08-01,4355,4500,4355,4500,132395,78750.0,17500000.0
2018-08-02,4510,4520,4390,4410,83066,77175.0,17500000.0
2018-08-03,4435,4500,4410,4490,68464,78575.0,17500000.0
2018-08-06,4475,4595,4430,4545,104055,79538.0,17500000.0
2018-08-07,4560,4560,4450,4470,87179,78225.0,17500000.0
2018-08-08,4485,4530,4370,4470,64202,78225.0,17500000.0
2018-08-09,4450,4465,4380,4400,118676,77000.0,17500000.0
2018-08-10,4355,4450,4320,4370,104958,76475.0,17500000.0
2018-08-13,4305,4365,4155,4205,115515,73588.0,17500000.0
2018-08-14,4105,4330,4105,4320,84038,75600.0,17500000.0
2018-08-16,4225,4300,4135,4230,60178,74025.0,17500000.0
2018-08-17,4175,4400,4175,4295,67383,75162.0,17500000.0
2018-08-20,4430,4870,4410,4430,1091917,77525.0,17500000.0
2018-08-21,4485,4620,4370,4585,230268,80238.0,17500000.0
2018-08-22,4555,4670,4500,4555,218453,79712.0,17500000.0
2018-08-23,4560,4650,4550,4620,143247,80850.0,17500000.0
2018-08-24,4600,5450,4565,4715,2077461,82512.0,17500000.0
2018-08-27,4695,4950,4630,4900,603435,85750.0,17500000.0
2018-08-28,4865,4980,4815,4835,182181,84612.0,17500000.0
2018-08-29,4900,5150,4870,4930,608331,86275.0,17500000.0
2018-08-30,5190,5200,4845,4860,635883,85050.0,17500000.0
