유앤아이(056090),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-11-12,28650,29200,24350,24350,1284601,171353.0,7037087.0
2015-11-13,24100,24900,23000,23350,311997,164316.0,7037087.0
2015-11-16,22550,22700,21350,21400,196544,150594.0,7037087.0
2015-11-17,21400,22450,21150,21450,153367,150946.0,7037087.0
2015-11-18,21450,22200,21400,21550,106785,151649.0,7037087.0
2015-11-19,22100,23900,21500,23200,130600,163260.0,7037087.0
2015-11-20,23200,23300,22400,22400,33324,157631.0,7037087.0
2015-11-23,22500,22600,21700,21850,35751,153760.0,7037087.0
2015-11-24,21850,22100,21200,21300,57033,149890.0,7037087.0
2015-11-25,22500,23000,21850,22150,144961,155871.0,7037087.0
2015-11-26,22300,23200,21900,22350,89272,157279.0,7037087.0
2015-11-27,22300,24150,22050,23650,183920,179566.0,7592642.0
2015-11-30,23650,23650,22650,23200,63203,176149.0,7592642.0
2015-12-01,23500,24050,22900,23950,66848,181844.0,7592642.0
2015-12-02,24200,25000,23650,24700,120977,187538.0,7592642.0
2015-12-03,24650,25050,24200,24550,35766,186399.0,7592642.0
2015-12-04,24200,24550,23950,24000,33846,182223.0,7592642.0
2015-12-07,24600,24600,23900,23900,27464,181464.0,7592642.0
2015-12-08,23550,23800,22550,22950,82004,174251.0,7592642.0
2015-12-09,22700,23200,22400,22600,33680,172001.0,7610642.0
2015-12-10,22600,22600,21400,21950,56909,167054.0,7610642.0
2015-12-11,21950,22550,21500,22100,49754,168195.0,7610642.0
2015-12-14,21950,22100,21300,21400,44256,162868.0,7610642.0
2015-12-15,21500,22100,21400,21900,30142,166673.0,7610642.0
2015-12-16,22550,22800,21900,22000,37753,167434.0,7610642.0
2015-12-17,22450,22450,21550,22300,79005,169717.0,7610642.0
2015-12-18,22050,22450,21700,21900,85039,166673.0,7610642.0
2015-12-21,22000,22050,21500,21900,59334,166673.0,7610642.0
2015-12-22,21900,21950,21650,21900,39892,166673.0,7610642.0
2015-12-23,21700,22400,21350,22400,135525,170478.0,7610642.0
2015-12-24,22500,24300,22500,22800,176711,173523.0,7610642.0
2015-12-28,22400,22550,21800,22150,107986,168576.0,7610642.0
2015-12-29,23000,23150,22100,22700,80629,172920.0,7617642.0
2015-12-30,22850,23650,22550,23350,70446,177872.0,7617642.0
2016-01-04,24400,24800,23400,23750,102386,180919.0,7617642.0
2016-01-05,23700,24600,23550,24450,102292,186251.0,7617642.0
2016-01-06,24500,25550,24350,25000,157771,190441.0,7617642.0
2016-01-07,25050,25100,23700,24100,85478,183585.0,7617642.0
2016-01-08,23200,24250,23200,24250,61284,184728.0,7617642.0
2016-01-11,24050,24950,23900,24000,49774,182823.0,7617642.0
2016-01-12,23800,24150,23350,23750,39140,181038.0,7622642.0
2016-01-13,23750,26800,23750,25400,220085,193615.0,7622642.0
2016-01-14,24600,25100,24400,24700,104252,188526.0,7632642.0
2016-01-15,25050,25550,24600,24900,85278,190053.0,7632642.0
2016-01-18,24500,25900,24150,25900,64885,197685.0,7632642.0
2016-01-19,25850,25900,25000,25900,86706,197685.0,7632642.0
2016-01-20,26000,27100,25200,26000,170796,198449.0,7632642.0
2016-01-21,25900,27650,25650,26600,155430,203028.0,7632642.0
2016-01-22,26600,27150,26100,26750,85212,204173.0,7632642.0
2016-01-25,26800,27800,26700,26950,137880,205700.0,7632642.0
2016-01-26,27150,27700,26400,27350,106466,208753.0,7632642.0
2016-01-27,27400,27900,26950,27400,87742,209134.0,7632642.0
2016-01-28,27400,27400,26550,27100,63049,206845.0,7632642.0
2016-01-29,27250,27300,26550,27200,48836,207608.0,7632642.0
2016-02-01,28500,29400,27850,29150,393865,222492.0,7632642.0
2016-02-02,28950,29150,28250,28900,101848,220583.0,7632642.0
2016-02-03,28900,29000,28000,28950,66145,220965.0,7632642.0
2016-02-04,29100,30250,28800,29250,154428,223255.0,7632642.0
2016-02-05,29700,29700,28450,29000,93931,221347.0,7632642.0
2016-02-11,28250,28550,27150,27300,111881,208371.0,7632642.0
2016-02-12,26750,27100,24700,24800,186557,189290.0,7632642.0
2016-02-15,24500,25650,23500,25300,136504,193106.0,7632642.0
2016-02-16,25350,26000,25250,25850,53681,197304.0,7632642.0
2016-02-17,25600,26000,24900,25750,42257,196541.0,7632642.0
2016-02-18,25600,27250,25600,27050,71951,206463.0,7632642.0
2016-02-19,26750,29250,26500,27800,137890,212187.0,7632642.0
2016-02-22,27800,28150,27250,27900,36865,212951.0,7632642.0
2016-02-23,28100,28100,27050,27900,53153,212951.0,7632642.0
2016-02-24,27350,27700,26600,27450,55887,209516.0,7632642.0
2016-02-25,27450,27450,26400,26950,57329,205700.0,7632642.0
2016-02-26,26950,27650,26400,27300,46592,208371.0,7632642.0
2016-02-29,27250,27600,27000,27200,32664,207608.0,7632642.0
2016-03-02,27550,27600,26850,27200,36375,207608.0,7632642.0
2016-03-03,26950,27250,26150,26800,49425,204555.0,7632642.0
2016-03-04,26750,26750,25550,26250,64863,200357.0,7632642.0
2016-03-07,26250,27450,25500,26250,64591,200357.0,7632642.0
2016-03-08,26550,26900,25600,26750,65896,204173.0,7632642.0
2016-03-09,26750,26800,26100,26400,36589,201502.0,7632642.0
2016-03-10,26700,26700,25900,26400,42404,201502.0,7632642.0
2016-03-11,26150,26450,25750,26450,40192,201883.0,7632642.0
2016-03-14,26500,26550,26000,26300,24015,200738.0,7632642.0
2016-03-15,26200,26300,25650,26300,28700,200738.0,7632642.0
2016-03-16,26000,26500,25850,26100,13292,199212.0,7632642.0
2016-03-17,26100,26400,25850,26150,17136,199594.0,7632642.0
2016-03-18,26150,26300,25900,25950,16219,198067.0,7632642.0
2016-03-21,26200,26750,26000,26300,39501,200738.0,7632642.0
2016-03-22,26350,26350,25050,26000,55654,198449.0,7632642.0
2016-03-23,25600,25750,24750,25700,68393,196159.0,7632642.0
2016-03-24,25600,25600,24900,24900,28249,190053.0,7632642.0
2016-03-25,24800,25050,23900,23900,61309,182420.0,7632642.0
2016-03-28,24000,24400,23250,23500,42989,179367.0,7632642.0
2016-03-29,23700,24400,23150,23750,48921,181275.0,7632642.0
2016-03-30,23750,24150,23500,23700,28030,180894.0,7632642.0
2016-03-31,23650,23800,23000,23100,45755,176314.0,7632642.0
2016-04-01,23300,24550,22550,24550,85492,187381.0,7632642.0
2016-04-04,24300,25400,24300,24850,70082,189671.0,7632642.0
2016-04-05,24500,24950,24500,24550,19409,187381.0,7632642.0
2016-04-06,24400,24800,24200,24750,14622,189403.0,7652642.0
2016-04-07,24750,24900,23550,24150,59365,184811.0,7652642.0
2016-04-08,24200,24500,24000,24250,20643,185577.0,7652642.0
2016-04-11,24400,24400,23700,24150,21329,184811.0,7652642.0
2016-04-12,24150,24200,23000,24100,78431,185031.0,7677642.0
2016-04-14,23800,24150,23550,23950,28493,183880.0,7677642.0
2016-04-15,23800,24050,23550,23800,28140,182728.0,7677642.0
2016-04-18,23850,24050,23550,23850,76510,183112.0,7677642.0
2016-04-19,24000,25200,23900,24600,134363,188870.0,7677642.0
2016-04-20,24700,24750,24250,24600,31475,188870.0,7677642.0
2016-04-21,24500,25100,24450,24900,37861,191173.0,7677642.0
2016-04-22,25000,25000,24300,24450,32587,187718.0,7677642.0
2016-04-25,24450,24450,23550,23750,56251,182344.0,7677642.0
2016-04-26,23800,23850,23150,23350,42736,179273.0,7677642.0
2016-04-27,23500,23550,22450,22850,90408,175434.0,7677642.0
2016-04-28,23050,23250,22850,23200,27734,178121.0,7677642.0
2016-04-29,23200,23200,22900,23000,16279,176586.0,7677642.0
2016-05-02,23000,23200,22800,22850,23833,175434.0,7677642.0
2016-05-03,22900,23100,22700,22800,18933,175050.0,7677642.0
2016-05-04,22550,22800,22350,22700,16421,174282.0,7677642.0
2016-05-09,22900,22900,21450,21950,79368,168524.0,7677642.0
2016-05-10,21600,22400,21600,22100,34459,169676.0,7677642.0
