나무기술(242040),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-09-07,2231,2428,2114,2115,2018724,14149.0,7110000.0
2016-09-08,2130,2146,2114,2126,235182,14220.0,7110000.0
2016-09-09,2125,2157,2114,2115,248390,14149.0,7110000.0
2016-09-12,2125,2130,2120,2126,26932,14220.0,7110000.0
2016-09-13,2136,2141,2125,2126,8713,14220.0,7110000.0
2016-09-19,2173,2173,2125,2136,52980,14291.0,7110000.0
2016-09-20,2146,2146,2120,2126,14972,14220.0,7110000.0
2016-09-21,2120,2136,2120,2131,40982,14256.0,7110000.0
2016-09-22,2130,2141,2125,2126,15822,14220.0,7110000.0
2016-09-23,2125,2130,2125,2131,5834,14256.0,7110000.0
2016-09-26,2125,2125,2120,2126,4642,14220.0,7110000.0
2016-09-27,2125,2125,2120,2120,9551,14184.0,7110000.0
2016-09-28,2120,2130,2120,2131,11261,14256.0,7110000.0
2016-09-29,2120,2130,2120,2126,12061,14220.0,7110000.0
2016-09-30,2125,2125,2120,2126,12843,14220.0,7110000.0
2016-10-04,2120,2125,2114,2126,2655,14220.0,7110000.0
2016-10-05,2125,2125,2114,2126,7527,14220.0,7110000.0
2016-10-06,2120,2120,2109,2120,16807,14184.0,7110000.0
2016-10-07,2120,2120,2114,2115,3981,14149.0,7110000.0
2016-10-10,2120,2125,2120,2126,2015,14220.0,7110000.0
2016-10-11,2189,2189,2125,2126,8012,14220.0,7110000.0
2016-10-12,2130,2130,2130,2131,99,14256.0,7110000.0
2016-10-13,2152,2152,2130,2131,4550,14256.0,7110000.0
2016-10-14,2168,2168,2130,2147,3529,14362.0,7110000.0
2016-10-17,2146,2146,2136,2147,8179,14362.0,7110000.0
2016-10-18,2146,2146,2130,2147,5502,14362.0,7110000.0
2016-10-19,2152,2152,2120,2126,6274,14220.0,7110000.0
2016-10-20,2120,2141,2120,2142,204,14327.0,7110000.0
2016-10-21,2125,2125,2120,2120,1094,14184.0,7110000.0
2016-10-24,2125,2130,2114,2126,10174,14220.0,7110000.0
2016-10-25,2146,2146,2125,2147,12670,14362.0,7110000.0
2016-10-26,2157,2157,2125,2126,3,14220.0,7110000.0
2016-10-27,2125,2146,2104,2142,14819,14327.0,7110000.0
2016-10-28,2152,2152,2109,2131,16603,14256.0,7110000.0
