효성오앤비(097870),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2008-04-08,6818,7641,5797,5798,4575815,49068.0,5800000.0
2008-04-10,5482,6078,5345,5592,1243285,47328.0,5800000.0
2008-04-11,5756,5886,5482,5633,793289,47676.0,5800000.0
2008-04-14,5585,6153,5516,5523,881415,46748.0,5800000.0
2008-04-15,5626,5729,5509,5558,327264,47038.0,5800000.0
2008-04-16,5619,5777,5557,5585,329975,47270.0,5800000.0
2008-04-17,5687,5907,5578,5832,674641,49358.0,5800000.0
2008-04-18,5893,6016,5660,5674,336372,48024.0,5800000.0
2008-04-21,5763,5777,5550,5585,274031,47270.0,5800000.0
2008-04-22,5564,5585,5331,5332,331147,45124.0,5800000.0
2008-04-23,5276,5434,5269,5345,176084,45240.0,5800000.0
2008-04-24,5352,5379,5173,5201,165260,44022.0,5800000.0
2008-04-25,5228,5975,5215,5640,1467950,47734.0,5800000.0
2008-04-28,5742,6304,5537,5894,1620302,49880.0,5800000.0
2008-04-29,6030,6332,5509,5558,973351,47038.0,5800000.0
2008-04-30,5598,5749,5454,5455,321851,46168.0,5800000.0
2008-05-02,5557,5920,5461,5756,550104,48720.0,5800000.0
2008-05-06,5825,5996,5509,5565,446215,47096.0,5800000.0
2008-05-07,5544,5578,5406,5421,252113,45878.0,5800000.0
2008-05-08,5413,5482,5331,5414,175781,45820.0,5800000.0
2008-05-09,5482,5667,5386,5434,338522,45994.0,5800000.0
2008-05-13,5516,5523,5283,5290,181051,44776.0,5800000.0
2008-05-14,5290,5475,5208,5256,202737,44486.0,5800000.0
2008-05-15,5331,5345,5173,5181,139508,43848.0,5800000.0
2008-05-16,5208,5263,5036,5195,200457,43964.0,5800000.0
2008-05-19,5242,5331,5208,5222,130586,44196.0,5800000.0
2008-05-20,5249,5311,5091,5099,153659,43152.0,5800000.0
2008-05-21,5160,5420,5071,5277,244318,44660.0,5800000.0
2008-05-22,5290,5434,5235,5332,132485,45124.0,5800000.0
2008-05-23,5379,5379,5215,5263,82789,44544.0,5800000.0
2008-05-26,5215,5221,5023,5051,64633,42746.0,5800000.0
2008-05-27,5071,5153,5036,5037,46223,42630.0,5800000.0
2008-05-28,5023,5098,4810,4831,79337,40890.0,5800000.0
2008-05-29,4865,4920,4810,4845,42302,41006.0,5800000.0
2008-05-30,4920,4968,4831,4920,59784,41644.0,5800000.0
2008-06-02,4947,5057,4913,5051,67391,42746.0,5800000.0
2008-06-03,4961,5331,4961,5249,210638,44428.0,5800000.0
2008-06-04,5276,5311,5071,5263,59427,44544.0,5800000.0
2008-06-05,5221,5304,5091,5153,54227,43616.0,5800000.0
2008-06-09,5105,5276,4797,5263,56659,44544.0,5800000.0
2008-06-10,5276,5317,5160,5243,90665,44370.0,5800000.0
2008-06-11,5242,5242,5002,5078,34884,42978.0,5800000.0
2008-06-12,5084,5448,5002,5407,118824,45762.0,5800000.0
2008-06-13,5516,5516,5324,5448,92064,46110.0,5800000.0
2008-06-16,5482,5749,5256,5469,157750,46284.0,5800000.0
2008-06-17,5461,5674,5365,5619,85952,47560.0,5800000.0
2008-06-18,5585,5681,5475,5633,38124,47676.0,5800000.0
2008-06-19,5639,5811,5489,5633,91358,47676.0,5800000.0
2008-06-20,5777,5777,5523,5523,28585,46748.0,5800000.0
2008-06-23,5393,5461,5283,5284,41741,44718.0,5800000.0
2008-06-24,5317,5317,4968,5064,85030,42862.0,5800000.0
2008-06-25,5064,5132,4954,5003,33705,42340.0,5800000.0
2008-06-26,4940,5208,4934,5153,69880,43616.0,5800000.0
2008-06-27,4968,5276,4858,5208,47729,44080.0,5800000.0
2008-06-30,5208,5317,4968,5119,49750,43326.0,5800000.0
2008-07-01,5139,5276,4947,4968,13693,42050.0,5800000.0
2008-07-02,5126,5126,4728,4852,37715,41064.0,5800000.0
2008-07-03,4865,4865,4461,4530,44655,38338.0,5800000.0
2008-07-04,4612,4612,4228,4372,62388,37004.0,5800000.0
2008-07-07,4433,4433,4248,4249,20745,35960.0,5800000.0
