아이에스이커머스(069920),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2007-12-05,5650,6490,5650,6490,7236854,72735.0,11207276.0
2007-12-06,6750,7430,6210,6210,3873977,69597.0,11207276.0
2007-12-07,6220,6300,5280,5350,1297983,59959.0,11207276.0
2007-12-10,5260,5300,4550,4550,1067711,50993.0,11207276.0
2007-12-11,4340,4700,4190,4335,712171,48584.0,11207276.0
2007-12-12,4130,4335,3960,4050,368327,45389.0,11207276.0
2007-12-13,4000,4450,3995,4050,629268,45389.0,11207276.0
2007-12-14,4110,4340,4070,4140,319545,46398.0,11207276.0
2007-12-17,4050,4090,3520,3535,419697,39618.0,11207276.0
2007-12-18,3500,3530,3280,3335,409377,37376.0,11207276.0
2007-12-20,3365,3480,3240,3300,171861,36984.0,11207276.0
2007-12-21,3285,3380,3215,3220,175762,36087.0,11207276.0
2007-12-24,3220,3275,2850,3015,291725,33790.0,11207276.0
2007-12-26,3055,3180,3005,3050,146302,34182.0,11207276.0
2007-12-27,3120,3120,2900,2925,111244,32781.0,11207276.0
2007-12-28,2930,3070,2900,3000,92870,33622.0,11207276.0
2008-01-02,3040,3450,3040,3450,460376,38665.0,11207276.0
2008-01-03,3520,3945,3520,3740,727042,41915.0,11207276.0
2008-01-04,3805,3850,3475,3500,329668,39225.0,11207276.0
2008-01-07,3410,3545,3070,3175,209371,35583.0,11207276.0
2008-01-08,3110,3175,3020,3100,191472,34743.0,11207276.0
2008-01-09,3050,3175,2935,3035,252732,34014.0,11207276.0
2008-01-10,3020,3150,2980,3070,142557,36721.0,11961246.0
2008-01-11,3075,3180,3025,3120,125202,37319.0,11961246.0
2008-01-14,3120,3295,3080,3165,197319,37857.0,11961246.0
2008-01-15,3180,3275,3005,3030,151871,36243.0,11961246.0
2008-01-16,2940,3050,2930,2985,111218,35704.0,11961246.0
2008-01-17,2940,3060,2940,3050,79921,36482.0,11961246.0
2008-01-18,3005,3050,2915,2970,51904,35525.0,11961246.0
2008-01-21,2940,3100,2940,2995,112231,35824.0,11961246.0
2008-01-22,2980,2980,2550,2840,124087,33970.0,11961246.0
2008-01-23,2810,2950,2810,2830,72264,33850.0,11961246.0
2008-01-24,2840,2925,2840,2900,52203,34688.0,11961246.0
2008-01-25,2890,2960,2860,2930,61648,35046.0,11961246.0
2008-01-28,2900,2915,2800,2800,100779,33491.0,11961246.0
2008-01-29,2810,2845,2690,2730,60874,32654.0,11961246.0
2008-01-30,2670,2700,2460,2470,65664,29544.0,11961246.0
2008-01-31,2405,2630,2330,2630,79230,31458.0,11961246.0
2008-02-01,2600,2760,2600,2620,26128,31338.0,11961246.0
2008-02-04,2620,2745,2600,2620,27037,31338.0,11961246.0
2008-02-05,2710,2900,2660,2845,61543,34030.0,11961246.0
2008-02-11,2870,2880,2700,2830,32955,33850.0,11961246.0
2008-02-12,2830,2880,2805,2845,30175,34030.0,11961246.0
2008-02-13,2890,2900,2765,2895,40030,34628.0,11961246.0
2008-02-14,2910,3020,2810,2890,30309,34568.0,11961246.0
2008-02-15,2890,2975,2815,2945,44633,35226.0,11961246.0
2008-02-18,2990,3055,2925,2975,31592,35585.0,11961246.0
2008-02-19,3000,3060,2940,3020,32820,36123.0,11961246.0
2008-02-20,3065,3065,2970,2970,37262,35525.0,11961246.0
2008-02-21,2970,3000,2920,2920,53049,34927.0,11961246.0
2008-02-22,2930,3150,2930,3010,68225,36003.0,11961246.0
2008-02-25,3050,3050,2950,2985,28916,35704.0,11961246.0
2008-02-26,3040,3040,2950,2985,52339,35704.0,11961246.0
2008-02-27,2975,3035,2955,2985,48744,35704.0,11961246.0
2008-02-28,3000,3000,2930,2985,23551,35704.0,11961246.0
2008-02-29,3030,3030,2950,2985,32629,35704.0,11961246.0
2008-03-03,2985,2990,2920,2985,48202,35704.0,11961246.0
2008-03-04,2940,3000,2860,2970,30877,35525.0,11961246.0
2008-03-05,3000,3000,2970,2990,43524,35764.0,11961246.0
2008-03-06,2955,3075,2955,3055,24249,36542.0,11961246.0
2008-03-07,3030,3070,3020,3055,53623,36542.0,11961246.0
2008-03-10,3070,3245,3060,3185,87688,38097.0,11961246.0
2008-03-11,3205,3270,3130,3270,46866,39113.0,11961246.0
2008-03-12,3285,3420,3230,3395,60829,40608.0,11961246.0
2008-03-13,3395,3580,3250,3400,39541,40668.0,11961246.0
2008-03-14,3400,3500,3330,3360,77955,40190.0,11961246.0
2008-03-17,3325,3395,3200,3310,66980,39592.0,11961246.0
2008-03-18,3250,3350,3180,3245,31632,38814.0,11961246.0
2008-03-19,3245,3285,3000,3000,34890,35884.0,11961246.0
2008-03-20,2915,2995,2730,2835,30279,33910.0,11961246.0
2008-03-21,2835,2955,2810,2915,17319,34867.0,11961246.0
2008-03-24,2905,2955,2905,2940,3541,35166.0,11961246.0
2008-03-25,2905,3110,2905,3040,10066,36362.0,11961246.0
2008-03-26,3040,3040,2870,2925,9595,34987.0,11961246.0
2008-03-27,2925,2925,2850,2905,11291,34747.0,11961246.0
2008-03-28,2900,2985,2895,2975,3193,35585.0,11961246.0
2008-03-31,3000,3000,2905,2975,4855,35585.0,11961246.0
2008-04-01,2970,3020,2940,2950,22622,35286.0,11961246.0
2008-04-02,3015,3025,2950,2985,9071,35704.0,11961246.0
2008-04-03,3050,3050,2950,3015,32011,36063.0,11961246.0
2008-04-04,2950,3015,2950,3015,15447,36063.0,11961246.0
2008-04-07,3060,3060,2955,3000,8655,35884.0,11961246.0
2008-04-08,3000,3130,2955,3000,21088,35884.0,11961246.0
2008-04-10,3000,3000,2910,2945,13070,35226.0,11961246.0
2008-04-11,2945,3000,2920,2975,30724,35585.0,11961246.0
2008-04-14,2975,3100,2900,2915,15846,34867.0,11961246.0
2008-04-15,2900,2920,2775,2845,39033,34030.0,11961246.0
2008-04-16,2940,2995,2850,2995,7247,35824.0,11961246.0
2008-04-17,3010,3010,2960,2990,5142,35764.0,11961246.0
2008-04-18,3000,3000,2940,2980,2473,35645.0,11961246.0
2008-04-21,2915,3000,2915,2970,4066,35525.0,11961246.0
2008-04-22,2955,2970,2865,2910,13339,34807.0,11961246.0
2008-04-23,2890,2910,2850,2895,3704,34628.0,11961246.0
2008-04-24,2870,2910,2850,2860,17085,34209.0,11961246.0
2008-04-25,2860,3100,2860,2880,55568,34448.0,11961246.0
2008-04-28,2930,2940,2860,2910,6018,34807.0,11961246.0
2008-04-29,2950,2950,2850,2885,4333,34508.0,11961246.0
2008-04-30,2850,2915,2820,2900,12183,34688.0,11961246.0
2008-05-02,2890,2975,2870,2960,12517,35405.0,11961246.0
2008-05-06,2990,3000,2920,2980,22647,35645.0,11961246.0
2008-05-07,3035,3100,2970,3025,41369,36183.0,11961246.0
2008-05-08,3100,3100,2910,2910,34499,34807.0,11961246.0
2008-05-09,2875,2960,2875,2915,13231,34867.0,11961246.0
2008-05-13,2955,3030,2920,2985,19985,35704.0,11961246.0
2008-05-14,3025,3025,2915,2915,27056,34867.0,11961246.0
2008-05-15,2985,2985,2745,2830,77807,33850.0,11961246.0
2008-05-16,2870,2870,2730,2790,28387,33372.0,11961246.0
2008-05-19,2790,2840,2770,2825,16535,33791.0,11961246.0
2008-05-20,2820,2855,2760,2830,13324,33850.0,11961246.0
2008-05-21,2720,2800,2720,2735,15058,32714.0,11961246.0
2008-05-22,2735,2735,2670,2735,17650,32714.0,11961246.0
2008-05-23,2635,2750,2635,2750,12145,32893.0,11961246.0
2008-05-26,2750,2830,2750,2800,8718,33491.0,11961246.0
2008-05-27,2755,2820,2705,2780,13386,33252.0,11961246.0
2008-05-28,2800,2800,2650,2695,95883,32236.0,11961246.0
2008-05-29,2695,2720,2645,2695,22126,32236.0,11961246.0
2008-05-30,2695,2715,2635,2710,40102,32415.0,11961246.0
2008-06-02,2660,2730,2650,2695,9954,32236.0,11961246.0
2008-06-03,2695,2695,2650,2650,18661,31697.0,11961246.0
2008-06-04,2650,2670,2650,2650,8128,31697.0,11961246.0
2008-06-05,2630,2690,2630,2650,2421,32193.0,12148146.0
2008-06-09,2520,2550,2500,2520,12926,30613.0,12148146.0
2008-06-10,2520,2895,2505,2690,40382,32679.0,12148146.0
2008-06-11,2615,2800,2615,2760,9877,33529.0,12148146.0
2008-06-12,2650,2800,2650,2740,6644,33286.0,12148146.0
2008-06-13,2685,2750,2685,2750,17360,33407.0,12148146.0
2008-06-16,2750,2760,2700,2745,15286,33347.0,12148146.0
2008-06-17,2775,2775,2665,2735,5196,33225.0,12148146.0
2008-06-18,2735,2735,2660,2695,9056,32739.0,12148146.0
2008-06-19,2725,2725,2620,2620,16149,31828.0,12148146.0
2008-06-20,2620,2640,2610,2640,3810,32071.0,12148146.0
2008-06-23,2670,2670,2555,2640,7823,32071.0,12148146.0
2008-06-24,2680,2680,2550,2670,5344,32436.0,12148146.0
2008-06-25,2650,2655,2600,2645,26,32132.0,12148146.0
2008-06-26,2650,2650,2575,2640,2032,32071.0,12148146.0
2008-06-27,2635,2635,2455,2520,13199,30613.0,12148146.0
2008-06-30,2500,2520,2325,2325,22988,28244.0,12148146.0
2008-07-01,2300,2410,2300,2395,14602,29095.0,12148146.0
2008-07-02,2340,2630,2340,2560,27893,31099.0,12148146.0
2008-07-03,2430,2805,2385,2680,43590,32557.0,12148146.0
2008-07-04,2700,2780,2570,2700,24116,32800.0,12148146.0
2008-07-07,2605,2680,2550,2670,18942,32436.0,12148146.0
2008-07-08,2620,2670,2285,2300,61874,27941.0,12148146.0
2008-07-09,2315,2365,1955,2055,56585,24964.0,12148146.0
2008-07-10,2080,2360,2080,2360,37022,28670.0,12148146.0
2008-07-11,2595,2595,2370,2410,23399,29277.0,12148146.0
2008-07-14,2355,2600,2335,2585,23662,31403.0,12148146.0
2008-07-15,2585,2685,2505,2650,19258,32193.0,12148146.0
2008-07-16,2480,2665,2480,2665,16931,32375.0,12148146.0
2008-07-17,2635,2740,2465,2560,33507,31099.0,12148146.0
2008-07-18,2480,2610,2310,2370,37741,28791.0,12148146.0
2008-07-21,2370,2430,2255,2420,24960,29399.0,12148146.0
2008-07-22,2430,2590,2420,2520,16568,30613.0,12148146.0
2008-07-23,2520,2690,2510,2585,25240,31403.0,12148146.0
2008-07-24,2580,2595,2460,2585,9686,31403.0,12148146.0
2008-07-25,2700,2700,2400,2410,14659,29277.0,12148146.0
2008-07-28,2415,2610,2400,2590,11009,31464.0,12148146.0
2008-07-29,2410,2645,2300,2355,5465,28609.0,12148146.0
2008-07-30,2485,2485,2350,2350,1986,28548.0,12148146.0
2008-07-31,2310,2450,2310,2330,6009,28305.0,12148146.0
2008-08-01,2350,2350,2210,2345,19677,28487.0,12148146.0
2008-08-04,2310,2330,2230,2290,3524,27819.0,12148146.0
