웹젠(069080),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2003-05-23,21592,24156,21592,24156,30,250600.0,3500000.0
2003-05-26,27024,27024,27024,27024,1038,280350.0,3500000.0
2003-05-27,30263,30263,30263,30262,77,313950.0,3500000.0
2003-05-28,33738,33738,33738,33737,961,350000.0,3500000.0
2003-05-29,37786,37786,37786,37786,55650,392000.0,3500000.0
2003-05-30,42172,42172,40823,42172,192619,437500.0,3500000.0
2003-06-02,43859,45546,41329,42172,530228,437500.0,3500000.0
2003-06-03,41666,41835,37112,37111,237007,385000.0,3500000.0
2003-06-04,37786,38967,36100,38967,258821,404250.0,3500000.0
2003-06-05,38967,39811,36774,36774,154631,381500.0,3500000.0
2003-06-09,35762,39811,35762,37786,291788,392000.0,3500000.0
2003-06-10,37112,38630,36943,37111,114802,385000.0,3500000.0
2003-06-11,37955,39473,37112,37786,158606,392000.0,3500000.0
2003-06-12,38630,39642,37955,38292,132947,397250.0,3500000.0
2003-06-13,39136,39136,37280,37449,90793,388500.0,3500000.0
2003-06-16,36774,37449,36268,36605,79924,379750.0,3500000.0
2003-06-17,37618,37955,36268,36436,100146,378000.0,3500000.0
2003-06-18,36437,36943,34919,35593,109461,369250.0,3500000.0
2003-06-19,34919,35762,33907,34243,99715,355250.0,3500000.0
2003-06-20,33738,38124,33738,36268,330481,376250.0,3500000.0
2003-06-23,36437,36774,33907,34412,91517,357000.0,3500000.0
2003-06-24,33097,36100,33097,34243,132156,355250.0,3500000.0
2003-06-25,34075,35087,33907,34075,73981,353500.0,3500000.0
2003-06-26,33738,34244,33535,33535,61399,347900.0,3500000.0
2003-06-27,33704,37449,33704,37449,348768,388500.0,3500000.0
2003-06-30,37955,38461,36437,37617,155284,390250.0,3500000.0
2003-07-01,37955,42004,37618,40485,369427,420000.0,3500000.0
2003-07-02,41498,42510,40148,41160,154806,427000.0,3500000.0
2003-07-03,42004,42678,40148,41834,239564,434000.0,3500000.0
2003-07-04,41835,42847,40992,41497,88905,430500.0,3500000.0
2003-07-07,42172,46390,41666,46389,338452,481250.0,3500000.0
2003-07-08,47570,47570,43859,44196,189702,458500.0,3500000.0
2003-07-09,44197,46558,43859,44533,165937,462000.0,3500000.0
