마이크로디지탈(305090),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-06-05,41050,53300,39100,39100,6148627,141964.0,3630800.0
2019-06-07,38500,42000,35300,35700,2030663,129620.0,3630800.0
2019-06-10,35950,36150,32700,33250,766254,120724.0,3630800.0
2019-06-11,33500,33800,31800,32300,448777,117275.0,3630800.0
2019-06-12,32350,32950,31550,31700,366178,115096.0,3630800.0
2019-06-13,31800,33600,31400,32000,684866,116186.0,3630800.0
2019-06-14,32050,32100,29200,29250,396010,106201.0,3630800.0
2019-06-17,29350,29600,28450,28550,164958,103659.0,3630800.0
2019-06-18,28700,28900,26400,26900,325634,97669.0,3630800.0
2019-06-19,27100,27400,26400,26650,173430,96761.0,3630800.0
2019-06-20,26850,28000,26650,27100,265961,98395.0,3630800.0
2019-06-21,27150,28300,26500,26600,253187,96579.0,3630800.0
2019-06-24,26450,26900,24900,25000,197337,90770.0,3630800.0
2019-06-25,25200,25750,23800,24100,142470,87502.0,3630800.0
2019-06-26,24200,25050,23900,24500,142801,88955.0,3630800.0
2019-06-27,24600,25150,22750,23400,151895,84961.0,3630800.0
2019-06-28,23150,23450,22100,22400,140831,81330.0,3630800.0
2019-07-01,22400,23000,22250,22500,114944,81693.0,3630800.0
2019-07-02,23150,27000,23050,24600,1381203,89318.0,3630800.0
2019-07-03,24700,24750,23100,23150,205526,84053.0,3630800.0
2019-07-04,23250,23250,21450,21750,198416,78970.0,3630800.0
2019-07-05,21600,21750,20150,20450,392729,74250.0,3630800.0
2019-07-08,20550,20750,19850,19850,200443,72071.0,3630800.0
2019-07-09,20050,20400,19000,19050,205084,69167.0,3630800.0
2019-07-10,19350,19850,19100,19850,182090,72071.0,3630800.0
2019-07-11,20100,21150,19850,20350,321933,73887.0,3630800.0
2019-07-12,20500,20750,19250,19550,158963,70982.0,3630800.0
2019-07-15,19600,20450,19400,19600,156650,71164.0,3630800.0
2019-07-16,19800,20550,19700,20500,139417,74431.0,3630800.0
2019-07-17,20350,20400,19700,20000,94151,72616.0,3630800.0
2019-07-18,20350,21000,19950,20000,193007,72616.0,3630800.0
2019-07-19,20100,21000,19900,20900,201267,75884.0,3630800.0
2019-07-22,21100,21700,20900,21400,217613,77699.0,3630800.0
2019-07-23,21450,21550,20450,20650,142520,74976.0,3630800.0
2019-07-24,20700,20900,19350,19500,169221,70801.0,3630800.0
2019-07-25,19650,20050,19000,19150,134771,69530.0,3630800.0
2019-07-26,19150,19750,19050,19150,147102,69530.0,3630800.0
2019-07-29,19200,19450,17250,17250,167335,62631.0,3630800.0
2019-07-30,17200,17900,17050,17350,79694,62994.0,3630800.0
2019-07-31,17300,19700,16900,18000,463846,65354.0,3630800.0
2019-08-01,18000,18200,17550,17550,79667,63721.0,3630800.0
2019-08-02,17100,17550,16800,16900,90035,61361.0,3630800.0
2019-08-05,16800,16800,14850,14850,125465,53917.0,3630800.0
2019-08-06,14350,15250,13700,14200,105317,51557.0,3630800.0
2019-08-07,14550,14750,13750,14000,104675,50831.0,3630800.0
2019-08-08,14150,15050,14150,14750,129892,53554.0,3630800.0
2019-08-09,14750,15500,14600,15450,140293,56096.0,3630800.0
2019-08-12,15600,15850,15150,15750,77126,57185.0,3630800.0
2019-08-13,15800,16050,15000,15250,84112,55370.0,3630800.0
2019-08-14,15600,15600,14900,14900,43327,54099.0,3630800.0
2019-08-16,14350,14750,14100,14500,52853,52647.0,3630800.0
2019-08-19,14850,17900,14650,15600,612310,56640.0,3630800.0
2019-08-20,15600,15800,15350,15800,73875,57367.0,3630800.0
2019-08-21,15650,16150,15500,15650,85822,56822.0,3630800.0
2019-08-22,15750,16400,15650,15750,101667,57185.0,3630800.0
2019-08-23,15650,15700,15000,15150,120058,55007.0,3630800.0
2019-08-26,14600,14800,14150,14250,55995,51739.0,3630800.0
2019-08-27,14400,14700,14150,14200,31011,51557.0,3630800.0
2019-08-28,14300,15450,14200,15350,110194,55733.0,3630800.0
2019-08-29,15200,15800,15000,15250,81982,55370.0,3630800.0
2019-08-30,15600,16400,15550,16000,77568,58093.0,3630800.0
2019-09-02,16200,16200,15600,15800,43155,57367.0,3630800.0
2019-09-03,15750,16500,15750,16300,56610,59182.0,3630800.0
2019-09-04,16250,16600,16000,16400,53665,59545.0,3630800.0
2019-09-05,16300,16500,15900,15900,53032,57730.0,3630800.0
2019-09-06,16050,16250,15750,15750,31023,57185.0,3630800.0
2019-09-09,15750,16050,15450,15550,21143,56459.0,3630800.0
2019-09-10,15850,15950,15450,15450,27428,56096.0,3630800.0
2019-09-11,15650,16300,15350,16100,55530,58456.0,3630800.0
2019-09-16,16100,16500,15850,16400,54707,59545.0,3630800.0
2019-09-17,16400,17050,16200,16650,116959,60453.0,3630800.0
2019-09-18,17050,17750,15900,15950,238652,57911.0,3630800.0
2019-09-19,16150,16200,15850,15850,59703,57548.0,3630800.0
2019-09-20,16050,16450,15650,16150,101304,58637.0,3630800.0
2019-09-23,16150,16350,15950,16000,40809,58093.0,3630800.0
2019-09-24,16000,16250,15750,15750,34836,57185.0,3630800.0
2019-09-25,15700,16250,15200,15200,74074,55188.0,3630800.0
2019-09-26,15350,15650,14800,15100,44118,54825.0,3630800.0
2019-09-27,15100,15200,14700,14800,32844,53736.0,3630800.0
2019-09-30,14800,15050,14550,14550,30635,52828.0,3630800.0
2019-10-01,15000,15000,14350,14800,38064,53736.0,3630800.0
2019-10-02,14650,14900,14550,14800,30228,53736.0,3630800.0
2019-10-04,14800,15000,14550,14600,24414,53010.0,3630800.0
2019-10-07,14700,15750,14700,15300,90316,55551.0,3630800.0
