코렌(078650),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-02-16,3004,3025,2947,2952,22447,21998.0,6093603.0
2011-02-17,2910,3013,2902,3009,48193,22424.0,6093603.0
2011-02-18,2984,3070,2975,3050,23378,22729.0,6093603.0
2011-02-21,3070,3074,3016,3042,27041,22668.0,6093603.0
2011-02-22,3041,3131,2951,2989,20589,22272.0,6093603.0
2011-02-23,2984,3009,2934,2936,10375,21876.0,6093603.0
2011-02-24,2837,2931,2685,2699,66045,20109.0,6093603.0
2011-02-25,2702,2775,2575,2654,51647,19774.0,6093603.0
2011-02-28,2653,2653,2264,2265,102231,16879.0,6093603.0
2011-03-02,2289,2419,2264,2404,42587,17915.0,6093603.0
2011-03-03,2497,2559,2436,2482,55143,18494.0,6093603.0
2011-03-04,2494,2550,2456,2498,22964,18616.0,6093603.0
2011-03-07,2497,2571,2494,2559,33043,19073.0,6093603.0
2011-03-08,2559,2632,2538,2625,36644,19560.0,6093603.0
2011-03-09,2644,2685,2628,2658,27190,19804.0,6093603.0
2011-03-10,2656,2681,2575,2641,30970,19682.0,6093603.0
2011-03-11,2632,2641,2567,2625,16589,19560.0,6093603.0
2011-03-14,2456,2600,2456,2523,33456,18799.0,6093603.0
2011-03-15,2469,2559,2289,2437,39573,18159.0,6093603.0
2011-03-16,2436,2518,2399,2453,23855,18281.0,6093603.0
2011-03-17,2395,2477,2334,2453,23695,18281.0,6093603.0
2011-03-18,2460,2506,2453,2482,26683,18570.0,6118603.0
2011-03-21,2494,2501,2424,2498,58171,18692.0,6118603.0
2011-03-22,2485,2494,2444,2490,39028,18631.0,6118603.0
2011-03-23,2485,2514,2444,2515,66019,18815.0,6118603.0
2011-03-24,2890,2890,2861,2891,132557,21629.0,6118603.0
2011-03-25,3164,3323,2902,3108,956101,23251.0,6118603.0
2011-03-28,3074,3156,3050,3141,181837,23495.0,6118603.0
2011-03-29,3139,3172,2784,2911,207528,21782.0,6118603.0
2011-03-30,2910,2919,2800,2822,94537,21109.0,6118603.0
2011-03-31,2878,2943,2747,2789,85340,20864.0,6118603.0
2011-04-01,2837,2845,2731,2748,53582,20559.0,6118603.0
2011-04-04,2755,3041,2706,2870,72793,21476.0,6118603.0
2011-04-05,2861,2951,2820,2854,45214,21354.0,6118603.0
2011-04-06,2919,2922,2755,2789,30687,20864.0,6118603.0
2011-04-07,2787,2796,2641,2641,81851,19763.0,6118603.0
2011-04-08,2706,2718,2575,2629,63356,19671.0,6118603.0
2011-04-11,2632,2706,2620,2654,29494,19855.0,6118603.0
2011-04-12,2656,2673,2608,2637,23760,19732.0,6118603.0
2011-04-13,2656,2656,2559,2588,21526,19365.0,6118603.0
2011-04-14,2588,2710,2559,2682,29810,20069.0,6118603.0
2011-04-15,2656,3033,2656,2858,227819,21385.0,6118603.0
2011-04-18,2857,3168,2857,2887,220191,21599.0,6118603.0
2011-04-19,2898,2902,2731,2755,65757,20620.0,6118603.0
2011-04-20,2755,2804,2722,2805,38661,20987.0,6118603.0
2011-04-21,2833,3009,2820,2928,98082,21905.0,6118603.0
2011-04-22,2960,2988,2890,2944,72408,22027.0,6118603.0
2011-04-25,2943,2980,2837,2862,56359,21415.0,6118603.0
2011-04-26,2890,2890,2697,2728,52741,20406.0,6118603.0
2011-04-27,2726,2772,2641,2666,48438,19947.0,6118603.0
2011-04-28,2710,2767,2628,2764,23506,20681.0,6118603.0
2011-04-29,2779,2812,2751,2813,37909,21048.0,6118603.0
2011-05-02,2825,2890,2779,2862,32392,21415.0,6118603.0
2011-05-03,2853,2894,2804,2887,35596,21599.0,6118603.0
2011-05-04,2894,2894,2779,2862,34483,21415.0,6118603.0
2011-05-06,2866,2866,2432,2731,31650,20436.0,6118603.0
2011-05-09,2734,2779,2677,2723,11565,20375.0,6118603.0
2011-05-11,2738,2759,2690,2748,7896,20559.0,6118603.0
2011-05-12,2772,2772,2697,2723,3155,20375.0,6118603.0
2011-05-13,2722,2772,2697,2748,23804,20559.0,6118603.0
2011-05-16,2763,2763,2567,2699,11640,20191.0,6118603.0
2011-05-17,2697,2706,2583,2654,41725,19855.0,6118603.0
2011-05-18,2661,2690,2575,2576,34101,19274.0,6118603.0
2011-05-19,2559,2588,2456,2462,35349,18417.0,6118603.0
2011-05-20,2530,2530,2460,2527,13896,18906.0,6118603.0
2011-05-23,2526,2526,2416,2445,25901,18295.0,6118603.0
2011-05-24,2363,2562,2363,2429,13417,18172.0,6118603.0
2011-05-25,2542,2542,2371,2396,22890,17928.0,6118603.0
2011-05-26,2395,2497,2395,2462,31168,18417.0,6118603.0
2011-05-27,2518,2526,2456,2503,36896,18723.0,6118603.0
2011-05-30,2497,2562,2473,2506,22337,18754.0,6118603.0
2011-05-31,2481,2555,2481,2552,31171,19090.0,6118603.0
2011-06-01,2518,2550,2497,2552,15388,19090.0,6118603.0
2011-06-02,2460,2857,2453,2772,43693,20742.0,6118603.0
2011-06-03,2767,2931,2542,2572,223512,19243.0,6118603.0
2011-06-07,2534,2583,2497,2511,16074,18784.0,6118603.0
2011-06-08,2559,2559,2465,2494,14080,18662.0,6118603.0
2011-06-09,2494,2526,2456,2477,9738,18539.0,6118603.0
2011-06-10,2494,2526,2419,2465,10962,18448.0,6118603.0
2011-06-13,2460,2477,2399,2445,11639,18295.0,6118603.0
2011-06-14,2436,2494,2391,2494,40339,18662.0,6118603.0
2011-06-15,2555,2600,2440,2465,24468,18448.0,6118603.0
2011-06-16,2412,2453,2395,2409,20819,18019.0,6118603.0
2011-06-17,2391,2428,2354,2388,13291,17866.0,6118603.0
2011-06-20,2378,2453,2354,2392,4295,17897.0,6118603.0
2011-06-21,2371,2465,2371,2465,29327,18448.0,6118603.0
2011-06-22,2419,2460,2412,2441,14862,18264.0,6118603.0
2011-06-23,2453,2481,2379,2412,20648,18050.0,6118603.0
2011-06-24,2395,2453,2391,2433,25010,18203.0,6118603.0
2011-06-27,2547,2738,2477,2477,89717,18539.0,6118603.0
2011-06-28,2453,2509,2436,2457,15829,18386.0,6118603.0
2011-06-29,2456,2485,2412,2441,14862,18264.0,6118603.0
2011-06-30,2453,2571,2428,2453,31210,18356.0,6118603.0
2011-07-01,2494,2494,2440,2462,8898,18417.0,6118603.0
2011-07-04,2460,2509,2412,2429,12692,18172.0,6118603.0
2011-07-05,2436,2469,2428,2429,19088,18172.0,6118603.0
2011-07-06,2428,2469,2424,2433,8670,18203.0,6118603.0
2011-07-07,2453,2469,2428,2445,11564,18295.0,6118603.0
2011-07-08,2534,2534,2444,2486,20934,18601.0,6118603.0
2011-07-11,2501,2501,2444,2490,25228,18631.0,6118603.0
2011-07-12,2485,2485,2428,2445,16905,18295.0,6118603.0
2011-07-13,2428,2477,2428,2433,3758,18474.0,6209603.0
2011-07-14,2412,2453,2399,2433,16793,18474.0,6209603.0
2011-07-15,2453,2453,2412,2450,10154,18598.0,6209603.0
2011-07-18,2453,2501,2403,2490,37264,18908.0,6209603.0
2011-07-19,2489,2501,2448,2482,24838,18846.0,6209603.0
2011-07-20,2494,2530,2477,2486,22059,18877.0,6209603.0
2011-07-21,2477,2497,2436,2465,26912,18722.0,6209603.0
2011-07-22,2485,2497,2453,2462,34359,18691.0,6209603.0
2011-07-25,2494,2494,2419,2457,17713,18660.0,6209603.0
2011-07-26,2460,2588,2444,2559,69961,19436.0,6209603.0
2011-07-27,2526,2656,2514,2576,29042,19560.0,6209603.0
2011-07-28,2559,2656,2509,2605,30743,19778.0,6209603.0
2011-07-29,2595,2681,2588,2613,29787,19840.0,6209603.0
2011-08-01,2575,2649,2575,2584,38918,19622.0,6209603.0
2011-08-02,2559,2600,2514,2515,25775,19095.0,6209603.0
2011-08-03,2534,2534,2412,2429,24705,18443.0,6209603.0
2011-08-04,2481,2481,2419,2424,34785,18411.0,6209603.0
2011-08-05,2248,2354,2248,2290,22456,17387.0,6209603.0
2011-08-08,2289,2289,1965,2143,45288,16269.0,6209603.0
2011-08-09,2084,2084,1831,1914,31730,14530.0,6209603.0
2011-08-10,1978,2040,1921,1942,41475,14748.0,6209603.0
2011-08-11,1839,2044,1798,2044,21549,15524.0,6209603.0
2011-08-12,2084,2125,2044,2044,12335,15524.0,6209603.0
2011-08-16,2125,2240,2068,2208,15477,16766.0,6209603.0
2011-08-17,2207,2248,2125,2220,16718,16859.0,6209603.0
2011-08-18,2207,2207,2125,2159,24635,16393.0,6209603.0
2011-08-19,2125,2125,1897,1905,21734,14468.0,6209603.0
2011-08-22,1917,1921,1847,1901,13001,14437.0,6209603.0
2011-08-23,1921,1953,1856,1938,5871,14717.0,6209603.0
2011-08-24,1958,2076,1945,1996,13902,15151.0,6209603.0
2011-08-25,2003,2044,1953,1991,7566,15120.0,6209603.0
2011-08-26,1900,1991,1900,1967,1204,14934.0,6209603.0
2011-08-29,1962,1999,1888,1922,10924,14593.0,6209603.0
2011-08-30,1958,1978,1888,1962,27300,14903.0,6209603.0
2011-08-31,1962,2003,1950,1962,4709,14903.0,6209603.0
2011-09-01,2003,2003,1880,1955,21804,14841.0,6209603.0
2011-09-02,1999,1999,1933,1962,3832,14903.0,6209603.0
2011-09-05,1880,1950,1839,1840,16693,13972.0,6209603.0
2011-09-06,1880,1880,1716,1733,16716,13164.0,6209603.0
2011-09-07,1757,1839,1757,1824,9271,13847.0,6209603.0
2011-09-08,1839,1897,1798,1856,7241,14096.0,6209603.0
2011-09-09,1859,1880,1806,1853,2621,14065.0,6209603.0
2011-09-14,1876,1876,1774,1774,7120,13475.0,6209603.0
2011-09-15,1835,1835,1687,1718,6889,13040.0,6209603.0
2011-09-16,1798,1798,1700,1786,7781,13568.0,6209603.0
2011-09-19,1798,1839,1716,1791,12586,13599.0,6209603.0
2011-09-20,1831,1831,1708,1718,19825,13040.0,6209603.0
2011-09-21,1810,1810,1733,1733,13862,13164.0,6209603.0
2011-09-22,1778,1778,1675,1746,4164,13258.0,6209603.0
2011-09-23,1745,1745,1651,1652,14628,12543.0,6209603.0
2011-09-26,1593,1593,1406,1423,60879,10805.0,6209603.0
2011-09-27,1397,1622,1397,1481,22718,11239.0,6209603.0
2011-09-28,1479,1528,1414,1452,15255,11022.0,6209603.0
2011-09-29,1471,1475,1450,1467,14202,11146.0,6209603.0
2011-09-30,1471,1496,1467,1476,5657,11208.0,6209603.0
2011-10-04,1397,1471,1365,1440,10692,10929.0,6209603.0
2011-10-05,1479,1479,1381,1423,6777,10805.0,6209603.0
2011-10-06,1479,1499,1422,1493,13869,11333.0,6209603.0
2011-10-07,1512,1634,1491,1558,34228,11829.0,6209603.0
2011-10-10,1626,1634,1528,1623,18328,12326.0,6209603.0
2011-10-11,1667,1667,1565,1668,9396,12668.0,6209603.0
2011-10-12,1684,1716,1643,1680,4465,12761.0,6209603.0
2011-10-13,1708,1712,1667,1693,13225,12854.0,6209603.0
2011-10-14,1721,1721,1675,1693,4279,12854.0,6209603.0
2011-10-17,1696,1700,1610,1611,9344,12233.0,6209603.0
2011-10-18,1639,1851,1610,1853,164406,14065.0,6209603.0
2011-10-19,1904,1904,1749,1750,93873,13289.0,6209603.0
2011-10-20,1708,1782,1672,1672,11871,12699.0,6209603.0
2011-10-21,1647,1704,1602,1644,25625,12481.0,6209603.0
2011-10-24,1692,1712,1634,1648,14253,12512.0,6209603.0
2011-10-25,1647,1672,1619,1668,9642,12668.0,6209603.0
2011-10-26,1667,1684,1619,1684,10928,12792.0,6209603.0
2011-10-27,1684,1749,1626,1693,61605,12854.0,6209603.0
2011-10-28,1716,1749,1708,1742,18716,13226.0,6209603.0
2011-10-31,1765,1982,1725,1774,246875,13475.0,6209603.0
2011-11-01,1774,1815,1692,1803,15382,13692.0,6209603.0
2011-11-02,1794,1794,1700,1786,12972,13568.0,6209603.0
2011-11-03,1880,2052,1774,2052,138695,15586.0,6209603.0
