메가스터디(072870),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2004-12-21,4724,5036,4159,4159,953082,149379.0,6060000.0
2004-12-22,4083,4209,3796,4075,360041,146349.0,6060000.0
2004-12-23,4134,4159,3973,3982,167648,143016.0,6060000.0
2004-12-24,3923,4117,3830,4033,175667,144834.0,6060000.0
2004-12-27,4032,4184,3880,3881,115398,139380.0,6060000.0
2004-12-28,3804,3998,3787,3881,103015,139380.0,6060000.0
2004-12-29,3872,4125,3830,4100,122224,147258.0,6060000.0
2004-12-30,4083,4167,3998,4134,65434,148470.0,6060000.0
2005-01-03,4108,4226,4024,4201,76960,150894.0,6060000.0
2005-01-04,4134,4167,4083,4117,48571,147864.0,6060000.0
2005-01-05,4049,4142,4049,4109,27306,147561.0,6060000.0
2005-01-06,4099,4134,3965,3990,54663,143319.0,6060000.0
2005-01-07,3973,4226,3973,4201,138766,150894.0,6060000.0
2005-01-10,4176,4302,4150,4227,123490,151803.0,6060000.0
2005-01-11,4344,4370,4192,4303,169897,154530.0,6060000.0
2005-01-12,4294,4302,4201,4210,38606,151197.0,6060000.0
2005-01-13,4176,4268,4176,4218,35877,151500.0,6060000.0
2005-01-14,4134,4302,4134,4210,44483,151197.0,6060000.0
2005-01-17,4268,4294,4150,4227,125006,151803.0,6060000.0
2005-01-18,4260,4260,4167,4201,71953,150894.0,6060000.0
2005-01-19,4201,4699,4184,4699,426615,168771.0,6060000.0
2005-01-20,4707,4766,4496,4640,181674,166650.0,6060000.0
2005-01-21,4572,4774,4488,4691,328592,168468.0,6060000.0
2005-01-24,4724,4800,4589,4615,364433,165741.0,6060000.0
2005-01-25,4538,4606,4429,4455,191251,159984.0,6060000.0
2005-01-26,4538,4741,4454,4632,234761,166347.0,6060000.0
2005-01-27,4707,4851,4640,4758,187658,170892.0,6060000.0
2005-01-28,4808,5306,4808,5138,400255,184527.0,6060000.0
2005-01-31,5154,5179,5011,5079,118366,182406.0,6060000.0
2005-02-01,5230,5416,5028,5062,248016,181800.0,6060000.0
2005-02-02,5137,5188,4994,5045,103511,181194.0,6060000.0
2005-02-03,5002,5112,4901,4944,53251,177558.0,6060000.0
2005-02-04,4893,5129,4834,5062,80940,181800.0,6060000.0
2005-02-07,5078,5264,4985,5239,118309,188163.0,6060000.0
