SBS콘텐츠허브(046140),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2003-02-05,5250,5250,5250,5250,499317,57225.0,10899969.0
2003-02-06,5150,5530,5070,5320,1022568,57988.0,10899969.0
2003-02-07,5480,5480,4690,4690,652752,51121.0,10899969.0
2003-02-10,4270,4540,4250,4300,308235,46870.0,10899969.0
2003-02-11,4340,4810,4340,4810,972217,52429.0,10899969.0
2003-02-12,5050,5150,4260,4380,1059843,47742.0,10899969.0
2003-02-13,4430,4740,4350,4620,539245,50358.0,10899969.0
2003-02-14,4620,4690,4350,4390,349302,47851.0,10899969.0
2003-02-17,4500,4580,4380,4380,294766,47742.0,10899969.0
2003-02-18,4400,4470,4250,4260,223960,46434.0,10899969.0
2003-02-19,4320,4360,4050,4100,259126,44690.0,10899969.0
2003-02-20,4030,4130,3860,3890,187366,42401.0,10899969.0
2003-02-21,3850,3990,3850,3890,132125,42401.0,10899969.0
2003-02-24,3880,4000,3880,3900,158540,42510.0,10899969.0
2003-02-25,3860,3900,3790,3790,123777,41311.0,10899969.0
2003-02-26,3820,4100,3790,3880,309741,42292.0,10899969.0
2003-02-27,3910,3940,3790,3790,251940,41311.0,10899969.0
2003-02-28,3810,4040,3780,3790,761596,41311.0,10899969.0
2003-03-03,3800,3820,3780,3780,222261,41202.0,10899969.0
2003-03-04,3780,3790,3780,3780,483371,41202.0,10899969.0
2003-03-05,3520,3630,3330,3330,88923,36297.0,10899969.0
2003-03-06,3130,3300,2940,2940,267385,32046.0,10899969.0
2003-03-07,2730,2840,2590,2610,1104462,28449.0,10899969.0
2003-03-10,2540,2790,2540,2680,230628,29212.0,10899969.0
2003-03-11,2450,2650,2370,2650,524851,28885.0,10899969.0
2003-03-12,2650,2960,2510,2930,297628,31937.0,10899969.0
2003-03-13,2930,3080,2590,2850,228049,31065.0,10899969.0
2003-03-14,3010,3100,2920,3000,233952,32700.0,10899969.0
2003-03-17,2950,2960,2640,2700,109685,29430.0,10899969.0
2003-03-18,2860,3020,2780,3020,162902,32918.0,10899969.0
2003-03-19,3000,3350,3000,3280,229932,35752.0,10899969.0
2003-03-20,3310,3520,3220,3330,329614,36297.0,10899969.0
2003-03-21,3340,3360,3200,3300,157584,35970.0,10899969.0
2003-03-24,3340,3360,3120,3170,173972,34553.0,10899969.0
2003-03-25,2960,3050,2910,2970,101954,32373.0,10899969.0
2003-03-26,3030,3060,2810,2940,327418,32429.0,11030136.0
2003-03-27,3040,3230,2940,2960,1278761,32649.0,11030136.0
2003-03-28,3060,3310,3000,3310,1186943,36510.0,11030136.0
2003-03-31,3340,3520,3220,3400,1262832,37502.0,11030136.0
2003-04-01,3400,3520,3310,3520,959405,38826.0,11030136.0
2003-04-02,3620,3740,3570,3600,1282543,39708.0,11030136.0
2003-04-03,3720,3750,3400,3550,526438,39157.0,11030136.0
2003-04-04,3490,3860,3440,3720,488823,41032.0,11030136.0
2003-04-07,3740,3850,3720,3740,567988,41253.0,11030136.0
2003-04-08,3700,3970,3620,3820,469219,42135.0,11030136.0
2003-04-09,3800,3800,3550,3550,325844,39157.0,11030136.0
2003-04-10,3550,3690,3470,3620,263455,39929.0,11030136.0
2003-04-11,3630,4050,3630,4050,894909,44672.0,11030136.0
2003-04-14,4200,4350,4060,4150,610576,45775.0,11030136.0
2003-04-15,4250,4640,4100,4640,1264462,51180.0,11030136.0
2003-04-16,4990,5190,4810,5190,1056296,57246.0,11030136.0
2003-04-17,5100,5260,4880,5260,876703,58019.0,11030136.0
2003-04-18,5300,5440,5120,5260,472267,58019.0,11030136.0
2003-04-21,5260,5890,5120,5890,981505,64968.0,11030136.0
2003-04-22,6090,6590,5600,5660,1558973,62431.0,11030136.0
2003-04-23,5900,6180,5700,5850,937844,64526.0,11030136.0
2003-04-24,5900,6500,5900,6450,829556,71144.0,11030136.0
2003-04-25,6210,6400,5680,5680,747953,62651.0,11030136.0
2003-04-28,5550,5830,5300,5650,400650,62320.0,11030136.0
2003-04-29,5770,6260,5700,6050,846584,66732.0,11030136.0
2003-04-30,6060,6150,5820,5880,484188,64857.0,11030136.0
2003-05-02,6050,6150,5820,6100,441171,67284.0,11030136.0
2003-05-06,6300,6350,5850,5850,511763,64526.0,11030136.0
2003-05-07,5890,6550,5890,6550,829413,72247.0,11030136.0
2003-05-09,6900,7250,6500,6660,1391014,73461.0,11030136.0
2003-05-12,6820,7450,6670,7180,1374259,79196.0,11030136.0
2003-05-13,7300,7800,7200,7470,1159664,82395.0,11030136.0
2003-05-14,7690,7780,7250,7500,583176,82726.0,11030136.0
2003-05-15,7540,7590,6810,7590,663931,83719.0,11030136.0
2003-05-16,7590,8170,7590,8040,640193,88682.0,11030136.0
2003-05-19,7900,8230,7630,7920,454308,87359.0,11030136.0
2003-05-20,7750,8870,7690,8870,1098229,97837.0,11030136.0
2003-05-21,8800,9930,8650,9300,1084205,102580.0,11030136.0
2003-05-22,9300,10400,9300,10400,944143,114713.0,11030136.0
2003-05-23,11000,11600,10600,11600,597955,127950.0,11030136.0
2003-05-26,12700,12950,11750,12950,791970,142840.0,11030136.0
2003-05-27,13950,14500,12250,14500,1012872,159937.0,11030136.0
2003-05-28,15500,16200,14550,16200,919456,178688.0,11030136.0
2003-05-29,15400,15950,14300,14300,780359,157731.0,11030136.0
2003-05-30,13200,14650,12600,14600,1916080,161040.0,11030136.0
2003-06-02,15000,15250,12850,12850,1056994,141737.0,11030136.0
2003-06-03,12350,12650,11350,11350,1145879,125192.0,11030136.0
2003-06-04,11550,12100,11000,12100,1309511,133465.0,11030136.0
2003-06-05,12100,12550,10650,10900,968838,120228.0,11030136.0
2003-06-09,10650,12200,10650,12200,913251,134568.0,11030136.0
2003-06-10,12350,13350,12150,12850,1046257,141737.0,11030136.0
2003-06-11,13150,13400,12200,12600,1000911,138980.0,11030136.0
2003-06-12,12950,13050,12300,12550,657667,138428.0,11030136.0
2003-06-13,12700,13100,11950,12400,730385,136774.0,11030136.0
2003-06-16,12150,13250,12150,13200,1153619,145598.0,11030136.0
2003-06-17,13650,13800,12650,12900,854605,142289.0,11030136.0
2003-06-18,13000,13050,11400,11400,1143745,125744.0,11030136.0
2003-06-19,11200,11850,10600,11000,2098293,121331.0,11030136.0
2003-06-20,11000,11500,10800,10800,629233,119125.0,11030136.0
2003-06-23,10550,11000,9550,9600,819099,105889.0,11030136.0
2003-06-24,9400,10250,9080,9900,901577,109198.0,11030136.0
2003-06-25,9800,10150,9700,9700,546605,106992.0,11030136.0
2003-06-26,9510,10850,9470,10850,1273290,119677.0,11030136.0
2003-06-27,10950,11900,10500,11300,1635737,124641.0,11030136.0
2003-06-30,11200,11600,10850,11100,614457,122435.0,11030136.0
2003-07-01,11200,12050,11200,11700,917448,129053.0,11030136.0
2003-07-02,12000,12050,11300,11400,660956,125744.0,11030136.0
2003-07-03,11700,11750,10650,10800,878997,119125.0,11030136.0
2003-07-04,10950,11300,10700,10850,383633,119677.0,11030136.0
2003-07-07,11150,12150,11000,12150,916851,134016.0,11030136.0
2003-07-08,12400,13200,11700,12600,1280178,138980.0,11030136.0
2003-07-09,12900,13350,12450,12700,641880,140083.0,11030136.0
2003-07-10,12450,12700,11850,11950,502693,131810.0,11030136.0
2003-07-11,11600,12300,11500,11950,422840,131810.0,11030136.0
2003-07-14,11950,12450,11800,11950,493045,131810.0,11030136.0
2003-07-15,12150,12300,11150,11150,335354,122986.0,11030136.0
2003-07-16,11400,11750,10950,11500,418767,126847.0,11030136.0
2003-07-18,11050,11350,10850,11000,235242,121331.0,11030136.0
2003-07-21,11000,12000,10850,10950,719317,120780.0,11030136.0
2003-07-22,10850,11200,9650,10600,525348,116919.0,11030136.0
2003-07-23,10600,10900,10050,10100,224427,111404.0,11030136.0
2003-07-24,9700,10400,9700,9970,249450,109970.0,11030136.0
2003-07-25,9970,10550,9920,10100,549955,111404.0,11030136.0
2003-07-28,10250,10650,10050,10500,587141,115816.0,11030136.0
2003-07-29,10500,10600,9960,10100,311108,111404.0,11030136.0
2003-07-30,10000,10350,10000,10050,223939,110853.0,11030136.0
2003-07-31,10050,10200,9880,9900,176012,109198.0,11030136.0
2003-08-01,9960,10400,9900,10150,286246,111956.0,11030136.0
2003-08-04,9950,10150,9720,9770,190589,107764.0,11030136.0
2003-08-05,9900,9950,9710,9720,110648,107213.0,11030136.0
2003-08-06,9500,9700,9150,9310,135714,102691.0,11030136.0
2003-08-07,9310,9650,9300,9430,163003,104014.0,11030136.0
2003-08-08,9400,9600,9290,9320,101028,102801.0,11030136.0
2003-08-11,9320,10250,9250,9930,301465,109529.0,11030136.0
2003-08-12,10150,10150,9550,9550,119360,105338.0,11030136.0
2003-08-13,9750,10650,9730,10650,548398,117471.0,11030136.0
2003-08-14,10750,11000,10300,10850,565362,119677.0,11030136.0
2003-08-18,11300,11650,10900,11000,469995,121331.0,11030136.0
2003-08-19,11300,11300,10650,10750,209418,118574.0,11030136.0
2003-08-20,10550,10700,10000,10450,276308,115265.0,11030136.0
2003-08-21,10300,11100,10250,10600,409067,116919.0,11030136.0
2003-08-22,10700,11050,10550,10850,241473,119677.0,11030136.0
2003-08-25,10850,11350,10500,10850,408370,119677.0,11030136.0
2003-08-26,10900,11000,10350,10350,187726,114162.0,11030136.0
2003-08-27,10450,10500,10200,10200,215229,112507.0,11030136.0
2003-08-28,10300,10350,9650,9720,242323,107213.0,11030136.0
2003-08-29,9750,10200,9650,9900,136791,109198.0,11030136.0
2003-09-01,9910,10500,9900,10050,298529,110853.0,11030136.0
2003-09-02,10150,10300,9830,9900,128789,109198.0,11030136.0
2003-09-03,10000,10000,9710,9710,133970,107103.0,11030136.0
2003-09-04,9650,9800,9560,9560,118923,105448.0,11030136.0
2003-09-05,9610,9730,9420,9480,74995,104566.0,11030136.0
2003-09-08,9310,9510,9310,9480,84723,104566.0,11030136.0
2003-09-09,9450,10150,9450,9600,144957,106594.0,11103533.0
2003-09-15,9900,9900,9640,9780,50984,108593.0,11103533.0
2003-09-16,9840,10200,9650,10050,97394,111591.0,11103533.0
2003-09-17,10150,11100,9930,10650,476003,118253.0,11103533.0
2003-09-18,10850,11050,10250,10300,212428,114366.0,11103533.0
2003-09-19,10650,11500,10500,11500,756095,127691.0,11103533.0
2003-09-22,11800,11900,10950,11500,499977,127691.0,11103533.0
2003-09-23,11500,12800,11500,11800,1030764,131022.0,11103533.0
2003-09-24,11950,12300,11400,12300,530153,136573.0,11103533.0
2003-09-25,11900,12500,11550,12300,393112,136573.0,11103533.0
2003-09-26,12050,12800,12050,12350,417232,137129.0,11103533.0
2003-09-29,12400,12700,11600,11700,386118,129911.0,11103533.0
2003-09-30,11900,12000,11000,11100,279113,123249.0,11103533.0
2003-10-01,11250,12400,10950,12400,545259,137684.0,11103533.0
2003-10-02,12750,13850,12550,13850,969390,153784.0,11103533.0
2003-10-06,14500,15500,13800,14100,1112431,156560.0,11103533.0
2003-10-07,14350,15000,13700,14500,608506,161001.0,11103533.0
2003-10-08,14750,16150,14600,15300,872593,169884.0,11103533.0
2003-10-09,15500,16600,14950,15300,767647,169884.0,11103533.0
2003-10-10,15500,15700,14550,15500,383344,172105.0,11103533.0
2003-10-13,15500,16450,15350,15450,508353,171550.0,11103533.0
2003-10-14,15700,16200,15000,15400,305747,170994.0,11103533.0
2003-10-15,15750,15850,15000,15650,210653,173770.0,11103533.0
2003-10-16,15400,17300,15100,16700,689798,185429.0,11103533.0
2003-10-17,16950,17200,15950,16500,383017,183208.0,11103533.0
2003-10-20,16300,16850,16150,16450,197706,182653.0,11103533.0
2003-10-21,16550,16800,15000,15000,425509,166553.0,11103533.0
2003-10-22,14900,15800,14650,15000,398427,166553.0,11103533.0
2003-10-23,14900,15300,13750,14300,287538,158781.0,11103533.0
2003-10-24,14200,14850,13700,13700,250578,152118.0,11103533.0
2003-10-27,13700,14250,13650,13750,227966,152674.0,11103533.0
2003-10-28,14050,15300,13700,14750,538740,163777.0,11103533.0
2003-10-29,14950,15150,14200,14450,255752,160446.0,11103533.0
2003-10-30,14700,15250,14500,14650,275161,162667.0,11103533.0
2003-10-31,14700,15000,13800,14400,241311,159891.0,11103533.0
2003-11-03,14700,14900,14050,14150,138152,157115.0,11103533.0
2003-11-04,14250,14500,13300,13900,189126,154339.0,11103533.0
2003-11-05,13750,13850,12650,12800,183074,142125.0,11103533.0
2003-11-06,12800,13350,12550,12700,210110,141015.0,11103533.0
2003-11-07,12700,13550,12700,13350,260029,148232.0,11103533.0
2003-11-10,13300,13950,13200,13350,163720,148232.0,11103533.0
2003-11-11,13300,13700,12800,13100,143056,145456.0,11103533.0
2003-11-12,13150,13550,12850,12900,225991,143236.0,11103533.0
2003-11-13,13150,13700,12800,13700,432313,152118.0,11103533.0
2003-11-14,13700,13900,13150,13300,188812,147677.0,11103533.0
2003-11-17,13200,13650,12950,12950,219185,143791.0,11103533.0
2003-11-18,13000,13100,12750,12800,149227,142125.0,11103533.0
