덕산하이메탈(077360),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2005-10-14,4152,4774,4152,4773,228174,83512.0,5720000.0
2005-10-17,4741,4986,4071,4071,322014,71214.0,5720000.0
2005-10-18,3956,4087,3548,3858,142213,67496.0,5720000.0
2005-10-19,3776,4038,3694,3760,54498,65780.0,5720000.0
2005-10-20,3710,4168,3694,3841,71685,67210.0,5720000.0
2005-10-21,3710,3792,3629,3776,35229,66066.0,5720000.0
2005-10-24,3728,3875,3679,3727,30477,65208.0,5720000.0
2005-10-25,3760,4120,3760,3858,30630,67496.0,5720000.0
2005-10-26,3858,3989,3776,3776,13958,66066.0,5720000.0
2005-10-27,3793,4087,3776,3923,47363,68640.0,5720000.0
2005-10-28,4038,4103,3956,3989,37727,69784.0,5720000.0
2005-10-31,3923,4087,3923,4021,18237,70356.0,5720000.0
2005-11-01,3940,4071,3907,3989,24888,69784.0,5720000.0
2005-11-02,4005,4055,3907,3907,25668,68354.0,5720000.0
2005-11-03,3923,4479,3923,4479,105489,78364.0,5720000.0
2005-11-04,4545,4545,4283,4414,43880,77220.0,5720000.0
2005-11-07,4447,4512,4234,4463,36076,78078.0,5720000.0
2005-11-08,4414,5002,4398,4904,61600,85800.0,5720000.0
2005-11-09,4757,5003,4610,4855,36033,84942.0,5720000.0
2005-11-10,4855,5231,4740,5198,65704,90948.0,5720000.0
2005-11-11,5166,5786,5117,5558,83899,97240.0,5720000.0
2005-11-14,5362,5362,4758,4904,194336,85800.0,5720000.0
2005-11-15,4904,4904,4495,4708,104863,82368.0,5720000.0
2005-11-16,4707,4937,4610,4806,349746,84084.0,5720000.0
2005-11-17,4904,5526,4887,5525,517670,96668.0,5720000.0
2005-11-18,5705,5853,5459,5721,310435,100100.0,5720000.0
2005-11-21,5722,6130,5558,5607,382239,98098.0,5720000.0
2005-11-22,5574,5673,5231,5672,186905,99242.0,5720000.0
2005-11-23,5787,6015,5640,5934,222599,103818.0,5720000.0
2005-11-24,5820,5934,5623,5623,136608,98384.0,5720000.0
2005-11-25,5607,5689,5297,5378,149745,94094.0,5720000.0
2005-11-28,5280,5525,5198,5493,133847,96096.0,5720000.0
2005-11-29,5394,5574,5100,5394,115076,94380.0,5720000.0
2005-11-30,5395,6195,5395,5983,535670,104676.0,5720000.0
2005-12-01,6082,6262,5836,6146,283773,107536.0,5720000.0
2005-12-02,6278,6866,6098,6506,365413,113828.0,5720000.0
2005-12-05,6703,6703,6262,6277,162884,109824.0,5720000.0
2005-12-06,6180,6457,5934,6179,192898,108108.0,5720000.0
2005-12-07,6245,6343,5722,5852,203564,102388.0,5720000.0
2005-12-08,5722,6016,5722,5819,116420,101816.0,5720000.0
2005-12-09,5820,5984,5264,5264,274724,92092.0,5720000.0
2005-12-12,5263,5509,5231,5231,140147,91520.0,5720000.0
2005-12-13,5328,5738,5328,5721,193474,100100.0,5720000.0
2005-12-14,5951,6179,5673,5721,207260,100100.0,5720000.0
2005-12-15,5656,5755,5476,5542,120394,96954.0,5720000.0
2005-12-16,5395,5460,5264,5280,96334,92378.0,5720000.0
2005-12-19,5133,5411,5133,5280,77786,92378.0,5720000.0
2005-12-20,5166,5591,5166,5558,70457,97240.0,5720000.0
2005-12-21,5477,5691,5428,5460,56605,95524.0,5720000.0
2005-12-22,5722,5755,5509,5656,117325,98956.0,5720000.0
2005-12-23,5738,5755,5395,5591,87503,97812.0,5720000.0
2005-12-26,5657,5754,5395,5607,68431,98098.0,5720000.0
2005-12-27,5509,5689,5460,5591,124677,97812.0,5720000.0
2005-12-28,5624,6037,5385,6037,97429,100672.0,5720000.0
2005-12-29,6036,6139,5881,6019,80749,100386.0,5720000.0
2006-01-02,6174,6585,6157,6311,176116,105248.0,5720000.0
2006-01-03,6345,6345,6054,6225,112046,103818.0,5720000.0
2006-01-04,6224,6550,6224,6448,210688,107536.0,5720000.0
2006-01-05,6363,6431,5883,6002,157518,100100.0,5720000.0
2006-01-06,6002,6259,5900,6139,74269,102388.0,5720000.0
2006-01-09,6088,6328,6054,6191,91942,103246.0,5720000.0
2006-01-10,6277,6757,6242,6602,351400,110110.0,5720000.0
2006-01-11,6603,6654,6346,6585,131442,109824.0,5720000.0
2006-01-12,6602,6705,6447,6517,106617,108680.0,5720000.0
2006-01-13,6379,6533,6362,6448,75897,107536.0,5720000.0
2006-01-16,6586,6654,6397,6414,96854,106964.0,5720000.0
2006-01-17,6449,6483,6208,6208,85050,103532.0,5720000.0
2006-01-18,6208,6208,5624,6037,117854,100672.0,5720000.0
2006-01-19,5899,6105,5865,6054,61807,100958.0,5720000.0
2006-01-20,5968,6210,5814,5814,63739,96954.0,5720000.0
2006-01-23,5421,5695,4957,4956,80546,82654.0,5720000.0
2006-01-24,4957,5130,4288,5042,157893,84084.0,5720000.0
2006-01-25,5060,5317,4940,4956,84192,82654.0,5720000.0
2006-01-26,5317,5317,4906,4939,65739,82368.0,5720000.0
2006-01-27,5144,5144,4922,4990,121167,83226.0,5720000.0
2006-01-31,5111,5282,5059,5110,197893,85228.0,5720000.0
2006-02-01,5111,5523,4819,5282,293814,88088.0,5720000.0
2006-02-02,5506,5557,5111,5196,220369,86658.0,5720000.0
2006-02-03,5110,5470,5008,5385,256555,89804.0,5720000.0
2006-02-06,5386,5625,5299,5608,108432,93522.0,5720000.0
2006-02-07,5659,5659,5454,5556,81036,92664.0,5720000.0
2006-02-08,5574,5608,5316,5316,75742,88660.0,5720000.0
2006-02-09,5386,5539,5299,5488,47159,91520.0,5720000.0
2006-02-10,5470,5556,5316,5402,42815,90090.0,5720000.0
2006-02-13,5386,5574,5282,5574,54226,92950.0,5720000.0
2006-02-14,5573,5573,5402,5436,28988,90662.0,5720000.0
2006-02-15,5488,5522,5316,5351,52831,89232.0,5720000.0
2006-02-16,5350,5557,5350,5539,25572,92378.0,5720000.0
2006-02-17,5488,5557,5386,5488,26110,91520.0,5720000.0
2006-02-20,5368,5557,5351,5556,33945,92664.0,5720000.0
2006-02-21,5556,5556,5402,5436,9828,90662.0,5720000.0
2006-02-22,5386,5488,5386,5488,32681,91520.0,5720000.0
2006-02-23,5522,5694,5471,5659,36050,94380.0,5720000.0
2006-02-24,5762,5831,5591,5659,39349,94380.0,5720000.0
2006-02-27,5557,5677,5557,5574,11790,92950.0,5720000.0
2006-02-28,5557,5557,5471,5522,9734,92092.0,5720000.0
2006-03-02,5522,5625,5470,5488,13278,91520.0,5720000.0
2006-03-03,5419,5488,5300,5299,17682,88374.0,5720000.0
2006-03-06,5213,5350,5110,5128,21992,85514.0,5720000.0
2006-03-07,5144,5144,4682,4733,57390,78936.0,5720000.0
2006-03-08,4699,4973,4699,4802,23013,80080.0,5720000.0
2006-03-09,4768,4939,4768,4836,18703,80652.0,5720000.0
2006-03-10,4836,5076,4768,5076,20295,84656.0,5720000.0
2006-03-13,5145,5248,5128,5196,7026,86658.0,5720000.0
2006-03-14,5179,5265,5076,5076,8656,84656.0,5720000.0
2006-03-15,5025,5351,5025,5248,29816,87516.0,5720000.0
2006-03-16,5419,5419,5179,5316,17157,88660.0,5720000.0
2006-03-17,5316,5488,5231,5248,81335,87516.0,5720000.0
2006-03-20,5419,5488,5076,5299,28211,88374.0,5720000.0
2006-03-21,5300,5351,5231,5333,14961,88946.0,5720000.0
2006-03-22,5316,5453,5230,5402,18346,90090.0,5720000.0
2006-03-23,5402,5711,5402,5711,88611,95238.0,5720000.0
2006-03-24,5711,6002,5711,5865,58455,97812.0,5720000.0
2006-03-27,5762,5900,5557,5556,43750,92664.0,5720000.0
2006-03-28,5660,5882,5265,5762,51701,96096.0,5720000.0
2006-03-29,5899,5933,5693,5865,47996,97812.0,5720000.0
2006-03-30,5917,5917,5693,5814,9296,96954.0,5720000.0
2006-03-31,5814,5831,5677,5762,11121,96096.0,5720000.0
2006-04-03,5865,5882,5728,5762,13940,96096.0,5720000.0
2006-04-04,5762,5968,5762,5899,24931,98384.0,5720000.0
2006-04-05,5865,5882,5779,5796,16415,96668.0,5720000.0
2006-04-06,5814,5814,5676,5694,16326,94952.0,5720000.0
2006-04-07,5694,5746,5489,5522,20193,92092.0,5720000.0
2006-04-10,5488,5831,5420,5831,26407,97240.0,5720000.0
2006-04-11,5899,5899,5779,5796,22781,96668.0,5720000.0
2006-04-12,5796,5865,5676,5865,25732,97812.0,5720000.0
2006-04-13,5831,5917,5781,5848,36430,97526.0,5720000.0
2006-04-14,6002,6105,5899,6037,63149,100672.0,5720000.0
2006-04-17,6036,6156,5898,6019,33845,100386.0,5720000.0
2006-04-18,5900,6209,5900,6174,50291,102960.0,5720000.0
2006-04-19,6191,6276,6105,6139,26693,102388.0,5720000.0
2006-04-20,6140,6140,5865,5951,25282,104204.0,6006000.0
2006-04-21,5848,5967,5796,5865,24194,102703.0,6006000.0
