케이알피앤이(060900),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2002-09-17,1183638,1183638,1183638,1183419,771518,16800.0,8400000.0
2002-09-18,1284057,1325520,1136146,1136024,5000008,16128.0,8400000.0
2002-09-19,1124389,1136083,999995,1065087,922942,15120.0,8400000.0
2002-09-23,1035504,1065158,940872,940767,437025,13356.0,8400000.0
2002-09-24,893488,1053326,840201,1053212,672720,14952.0,8400000.0
2002-09-25,929034,1065130,929034,976287,432316,13860.0,8400000.0
2002-09-26,1005804,1029548,964452,1005818,134059,14280.0,8400000.0
2002-09-27,1005825,1017757,958576,999932,86153,14196.0,8400000.0
2002-09-30,893452,1035460,893452,1005818,177986,14280.0,8400000.0
2002-10-01,964508,1029604,964508,1023578,97553,14532.0,8400000.0
2002-10-02,1011993,1035626,952810,964515,77590,13692.0,8400000.0
2002-10-04,923129,976286,917215,976287,46723,13860.0,8400000.0
2002-10-07,952781,994243,923243,946755,55410,13440.0,8400000.0
2002-10-08,911434,1017878,911434,946755,78296,13440.0,8400000.0
2002-10-09,952724,970561,929089,934881,24584,13272.0,8400000.0
2002-10-10,917245,946781,828400,887486,34790,12600.0,8400000.0
2002-10-11,911340,946781,828400,887486,48638,12600.0,8400000.0
2002-10-14,940992,940992,887713,911235,19713,12936.0,8400000.0
2002-10-15,911340,923033,858051,887486,50329,12600.0,8400000.0
2002-10-16,905365,905365,834365,875715,45664,12432.0,8400000.0
2002-10-17,852090,899350,834371,899361,64796,12768.0,8400000.0
2002-10-18,940968,976293,887689,970401,121904,13776.0,8400000.0
2002-10-21,970500,970500,929154,946755,56331,13440.0,8400000.0
2002-10-22,1005934,1005934,863937,923006,83739,13104.0,8400000.0
2002-10-23,905466,935002,875810,934881,36045,13272.0,8400000.0
2002-10-24,917243,917243,863961,863841,53619,12264.0,8400000.0
2002-10-25,840198,917224,840198,917121,35707,13020.0,8400000.0
2002-10-28,911313,976293,887689,970401,79201,13776.0,8400000.0
2002-10-29,958643,1005895,875835,875715,57037,12432.0,8400000.0
2002-10-30,875773,887592,846121,887486,47497,12600.0,8400000.0
2002-10-31,875755,934947,863947,917121,88286,13020.0,8400000.0
2002-11-01,923003,934934,887685,923006,48738,13104.0,8400000.0
2002-11-04,881856,881856,846297,846184,64998,12012.0,8400000.0
2002-11-05,810768,840304,804863,810664,19426,11508.0,8400000.0
2002-11-06,810641,834390,775200,816549,18752,11592.0,8400000.0
2002-11-07,798864,858056,792959,834310,11280,11844.0,8400000.0
2002-11-08,793101,834448,793101,828424,7484,11760.0,8400000.0
2002-11-11,780987,834390,780987,816549,8802,11592.0,8400000.0
2002-11-12,745606,822519,745606,798789,16669,11340.0,8400000.0
2002-11-13,786968,798901,745624,745509,9950,10584.0,8400000.0
2002-11-14,733767,834420,733767,834310,62842,11844.0,8400000.0
2002-11-15,793028,929116,793028,928995,86285,13188.0,8400000.0
2002-11-18,929015,1035450,929015,1035452,71061,14700.0,8400000.0
2002-11-19,1065103,1142007,1035450,1035452,113544,14700.0,8400000.0
2002-11-20,1047478,1094738,970459,1065087,46679,15120.0,8400000.0
2002-11-21,1094641,1112361,1017728,1035452,71107,14700.0,8400000.0
2002-11-22,1006078,1160019,988358,1100607,61293,15624.0,8400000.0
2002-11-25,1082867,1100704,1047423,1076858,32974,15288.0,8400000.0
2002-11-26,1035430,1201171,1035430,1041338,152591,14784.0,8400000.0
2002-11-27,1076892,1076892,982152,1041338,27966,14784.0,8400000.0
2002-11-28,1118434,1118434,1023801,1076858,55320,15288.0,8400000.0
2002-11-29,1088796,1118450,1029605,1070973,16599,15204.0,8400000.0
2002-12-02,1071093,1094728,1011911,1011807,13394,14364.0,8400000.0
2002-12-03,958572,1029572,952668,970401,26203,13776.0,8400000.0
2002-12-04,952611,1059054,952611,1041338,31807,14784.0,8400000.0
2002-12-05,1071186,1071186,976440,1047327,43754,14868.0,8400000.0
2002-12-06,1035442,1094625,988182,1088733,66939,15456.0,8400000.0
2002-12-09,1077045,1148045,1065228,1082847,26578,15372.0,8400000.0
2002-12-10,1088720,1088720,1047365,1088733,24377,15456.0,8400000.0
