다원시스(068240),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-09-14,4893,5608,4590,5609,4848854,82880.0,6400000.0
2010-09-15,5802,6322,4785,4786,5943482,70720.0,6400000.0
2010-09-16,4937,5348,4828,4894,2078346,72320.0,6400000.0
2010-09-17,5283,5608,5023,5132,3654137,75840.0,6400000.0
2010-09-20,5413,5889,5392,5891,2408250,87040.0,6400000.0
2010-09-24,6301,6626,6084,6193,3817225,91520.0,6400000.0
2010-09-27,6322,6496,5911,6172,2022878,91200.0,6400000.0
2010-09-28,6214,7081,6019,7082,2553640,104640.0,6400000.0
2010-09-29,6994,7318,6799,7147,2285966,105600.0,6400000.0
2010-09-30,7037,7253,6668,6670,1265949,98560.0,6400000.0
2010-10-01,6799,7557,6431,6930,1640959,102400.0,6400000.0
2010-10-04,7102,7449,7016,7168,1803891,105920.0,6400000.0
2010-10-05,7167,7427,7016,7406,1338772,109440.0,6400000.0
2010-10-06,7578,7687,6994,6995,1123814,103360.0,6400000.0
2010-10-07,7102,7253,6756,7060,993577,104320.0,6400000.0
2010-10-08,7058,7102,6539,6540,638535,96640.0,6400000.0
2010-10-11,6582,6886,6409,6411,795712,94720.0,6400000.0
2010-10-12,6539,7275,6496,6713,2246750,99200.0,6400000.0
2010-10-13,6517,6582,5759,5912,1897927,87360.0,6400000.0
2010-10-14,6041,6084,5802,5956,501089,88000.0,6400000.0
2010-10-15,5889,5976,5521,5652,674851,83520.0,6400000.0
2010-10-18,5543,6041,5543,5847,672819,86400.0,6400000.0
2010-10-19,5954,6041,5738,5761,383146,85120.0,6400000.0
2010-10-20,5694,6019,5673,5933,395567,87680.0,6400000.0
2010-10-21,5976,6366,5867,6150,661492,90880.0,6400000.0
2010-10-22,6279,6279,6019,6085,445560,93784.0,6675000.0
2010-10-25,6149,6170,5802,5869,394984,90446.0,6675000.0
2010-10-26,5867,5976,5716,5826,265891,89779.0,6675000.0
2010-10-27,5932,6236,5867,6150,927775,94785.0,6675000.0
2010-10-28,6149,6257,5954,5956,364847,91781.0,6675000.0
2010-10-29,5910,5998,5629,5739,347043,88444.0,6675000.0
2010-11-01,5802,5932,5651,5891,332176,90780.0,6675000.0
2010-11-02,5932,6084,5845,5998,346891,92449.0,6675000.0
2010-11-03,5954,6431,5954,6215,1365101,95786.0,6675000.0
2010-11-04,6214,6257,6019,6063,342093,93450.0,6675000.0
2010-11-05,6128,6214,5759,5891,456948,90780.0,6675000.0
2010-11-08,5889,5998,5824,5977,164283,92115.0,6675000.0
2010-11-09,5976,6603,5976,6107,1404919,94118.0,6675000.0
2010-11-10,6171,6236,5889,6020,413826,92782.0,6675000.0
2010-11-11,6084,6171,5911,6020,377948,92782.0,6675000.0
2010-11-12,6084,6193,5305,5717,482103,88110.0,6675000.0
2010-11-15,5673,5694,5348,5587,282375,86108.0,6675000.0
2010-11-16,5521,5867,5413,5717,300088,88110.0,6675000.0
2010-11-17,5608,5716,5478,5696,142646,87776.0,6675000.0
2010-11-18,5694,5846,5673,5761,176957,88778.0,6675000.0
2010-11-19,5759,5802,5629,5631,124216,86775.0,6675000.0
2010-11-22,5651,5694,5499,5565,143589,85774.0,6675000.0
2010-11-23,5564,5586,5326,5349,181708,82436.0,6675000.0
2010-11-24,4807,5954,4807,5371,992066,82770.0,6675000.0
2010-11-25,5521,5521,5262,5327,191429,82102.0,6675000.0
2010-11-26,5369,5392,4914,4959,269513,76429.0,6675000.0
2010-11-29,4937,5196,4872,5024,314272,77430.0,6675000.0
2010-11-30,5001,5153,4958,5068,103377,78098.0,6675000.0
2010-12-01,5023,5131,5001,5068,94223,78098.0,6675000.0
2010-12-02,5153,5283,5088,5089,133388,78431.0,6675000.0
2010-12-03,5109,5131,4958,4959,86180,76429.0,6675000.0
2010-12-06,4979,5023,4850,4873,74150,75094.0,6675000.0
2010-12-07,4914,5109,4914,5111,123113,78765.0,6675000.0
2010-12-08,5044,5153,5001,5068,56128,78098.0,6675000.0
2010-12-09,5088,5305,5023,5197,162406,80100.0,6675000.0
2010-12-10,5109,5240,5109,5219,50421,80434.0,6675000.0
2010-12-13,5327,5392,5240,5241,119557,80768.0,6675000.0
2010-12-14,5283,5327,5153,5176,66748,79766.0,6675000.0
2010-12-15,5262,5262,5066,5089,81650,78431.0,6675000.0
2010-12-16,5088,5131,5001,5068,72269,78098.0,6675000.0
2010-12-17,5066,5109,4979,4981,94057,76762.0,6675000.0
2010-12-20,4893,4914,4763,4894,141803,75428.0,6675000.0
2010-12-21,5044,5283,5044,5262,222888,81101.0,6675000.0
2010-12-22,5305,5391,5174,5349,122152,82436.0,6675000.0
2010-12-23,5348,5413,5240,5392,85992,83104.0,6675000.0
2010-12-24,5305,5478,5240,5436,111854,83771.0,6675000.0
2010-12-27,5327,5521,5327,5436,96994,83771.0,6675000.0
2010-12-28,5456,5543,5370,5478,107838,84439.0,6675000.0
2010-12-29,5499,5521,5348,5457,69197,84105.0,6675000.0
2010-12-30,5456,5456,5305,5413,66752,83438.0,6675000.0
2011-01-03,5370,5543,5370,5413,104568,83438.0,6675000.0
2011-01-04,5413,5499,5283,5284,131421,81435.0,6675000.0
2011-01-05,5348,5348,5153,5154,113546,79432.0,6675000.0
2011-01-06,5196,5369,5153,5219,130343,80434.0,6675000.0
2011-01-07,5305,5998,5262,5891,1080918,90780.0,6675000.0
2011-01-10,5889,6019,5781,5956,345943,91781.0,6675000.0
2011-01-11,5954,6084,5845,6063,263054,93450.0,6675000.0
2011-01-12,0,0,0,5998,114014,92449.0,6675000.0
2011-01-13,6235,6344,5780,5933,476192,91448.0,6675000.0
2011-01-14,5954,6214,5738,5956,403590,91781.0,6675000.0
2011-01-17,5998,6019,5824,5891,120775,90780.0,6675000.0
2011-01-18,5845,6106,5780,5933,190885,91448.0,6675000.0
2011-01-19,6019,6366,5889,6150,632279,94785.0,6675000.0
2011-01-20,6171,6322,6041,6237,216802,96120.0,6675000.0
2011-01-21,6214,6301,6041,6107,152600,94118.0,6675000.0
2011-01-24,6149,6409,5954,6411,467673,98790.0,6675000.0
2011-01-25,6431,6496,6214,6280,241992,96788.0,6675000.0
2011-01-26,6279,6301,6063,6193,191273,95452.0,6675000.0
2011-01-27,6128,6193,5976,6020,180858,92782.0,6675000.0
2011-01-28,6084,6170,5998,6063,132059,93450.0,6675000.0
2011-01-31,5954,5976,5673,5804,221073,89445.0,6675000.0
2011-02-01,5802,5954,5716,5891,194445,90780.0,6675000.0
2011-02-07,5911,6171,5824,6042,229430,93116.0,6675000.0
