옵티팜(153710),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-10-26,9000,11700,8470,11700,15149648,166342.0,14217258.0
2018-10-29,12450,14750,10350,11950,16609357,169896.0,14217258.0
2018-10-30,12000,13700,11850,12300,7440381,174872.0,14217258.0
2018-10-31,12750,13050,11100,11250,3109920,159944.0,14217258.0
2018-11-01,11200,11650,10600,11350,2371212,161366.0,14217258.0
2018-11-02,11900,12700,11350,11700,3206512,166342.0,14217258.0
2018-11-05,11850,13300,11600,13300,3402824,189090.0,14217258.0
2018-11-06,13150,14300,12600,13750,4382804,195487.0,14217258.0
2018-11-07,13600,15350,13150,13900,4589180,197620.0,14217258.0
2018-11-08,14450,14900,13900,14250,1682474,202596.0,14217258.0
2018-11-09,14250,14650,13150,14300,2137809,203307.0,14217258.0
2018-11-12,14100,14200,13500,13550,930340,192644.0,14217258.0
2018-11-13,12950,13300,12400,13200,1287461,187668.0,14217258.0
2018-11-14,13000,13150,12200,12250,898247,174161.0,14217258.0
2018-11-15,12250,13250,12100,12700,913518,180559.0,14217258.0
2018-11-16,12650,12700,11650,11650,721642,165631.0,14217258.0
2018-11-19,11850,12000,10800,11050,1053004,157101.0,14217258.0
2018-11-20,10800,11700,10650,11450,983295,162788.0,14217258.0
2018-11-21,11150,11300,10750,11000,648124,156390.0,14217258.0
2018-11-22,11200,11350,10050,10100,819809,143594.0,14217258.0
2018-11-23,10050,10900,9910,10550,865146,149992.0,14217258.0
2018-11-26,10450,10800,10250,10450,375025,148570.0,14217258.0
2018-11-27,10500,11250,10500,10800,1053931,153546.0,14217258.0
2018-11-28,10800,10850,10500,10500,387696,149281.0,14217258.0
2018-11-29,10600,10900,10450,10650,484886,151414.0,14217258.0
2018-11-30,11050,11550,10550,10650,940198,151414.0,14217258.0
2018-12-03,10800,10800,10250,10450,459774,148570.0,14217258.0
2018-12-04,10550,11000,10300,10850,435324,154257.0,14217258.0
2018-12-05,10400,10550,10250,10250,519112,145727.0,14217258.0
2018-12-06,10300,10400,9580,9580,381862,136201.0,14217258.0
2018-12-07,9730,9870,9500,9700,171754,137907.0,14217258.0
2018-12-10,9610,9610,9060,9120,231544,129661.0,14217258.0
2018-12-11,9240,9310,8780,8810,185225,125254.0,14217258.0
2018-12-12,8890,9050,8720,8980,213704,127671.0,14217258.0
2018-12-13,9010,9100,8710,8720,178259,123974.0,14217258.0
2018-12-14,8670,8770,8070,8120,250941,115444.0,14217258.0
2018-12-17,8090,8090,7450,7700,202140,109473.0,14217258.0
2018-12-18,7650,8310,7460,8010,390183,113880.0,14217258.0
2018-12-19,7950,8240,7780,8190,165010,116439.0,14217258.0
2018-12-20,8050,8250,7880,7960,103879,113169.0,14217258.0
2018-12-21,7830,8970,7780,8470,564246,120420.0,14217258.0
2018-12-24,8360,9270,8360,8720,540299,123974.0,14217258.0
2018-12-26,8510,8650,8360,8530,161967,121273.0,14217258.0
2018-12-27,8740,8740,8450,8450,94105,120136.0,14217258.0
2018-12-28,8900,10100,8890,9190,1316193,130657.0,14217258.0
2019-01-02,9260,9400,9020,9130,209429,129804.0,14217258.0
2019-01-03,9130,9510,9030,9030,289776,128382.0,14217258.0
2019-01-04,9080,9300,8660,9260,186779,131652.0,14217258.0
2019-01-07,9400,9400,9100,9100,100120,129377.0,14217258.0
2019-01-08,9100,9160,8870,9080,136990,129093.0,14217258.0
2019-01-09,9020,9100,8970,9000,92744,127955.0,14217258.0
2019-01-10,9000,11700,8890,11700,4242407,166342.0,14217258.0
2019-01-11,12350,12800,10750,11200,4513595,159233.0,14217258.0
2019-01-14,11050,11350,10900,11250,1077985,159944.0,14217258.0
2019-01-15,11500,11550,10750,10750,1195004,152836.0,14217258.0
2019-01-16,10750,11350,10400,11250,1180848,159944.0,14217258.0
2019-01-17,11200,11350,10800,10900,442240,154968.0,14217258.0
2019-01-18,11000,11950,10750,11150,1548214,158522.0,14217258.0
2019-01-21,11300,11750,11100,11300,837691,160655.0,14217258.0
2019-01-22,11350,12250,11300,12050,1452104,171318.0,14217258.0
2019-01-23,11900,12000,11150,11200,545619,159233.0,14217258.0
2019-01-24,11350,11550,11100,11150,303306,158522.0,14217258.0
2019-01-25,11250,11400,10900,11050,250721,157101.0,14217258.0
2019-01-28,10850,11600,10850,11500,502433,163498.0,14217258.0
2019-01-29,12000,12550,11500,11600,1563268,164920.0,14217258.0
2019-01-30,11800,11850,10950,11200,427381,159233.0,14217258.0
2019-01-31,11350,11600,11200,11250,402282,159944.0,14217258.0
2019-02-01,11550,11950,11350,11450,547386,162788.0,14217258.0
2019-02-07,11200,11400,11050,11200,229248,159233.0,14217258.0
2019-02-08,11500,11600,10900,11050,378035,157101.0,14217258.0
2019-02-11,11150,11450,10900,11450,209604,162788.0,14217258.0
2019-02-12,11400,11450,11100,11200,137203,159233.0,14217258.0
2019-02-13,11150,11450,11150,11350,168545,161366.0,14217258.0
2019-02-14,11400,12300,11200,12250,1100076,174161.0,14217258.0
2019-02-15,12500,13450,12350,12700,1899167,180559.0,14217258.0
2019-02-18,12650,12850,12450,12800,292997,181981.0,14217258.0
2019-02-19,12750,12750,12300,12300,313691,174872.0,14217258.0
2019-02-20,12100,12450,12000,12200,198093,173451.0,14217258.0
2019-02-21,12350,12400,11800,12200,211275,173451.0,14217258.0
2019-02-22,12150,12300,11800,11850,155832,168475.0,14217258.0
2019-02-25,11900,11900,11450,11500,237213,163498.0,14217258.0
2019-02-26,11550,11900,11450,11550,203506,164209.0,14217258.0
2019-02-27,11550,11800,11450,11700,128064,166342.0,14217258.0
2019-02-28,11750,12250,11250,11400,377629,162077.0,14217258.0
