셀트리온헬스케어(091990),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-07-28,42015,48417,42015,48417,14075726,6875412.0,136688120.0
2017-07-31,47935,50534,46347,47888,4965563,6800234.0,136688120.0
2017-08-01,48994,50438,47262,49380,3611026,7012101.0,136688120.0
2017-08-02,48898,50246,48127,49091,2495045,6971094.0,136688120.0
2017-08-03,48609,49764,46876,49669,3930618,7053107.0,136688120.0
2017-08-04,49764,50534,48321,48321,1671372,6861744.0,136688120.0
2017-08-07,47887,48801,46876,48129,1299281,6834406.0,136688120.0
2017-08-08,48127,48609,46828,46830,1215685,6649877.0,136688120.0
2017-08-09,46828,46924,45143,45145,1202722,6410673.0,136688120.0
2017-08-10,45240,46444,45143,45385,651813,6444845.0,136688120.0
2017-08-11,44085,44951,43700,44663,779038,6342329.0,136688120.0
2017-08-14,44663,47213,44615,46878,774490,6656711.0,136688120.0
2017-08-16,47502,48705,47310,47792,851666,6786565.0,136688120.0
2017-08-17,48031,48321,46828,47551,451714,6752393.0,136688120.0
2017-08-18,47262,47647,46395,46926,322336,6663546.0,136688120.0
2017-08-21,47165,47406,45962,46252,335083,6567864.0,136688120.0
2017-08-22,46154,47069,45240,46396,777416,6588367.0,136688120.0
2017-08-23,46395,46780,45914,46204,314419,6561030.0,136688120.0
2017-08-24,46010,46347,45625,46204,286755,6561030.0,136688120.0
2017-08-25,46347,47165,46058,46108,399789,6547361.0,136688120.0
2017-08-28,46106,46924,45866,46492,295860,6602036.0,136688120.0
2017-08-29,46347,46924,46202,46782,315702,6643043.0,136688120.0
2017-08-30,48127,48321,46684,46733,748876,6636208.0,136688120.0
2017-08-31,46732,46732,45914,46011,399507,6533692.0,136688120.0
2017-09-01,46395,46395,45914,46059,220418,6540527.0,136688120.0
2017-09-04,44711,45914,44567,45722,588420,6492686.0,136688120.0
2017-09-05,45818,46010,45192,45770,248210,6499520.0,136688120.0
2017-09-06,45481,46154,45385,46156,295414,6554195.0,136688120.0
2017-09-07,45914,45962,44951,45241,667820,6424342.0,136688120.0
2017-09-08,45336,45385,43218,43556,1060321,6185137.0,136688120.0
2017-09-11,44133,44277,42352,42978,868904,6103125.0,136688120.0
2017-09-12,43411,44277,42930,44182,495854,6273985.0,136688120.0
2017-09-13,44567,45625,44325,45337,573286,6438010.0,136688120.0
2017-09-14,45433,45769,44711,45722,430593,6492686.0,136688120.0
2017-09-15,45385,47262,45143,47070,1406371,6684049.0,136688120.0
2017-09-18,47262,47647,46299,47166,1245734,6697718.0,136688120.0
2017-09-19,47165,47165,45866,45867,594468,6513189.0,136688120.0
2017-09-20,45721,52941,45673,49958,4107863,7094113.0,136688120.0
2017-09-21,52171,53230,49475,51401,2793987,7299146.0,136688120.0
2017-09-22,51016,51304,48801,49380,1223854,7012101.0,136688120.0
2017-09-25,49283,52267,48801,52075,1630867,7394827.0,136688120.0
2017-09-26,51785,52459,50534,51498,1161852,7312814.0,136688120.0
2017-09-27,51593,53133,51304,51979,1235416,7381158.0,136688120.0
2017-09-28,52075,52075,49860,50342,884920,7148789.0,136688120.0
2017-09-29,50919,55635,48224,53423,3141550,7586191.0,136688120.0
2017-10-10,54577,58235,53806,57754,3035596,8201287.0,136688120.0
2017-10-11,57658,58620,57080,57177,1242348,8119274.0,136688120.0
2017-10-12,57754,59679,57368,59583,2304583,8460995.0,136688120.0
2017-10-13,59967,66705,59293,60161,4790266,8543008.0,136688120.0
2017-10-16,62085,62567,57946,61220,2111403,8693364.0,136688120.0
2017-10-17,60930,66031,59967,63241,3406506,8980409.0,136688120.0
2017-10-18,64780,66417,60448,60738,3295649,8625020.0,136688120.0
2017-10-19,61412,61508,56984,57754,2446168,8201287.0,136688120.0
2017-10-20,57946,59583,57272,58236,989523,8269631.0,136688120.0
2017-10-23,57754,59583,57754,58332,584656,8283300.0,136688120.0
2017-10-24,58716,61604,58042,61220,1116428,8693364.0,136688120.0
2017-10-25,60256,60545,58523,58717,982688,8337975.0,136688120.0
2017-10-26,59197,61026,58235,58236,900158,8269631.0,136688120.0
2017-10-27,59197,59293,57946,58525,829926,8310638.0,136688120.0
2017-10-30,57946,58235,53904,53904,2203560,7654535.0,136688120.0
2017-10-31,54096,56695,53904,56696,929870,8050930.0,136688120.0
2017-11-01,57754,58523,55635,56311,961877,7996255.0,136688120.0
2017-11-02,56695,57176,54769,55155,935649,7832229.0,136688120.0
2017-11-03,55829,57464,55251,56118,943966,7968917.0,136688120.0
2017-11-06,57272,57272,54962,55733,538898,7914242.0,136688120.0
2017-11-07,55733,55829,53518,54482,759927,7736548.0,136688120.0
2017-11-08,54481,56117,54288,55733,910977,7914242.0,136688120.0
2017-11-09,56117,56213,54481,55637,507659,7900573.0,136688120.0
2017-11-10,55635,58909,55347,58525,1790129,8350176.0,137338423.0
2017-11-13,59583,65262,59486,64492,4110540,9201674.0,137338423.0
2017-11-14,66513,67956,63337,65840,3450221,9393948.0,137338423.0
2017-11-15,66705,76235,65743,74022,8615631,10561325.0,137338423.0
2017-11-16,76909,79989,74021,79220,5324003,11302952.0,137338423.0
2017-11-17,77487,79989,75176,77199,3215933,11014542.0,137338423.0
2017-11-20,77005,80663,75946,77680,2096411,11083211.0,137338423.0
2017-11-21,79796,85764,77968,83744,4647237,11948443.0,137338423.0
2017-11-22,86150,93176,82010,85092,7568003,12140717.0,137338423.0
2017-11-23,81818,87016,78738,87017,3277663,12415393.0,137338423.0
2017-11-24,88459,90192,82876,82878,2258404,11824838.0,137338423.0
2017-11-27,80181,87497,80181,87113,2048518,12429127.0,137338423.0
2017-11-28,88748,89326,84417,84417,2058167,12044580.0,137338423.0
2017-11-29,85091,85764,80855,84417,1941471,12044580.0,137338423.0
2017-11-30,85187,86054,82010,83937,4260120,11975910.0,137338423.0
2017-12-01,85572,88556,84321,86440,2027438,12332990.0,137338423.0
2017-12-04,85956,86150,82299,83551,1263730,11920975.0,137338423.0
2017-12-05,83454,83454,78449,78450,1819566,11193081.0,137338423.0
2017-12-06,78930,80951,75754,78161,1239059,11151880.0,137338423.0
2017-12-07,77775,78545,70171,71327,2712547,10176777.0,137338423.0
2017-12-08,71230,78352,71133,74984,2479227,10698663.0,137338423.0
2017-12-11,76042,81722,75850,81530,1922122,11632564.0,137338423.0
2017-12-12,84031,85860,81337,83744,1917006,11948443.0,137338423.0
2017-12-13,85379,90288,84031,89616,2573348,12786207.0,137338423.0
2017-12-14,92310,94042,83454,90482,7190220,12909812.0,137338423.0
2017-12-15,89904,91059,87112,87113,1697765,12429127.0,137338423.0
2017-12-18,88556,89326,84705,85669,1645535,12223120.0,137338423.0
2017-12-19,84705,88556,80855,88365,2090597,12607667.0,137338423.0
2017-12-20,88075,90385,86342,86632,1531306,12360458.0,137338423.0
2017-12-21,85668,89037,85187,85766,1424437,12236853.0,137338423.0
2017-12-22,87016,92310,86150,92311,2750229,13170755.0,137338423.0
2017-12-26,93080,98567,92502,96354,3715026,13747576.0,137338423.0
2017-12-27,100572,106460,97138,105577,3099701,14777614.0,137338423.0
2017-12-28,105576,109796,104105,106558,2369291,14914953.0,137338423.0
2018-01-02,104595,106950,102633,104694,2856723,14654010.0,137338423.0
2018-01-03,105478,109403,105184,107441,3104082,15038557.0,137338423.0
2018-01-04,107931,109992,101259,104007,2626404,14557873.0,137338423.0
2018-01-05,104792,107146,102535,106951,1625817,14969888.0,137338423.0
2018-01-08,110777,117449,109599,115291,3522722,16137265.0,137338423.0
2018-01-09,115487,115879,107931,110385,3311489,15450573.0,137338423.0
2018-01-10,111660,114407,103320,106951,2007372,14969888.0,137338423.0
2018-01-11,106950,128733,103810,126182,5647779,17661721.0,137338423.0
2018-01-12,129714,160916,126182,145316,11645454,20339820.0,137338423.0
2018-01-15,146689,159935,140605,150908,6977397,21122649.0,137338423.0
2018-01-16,145315,151693,142862,148848,2925898,20834239.0,137338423.0
2018-01-17,150221,152085,128046,128046,5454898,17922664.0,137338423.0
2018-01-18,127653,135797,126868,132069,3744057,18485752.0,137338423.0
2018-01-19,133050,134031,119608,121669,3972246,17029964.0,137338423.0
2018-01-22,117841,119215,113622,115781,3097657,16205934.0,137338423.0
2018-01-23,118234,128537,117155,121472,3585497,17002497.0,137338423.0
2018-01-24,126084,126868,116860,117842,2009267,16494345.0,137338423.0
2018-01-25,117351,118528,111562,114604,1872886,16041128.0,137338423.0
2018-01-26,114309,122551,111954,119804,2319255,16769021.0,137338423.0
2018-01-29,116762,128831,116762,128046,2562507,17922664.0,137338423.0
2018-01-30,129518,138937,126084,133443,3815956,18678026.0,137338423.0
2018-01-31,130106,135896,129223,134424,2376614,18815364.0,137338423.0
2018-02-01,133835,135601,123631,123827,2552085,17332109.0,137338423.0
2018-02-02,127752,128537,118528,122846,2683844,17194771.0,137338423.0
2018-02-05,118332,120589,115192,115781,1690948,16205934.0,137338423.0
2018-02-06,111169,122257,109796,121374,3579162,17011783.0,137524520.0
2018-02-07,124612,124710,109599,109796,2735770,15388994.0,137524520.0
2018-02-08,112052,122257,104203,119216,4303555,16709229.0,137524520.0
2018-02-09,113917,122453,112935,116763,3145703,16365418.0,137524520.0
2018-02-12,119411,121276,113917,114113,1924610,15994102.0,137524520.0
2018-02-13,116860,118136,110875,111170,1586769,15581528.0,137524520.0
2018-02-14,113819,117449,112052,117351,1404465,16447933.0,137524520.0
2018-02-19,120196,127457,119411,127458,2385667,17864435.0,137524520.0
2018-02-20,126967,128144,121962,123140,1480599,17259327.0,137524520.0
2018-02-21,123532,126378,122355,124710,1063019,17479366.0,137524520.0
2018-02-22,123532,124317,120687,122944,1006756,17231822.0,137524520.0
2018-02-23,123140,124906,122061,123239,1037187,17273080.0,137524520.0
2018-02-26,125299,127457,123827,125495,1245156,17589386.0,137524520.0
2018-02-27,127653,129910,126084,127556,1992349,17878188.0,137524520.0
2018-02-28,118725,123140,116566,117351,3778726,16447933.0,137524520.0
2018-03-02,116762,119411,115487,118333,1805387,16585457.0,137524520.0
2018-03-05,120000,121079,114702,114898,1464821,16104121.0,137524520.0
2018-03-06,116173,118725,113917,117155,994553,16420428.0,137524520.0
2018-03-07,109894,111169,102044,103222,7048978,14467580.0,137524520.0
2018-03-08,104399,107931,103025,106656,2132737,14948915.0,137524520.0
2018-03-09,106656,110286,101750,102731,1718617,14398817.0,137524520.0
2018-03-12,103810,104595,100082,104596,1206050,14660114.0,137524520.0
2018-03-13,104595,104595,100965,102928,1265045,14426322.0,137524520.0
2018-03-14,101455,103810,101063,102928,882809,14426322.0,137524520.0
2018-03-15,104007,107931,103614,106166,1452197,14880153.0,137524520.0
2018-03-16,108029,109403,105675,107147,1033891,15017678.0,137524520.0
2018-03-19,107637,108814,105576,105577,531242,14797638.0,137524520.0
2018-03-20,104301,111267,104007,110875,1219444,15540271.0,137524520.0
2018-03-21,111562,111856,106950,107441,1057290,15058935.0,137524520.0
2018-03-22,108226,110188,104007,105479,841856,14783886.0,137524520.0
2018-03-23,101554,105478,100082,100377,1161910,14068758.0,137524520.0
2018-03-26,100572,102927,98119,101750,1072538,14261293.0,137524520.0
2018-03-27,103025,104203,100474,100965,745971,14151273.0,137524520.0
2018-03-28,99297,99984,96648,98610,1261644,13821214.0,137524520.0
2018-03-29,100867,105675,99199,105577,1201372,14797638.0,137524520.0
2018-03-30,106852,108128,103810,104498,846028,14646361.0,137524520.0
2018-04-02,104497,106656,102927,102928,458870,14426322.0,137524520.0
2018-04-03,101063,102437,100180,101554,649761,14233788.0,137524520.0
2018-04-04,102927,102927,99002,99101,772380,13889977.0,137524520.0
2018-04-05,98217,105773,96255,99297,1736867,13917481.0,137524520.0
2018-04-06,99395,100867,98806,98905,546544,13862472.0,137524520.0
2018-04-09,100572,103516,99199,100769,842171,14123768.0,137524520.0
2018-04-10,102437,102535,99689,100082,599068,14027501.0,137524520.0
2018-04-11,101161,101259,98119,98218,766945,13766204.0,137524520.0
2018-04-12,98610,99395,96451,96648,859903,13546165.0,137524520.0
2018-04-13,96549,96648,92428,93704,1170469,13133592.0,137524520.0
2018-04-16,93704,96549,93410,93704,730577,13133592.0,137524520.0
2018-04-17,94391,94489,90957,92135,802882,12913552.0,137524520.0
2018-04-18,93213,93802,89485,89682,799967,12569741.0,137524520.0
2018-04-19,88896,88994,84383,84481,1613441,11840861.0,137524520.0
2018-04-20,84088,87326,82420,85266,1312018,11950881.0,137524520.0
2018-04-23,84383,85266,79967,79968,1119969,11208248.0,137524520.0
2018-04-24,80262,83892,79967,80360,1125570,11263258.0,137524520.0
2018-04-25,80262,84873,79869,84383,1259749,11827109.0,137524520.0
