노바텍(285490),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-11-02,14100,18300,14100,18300,2834225,84670.0,4626800.0
2018-11-05,22900,22900,18900,19450,3358969,89991.0,4626800.0
2018-11-06,19350,20350,18150,20250,1118769,93693.0,4626800.0
2018-11-07,19550,20850,18650,19850,752907,91842.0,4626800.0
2018-11-08,20850,25800,20100,25800,840210,119371.0,4626800.0
2018-11-09,25150,27350,23500,25700,2080933,118909.0,4626800.0
2018-11-12,25900,27600,24450,26100,1185801,120759.0,4626800.0
2018-11-13,25250,25750,24000,24000,506470,111043.0,4626800.0
2018-11-14,24050,24450,21200,21500,686204,99476.0,4626800.0
2018-11-15,21350,22100,20250,21300,456123,98551.0,4626800.0
2018-11-16,21150,24700,20950,22100,933572,102252.0,4626800.0
2018-11-19,21800,22050,20650,20650,287020,95543.0,4626800.0
2018-11-20,20700,21600,20500,20550,187884,95081.0,4626800.0
2018-11-21,20000,20050,18050,18800,442834,86984.0,4626800.0
2018-11-22,18950,19050,18150,18300,164407,84670.0,4626800.0
2018-11-23,18100,19150,18100,18950,227294,87678.0,4626800.0
2018-11-26,19000,22000,19000,20350,626162,94155.0,4626800.0
2018-11-27,20300,20550,19650,20300,137373,93924.0,4626800.0
2018-11-28,20400,20550,18900,18900,94559,87447.0,4626800.0
2018-11-29,19100,20000,18500,18500,82961,85596.0,4626800.0
2018-11-30,18450,19000,18400,18500,54878,85596.0,4626800.0
2018-12-03,18550,19300,18450,18550,55400,85827.0,4626800.0
2018-12-04,18600,18800,18200,18300,53652,84670.0,4626800.0
2018-12-05,17950,18100,17000,17600,28906,81432.0,4626800.0
2018-12-06,17650,17650,16750,16750,51988,77499.0,4626800.0
2018-12-07,16850,17400,16800,16950,36042,78424.0,4626800.0
2018-12-10,16600,16700,16050,16200,29321,74954.0,4626800.0
2018-12-11,16400,16700,15600,15600,26178,72178.0,4626800.0
2018-12-12,15500,18500,15150,16350,227361,75648.0,4626800.0
2018-12-13,16700,17600,16500,16900,41357,78193.0,4626800.0
2018-12-14,17100,17200,16550,17000,28244,78656.0,4626800.0
2018-12-17,16700,19500,16700,19000,162077,87909.0,4626800.0
2018-12-18,19100,22400,19000,20600,390076,95312.0,4626800.0
2018-12-19,21250,24950,20700,23300,485988,107804.0,4626800.0
2018-12-20,23550,24800,23100,23250,182457,107573.0,4626800.0
2018-12-21,23700,23800,22950,22950,43966,106185.0,4626800.0
2018-12-24,22650,23900,21300,22850,140706,105722.0,4626800.0
2018-12-26,22600,24700,22600,23850,121589,110349.0,4626800.0
2018-12-27,24700,25050,24000,24700,82622,114282.0,4626800.0
2018-12-28,25000,26500,24700,26150,104774,120991.0,4626800.0
2019-01-02,26500,27950,26300,27100,59014,125386.0,4626800.0
2019-01-03,27100,29300,27100,28500,84381,131864.0,4626800.0
2019-01-04,28550,29350,26150,28650,89889,132558.0,4626800.0
2019-01-07,28750,30300,28750,30200,70678,139729.0,4626800.0
2019-01-08,30400,31850,30000,31500,75129,145744.0,4626800.0
2019-01-09,31550,34250,31550,33800,77244,156386.0,4626800.0
2019-01-10,34000,35100,30000,34150,284121,158005.0,4626800.0
2019-01-11,34800,35050,33000,33750,68550,156154.0,4626800.0
2019-01-14,33900,34200,30600,31700,91777,146670.0,4626800.0
2019-01-15,32000,32550,29750,30700,100359,142043.0,4626800.0
2019-01-16,30400,30400,22000,22900,1855991,105954.0,4626800.0
2019-01-17,23000,23150,20550,21450,643923,99245.0,4626800.0
2019-01-18,21550,22150,20750,21250,277907,98320.0,4626800.0
2019-01-21,21550,21850,20750,21250,167161,98320.0,4626800.0
2019-01-22,21100,22550,21000,21600,247054,99939.0,4626800.0
2019-01-23,21200,21450,20800,20950,150578,96931.0,4626800.0
2019-01-24,20950,21150,20150,20400,125847,94387.0,4626800.0
2019-01-25,20650,21100,20350,20600,109819,95312.0,4626800.0
2019-01-28,20550,21000,20350,20550,61523,95081.0,4626800.0
2019-01-29,20450,20650,20000,20050,60009,92767.0,4626800.0
2019-01-30,20100,20600,19900,20000,62873,92536.0,4626800.0
2019-01-31,20350,20350,19650,20050,56282,92767.0,4626800.0
2019-02-01,20000,20350,19800,20050,53780,92767.0,4626800.0
2019-02-07,20500,20750,20150,20400,46213,94387.0,4626800.0
2019-02-08,20250,20600,20100,20350,42969,94155.0,4626800.0
2019-02-11,20450,20600,20100,20150,47611,93230.0,4626800.0
2019-02-12,20150,20500,20100,20100,31667,92999.0,4626800.0
2019-02-13,20150,20350,19650,20200,78115,93461.0,4626800.0
2019-02-14,19800,21450,19800,20950,229498,96931.0,4626800.0
2019-02-15,21050,21550,20900,21300,92172,98551.0,4626800.0
2019-02-18,21600,21600,20850,21000,48426,97163.0,4626800.0
2019-02-19,21250,21250,20700,20900,45019,96700.0,4626800.0
2019-02-20,21050,21050,20200,20350,54889,94155.0,4626800.0
2019-02-21,20600,20600,20050,20100,27183,92999.0,4626800.0
2019-02-22,20150,20350,19950,20100,20522,92999.0,4626800.0
2019-02-25,20100,20500,20050,20100,24876,92999.0,4626800.0
2019-02-26,20150,20650,20150,20200,37058,93461.0,4626800.0
2019-02-27,20500,21550,20250,21200,113559,98088.0,4626800.0
2019-02-28,21350,21500,20000,20200,73289,93461.0,4626800.0
2019-03-04,20250,20900,20250,20600,39891,95312.0,4626800.0
2019-03-05,20600,21000,20350,20500,40142,94849.0,4626800.0
2019-03-06,20600,20900,20350,20500,38789,94849.0,4626800.0
2019-03-07,20500,20650,20100,20200,27372,93461.0,4626800.0
2019-03-08,20100,20400,19900,20000,30147,92536.0,4626800.0
2019-03-11,20000,20250,18600,19200,70909,88835.0,4626800.0
