엘티씨(170920),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-10-08,25000,25900,21250,21250,1834803,139188.0,6550000.0
2013-10-10,21350,21650,20700,20750,534037,135912.0,6550000.0
2013-10-11,21200,21300,20250,20300,351180,132965.0,6550000.0
2013-10-14,20700,20850,20200,20200,173775,132310.0,6550000.0
2013-10-15,20400,21150,20200,20600,272269,134930.0,6550000.0
2013-10-16,20700,20750,19400,19600,189011,128380.0,6550000.0
2013-10-17,19800,19850,18650,18800,191538,123140.0,6550000.0
2013-10-18,18750,19100,18400,18700,75807,122485.0,6550000.0
2013-10-21,19150,19700,18850,18850,139727,123468.0,6550000.0
2013-10-22,18950,18950,18350,18500,83583,121175.0,6550000.0
2013-10-23,18350,18500,17750,17850,166959,116918.0,6550000.0
2013-10-24,17950,19500,17850,19150,241840,125432.0,6550000.0
2013-10-25,19450,19750,19050,19250,109115,126088.0,6550000.0
2013-10-28,19150,19500,18850,19300,40460,126415.0,6550000.0
2013-10-29,19100,19700,18800,19500,74989,127725.0,6550000.0
2013-10-30,19550,20400,19550,20400,219365,133620.0,6550000.0
2013-10-31,20400,20900,20100,20100,167081,131655.0,6550000.0
2013-11-01,20000,20850,20000,20750,96493,135912.0,6550000.0
2013-11-04,20900,20950,20450,20750,80394,135912.0,6550000.0
2013-11-05,20800,21400,20500,20650,78189,135258.0,6550000.0
2013-11-06,20550,21000,20550,20650,66644,135258.0,6550000.0
2013-11-07,20700,22050,20700,21600,141061,141480.0,6550000.0
2013-11-08,21500,21750,20500,21450,145261,140498.0,6550000.0
2013-11-11,21350,21450,20800,21050,75245,137878.0,6550000.0
2013-11-12,21100,21700,21100,21500,83713,140825.0,6550000.0
2013-11-13,21550,21900,21000,21350,81330,139842.0,6550000.0
2013-11-14,21250,21400,20950,21000,38104,137550.0,6550000.0
2013-11-15,20800,21300,20700,21100,32185,138205.0,6550000.0
2013-11-18,21350,21350,20350,21050,49257,137878.0,6550000.0
2013-11-19,20950,21200,20750,21150,40049,138532.0,6550000.0
2013-11-20,21200,21250,20450,20750,51080,135912.0,6550000.0
2013-11-21,20600,20900,20500,20700,33420,135585.0,6550000.0
