교보7호스팩(267320),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-06-22,2005,2005,1950,1955,748413,7859.0,4020000.0
2017-06-23,1950,1975,1945,1975,39574,7940.0,4020000.0
2017-06-26,1975,1975,1950,1955,91468,7859.0,4020000.0
2017-06-27,1970,1970,1960,1960,6730,7879.0,4020000.0
2017-06-28,1960,1970,1955,1960,40310,7879.0,4020000.0
2017-06-29,1960,1980,1960,1980,26928,7960.0,4020000.0
2017-06-30,1990,2230,1990,2060,558659,8281.0,4020000.0
2017-07-03,2105,2145,2000,2020,294211,8120.0,4020000.0
2017-07-04,2020,2020,1990,1995,102713,8020.0,4020000.0
2017-07-05,2000,2005,1995,1995,60461,8020.0,4020000.0
2017-07-06,2020,2035,1985,2000,27056,8040.0,4020000.0
2017-07-07,1990,2090,1990,2030,47740,8161.0,4020000.0
2017-07-10,2020,2045,2000,2010,46388,8080.0,4020000.0
2017-07-11,2035,2050,2010,2025,62771,8140.0,4020000.0
2017-07-12,2025,2075,2015,2015,40165,8100.0,4020000.0
2017-07-13,2015,2075,2015,2030,21824,8161.0,4020000.0
2017-07-14,2055,2060,2020,2025,32404,8140.0,4020000.0
2017-07-17,2025,2025,2005,2010,47139,8080.0,4020000.0
2017-07-18,2035,2035,2005,2020,2495,8120.0,4020000.0
2017-07-19,2010,2020,2010,2015,6298,8100.0,4020000.0
2017-07-20,2030,2030,2005,2005,12277,8060.0,4020000.0
2017-07-21,2015,2015,2005,2005,1607,8060.0,4020000.0
2017-07-24,2005,2015,2000,2015,2548,8100.0,4020000.0
2017-07-25,2005,2040,2005,2010,4668,8080.0,4020000.0
2017-07-26,2000,2015,2000,2010,2983,8080.0,4020000.0
2017-07-27,2010,2015,2005,2010,11352,8080.0,4020000.0
2017-07-28,2005,2030,2000,2030,3005,8161.0,4020000.0
2017-07-31,2040,2040,2000,2030,2147,8161.0,4020000.0
2017-08-01,2030,2030,2000,2020,12654,8120.0,4020000.0
2017-08-02,2005,2020,2005,2015,719,8100.0,4020000.0
2017-08-03,2005,2020,2000,2020,3896,8120.0,4020000.0
2017-08-04,2000,2020,2000,2020,11696,8120.0,4020000.0
2017-08-07,2020,2020,2020,2020,145,8120.0,4020000.0
2017-08-08,2000,2020,2000,2020,791,8120.0,4020000.0
2017-08-09,2000,2030,2000,2005,438,8060.0,4020000.0
2017-08-10,2025,2025,2025,2025,1,8140.0,4020000.0
2017-08-11,2020,2020,2000,2000,4435,8040.0,4020000.0
2017-08-14,2020,2020,2020,2020,1,8120.0,4020000.0
2017-08-16,2000,2020,1995,2000,2386,8040.0,4020000.0
2017-08-17,2030,2030,2000,2020,12,8120.0,4020000.0
2017-08-18,2000,2015,2000,2000,30001,8040.0,4020000.0
2017-08-21,2025,2025,1995,2020,1652,8120.0,4020000.0
2017-08-22,1995,2015,1995,2015,4016,8100.0,4020000.0
2017-08-23,2000,2015,1995,2015,5326,8100.0,4020000.0
2017-08-24,2070,2070,2000,2035,1052,8181.0,4020000.0
2017-08-25,2000,2040,2000,2040,4346,8201.0,4020000.0
2017-08-28,2050,2050,2010,2025,7470,8140.0,4020000.0
2017-08-29,2020,2045,2020,2045,9685,8221.0,4020000.0
2017-08-30,2015,2030,2015,2030,3625,8161.0,4020000.0
2017-08-31,2040,2040,2010,2025,1303,8140.0,4020000.0
2017-09-01,2015,2040,2015,2040,55402,8201.0,4020000.0
2017-09-04,2015,2030,2010,2030,2854,8161.0,4020000.0
2017-09-05,2020,2030,2010,2030,14425,8161.0,4020000.0
2017-09-06,2020,2035,2015,2035,5685,8181.0,4020000.0
2017-09-07,2015,2015,2015,2015,3837,8100.0,4020000.0
2017-09-08,2015,2025,2010,2025,11780,8140.0,4020000.0
2017-09-11,2010,2015,2010,2015,4312,8100.0,4020000.0
2017-09-12,2010,2015,2010,2015,26509,8100.0,4020000.0
2017-09-13,2010,2015,2010,2010,5872,8080.0,4020000.0
2017-09-14,2010,2010,2010,2010,5644,8080.0,4020000.0
2017-09-15,2010,2030,2010,2030,185,8161.0,4020000.0
2017-09-18,2005,2015,2005,2005,18948,8060.0,4020000.0
2017-09-19,2020,2020,2005,2005,13203,8060.0,4020000.0
2017-09-20,2005,2010,2005,2005,3103,8060.0,4020000.0
2017-09-21,2005,2025,2005,2025,40565,8140.0,4020000.0
2017-09-22,2005,2010,2005,2005,3800,8060.0,4020000.0
2017-09-25,2005,2010,2005,2010,4418,8080.0,4020000.0
2017-09-26,2010,2015,2005,2010,6179,8080.0,4020000.0
2017-09-27,2010,2010,2005,2010,13972,8080.0,4020000.0
2017-09-28,2005,2015,2000,2000,8701,8040.0,4020000.0
2017-09-29,2000,2015,2000,2015,4675,8100.0,4020000.0
2017-10-10,2005,2005,2000,2000,3201,8040.0,4020000.0
2017-10-11,2000,2020,2000,2005,23663,8060.0,4020000.0
2017-10-12,2005,2010,2005,2005,1051,8060.0,4020000.0
2017-10-13,2000,2020,2000,2020,1254,8120.0,4020000.0
2017-10-16,2020,2020,2010,2010,8001,8080.0,4020000.0
2017-10-17,2020,2020,2010,2010,6712,8080.0,4020000.0
2017-10-18,2020,2020,2015,2015,5427,8100.0,4020000.0
2017-10-19,2020,2025,2020,2020,4408,8120.0,4020000.0
2017-10-20,2010,2015,2005,2010,15493,8080.0,4020000.0
2017-10-23,2020,2020,2005,2005,6427,8060.0,4020000.0
2017-10-24,2020,2020,2010,2010,12490,8080.0,4020000.0
2017-10-25,2000,2015,2000,2010,5860,8080.0,4020000.0
2017-10-26,2000,2020,2000,2015,4736,8100.0,4020000.0
2017-10-27,2015,2015,1995,2000,42307,8040.0,4020000.0
2017-10-30,2000,2020,2000,2010,4108,8080.0,4020000.0
2017-10-31,2015,2015,2015,2015,347,8100.0,4020000.0
2017-11-01,2015,2020,2015,2020,2001,8120.0,4020000.0
2017-11-02,2015,2015,2000,2000,16479,8040.0,4020000.0
2017-11-03,2015,2015,2010,2010,2230,8080.0,4020000.0
2017-11-06,2000,2050,2000,2015,14338,8100.0,4020000.0
2017-11-07,2010,2010,2000,2010,499,8080.0,4020000.0
2017-11-08,2015,2015,2010,2010,3126,8080.0,4020000.0
2017-11-09,2000,2020,2000,2010,3252,8080.0,4020000.0
2017-11-10,2000,2015,2000,2010,3490,8080.0,4020000.0
2017-11-13,2000,2015,2000,2010,2553,8080.0,4020000.0
2017-11-14,1990,2025,1990,1995,2165,8020.0,4020000.0
2017-11-15,1990,2015,1990,1990,2838,8000.0,4020000.0
2017-11-16,1990,2010,1990,2005,2974,8060.0,4020000.0
2017-11-17,1980,2020,1970,2020,3917,8120.0,4020000.0
2017-11-20,2005,2010,2005,2005,22490,8060.0,4020000.0
2017-11-21,2010,2010,2005,2005,400,8060.0,4020000.0
2017-11-22,1965,2015,1965,2000,1977,8040.0,4020000.0
