코미코(183300),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-03-23,26000,30000,20450,21500,5360396,173612.0,8075000.0
2017-03-24,21550,25500,20700,22200,4692232,179265.0,8075000.0
2017-03-27,22000,22600,19750,19850,943568,160289.0,8075000.0
2017-03-28,19850,20250,18700,19300,619684,155848.0,8075000.0
2017-03-29,19350,20600,19100,19250,504923,155444.0,8075000.0
2017-03-30,19550,19550,18400,18700,302155,151002.0,8075000.0
2017-03-31,18700,19100,18250,18250,200616,147369.0,8075000.0
2017-04-03,18350,18700,18100,18350,183468,148176.0,8075000.0
2017-04-04,18650,19850,18450,18750,526477,151406.0,8075000.0
2017-04-05,19050,19300,18550,18850,210555,152214.0,8075000.0
2017-04-06,18950,19000,18200,18250,174016,147369.0,8075000.0
2017-04-07,18200,18650,17550,17550,447701,141716.0,8075000.0
2017-04-10,17600,17600,16350,16650,241157,134449.0,8075000.0
2017-04-11,16700,16900,16100,16300,131401,131622.0,8075000.0
2017-04-12,16900,18850,16900,17200,807352,138890.0,8075000.0
2017-04-13,17450,19200,17300,18450,727520,148984.0,8075000.0
2017-04-14,18400,18750,17800,17800,201099,143735.0,8075000.0
2017-04-17,18000,18600,17850,18350,171159,148176.0,8075000.0
2017-04-18,18350,18700,17850,18350,211410,148176.0,8075000.0
2017-04-19,18350,18500,18000,18100,102078,146158.0,8075000.0
2017-04-20,18100,18350,17850,18150,111135,146561.0,8075000.0
2017-04-21,18350,19450,18250,19400,456680,156655.0,8075000.0
2017-04-24,19050,19300,18650,18700,192273,151002.0,8075000.0
2017-04-25,18900,19200,18500,18600,145628,150195.0,8075000.0
2017-04-26,18550,18950,18100,18150,134036,146561.0,8075000.0
2017-04-27,18300,18300,17500,17850,126314,144139.0,8075000.0
2017-04-28,17850,18950,17850,17950,172175,144946.0,8075000.0
2017-05-02,18100,19300,18100,19250,295706,155444.0,8075000.0
2017-05-04,19250,19450,18850,19200,114070,155040.0,8075000.0
2017-05-08,19500,19750,19200,19500,157976,157462.0,8075000.0
2017-05-10,19550,19600,18900,19150,117443,154636.0,8075000.0
2017-05-11,19150,19150,18650,19000,136240,153425.0,8075000.0
2017-05-12,18900,19500,18850,19300,136166,155848.0,8075000.0
2017-05-15,19300,19300,18700,18750,74831,151406.0,8075000.0
2017-05-16,18950,19400,18750,19200,112734,155040.0,8075000.0
2017-05-17,19150,19200,18800,18850,60545,152214.0,8075000.0
2017-05-18,18500,18600,18000,18400,157737,148580.0,8075000.0
2017-05-19,18400,18600,18200,18400,72029,148580.0,8075000.0
2017-05-22,18600,18600,18100,18200,63221,146965.0,8075000.0
2017-05-23,18300,18550,17950,18450,87786,148984.0,8075000.0
2017-05-24,18450,18600,18300,18350,45496,148176.0,8075000.0
2017-05-25,18500,19400,18300,19200,215953,155040.0,8075000.0
2017-05-26,19750,20950,19650,19950,664324,161096.0,8075000.0
2017-05-29,20050,20150,19350,20000,162805,161500.0,8075000.0
2017-05-30,20000,20950,19950,20650,308772,166749.0,8075000.0
2017-05-31,20450,20900,20200,20450,123639,165134.0,8075000.0
2017-06-01,20450,20550,19650,19900,161045,160692.0,8075000.0
2017-06-02,20150,20150,19600,19700,94097,159078.0,8075000.0
2017-06-05,19800,20100,19600,19850,71044,160289.0,8075000.0
2017-06-07,20250,21800,20050,21800,578747,176035.0,8075000.0
2017-06-08,22150,23900,21650,22850,947216,184514.0,8075000.0
2017-06-09,23150,23750,22700,22800,359649,184110.0,8075000.0
2017-06-12,22550,24300,22100,23800,508864,192185.0,8075000.0
2017-06-13,24000,24200,23000,23350,290584,188551.0,8075000.0
2017-06-14,23000,23300,22250,22400,258602,180880.0,8075000.0
2017-06-15,22600,23050,22300,22750,137250,183706.0,8075000.0
2017-06-16,23050,23550,22350,22450,129932,181284.0,8075000.0
2017-06-19,22450,23750,22150,23450,174083,189359.0,8075000.0
2017-06-20,23550,24100,23200,23750,243310,191781.0,8075000.0
2017-06-21,24000,24450,23400,23450,225646,189359.0,8075000.0
2017-06-22,23500,23600,22550,22600,152988,182495.0,8075000.0
2017-06-23,21950,22150,21500,22050,372928,178054.0,8075000.0
2017-06-26,22150,24300,22050,24300,467885,196222.0,8075000.0
2017-06-27,24700,25650,24000,24850,684404,200664.0,8075000.0
2017-06-28,24900,25850,23800,24050,507247,194204.0,8075000.0
2017-06-29,24400,24950,23000,24100,277161,194608.0,8075000.0
2017-06-30,23500,23950,23250,23900,126808,192992.0,8075000.0
2017-07-03,24100,24550,23100,23200,188338,187340.0,8075000.0
2017-07-04,23350,23900,22850,22900,162036,184918.0,8075000.0
