엔지켐생명과학(183490),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-09-25,7500,7500,7500,7500,100,26750.0,3566660.0
2013-09-26,7000,7000,7000,7000,200,24967.0,3566660.0
2013-09-27,6710,6710,6710,6710,200,23932.0,3566660.0
2013-09-30,0,0,0,6690,0,23861.0,3566660.0
2013-10-01,6770,6770,6770,6770,100,24146.0,3566660.0
2013-10-02,6000,6000,6000,6000,200,21400.0,3566660.0
2013-10-04,0,0,0,6000,0,21400.0,3566660.0
2013-10-07,0,0,0,6000,0,,
2013-10-08,5750,5750,5750,5750,200,20508.0,3566660.0
2013-10-10,5500,5500,5500,5500,200,19617.0,3566660.0
2013-10-11,5260,5260,5260,5260,200,18761.0,3566660.0
2013-10-14,5030,5030,5030,5030,200,17940.0,3566660.0
2013-10-15,4840,4840,4840,4840,300,17263.0,3566660.0
2013-10-16,0,0,0,4840,0,17263.0,3566660.0
2013-10-17,4630,4630,4630,4630,300,16514.0,3566660.0
2013-10-18,4440,4440,4440,4440,300,15836.0,3566660.0
2013-10-21,4215,4215,4215,4215,300,15033.0,3566660.0
2013-10-22,3985,3985,3985,3985,300,14213.0,3566660.0
2013-10-23,3775,3950,3775,3950,500,14088.0,3566660.0
2013-10-24,3950,3950,3950,3950,2500,14088.0,3566660.0
2013-10-25,3895,3895,3895,3895,300,13892.0,3566660.0
2013-10-28,3645,3645,3645,3645,300,13000.0,3566660.0
2013-10-29,3645,3645,3645,3645,11000,13000.0,3566660.0
2013-10-30,3550,3550,3545,3545,3300,12644.0,3566660.0
2013-10-31,3560,3560,3560,3560,3400,12697.0,3566660.0
2013-11-01,3570,3570,3570,3570,300,12733.0,3566660.0
2013-11-04,3580,3580,3580,3580,200,12769.0,3566660.0
2013-11-05,0,0,0,3580,0,12769.0,3566660.0
2013-11-06,0,0,0,3580,0,,
2013-11-07,0,0,0,3580,0,,
2013-11-08,3580,3580,3580,3580,500,12769.0,3566660.0
2013-11-11,3580,3580,3580,3580,1600,12769.0,3566660.0
