대원(007680),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-12-01,16000,16450,13050,13300,3209658,146965.0,11050000.0
2017-12-04,13050,13100,11600,12000,744204,132600.0,11050000.0
2017-12-05,12000,12250,11700,11800,275732,130390.0,11050000.0
2017-12-06,11850,12000,11450,11550,218911,127628.0,11050000.0
2017-12-07,11600,11600,10900,11000,224633,121550.0,11050000.0
2017-12-08,11100,11800,10950,11000,373110,121550.0,11050000.0
2017-12-11,11100,11400,11000,11050,89343,122102.0,11050000.0
2017-12-12,11200,11450,10850,10950,119746,120998.0,11050000.0
2017-12-13,11050,11200,10650,10700,104705,118235.0,11050000.0
2017-12-14,10800,10950,10550,10700,116689,118235.0,11050000.0
2017-12-15,10800,10950,10650,10800,70955,119340.0,11050000.0
2017-12-18,10850,10900,10500,10550,87043,116578.0,11050000.0
2017-12-19,10600,10800,10250,10800,119199,119340.0,11050000.0
2017-12-20,10800,10900,10600,10700,79503,118235.0,11050000.0
2017-12-21,10550,10650,10050,10250,104484,113262.0,11050000.0
2017-12-22,10300,10600,10200,10600,48258,117130.0,11050000.0
2017-12-26,10650,11100,10650,10900,78055,120445.0,11050000.0
2017-12-27,10800,10900,10550,10750,22077,118788.0,11050000.0
2017-12-28,10800,10950,10550,10700,20507,118235.0,11050000.0
2018-01-02,10850,10900,10600,10800,28028,119340.0,11050000.0
2018-01-03,10750,10750,10600,10600,39968,117130.0,11050000.0
2018-01-04,10700,10750,10600,10750,29937,118788.0,11050000.0
2018-01-05,10800,11700,10800,11600,330812,128180.0,11050000.0
2018-01-08,11850,12000,11400,11650,174122,128732.0,11050000.0
2018-01-09,11700,11750,11350,11500,165269,127075.0,11050000.0
2018-01-10,11550,11650,11100,11350,119392,125418.0,11050000.0
2018-01-11,11350,11750,11300,11400,114415,125970.0,11050000.0
2018-01-12,11300,11400,11050,11050,75246,122102.0,11050000.0
2018-01-15,11150,11150,10700,10900,64960,120445.0,11050000.0
2018-01-16,10900,10950,10750,10950,27081,120998.0,11050000.0
2018-01-17,11000,11350,10900,10900,85553,120445.0,11050000.0
2018-01-18,11000,11150,10800,10850,41732,119892.0,11050000.0
2018-01-19,10950,11700,10900,11600,151049,128180.0,11050000.0
2018-01-22,11700,12050,11300,11750,170768,129838.0,11050000.0
2018-01-23,11700,11950,11550,11950,144522,132048.0,11050000.0
2018-01-24,12000,13000,11950,12400,502880,137020.0,11050000.0
2018-01-25,12400,12500,12100,12400,136865,137020.0,11050000.0
2018-01-26,12550,12600,12200,12450,132850,137572.0,11050000.0
2018-01-29,12350,12900,12300,12800,165915,141440.0,11050000.0
2018-01-30,12650,12950,12300,12700,95216,140335.0,11050000.0
2018-01-31,12900,13000,12500,12750,55288,140888.0,11050000.0
2018-02-01,12900,12950,12400,12650,64037,139782.0,11050000.0
2018-02-02,12500,12750,11950,12300,72627,135915.0,11050000.0
2018-02-05,11850,12000,11650,11800,55106,130390.0,11050000.0
2018-02-06,11250,12000,11100,11950,74985,132048.0,11050000.0
2018-02-07,11900,12150,11400,11600,40099,128180.0,11050000.0
2018-02-08,11650,11850,11300,11650,67615,128732.0,11050000.0
2018-02-09,11200,11700,11150,11600,49924,128180.0,11050000.0
2018-02-12,11600,11850,11050,11600,45704,128180.0,11050000.0
2018-02-13,11750,11800,11400,11650,18192,128732.0,11050000.0
2018-02-14,11800,11850,11400,11850,23326,130942.0,11050000.0
2018-02-19,11850,12000,11600,11950,30674,132048.0,11050000.0
2018-02-20,12000,12100,11800,12050,30613,133152.0,11050000.0
2018-02-21,11900,12050,11700,11800,40102,130390.0,11050000.0
2018-02-22,12350,12500,11800,11800,95040,130390.0,11050000.0
2018-02-23,11950,12250,11850,12200,50200,134810.0,11050000.0
2018-02-26,12300,12550,12050,12450,54175,137572.0,11050000.0
2018-02-27,12550,13450,12500,13100,220409,144755.0,11050000.0
2018-02-28,13450,13750,12900,13150,167656,145308.0,11050000.0
2018-03-02,12900,13900,12850,13500,129060,149175.0,11050000.0
2018-03-05,13800,13800,13150,13450,63092,148622.0,11050000.0
2018-03-06,13450,13500,12550,13100,144125,144755.0,11050000.0
2018-03-07,12750,12850,12250,12350,125176,136468.0,11050000.0
2018-03-08,12450,12800,12350,12650,42970,139782.0,11050000.0
2018-03-09,12500,12750,12400,12550,58446,138678.0,11050000.0
2018-03-12,12750,13250,12650,12900,101597,142545.0,11050000.0
2018-03-13,12750,13150,12750,13100,44874,144755.0,11050000.0
2018-03-14,13000,13250,12900,13050,34570,144202.0,11050000.0
2018-03-15,12900,13200,12850,13200,48515,145860.0,11050000.0
2018-03-16,13250,13650,13050,13500,108666,149175.0,11050000.0
2018-03-19,13300,13650,13250,13600,68580,150280.0,11050000.0
2018-03-20,13500,13650,13000,13350,124167,147518.0,11050000.0
2018-03-21,13100,13300,12850,12900,167294,142545.0,11050000.0
2018-03-22,13000,13200,12300,12400,130324,137020.0,11050000.0
2018-03-23,12250,12700,12150,12400,40519,137020.0,11050000.0
2018-03-26,12600,12700,12250,12350,39667,136468.0,11050000.0
2018-03-27,12500,12600,12150,12500,24768,138125.0,11050000.0
2018-03-28,12500,12600,11800,11950,68725,132048.0,11050000.0
2018-03-29,11850,12150,11850,11950,35243,132048.0,11050000.0
2018-03-30,12000,12200,11850,12050,24139,133152.0,11050000.0
2018-04-02,12100,12150,11850,12100,27215,133705.0,11050000.0
2018-04-03,11950,12100,11800,11950,45547,132048.0,11050000.0
2018-04-04,12000,12550,12000,12150,62169,134258.0,11050000.0
2018-04-05,12550,12550,12350,12450,13636,137572.0,11050000.0
