헬릭스미스(084990),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2005-12-29,22995,26444,19546,19547,1437779,238643.0,9358550.0
2006-01-02,18779,20274,18396,19049,388152,232560.0,9358550.0
2006-01-03,19929,21883,19622,21885,1032623,267187.0,9358550.0
2006-01-04,22075,23531,20466,20467,846378,249873.0,9358550.0
2006-01-05,20772,20925,19392,20773,427538,253617.0,9358550.0
2006-01-06,19929,20542,19661,19777,337129,241451.0,9358550.0
2006-01-09,19929,21194,19469,19968,779637,249651.0,9583550.0
2006-01-10,20006,20082,18971,19241,368673,240547.0,9583550.0
2006-01-11,19354,19699,18472,18474,170513,230964.0,9583550.0
2006-01-12,18357,19086,16709,17017,400125,212755.0,9583550.0
2006-01-13,16595,18779,16440,17976,433166,224734.0,9583550.0
2006-01-16,17515,17974,17054,17132,193433,214192.0,9583550.0
2006-01-17,16862,17131,16096,16328,167405,204130.0,9583550.0
2006-01-18,15981,16901,14563,14987,384110,187358.0,9583550.0
2006-01-19,15445,15521,14294,14411,168267,180171.0,9583550.0
2006-01-20,14218,15828,14142,14143,339526,176816.0,9583550.0
2006-01-23,13567,14410,12033,12035,221047,150462.0,9583550.0
2006-01-24,11574,12148,10271,11307,406630,141357.0,9583550.0
2006-01-25,11574,12991,11574,12303,1436801,153816.0,9583550.0
2006-01-26,12686,12686,11612,11958,272410,149503.0,9583550.0
2006-01-27,12264,13720,12186,13683,879628,171066.0,9583550.0
2006-01-31,13489,14832,13145,14104,1182755,176337.0,9583550.0
2006-02-01,13911,14333,11995,12227,685515,152858.0,9583550.0
2006-02-02,12608,12838,11688,12074,479843,150941.0,9583550.0
2006-02-03,11497,11688,10769,10808,473376,135128.0,9583550.0
2006-02-06,10271,10884,10040,10885,337311,136086.0,9583550.0
2006-02-07,10616,11497,10616,10885,446049,136086.0,9583550.0
2006-02-08,10654,11305,10385,10731,289921,134170.0,9583550.0
2006-02-09,11114,11305,10692,10808,339104,135128.0,9583550.0
2006-02-10,11152,12378,11114,11958,756914,149503.0,9583550.0
2006-02-13,12110,12646,11382,11498,769768,143753.0,9583550.0
2006-02-14,11535,11535,10960,11153,194419,139441.0,9583550.0
2006-02-15,11305,11612,10500,10502,400279,131295.0,9583550.0
2006-02-16,10538,10921,10347,10731,222981,134170.0,9583550.0
2006-02-17,10960,11190,10769,11192,283325,139920.0,9583550.0
2006-02-20,11114,11421,10999,11192,187640,139920.0,9583550.0
2006-02-21,11343,12033,11190,11882,418699,148545.0,9583550.0
2006-02-22,12186,13644,12148,12380,1873707,154774.0,9583550.0
2006-02-23,12532,12570,11650,11728,556563,146628.0,9583550.0
2006-02-24,11842,13452,11650,13146,3371342,164358.0,9583550.0
2006-02-27,13260,14908,12800,14642,1484454,183046.0,9583550.0
2006-02-28,14639,15100,13797,14334,1142511,179212.0,9583550.0
