해성산업(034810),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-04-16,1610,1610,1610,1610,190,16430.0,978000.0
1999-04-19,1802,1802,1802,1801,120,18386.0,978000.0
1999-04-20,2017,2017,2017,2017,41090,20587.0,978000.0
1999-04-21,2257,2257,2257,2256,227380,23032.0,978000.0
1999-04-22,2482,2492,2262,2482,710950,25330.0,978000.0
1999-04-23,2300,2779,2300,2779,399380,28362.0,978000.0
1999-04-26,3105,3110,2875,3109,412670,31736.0,978000.0
1999-04-27,3067,3354,3000,3124,183880,31883.0,978000.0
1999-04-28,3067,3210,3009,3076,144790,31394.0,978000.0
1999-04-29,3067,3354,2875,3354,200450,34230.0,978000.0
1999-04-30,3239,3757,3182,3747,227990,38240.0,978000.0
1999-05-03,3603,4193,3603,4192,193010,42788.0,978000.0
1999-05-04,4542,4696,4274,4695,86290,47922.0,978000.0
1999-05-06,5252,5252,4935,5251,150880,53594.0,978000.0
1999-05-07,5731,5731,4792,4791,46030,48900.0,978000.0
1999-05-10,4600,4600,4217,4600,100700,46944.0,978000.0
1999-05-11,4504,4705,4504,4556,116100,46504.0,978000.0
1999-05-12,4557,4888,4313,4791,134710,48900.0,978000.0
1999-05-13,4792,4792,4600,4600,82730,46944.0,978000.0
1999-05-14,4600,4888,4552,4600,56450,46944.0,978000.0
1999-05-17,4504,4600,4121,4408,100170,44988.0,978000.0
1999-05-18,4313,4399,4025,4360,120220,44499.0,978000.0
1999-05-19,4312,4408,4265,4408,37770,44988.0,978000.0
1999-05-20,4456,4935,4456,4935,125160,50367.0,978000.0
1999-05-21,5031,5520,5031,5520,190430,56333.0,978000.0
1999-05-24,5520,5731,5520,5644,68840,57604.0,978000.0
1999-05-25,4974,5731,4974,5730,87710,58484.0,978000.0
1999-05-26,5463,5654,5463,5654,35310,57702.0,978000.0
1999-05-27,5367,5597,5367,5529,44290,56431.0,978000.0
1999-05-28,5453,5568,5271,5567,72840,56822.0,978000.0
1999-05-31,5606,5616,5376,5587,36890,57017.0,978000.0
1999-06-01,5664,5664,5415,5462,27900,55746.0,978000.0
1999-06-02,5319,5415,5079,5165,9160,52714.0,978000.0
1999-06-03,5060,5271,4600,5175,32940,52812.0,978000.0
1999-06-04,4983,5165,4888,4887,13150,49878.0,978000.0
1999-06-07,4983,5472,4983,5472,125540,55844.0,978000.0
1999-06-08,5462,5510,5079,5242,26820,53497.0,978000.0
1999-06-09,5079,5079,4619,5079,119760,51834.0,978000.0
1999-06-10,4983,5271,4792,4983,42560,50856.0,978000.0
1999-06-11,5022,5079,4696,5079,71790,51834.0,978000.0
1999-06-14,4888,5271,4792,5079,221980,51834.0,978000.0
1999-06-15,5079,5079,4696,4791,102250,48900.0,978000.0
1999-06-16,4792,5367,4792,5366,245770,54768.0,978000.0
1999-06-17,6009,6009,5750,6008,333930,61321.0,978000.0
1999-06-18,6296,6613,6133,6516,218010,66504.0,978000.0
1999-06-21,6421,6421,5990,6142,56050,62690.0,978000.0
1999-06-22,6708,6708,5942,6008,162730,61321.0,978000.0
1999-06-23,5319,5750,5290,5750,123370,58680.0,978000.0
1999-06-24,5271,5750,5271,5510,28110,56235.0,978000.0
1999-06-25,5750,5750,5175,5558,54560,56724.0,978000.0
1999-06-28,5558,5558,4897,5242,35010,53497.0,978000.0
1999-06-29,5232,5462,4983,5270,132910,53790.0,978000.0
1999-06-30,5271,5558,5127,5405,28980,55159.0,978000.0
1999-07-01,5463,5846,5367,5750,82510,58680.0,978000.0
1999-07-02,5558,5558,5319,5443,28990,55550.0,978000.0
1999-07-05,5271,5798,5079,5654,114950,57702.0,978000.0
1999-07-06,5654,5750,5367,5702,67930,58191.0,978000.0
1999-07-07,5750,6383,5654,6382,203500,65135.0,978000.0
1999-07-08,6037,7140,6037,7139,208820,72861.0,978000.0
1999-07-09,7197,7619,6890,7283,198010,74328.0,978000.0
1999-07-12,7379,7667,6804,7369,128190,75208.0,978000.0
1999-07-13,7571,8251,7197,7657,79890,78142.0,978000.0
1999-07-14,7427,7648,6996,7187,26200,73350.0,978000.0
1999-07-15,6708,7187,6708,7082,27560,72274.0,978000.0
1999-07-16,7140,7619,7092,7331,48200,74817.0,978000.0
1999-07-19,7667,8194,7379,8097,153920,82641.0,978000.0
1999-07-20,8721,8721,8098,8299,28680,84695.0,978000.0
1999-07-21,8338,8817,8299,8625,124070,88020.0,978000.0
1999-07-22,8242,8721,8002,8433,32490,86064.0,978000.0
1999-07-23,8146,8625,7667,7858,41380,80196.0,978000.0
1999-07-26,8146,8146,6929,7618,24100,77751.0,978000.0
1999-07-27,7475,7772,7187,7772,129830,79316.0,978000.0
1999-07-28,7763,7763,7235,7609,27920,77653.0,978000.0
1999-07-29,7293,7600,7188,7561,13310,77164.0,978000.0
1999-07-30,7350,7571,7092,7570,19030,77262.0,978000.0
1999-08-02,7092,7360,7092,7360,6130,75110.0,978000.0
1999-08-03,7360,7571,7092,7091,67750,72372.0,978000.0
1999-08-04,7283,7283,6517,6708,47480,68460.0,978000.0
1999-08-05,6708,7235,6344,7187,36710,73350.0,978000.0
1999-08-06,6708,7082,6708,7082,9340,72274.0,978000.0
1999-08-09,6804,6996,6795,6947,32120,70905.0,978000.0
1999-08-10,6708,6948,6517,6708,6270,68460.0,978000.0
1999-08-11,5903,6804,5903,6708,3360,68460.0,978000.0
1999-08-12,6277,6708,5942,6708,15750,68460.0,978000.0
1999-08-13,6181,6708,6181,6708,3660,68460.0,978000.0
1999-08-16,6699,7513,6612,7513,9290,76675.0,978000.0
1999-08-17,7667,7954,6613,6612,20460,67482.0,978000.0
1999-08-18,6085,6708,5865,6708,18100,68460.0,978000.0
1999-08-19,6613,6689,6373,6689,6460,68264.0,978000.0
1999-08-20,6133,6641,6133,6641,5440,67775.0,978000.0
1999-08-23,6517,6660,6229,6602,9850,67384.0,978000.0
1999-08-24,6612,6612,6229,6420,13030,65526.0,978000.0
1999-08-25,6996,6996,6229,6420,3420,65526.0,978000.0
1999-08-26,6421,6421,6229,6229,4700,63570.0,978000.0
1999-08-27,5951,6085,5510,5558,19800,56724.0,978000.0
1999-08-30,5750,6133,5558,5750,14480,58680.0,978000.0
1999-08-31,5463,6133,5463,5654,2250,57702.0,978000.0
1999-09-01,5846,5846,5558,5750,4710,58680.0,978000.0
1999-09-02,5185,5942,5185,5740,2460,58582.0,978000.0
1999-09-03,5280,5750,5280,5702,3700,58191.0,978000.0
1999-09-06,5549,5740,5549,5654,4000,57702.0,978000.0
1999-09-07,5549,5549,5079,5452,3670,55648.0,978000.0
1999-09-08,5558,5558,5415,5462,2100,55746.0,978000.0
1999-09-09,4983,5453,4983,5366,180,54768.0,978000.0
1999-09-10,5415,5673,5290,5433,2170,55453.0,978000.0
1999-09-13,5175,6085,5175,6085,32730,62103.0,978000.0
1999-09-14,5673,5846,5415,5644,9750,57604.0,978000.0
1999-09-15,5367,5846,4993,5797,45720,59169.0,978000.0
1999-09-16,5271,5673,5127,5558,5090,56724.0,978000.0
1999-09-17,5127,5558,5127,5558,3940,56724.0,978000.0
1999-09-20,5740,5750,5185,5366,3260,54768.0,978000.0
1999-09-21,5367,5549,5367,5539,2060,56528.0,978000.0
1999-09-22,5127,5549,5127,5548,5990,56626.0,978000.0
1999-09-27,5415,5558,5415,5414,1600,55257.0,978000.0
1999-09-28,5271,5367,4773,5261,3910,53692.0,978000.0
1999-09-29,4792,4974,4744,4791,8410,48900.0,978000.0
1999-09-30,4504,4792,4504,4743,3300,48411.0,978000.0
1999-10-01,4744,4744,4313,4600,3250,46944.0,978000.0
1999-10-04,4696,4696,4504,4695,2280,47922.0,978000.0
1999-10-05,4696,5031,4178,4600,24770,46944.0,978000.0
1999-10-06,4648,4648,4226,4600,990,46944.0,978000.0
1999-10-07,4322,4590,4265,4456,1180,45477.0,978000.0
1999-10-08,4274,4590,4265,4571,1910,46651.0,978000.0
