나인컴플렉스(082660),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2005-10-05,32491,33426,28579,28854,481496,52002.0,4860000.0
2005-10-06,28580,30064,28580,29661,105553,53460.0,4860000.0
2005-10-07,29927,34108,29524,34114,222226,61479.0,4860000.0
2005-10-10,35313,39091,34104,39102,223608,70470.0,4860000.0
2005-10-11,40984,44896,40441,44902,239963,80919.0,4860000.0
2005-10-12,47991,48534,41386,43144,129441,77760.0,4860000.0
2005-10-13,41519,42600,36672,37081,140968,66825.0,4860000.0
2005-10-14,36128,40309,36128,37482,110747,67554.0,4860000.0
2005-10-17,37206,38018,32762,33708,74129,60750.0,4860000.0
2005-10-18,32622,37072,32622,34783,49493,62694.0,4860000.0
2005-10-19,33704,35317,32893,33302,37263,60021.0,4860000.0
2005-10-20,32625,35049,32625,33034,18906,59535.0,4860000.0
2005-10-21,32355,35999,32355,34382,29942,61965.0,4860000.0
2005-10-24,34382,35860,33974,34114,11179,61479.0,4860000.0
2005-10-25,34780,38553,34506,36135,48074,65124.0,4860000.0
2005-10-26,35592,35726,34237,35189,12404,63423.0,4860000.0
2005-10-27,34647,36668,33701,33976,23266,61236.0,4860000.0
2005-10-28,33163,34781,33163,33846,6567,60993.0,4860000.0
2005-10-31,33974,34511,33705,34114,6319,61479.0,4860000.0
2005-11-01,33159,34234,33159,33708,16134,60750.0,4860000.0
2005-11-02,33566,35049,33566,35055,12895,63180.0,4860000.0
2005-11-03,35049,36269,33706,34926,17006,62937.0,4860000.0
2005-11-04,34509,35589,34509,34783,9602,62694.0,4860000.0
2005-11-07,33299,36126,32219,33708,52562,60750.0,4860000.0
2005-11-08,33571,35048,33571,34114,87216,61479.0,4860000.0
2005-11-09,34112,35461,33709,34382,76549,61965.0,4860000.0
2005-11-10,34914,37881,33974,34114,221101,61479.0,4860000.0
2005-11-11,34238,34915,33302,34926,57809,62937.0,4860000.0
2005-11-14,34917,36126,34509,34520,34624,62208.0,4860000.0
2005-11-15,34104,34781,33835,33976,29700,61236.0,4860000.0
2005-11-16,33701,35050,33701,33976,64994,61236.0,4860000.0
2005-11-17,33434,34111,33434,33574,31868,60507.0,4860000.0
2005-11-18,33305,34514,33305,33574,41710,60507.0,4860000.0
2005-11-21,33573,34648,33573,34654,26243,62451.0,4860000.0
2005-11-22,34781,36124,33701,35055,46942,63180.0,4860000.0
2005-11-23,36672,40310,36397,40316,258962,72657.0,4860000.0
2005-11-24,40711,46241,39093,45844,429027,82620.0,4860000.0
2005-11-25,45163,50553,43137,48538,449128,87480.0,4860000.0
2005-11-28,48534,48943,46787,48137,50274,86751.0,4860000.0
2005-11-29,48536,48536,43548,45844,83114,82620.0,4860000.0
2005-11-30,44756,48125,44756,46379,56801,83592.0,4860000.0
2005-12-01,45302,47597,44490,47597,151023,85779.0,4860000.0
2005-12-02,49884,53797,45977,45977,102216,82863.0,4860000.0
2005-12-05,46781,46781,44486,45304,50318,81648.0,4860000.0
2005-12-06,44897,45031,43010,43822,51793,78975.0,4860000.0
2005-12-07,43140,45295,42872,44764,45874,80676.0,4860000.0
2005-12-08,45834,45834,40579,43416,52008,78246.0,4860000.0
2005-12-09,43141,45301,43141,44630,28229,80433.0,4860000.0
2005-12-12,44489,45838,43952,44764,10986,80676.0,4860000.0
2005-12-13,45026,48535,44757,46923,42753,84564.0,4860000.0
2005-12-14,47992,51233,44488,46111,28085,83106.0,4860000.0
2005-12-15,44622,46783,44488,46111,22991,83106.0,4860000.0
2005-12-16,44220,46643,43139,45032,27051,81162.0,4860000.0
2005-12-19,43545,46377,43545,44362,13411,79947.0,4860000.0
2005-12-20,43949,45836,43949,44224,14697,79704.0,4860000.0
2005-12-21,43955,45433,43547,44090,23195,79461.0,4860000.0
2005-12-22,43818,45027,43549,43684,20225,78732.0,4860000.0
2005-12-23,45166,46913,43140,45844,28610,82620.0,4860000.0
2005-12-26,46104,47990,44755,45304,12470,81648.0,4860000.0
2005-12-27,47050,47050,43138,44224,21739,79704.0,4860000.0
2005-12-28,43138,44487,43138,44224,6146,79704.0,4860000.0
2005-12-29,43140,46106,43140,45844,17793,82620.0,4860000.0
2006-01-02,46649,46789,39098,43822,6916,78975.0,4860000.0
2006-01-03,43814,46103,43137,45571,12110,82134.0,4860000.0
2006-01-04,45707,50689,44896,48137,32314,86751.0,4860000.0
2006-01-05,48537,48537,45296,47731,14881,86022.0,4860000.0
2006-01-06,46784,51497,46510,50966,46492,91854.0,4860000.0
2006-01-09,49476,52179,49342,52045,18726,93798.0,4860000.0
2006-01-10,53386,53520,50151,50296,5431,90639.0,4860000.0
2006-01-11,51905,51905,48798,49078,6392,88452.0,4860000.0
2006-01-12,47863,49609,47863,48003,3088,86508.0,4860000.0
2006-01-13,50692,50692,46516,47597,11088,85779.0,4860000.0
2006-01-16,47597,49349,46790,47597,17515,85779.0,4860000.0
2006-01-17,46790,49208,46381,46785,9418,84321.0,4860000.0
2006-01-18,46516,46516,40443,41663,89406,75087.0,4860000.0
2006-01-19,42063,42869,38822,41257,49917,74358.0,4860000.0
2006-01-20,41254,46919,40039,41663,482409,75087.0,4860000.0
2006-01-23,40440,42466,37473,39102,274398,70470.0,4860000.0
2006-01-24,38150,40305,35313,39102,39495,70470.0,4860000.0
2006-01-25,38557,41793,38557,40449,29669,72900.0,4860000.0
2006-01-26,39772,40584,38558,40316,11065,72657.0,4860000.0
2006-01-27,40307,43139,40307,42877,26412,77274.0,4860000.0
2006-01-31,43406,43954,41928,43283,32559,78003.0,4860000.0
2006-02-01,43138,43407,42327,43144,24712,77760.0,4860000.0
2006-02-02,45026,45026,42328,42877,8208,77274.0,4860000.0
2006-02-03,39630,42870,39630,42065,6128,75816.0,4860000.0
2006-02-06,42064,42064,40441,42065,5927,75816.0,4860000.0
2006-02-07,40713,44486,40713,41128,7728,74115.0,4860000.0
2006-02-08,40444,41927,40444,40449,23366,72900.0,4860000.0
2006-02-09,40583,41390,40309,40449,8045,72900.0,4860000.0
2006-02-10,41117,41117,39360,40177,4979,72414.0,4860000.0
2006-02-13,40175,42196,40175,40449,7207,72900.0,4860000.0
2006-02-14,40584,40584,39364,40316,1369,72657.0,4860000.0
2006-02-15,39908,40983,39908,40048,13638,72171.0,4860000.0
2006-02-16,41388,41388,39093,39642,1731,71442.0,4860000.0
2006-02-17,39096,40176,38961,39236,2073,70713.0,4860000.0
2006-02-20,39224,39627,38552,39370,4341,70956.0,4860000.0
2006-02-21,40442,41522,39367,39776,694,71685.0,4860000.0
2006-02-22,39093,42871,36395,38830,11575,69984.0,4860000.0
2006-02-23,38019,39094,38019,38562,3511,69498.0,4860000.0
2006-02-24,37616,38556,37476,38562,5054,69498.0,4860000.0
2006-02-27,37341,41791,37341,39642,3487,71442.0,4860000.0
2006-02-28,39633,40310,38558,40316,2723,72657.0,4860000.0
2006-03-02,39090,40439,38821,39370,2640,70956.0,4860000.0
2006-03-03,38562,39911,36133,38428,5875,69255.0,4860000.0
2006-03-06,35993,39502,35993,38562,2861,69498.0,4860000.0
2006-03-07,37476,38696,37476,37750,6410,68040.0,4860000.0
2006-03-08,36669,39093,36395,37750,9102,68040.0,4860000.0
2006-03-09,36669,41662,36669,37750,1177,68040.0,4860000.0
2006-03-10,36667,38284,36667,38290,4392,69012.0,4860000.0
2006-03-13,39097,39097,37748,38968,3371,70227.0,4860000.0
2006-03-14,39908,40177,38151,38968,1245,70227.0,4860000.0
2006-03-15,38017,40446,37883,37888,2757,68283.0,4860000.0
2006-03-16,37612,38821,37204,37215,1137,67068.0,4860000.0
2006-03-17,36938,38018,36938,37750,2659,68040.0,4860000.0
2006-03-20,38287,38287,37476,37750,660,68040.0,4860000.0
2006-03-21,37208,37885,37208,37482,2379,67554.0,4860000.0
2006-03-22,37751,37751,36939,37482,1582,67554.0,4860000.0
2006-03-23,37749,37749,36938,37621,213,67797.0,4860000.0
2006-03-24,36939,37750,36396,36407,2022,65610.0,4860000.0
2006-03-27,37615,38018,36395,37750,2020,68040.0,4860000.0
2006-03-28,38560,38560,36937,37888,719,68283.0,4860000.0
2006-03-29,38963,38963,37345,37888,737,68283.0,4860000.0
2006-03-30,38961,39095,37478,38161,4031,68769.0,4860000.0
2006-03-31,38826,38826,37203,37349,2444,67311.0,4860000.0
2006-04-03,37338,38552,37204,37215,1786,67068.0,4860000.0
2006-04-04,37069,37204,36392,37215,7691,67068.0,4860000.0
2006-04-05,37203,38692,36397,37349,4234,67311.0,4860000.0
2006-04-06,37345,38151,36808,37888,560,68283.0,4860000.0
2006-04-07,37751,37751,36939,37482,5077,67554.0,4860000.0
2006-04-10,36535,37750,36395,37750,4727,68040.0,4860000.0
2006-04-11,37612,38284,37612,38290,552,69012.0,4860000.0
2006-04-12,37750,37750,36804,37750,15443,68040.0,4860000.0
2006-04-13,37748,38151,37748,38022,388,68526.0,4860000.0
2006-04-14,38421,38421,37072,37750,965,68040.0,4860000.0
2006-04-17,37746,37746,36935,37215,3184,67068.0,4860000.0
2006-04-18,37205,37205,36668,36943,5699,66582.0,4860000.0
2006-04-19,36675,37347,36401,36541,29008,65853.0,4860000.0
2006-04-20,36541,36939,35461,35461,34672,63909.0,4860000.0
2006-04-21,35590,36397,35316,35327,41538,63666.0,4860000.0
2006-04-24,35311,35311,34231,34248,30900,61722.0,4860000.0
2006-04-25,34231,36666,34231,34248,52949,61722.0,4860000.0
2006-04-26,34376,34505,33022,34248,4426,61722.0,4860000.0
2006-04-27,37472,37472,33565,34248,3815,61722.0,4860000.0
2006-04-28,32762,33977,31547,33574,2789,60507.0,4860000.0
2006-05-02,31816,35051,31816,34654,3003,62451.0,4860000.0
2006-05-03,33025,35051,33025,33708,175,60750.0,4860000.0
2006-05-04,34648,34648,34648,34654,3,62451.0,4860000.0
2006-05-08,33160,34783,33160,34783,2597,62694.0,4860000.0
2006-05-09,35051,35051,34380,34783,3527,62694.0,4860000.0
2006-05-10,34781,35049,33426,35055,422,63180.0,4860000.0
2006-05-11,35048,35720,33833,34248,3537,61722.0,4860000.0
2006-05-12,35186,35186,32494,33440,2029,60264.0,4860000.0
2006-05-15,29927,33301,29927,33302,1350,60021.0,4860000.0
2006-05-16,35318,35318,30739,33034,1361,59535.0,4860000.0
2006-05-17,34380,34380,31274,31548,4333,56862.0,4860000.0
2006-05-18,31547,32353,29929,30607,659,55161.0,4860000.0
2006-05-19,29661,31543,28307,31548,2514,56862.0,4860000.0
2006-05-22,30876,31413,29661,31419,1960,56619.0,4860000.0
2006-05-23,30468,32355,30194,32360,1081,58320.0,4860000.0
2006-05-24,32353,32353,29112,29661,3580,53460.0,4860000.0
2006-05-25,28447,29114,27501,27502,38154,49572.0,4860000.0
2006-05-26,26955,27901,26445,26859,12920,48406.0,4860000.0
2006-05-29,28031,28031,26956,27774,10348,50058.0,4860000.0
2006-05-30,25666,26827,25666,26832,2049,48357.0,4860000.0
2006-06-01,25209,27907,24913,26832,49485,48357.0,4860000.0
2006-06-02,28031,28031,26693,27774,3002,50058.0,4860000.0
2006-06-05,26956,27907,26956,27908,21,50301.0,4860000.0
2006-06-07,25262,26955,25262,26966,1011,48600.0,4860000.0
2006-06-08,25614,28307,23379,28318,4785,51030.0,4860000.0
2006-06-09,26955,26955,25746,26966,6874,48600.0,4860000.0
2006-06-12,26638,27771,25880,27100,1689,48843.0,4860000.0
2006-06-13,26955,27100,26020,27100,189,48843.0,4860000.0
2006-06-14,26144,27095,26015,26966,154,48600.0,4860000.0
2006-06-15,28185,28185,28185,28180,3,50787.0,4860000.0
2006-06-16,26146,28307,26146,28318,1263,51030.0,4860000.0
2006-06-19,28031,28031,25849,27774,541,50058.0,4860000.0
2006-06-20,27639,27639,27639,27644,0,49815.0,4860000.0
2006-06-21,27501,27501,27501,27502,3,49572.0,4860000.0
