현대바이오(048410),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2002-08-08,163580,163580,163580,163581,1113828,111865.0,42860000.0
2002-08-09,166096,178632,152931,156060,12373472,106721.0,42860000.0
2002-08-12,162950,162950,151670,152299,3066106,104150.0,42860000.0
2002-08-13,153562,157317,147922,149166,7598946,102007.0,42860000.0
2002-08-14,147284,151668,147284,147285,4719858,100721.0,42860000.0
2002-08-16,148544,149172,146031,146031,3774828,99864.0,42860000.0
2002-08-19,146660,147916,145404,145405,5467778,99435.0,42860000.0
2002-08-20,146031,146659,145403,146031,2450788,99864.0,42860000.0
2002-08-21,145404,147288,145404,145405,5114952,99435.0,42860000.0
2002-08-22,145404,146660,145404,145405,1746708,99435.0,42860000.0
2002-08-23,146031,147287,145403,146031,2018670,99864.0,42860000.0
2002-08-26,146660,147916,145404,145405,2919506,99435.0,42860000.0
2002-08-27,146031,146659,145403,146031,1159362,99864.0,42860000.0
2002-08-28,145404,146660,145404,145405,1450692,99435.0,42860000.0
2002-08-29,145404,146032,145404,145405,914676,99435.0,42860000.0
2002-08-30,145403,155439,145403,146031,13330288,99864.0,42860000.0
2002-09-02,146660,147916,145404,145405,2168592,99435.0,42860000.0
2002-09-03,146032,149802,145404,145405,4736392,99435.0,42860000.0
2002-09-04,145411,148552,145411,148538,3297488,101578.0,42860000.0
2002-09-05,147288,148545,145404,145405,2507096,99435.0,42860000.0
2002-09-06,146032,150430,145404,145405,14186546,99435.0,42860000.0
2002-09-09,128482,128482,128482,128483,223092,87863.0,42860000.0
2002-09-10,113453,113453,113453,113441,485032,77577.0,42860000.0
2002-09-11,107804,114072,105933,105920,9400518,72433.0,42860000.0
2002-09-12,108432,118470,107189,117828,6753406,80577.0,42860000.0
2002-09-13,115954,122223,110943,112814,2489106,77148.0,42860000.0
2002-09-16,112823,122217,112194,120962,6505892,82720.0,42860000.0
2002-09-17,120968,122225,115957,117828,6198004,80577.0,42860000.0
2002-09-18,115956,120339,112201,112187,1775252,76719.0,42860000.0
2002-09-19,111574,115329,110317,111561,1197638,76291.0,42860000.0
2002-09-23,107179,109678,102782,104040,1510272,71148.0,42860000.0
2002-09-24,101531,113453,101531,107800,2768558,73719.0,42860000.0
2002-09-25,104038,109050,95886,104040,2059666,71148.0,42860000.0
2002-09-26,105295,108422,102154,104040,1368228,71148.0,42860000.0
2002-09-27,102789,112827,100291,112814,1279142,77148.0,42860000.0
2002-09-30,103414,114693,103414,114695,1930672,78434.0,42860000.0
2002-10-01,109687,114700,109687,112187,934322,76719.0,42860000.0
2002-10-02,114068,114068,107799,107800,656978,73719.0,42860000.0
2002-10-04,107799,111568,106557,107800,751506,73719.0,42860000.0
2002-10-07,105928,108426,103414,108427,419144,74148.0,42860000.0
2002-10-08,105308,107806,104680,104666,445582,71576.0,42860000.0
2002-10-09,105298,105927,102785,102786,422396,70290.0,42860000.0
2002-10-10,100287,100915,95890,96519,706852,66004.0,42860000.0
2002-10-11,97781,100294,97153,99653,399964,68147.0,42860000.0
2002-10-14,99667,102166,99039,99026,833364,67719.0,42860000.0
2002-10-15,99667,105308,99667,104666,1167494,71576.0,42860000.0
2002-10-16,105295,106551,102782,104040,668802,71148.0,42860000.0
2002-10-17,102791,109688,101535,105920,1614264,72433.0,42860000.0
2002-10-18,107803,113457,107189,112187,1362718,76719.0,42860000.0
2002-10-21,112819,115318,109050,110308,632548,75434.0,42860000.0
2002-10-22,112830,114701,108433,111561,2786426,76291.0,42860000.0
2002-10-23,109061,114701,109061,111561,1031786,76291.0,42860000.0
2002-10-24,111573,117841,111573,117828,2332150,80577.0,42860000.0
2002-10-25,117213,119726,113457,117828,2514226,80577.0,42860000.0
2002-10-28,117840,128491,116583,118455,4000060,81005.0,42860000.0
2002-10-29,117830,122842,113447,116574,1866972,79720.0,42860000.0
2002-10-30,117839,123478,114069,119081,6003394,81434.0,42860000.0
2002-10-31,125366,125981,117841,117828,2666242,80577.0,42860000.0
2002-11-01,118467,119096,112827,112814,1092886,77148.0,42860000.0
2002-11-04,110306,115318,110306,110308,932062,75434.0,42860000.0
2002-11-05,110308,112193,104040,109680,1264410,75005.0,42860000.0
2002-11-06,109686,115326,107188,112814,2525904,77148.0,42860000.0
2002-11-07,111571,114070,109058,112814,1206138,77148.0,42860000.0
2002-11-08,112191,112191,108422,110308,486000,75434.0,42860000.0
2002-11-11,107796,112193,107796,109054,955470,74576.0,42860000.0
2002-11-12,106557,109055,105928,107800,663818,73719.0,42860000.0
2002-11-13,109054,109054,104042,108427,655408,74148.0,42860000.0
2002-11-14,108432,111573,105933,105920,1070110,72433.0,42860000.0
2002-11-15,107798,109054,105299,108427,1149178,74148.0,42860000.0
2002-11-18,107184,109054,106556,108427,313150,74148.0,42860000.0
2002-11-19,106557,119720,106557,114067,1863906,78005.0,42860000.0
2002-11-20,111575,113460,110319,110934,393972,75862.0,42860000.0
2002-11-21,112823,112823,105928,108427,388806,74148.0,42860000.0
2002-11-22,109688,109688,105933,105920,410864,72433.0,42860000.0
2002-11-25,106561,108432,105933,105920,420894,72433.0,42860000.0
2002-11-26,107188,108430,105303,106547,530478,72862.0,42860000.0
2002-11-27,106559,108429,105930,107173,526106,73291.0,42860000.0
2002-11-28,109680,115948,108423,109680,2077876,75005.0,42860000.0
2002-11-29,109681,111565,106554,109054,583778,74576.0,42860000.0
2002-12-02,108434,111575,107806,110934,760880,75862.0,42860000.0
2002-12-03,111571,115326,111571,112814,1230404,77148.0,42860000.0
2002-12-04,114071,116584,109687,112187,1577624,76719.0,42860000.0
2002-12-05,112193,118461,110937,115321,1354188,78862.0,42860000.0
2002-12-06,116574,120329,114061,116574,1536436,79720.0,42860000.0
2002-12-09,119098,122225,115957,117828,1933566,80577.0,42860000.0
2002-12-10,115954,117839,110943,112814,1091144,77148.0,42860000.0
2002-12-11,112819,115318,110306,110308,1513530,75434.0,42860000.0
2002-12-12,110319,112832,109062,110934,621058,75862.0,42860000.0
2002-12-13,110306,112819,109678,110308,828104,75434.0,42860000.0
2002-12-16,110308,111564,108423,109680,408982,75005.0,42860000.0
2002-12-17,111569,115325,110313,113441,993826,77577.0,42860000.0
2002-12-18,113450,117833,112822,115321,2258738,78862.0,42860000.0
2002-12-20,117209,117838,110941,113441,1538170,77577.0,42860000.0
2002-12-23,114696,115952,106557,107800,2114016,73719.0,42860000.0
2002-12-24,105303,107802,98407,106547,800612,72862.0,42860000.0
2002-12-26,102788,109684,101531,107800,846468,73719.0,42860000.0
2002-12-27,105303,113456,105303,106547,2512762,72862.0,42860000.0
2002-12-30,106564,109691,95269,99026,1772310,67719.0,42860000.0
2003-01-02,99032,105299,99032,102160,720748,69862.0,42860000.0
2003-01-03,105302,106559,100919,100906,878666,69005.0,42860000.0
2003-01-06,101529,104042,99030,102786,637986,70290.0,42860000.0
2003-01-07,104673,104673,100289,101533,549810,69433.0,42860000.0
