대보마그네틱(290670),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-11-06,60200,69300,56300,58500,1448409,189107.0,3232600.0
2018-11-07,57600,62400,56000,61200,320061,197835.0,3232600.0
2018-11-08,63500,68800,61000,67300,368327,217554.0,3232600.0
2018-11-09,66000,87400,65000,87400,643337,282529.0,3232600.0
2018-11-12,93000,96700,82600,87000,431041,281236.0,3232600.0
2018-11-13,84700,88000,81000,85500,216247,276387.0,3232600.0
2018-11-14,83400,84700,76500,77500,171949,250526.0,3232600.0
2018-11-15,77900,78500,69900,72900,134090,235657.0,3232600.0
2018-11-16,73500,75300,69000,70700,95861,228545.0,3232600.0
2018-11-19,70700,74500,69500,73800,85169,238566.0,3232600.0
2018-11-20,71600,72100,66100,66100,63452,213675.0,3232600.0
2018-11-21,64700,65300,61400,63800,73880,206240.0,3232600.0
2018-11-22,64200,64200,60400,61000,44853,197189.0,3232600.0
2018-11-23,60600,70000,60600,64400,229461,208179.0,3232600.0
2018-11-26,63500,67000,62500,64100,72772,207210.0,3232600.0
2018-11-27,65500,75200,65400,71800,274690,232101.0,3232600.0
2018-11-28,71600,74600,68600,72900,81866,235657.0,3232600.0
2018-11-29,72000,73800,68800,69000,43781,223049.0,3232600.0
2018-11-30,68900,72700,67100,72500,43247,234364.0,3232600.0
2018-12-03,76300,86000,73500,74100,316911,239536.0,3232600.0
2018-12-04,74000,78400,73500,73900,68506,238889.0,3232600.0
2018-12-05,72800,73100,71100,71600,29517,231454.0,3232600.0
2018-12-06,70300,71000,65000,67100,81866,216907.0,3232600.0
2018-12-07,68500,68700,64100,64700,48766,209149.0,3232600.0
2018-12-10,63900,66000,62400,62500,36947,202038.0,3232600.0
2018-12-11,63100,64300,61200,61700,26843,199451.0,3232600.0
2018-12-12,62600,65200,62600,63700,46540,205917.0,3232600.0
2018-12-13,64800,64800,62000,63700,24664,205917.0,3232600.0
2018-12-14,63100,64300,61500,62100,21241,200744.0,3232600.0
2018-12-17,61300,62000,59200,59400,27903,192016.0,3232600.0
2018-12-18,58400,59000,55200,56000,59065,181026.0,3232600.0
2018-12-19,56600,64500,56400,62000,99097,200421.0,3232600.0
2018-12-20,60500,61900,59200,59500,31461,192340.0,3232600.0
2018-12-21,59200,65900,59200,63600,79717,205593.0,3232600.0
2018-12-24,63400,66500,63400,64800,32378,209472.0,3232600.0
2018-12-26,63000,69200,62300,68000,67592,219817.0,3232600.0
2018-12-27,70200,72900,67000,68000,69839,219817.0,3232600.0
2018-12-28,68100,71300,67000,71000,33716,229515.0,3232600.0
2019-01-02,73200,73300,64800,66200,53994,213998.0,3232600.0
2019-01-03,66600,68900,63800,67000,35062,216584.0,3232600.0
2019-01-04,67000,67000,63000,64200,46868,207533.0,3232600.0
2019-01-07,65300,67200,64800,66100,31683,213675.0,3232600.0
2019-01-08,66300,67000,65300,65500,16949,211735.0,3232600.0
2019-01-09,66000,69000,65600,68500,33056,221433.0,3232600.0
2019-01-10,68600,70500,67500,67700,39825,218847.0,3232600.0
2019-01-11,67800,70600,67500,68400,33528,221110.0,3232600.0
2019-01-14,69000,69000,66700,67800,15157,219170.0,3232600.0
2019-01-15,68500,68800,67300,68100,13402,220140.0,3232600.0
2019-01-16,68200,68200,66400,67500,17100,218200.0,3232600.0
2019-01-17,67500,67500,63300,63400,34404,204947.0,3232600.0
2019-01-18,64400,64400,63300,64100,12703,207210.0,3232600.0
2019-01-21,64800,64800,62500,62700,16814,202684.0,3232600.0
2019-01-22,63300,64000,61600,61700,15232,199451.0,3232600.0
2019-01-23,62300,64700,61800,63200,19718,204300.0,3232600.0
2019-01-24,63600,64800,63000,64600,10672,208826.0,3232600.0
2019-01-25,65000,65600,64100,65500,19289,211735.0,3232600.0
2019-01-28,65600,65900,64500,64700,12783,209149.0,3232600.0
2019-01-29,64000,64800,63100,64200,15262,207533.0,3232600.0
2019-01-30,64200,64500,62400,63200,8914,204300.0,3232600.0
2019-01-31,64400,65200,62400,62900,18870,203331.0,3232600.0
2019-02-01,62800,63400,62500,62800,13466,203007.0,3232600.0
2019-02-07,60000,61700,58300,61600,135600,199128.0,3232600.0
