UCI(038340),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-11-22,26833,26833,26833,26833,328859,39431.0,8572000.0
2001-11-23,28291,30041,25958,28933,3473427,42517.0,8572000.0
2001-11-26,26891,28583,25491,25492,386848,37460.0,8572000.0
2001-11-27,23916,25025,22458,22517,1673946,33088.0,8572000.0
2001-11-28,22633,23683,21990,22692,1092074,33345.0,8572000.0
2001-11-29,23391,24791,23041,24558,1257886,36088.0,8572000.0
2001-11-30,24033,24558,22573,22575,840276,33174.0,8572000.0
2001-12-03,22166,22225,20883,20942,809817,30773.0,8572000.0
2001-12-04,20941,23449,20883,23217,1156787,34117.0,8572000.0
2001-12-05,22341,22923,21408,22225,533544,32659.0,8572000.0
2001-12-06,22458,23333,20708,21933,478139,32231.0,8572000.0
2001-12-07,21875,22223,21175,21292,280222,31288.0,8572000.0
2001-12-10,21583,21583,20416,20708,348254,30431.0,8572000.0
2001-12-11,20475,22925,20475,21875,744447,32145.0,8572000.0
2001-12-12,21875,23566,21466,22458,744975,33002.0,8572000.0
2001-12-13,22283,23100,20883,21058,417667,30945.0,8572000.0
2001-12-14,21058,21408,20650,20942,346406,30773.0,8572000.0
2001-12-17,21291,21758,20883,21175,360123,31116.0,8572000.0
2001-12-18,21175,23683,21175,22750,1371177,33431.0,8572000.0
2001-12-19,23333,23625,20066,20067,923783,29488.0,8572000.0
2001-12-20,19250,20300,17850,19775,671727,29059.0,8572000.0
2001-12-21,19075,19891,17850,17908,226454,26316.0,8572000.0
2001-12-24,16216,17441,15808,15808,514431,23230.0,8572000.0
2001-12-26,14641,15575,13941,13942,1433155,20487.0,8572000.0
2001-12-27,14058,14700,13883,14700,579524,21601.0,8572000.0
2001-12-28,14991,15516,14291,15167,686474,22287.0,8572000.0
2002-01-02,15691,16275,15341,16042,547374,23573.0,8572000.0
2002-01-03,16391,16391,14991,15283,535205,22459.0,8572000.0
2002-01-04,15341,15691,15225,15458,381674,22716.0,8572000.0
2002-01-07,15516,17150,15049,16917,894277,24859.0,8572000.0
2002-01-08,16916,17850,16391,16917,1200419,24859.0,8572000.0
2002-01-09,16916,17208,16216,16917,417414,24859.0,8572000.0
2002-01-10,16975,17733,16625,17033,836927,25030.0,8572000.0
2002-01-11,16974,17849,16974,17267,511277,25373.0,8572000.0
2002-01-14,17850,19075,17616,17850,788269,26230.0,8572000.0
2002-01-15,17441,17908,15925,17208,641597,25287.0,8572000.0
2002-01-16,17383,18433,16741,17792,536939,26145.0,8572000.0
2002-01-17,17266,17675,16741,16975,225392,24945.0,8572000.0
2002-01-18,16683,17208,15749,17092,240378,25116.0,8572000.0
2002-01-21,16333,16800,16216,16217,188200,23830.0,8572000.0
2002-01-22,16333,17208,15925,16333,484390,24002.0,8572000.0
2002-01-23,16216,16741,16099,16567,190434,24344.0,8572000.0
2002-01-24,16566,17091,16100,16275,255038,23916.0,8572000.0
2002-01-25,16275,17091,15574,16392,769559,24087.0,8572000.0
2002-01-28,16625,18083,16041,18083,833255,26573.0,8572000.0
2002-01-29,18375,18608,17441,17850,1003440,26230.0,8572000.0
2002-01-30,17675,19541,17091,19250,831441,28288.0,8572000.0
2002-01-31,19833,20416,19016,19833,1260391,29145.0,8572000.0
2002-02-01,19833,20300,17558,18375,638289,27002.0,8572000.0
2002-02-04,18491,18491,17441,17500,299927,25716.0,8572000.0
2002-02-05,16683,17325,16450,17208,262118,25287.0,8572000.0
2002-02-06,16333,17500,16333,16858,304125,24773.0,8572000.0
2002-02-07,16625,17033,16333,16625,218428,24430.0,8572000.0
2002-02-08,16916,16916,16100,16800,157662,24687.0,8572000.0
2002-02-14,16916,18783,16916,18783,608219,27602.0,8572000.0
2002-02-15,18608,19191,17733,18900,381974,27773.0,8572000.0
2002-02-18,19250,19308,18316,19075,291424,28030.0,8572000.0
2002-02-19,19074,19250,17791,17792,328996,26145.0,8572000.0
2002-02-20,17033,17908,17033,17792,282111,26145.0,8572000.0
2002-02-21,17266,18375,17266,18083,244370,26573.0,8572000.0
2002-02-22,18958,19424,18608,18842,677385,27688.0,8572000.0
2002-02-25,19483,21058,19425,20417,1138264,30002.0,8572000.0
2002-02-26,20124,21058,19366,19542,783313,28716.0,8572000.0
2002-02-27,20125,21875,19425,21700,501285,31888.0,8572000.0
2002-02-28,21058,21525,20533,21408,392482,31459.0,8572000.0
2002-03-04,22750,22750,21350,21408,632566,31459.0,8572000.0
2002-03-05,21583,22107,21175,21175,360793,31116.0,8572000.0
2002-03-06,21116,21524,20300,20942,303967,30773.0,8572000.0
2002-03-07,21173,22283,20940,22108,445319,32488.0,8572000.0
2002-03-08,22458,23683,22458,23100,806425,33945.0,8572000.0
2002-03-11,23333,25783,23333,25667,1147382,37717.0,8572000.0
2002-03-12,25958,26250,23333,24792,1299224,36431.0,8572000.0
2002-03-13,24791,24791,23450,23683,302696,34802.0,8572000.0
2002-03-14,23275,24325,23100,24208,247091,35574.0,8572000.0
2002-03-15,23508,24850,23508,24792,352604,36431.0,8572000.0
