파멥신(208340),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-11-21,58100,66800,57000,63600,3569527,432839.0,6805637.0
2018-11-22,62100,79600,61200,70500,3067094,479797.0,6805637.0
2018-11-23,72700,75300,66500,68800,1285456,468228.0,6805637.0
2018-11-26,68700,72300,66200,71900,758609,489325.0,6805637.0
2018-11-27,71500,77900,71100,76300,1032238,519270.0,6805637.0
2018-11-28,77100,85200,76300,82000,1500409,558062.0,6805637.0
2018-11-29,82400,85700,78500,79800,746729,543090.0,6805637.0
2018-11-30,80100,81800,79000,80000,267560,544451.0,6805637.0
2018-12-03,82400,83800,76200,77400,512432,526756.0,6805637.0
2018-12-04,79000,79800,72700,73000,528417,496812.0,6805637.0
2018-12-05,70700,76200,69800,74000,431512,503617.0,6805637.0
2018-12-06,74600,76000,69100,69200,342836,470950.0,6805637.0
2018-12-07,70300,73400,66600,70900,375284,482520.0,6805637.0
2018-12-10,69400,72800,68500,71900,207214,489325.0,6805637.0
2018-12-11,72500,72900,69800,70700,160053,481159.0,6805637.0
2018-12-12,71100,73200,70600,73200,213729,498173.0,6805637.0
2018-12-13,72900,73500,71500,71900,134112,489325.0,6805637.0
2018-12-14,71900,71900,66500,66900,257605,455297.0,6805637.0
2018-12-17,67000,67300,61100,61500,317071,418547.0,6805637.0
2018-12-18,60000,63200,59000,61400,189680,417866.0,6805637.0
2018-12-19,61000,67000,60800,66600,286370,453255.0,6805637.0
2018-12-20,65500,71700,64600,70600,387224,480478.0,6805637.0
2018-12-21,69300,79200,69100,76000,952995,517228.0,6805637.0
2018-12-24,75000,78600,75000,76300,349810,519270.0,6805637.0
2018-12-26,75000,80600,74100,77800,508222,534720.0,6873012.0
2018-12-27,80000,83000,78400,78400,272762,538844.0,6873012.0
2018-12-28,79400,81600,76200,80000,288656,549841.0,6873012.0
2019-01-02,80000,86300,79000,81000,486198,556714.0,6873012.0
2019-01-03,80900,81300,73200,73200,370299,503104.0,6873012.0
2019-01-04,73900,75400,71200,75000,242667,515476.0,6873012.0
