세원(234100),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-12-29,10000,10000,10000,10000,20,29400.0,2940000.0
2015-12-30,10000,10000,10000,10000,0,29400.0,2940000.0
2016-01-04,10000,10000,10000,10000,0,,
2016-01-05,10000,10000,10000,10000,0,,
2016-01-06,10000,10000,10000,10000,0,,
2016-01-07,10000,10000,10000,10000,0,,
2016-01-08,10000,10000,10000,10000,0,,
2016-01-11,10000,10000,10000,10000,0,,
2016-01-12,10000,10000,10000,10000,0,,
2016-01-13,10000,10000,10000,10000,0,,
2016-01-14,10000,10000,10000,10000,0,,
2016-01-15,10000,10000,10000,10000,0,,
2016-01-18,10000,10000,10000,10000,0,,
2016-01-19,10000,10000,10000,10000,0,,
2016-01-20,10000,10000,10000,10000,0,,
2016-01-21,10000,10000,10000,10000,0,,
2016-01-22,10000,10000,10000,10000,0,,
2016-01-25,10000,10000,10000,10000,0,,
2016-01-26,10000,10000,10000,10000,0,,
2016-01-27,10000,10000,10000,10000,0,,
2016-01-28,10000,10000,10000,10000,0,,
2016-01-29,10000,10000,10000,10000,0,,
2016-02-01,10000,10000,10000,10000,0,,
2016-02-02,10000,10000,10000,10000,0,,
2016-02-03,10000,10000,10000,10000,0,,
2016-02-04,10000,10000,10000,10000,0,,
2016-02-05,10000,10000,10000,10000,0,,
2016-02-11,10000,10000,10000,10000,0,,
2016-02-12,10000,10000,10000,10000,0,,
2016-02-15,10000,10000,10000,10000,0,,
2016-02-16,10000,10000,10000,10000,0,,
2016-02-17,10000,10000,10000,10000,0,,
2016-02-18,10000,10000,10000,10000,0,,
2016-02-19,10000,10000,10000,10000,0,,
2016-02-22,10000,10000,10000,10000,0,,
2016-02-23,10000,10000,10000,10000,0,,
2016-02-24,10000,10000,10000,10000,0,,
2016-02-25,10000,10000,10000,10000,0,,
2016-02-26,10000,10000,10000,10000,0,,
2016-02-29,10000,10000,10000,10000,0,,
2016-03-02,10000,10000,10000,10000,0,,
2016-03-03,10000,10000,10000,10000,0,,
2016-03-04,10000,10000,10000,10000,0,,
2016-03-07,10000,10000,10000,10000,0,,
2016-03-08,10000,10000,10000,10000,0,,
2016-03-09,10000,10000,10000,10000,0,,
2016-03-10,10000,10000,10000,10000,0,,
2016-03-11,8500,8500,8500,8500,118,24990.0,2940000.0
2016-03-14,8500,8500,8500,8500,118,24990.0,2940000.0
2016-03-15,8350,8350,8350,8350,120,24549.0,2940000.0
2016-03-16,8350,8350,8350,8350,0,24549.0,2940000.0
2016-03-17,8340,8340,8340,8340,0,24520.0,2940000.0
2016-03-18,7900,7900,7900,7900,130,23226.0,2940000.0
2016-03-21,7520,7520,7520,7520,135,22109.0,2940000.0
2016-03-22,7520,7520,7520,7520,0,22109.0,2940000.0
2016-03-23,7340,7340,7340,7340,140,21580.0,2940000.0
2016-03-24,7180,7180,7180,7180,0,21109.0,2940000.0
2016-03-25,6110,6110,6110,6110,30,17963.0,2940000.0
2016-03-28,5200,5200,5200,5200,1,15288.0,2940000.0
2016-03-29,4420,4420,4420,4420,1,12995.0,2940000.0
2016-03-30,3760,3760,3760,3760,1,11054.0,2940000.0
2016-03-31,3205,3205,3205,3205,1,9423.0,2940000.0
2016-04-01,2725,2725,2725,2725,1,8012.0,2940000.0
2016-04-04,2885,2885,2885,2885,350,8482.0,2940000.0
2016-04-05,3315,3315,2455,2455,33896,7218.0,2940000.0
2016-04-06,2820,2820,2115,2150,1085,6321.0,2940000.0
2016-04-07,2465,2465,2465,2465,1,7247.0,2940000.0
2016-04-08,2830,2830,2150,2150,3,6321.0,2940000.0
2016-04-11,2470,2470,2470,2470,1,7262.0,2940000.0
2016-04-12,2840,2840,2250,2300,44911,6762.0,2940000.0
2016-04-14,2640,2640,2640,2640,380,7762.0,2940000.0
2016-04-15,2415,3035,2415,2425,382,7130.0,2940000.0
2016-04-18,2425,2425,2215,2215,2,6512.0,2940000.0
2016-04-19,2300,2540,2300,2320,3,6821.0,2940000.0
2016-04-20,2665,2665,2665,2665,47,7835.0,2940000.0
2016-04-21,3060,3060,3060,3060,49,8996.0,2940000.0
2016-04-22,3510,3510,3510,3510,1,10319.0,2940000.0
2016-04-25,3510,3510,3510,3510,0,10319.0,2940000.0
2016-04-26,4000,4000,4000,4000,1,11760.0,2940000.0
2016-04-27,4480,4480,4480,4480,1,13171.0,2940000.0
2016-04-28,5050,5050,5050,5050,1,14847.0,2940000.0
2016-04-29,5720,5720,5720,5720,1,16817.0,2940000.0
2016-05-02,0,0,0,5720,0,16817.0,2940000.0
2016-05-03,4870,5720,4870,5720,207,16817.0,2940000.0
2016-05-04,6570,6570,6570,6570,1,19316.0,2940000.0
2016-05-09,6420,6780,6420,6780,161,19933.0,2940000.0
2016-05-10,7650,7650,7650,7650,1,22491.0,2940000.0
2016-05-11,7180,7580,7180,7580,141,22285.0,2940000.0
2016-05-12,6840,7220,6840,7220,151,21227.0,2940000.0
2016-05-13,6140,8300,6140,8300,131,24402.0,2940000.0
2016-05-16,7060,9540,7060,9540,112,28048.0,2940000.0
2016-05-17,8110,8110,8110,8110,100,23843.0,2940000.0
2016-05-18,6900,9320,6900,9320,111,27401.0,2940000.0
2016-05-19,7930,8000,7930,8000,101,23520.0,2940000.0
2016-05-20,6800,6800,6800,6800,110,19992.0,2940000.0
2016-05-23,5780,5780,5780,5780,131,16993.0,2940000.0
2016-05-24,4920,4920,4920,4920,1,14465.0,2940000.0
2016-05-25,5270,5580,5270,5580,191,16405.0,2940000.0
2016-05-26,5580,5580,5580,5580,0,16405.0,2940000.0
2016-05-27,5370,5370,5370,5370,190,15788.0,2940000.0
2016-05-30,5250,5530,5250,5530,201,16258.0,2940000.0
2016-05-31,5100,5690,5100,5690,191,16729.0,2940000.0
2016-06-01,5560,5860,5560,5860,181,17228.0,2940000.0
2016-06-02,5720,5720,5720,5720,180,16817.0,2940000.0
2016-06-03,4870,4870,4870,4870,162,14318.0,2940000.0
2016-06-07,4140,4140,4140,4140,181,12172.0,2940000.0
2016-06-08,4750,4750,3520,3520,221,10349.0,2940000.0
2016-06-09,2995,3500,2995,3500,416,10290.0,2940000.0
2016-06-10,2975,2975,2975,2975,1,8746.0,2940000.0
2016-06-13,2540,2540,2540,2540,1,7468.0,2940000.0
2016-06-14,2165,2165,2165,2165,1,6365.0,2940000.0
2016-06-15,2485,2485,2485,2485,405,7306.0,2940000.0
2016-06-16,2120,2855,2120,2855,2,8394.0,2940000.0
2016-06-17,3275,3280,2440,2440,303,7174.0,2940000.0
2016-06-20,2805,2805,2650,2650,361,7791.0,2940000.0
2016-06-21,3045,3045,3045,3045,330,8952.0,2940000.0
2016-06-22,3500,3500,3500,3500,290,10290.0,2940000.0
2016-06-23,2975,4025,2975,3005,3,8835.0,2940000.0
2016-06-24,2560,3455,2560,2570,5,7556.0,2940000.0
2016-06-27,2955,2955,2790,2790,341,8203.0,2940000.0
2016-06-28,3205,3205,3030,3030,321,8908.0,2940000.0
2016-06-29,2580,3480,2580,3480,21,10231.0,2940000.0
2016-06-30,2960,2960,2960,2960,1,8702.0,2940000.0
2016-07-01,3400,3400,3400,3400,300,9996.0,2940000.0
2016-07-04,3900,3910,3900,3910,271,11495.0,2940000.0
2016-07-05,4490,4490,4250,4250,231,12495.0,2940000.0
2016-07-06,4885,4885,4620,4620,211,13583.0,2940000.0
2016-07-07,4770,4770,4770,4770,89,14024.0,2940000.0
2016-07-08,4770,4770,4770,4770,0,14024.0,2940000.0
2016-07-11,5290,5290,5290,5290,1,15553.0,2940000.0
2016-07-12,6070,6070,6070,6070,1,17846.0,2940000.0
2016-07-13,6340,6340,6340,6340,1,18640.0,2940000.0
2016-07-14,7280,7280,7280,7280,0,21403.0,2940000.0
2016-07-15,7600,7600,7600,7600,1,22344.0,2940000.0
2016-07-18,8730,8730,8730,8730,0,25666.0,2940000.0
2016-07-19,9110,9110,9110,9110,0,26783.0,2940000.0
2016-07-20,10450,10450,10450,10450,1,30723.0,2940000.0
2016-07-21,0,0,0,10450,0,30723.0,2940000.0
2016-07-22,11950,11950,11950,11950,0,35133.0,2940000.0
2016-07-25,10200,13700,10200,13700,102,40278.0,2940000.0
2016-07-26,11700,11700,11700,11700,100,34398.0,2940000.0
2016-07-27,9970,10550,9970,10550,102,31017.0,2940000.0
2016-07-28,10050,10650,9000,10650,102,31311.0,2940000.0
2016-07-29,9270,9800,9100,9800,112,28812.0,2940000.0
2016-08-01,8330,8820,8330,8820,123,25931.0,2940000.0
2016-08-02,7500,7940,7500,7940,137,23344.0,2940000.0
2016-08-03,6750,7150,6750,7150,153,21021.0,2940000.0
2016-08-04,6080,6440,6080,6440,172,18934.0,2940000.0
2016-08-05,5480,5800,5480,5800,192,17052.0,2940000.0
2016-08-08,4930,5220,4930,5220,211,15347.0,2940000.0
2016-08-09,4440,4700,4440,4440,256,13054.0,2940000.0
2016-08-10,3990,3990,3810,3810,256,11201.0,2940000.0
2016-08-11,3430,4300,3250,3250,1801,9555.0,2940000.0
2016-08-12,2850,3735,2850,3245,12,9540.0,2940000.0
2016-08-16,3670,3730,3515,3515,444,10334.0,2940000.0
2016-08-17,4040,4040,3000,3000,204,8820.0,2940000.0
2016-08-18,3450,3450,3450,3450,290,10143.0,2940000.0
2016-08-19,3965,3965,3965,3965,1,11657.0,2940000.0
2016-08-22,3375,4555,3375,4555,286,13392.0,2940000.0
2016-08-23,4130,5210,4130,5210,251,15317.0,2940000.0
2016-08-24,4690,5800,4690,5800,49,17052.0,2940000.0
2016-08-25,6510,6510,5200,5200,2002,15288.0,2940000.0
2016-08-26,5200,5900,5200,5900,201,17346.0,2940000.0
2016-08-29,5900,5900,5900,5900,1,17346.0,2940000.0
2016-08-30,5900,5900,5900,5900,0,17346.0,2940000.0
2016-08-31,6700,6700,6700,6700,47,19698.0,2940000.0
2016-09-01,5700,6700,5700,6700,177,19698.0,2940000.0
2016-09-02,5700,7700,5700,7700,19,22638.0,2940000.0
2016-09-05,8850,8850,8850,8850,1,26019.0,2940000.0
2016-09-06,10150,10150,10150,10150,4,29841.0,2940000.0
2016-09-07,8650,9150,8650,9150,121,26901.0,2940000.0
2016-09-08,7810,8250,7810,8250,131,24255.0,2940000.0
2016-09-09,7020,7440,7020,7440,146,21874.0,2940000.0
2016-09-12,8550,8550,8550,8550,1,25137.0,2940000.0
2016-09-13,9830,9830,9830,9830,1,28900.0,2940000.0
2016-09-19,8360,8360,8360,8360,120,24578.0,2940000.0
2016-09-20,9590,9590,9590,9590,1,28195.0,2940000.0
2016-09-21,8160,8160,8160,8160,100,23990.0,2940000.0
2016-09-22,9380,9380,9380,9380,1,27577.0,2940000.0
2016-09-23,7980,7980,7980,7980,100,23461.0,2940000.0
2016-09-26,9170,9170,9170,9170,1,26960.0,2940000.0
2016-09-27,7800,7800,7800,7800,100,22932.0,2940000.0
2016-09-28,8970,8970,8970,8970,1,26372.0,2940000.0
2016-09-29,10300,10300,10300,10300,1,30282.0,2940000.0
2016-09-30,8800,10050,8800,10050,101,29547.0,2940000.0
2016-10-04,11450,11450,11450,11450,1,33663.0,2940000.0
2016-10-05,9750,9750,9750,9750,100,28665.0,2940000.0
2016-10-06,11200,11200,11200,11200,1,32928.0,2940000.0
2016-10-07,9550,9550,9550,9550,100,28077.0,2940000.0
2016-10-10,9550,9550,9550,9550,1,28077.0,2940000.0
2016-10-11,8120,9500,8120,9500,101,27930.0,2940000.0
2016-10-12,8080,8080,8080,8080,100,23755.0,2940000.0
2016-10-13,9290,9290,9290,9290,1,27313.0,2940000.0
2016-10-14,10650,10650,10650,10650,1,31311.0,2940000.0
2016-10-17,9100,9100,9100,9100,100,26754.0,2940000.0
2016-10-18,7740,7740,7740,7740,100,22756.0,2940000.0
2016-10-19,6580,6580,6580,6580,125,19345.0,2940000.0
2016-10-20,5600,5600,5600,5600,133,16464.0,2940000.0
2016-10-21,4910,5500,4760,5500,1054,16170.0,2940000.0
2016-10-24,4700,4950,4700,4950,225,14553.0,2940000.0
2016-10-25,4550,4550,4500,4500,530,13230.0,2940000.0
2016-10-26,5170,5170,5170,5170,1,15200.0,2940000.0
2016-10-27,5920,5920,5920,5920,1,17405.0,2940000.0
2016-10-28,5040,5040,5040,5040,1,14818.0,2940000.0
2016-10-31,4290,4290,4290,4290,1,12613.0,2940000.0
2016-11-01,3650,4200,3650,3705,49,10893.0,2940000.0
2016-11-02,3185,3185,3185,3185,1,9364.0,2940000.0
2016-11-03,3660,3660,3660,3660,280,10760.0,2940000.0
2016-11-04,3135,3425,3135,3425,6,10070.0,2940000.0
2016-11-07,2940,3935,2940,3250,112,9555.0,2940000.0
2016-11-08,2820,3735,2820,3405,160,10011.0,2940000.0
2016-11-09,3005,3005,3005,3005,1,8835.0,2940000.0
2016-11-10,3210,3210,3030,3210,319,9437.0,2940000.0
2016-11-11,3410,3690,3410,3690,300,10849.0,2940000.0
2016-11-14,3250,3250,3250,3250,1,9555.0,2940000.0
2016-11-15,3730,3735,3550,3550,276,10437.0,2940000.0
2016-11-16,4080,4080,3065,3100,404,9114.0,2940000.0
2016-11-17,3565,3565,3375,3565,288,10481.0,2940000.0
2016-11-18,4090,4090,3250,3250,292,9555.0,2940000.0
2016-11-21,3735,3735,3735,3735,10,10981.0,2940000.0
2016-11-22,4250,4250,4250,4250,240,12495.0,2940000.0
2016-11-23,4885,4885,4885,4885,1,14362.0,2940000.0
2016-11-24,4440,4440,4155,4435,444,13039.0,2940000.0
2016-11-25,4700,4700,3770,3770,2,11084.0,2940000.0
2016-11-28,3415,3415,3415,3415,12,10040.0,2940000.0
2016-11-29,3920,3920,3060,3060,6,8996.0,2940000.0
2016-11-30,3515,3515,3515,3515,5,10334.0,2940000.0
2016-12-01,3720,4040,3720,4040,271,11878.0,2940000.0
2016-12-02,4495,4495,4495,4495,1,13215.0,2940000.0
2016-12-05,3915,3915,3825,3825,261,11246.0,2940000.0
2016-12-06,3930,3930,3710,3900,257,11466.0,2940000.0
2016-12-07,3620,4095,3620,4090,255,12025.0,2940000.0
2016-12-08,4700,4700,4700,4700,1,13818.0,2940000.0
2016-12-09,3995,5100,3995,4995,502,14685.0,2940000.0
2016-12-12,4250,4495,4250,4495,241,13215.0,2940000.0
2016-12-13,5150,5150,4500,5150,493,15141.0,2940000.0
2016-12-14,5900,5900,5890,5890,2,17317.0,2940000.0
2016-12-15,6750,6750,5010,5010,12,14729.0,2940000.0
2016-12-16,5750,5750,5750,5750,1,16905.0,2940000.0
2016-12-19,4890,6490,4890,5960,461,17522.0,2940000.0
2016-12-20,5070,5070,5070,5070,1,14906.0,2940000.0
2016-12-21,4680,4950,4310,4900,403,14406.0,2940000.0
