뉴지랩(214870),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-10-13,4790,5150,4325,4325,4128439,49693.0,5744821.0
2015-10-14,4375,4430,4160,4200,678233,48256.0,5744821.0
2015-10-15,4270,4315,4180,4220,311456,48486.0,5744821.0
2015-10-16,4250,4255,4050,4110,300006,47222.0,5744821.0
2015-10-19,4110,4135,4025,4030,203645,46303.0,5744821.0
2015-10-20,4030,4135,3975,4125,253547,47395.0,5744821.0
2015-10-21,4160,4215,4055,4125,187054,47395.0,5744821.0
2015-10-22,4105,4160,3980,3980,163315,45729.0,5744821.0
2015-10-23,3990,4040,3800,3800,170541,43661.0,5744821.0
2015-10-26,3800,3890,3745,3785,88555,43488.0,5744821.0
2015-10-27,3835,3955,3770,3840,118269,44120.0,5744821.0
2015-10-28,3840,3940,3775,3855,99032,44293.0,5744821.0
2015-10-29,3900,3925,3770,3800,80462,43661.0,5744821.0
2015-10-30,3780,3800,3700,3785,86380,43488.0,5744821.0
2015-11-02,3815,3815,3700,3740,69616,42971.0,5744821.0
2015-11-03,3720,3790,3660,3705,62499,42569.0,5744821.0
2015-11-04,3700,3745,3625,3670,94794,42167.0,5744821.0
2015-11-05,3670,4035,3620,3780,255299,43431.0,5744821.0
2015-11-06,3765,3780,3675,3680,80184,43298.0,5882914.0
2015-11-09,3690,3755,3605,3605,52566,42416.0,5882914.0
2015-11-10,3610,3640,3485,3525,51686,41475.0,5882914.0
2015-11-11,3455,3670,3455,3645,43964,42886.0,5882914.0
2015-11-12,3640,3680,3550,3670,43369,43181.0,5882914.0
2015-11-13,3670,3670,3525,3605,25356,42416.0,5882914.0
2015-11-16,3585,3685,3520,3620,44686,42592.0,5882914.0
2015-11-17,3670,3730,3605,3680,11442,43298.0,5882914.0
2015-11-18,3695,3725,3595,3635,13898,42769.0,5882914.0
2015-11-19,3635,3730,3565,3585,43833,42180.0,5882914.0
2015-11-20,3620,3635,3535,3635,43934,42769.0,5882914.0
2015-11-23,3725,3725,3550,3580,33303,42122.0,5882914.0
2015-11-24,3580,3610,3530,3535,31973,41592.0,5882914.0
2015-11-25,3565,3585,3510,3530,27062,41533.0,5882914.0
2015-11-26,3530,3660,3500,3655,48554,43004.0,5882914.0
2015-11-27,3655,3705,3590,3685,33499,43357.0,5882914.0
2015-11-30,3710,3845,3640,3830,73125,45063.0,5882914.0
2015-12-01,3885,3885,3715,3715,53627,43710.0,5882914.0
2015-12-02,3705,3795,3675,3675,24404,43239.0,5882914.0
2015-12-03,3680,3740,3635,3690,36709,43416.0,5882914.0
2015-12-04,3635,3685,3615,3670,16124,43181.0,5882914.0
2015-12-07,3680,3710,3635,3650,7601,42945.0,5882914.0
2015-12-08,3690,3770,3525,3595,78662,42298.0,5882914.0
2015-12-09,3565,3635,3560,3610,19190,42475.0,5882914.0
2015-12-10,3565,3680,3550,3660,41824,43063.0,5882914.0
2015-12-11,3660,3705,3600,3665,20442,43122.0,5882914.0
2015-12-14,3645,3645,3505,3565,18604,41945.0,5882914.0
2015-12-15,3595,3595,3490,3565,22923,41945.0,5882914.0
2015-12-16,3560,3605,3505,3550,34061,41769.0,5882914.0
2015-12-17,3525,3650,3525,3650,16135,42945.0,5882914.0
2015-12-18,3645,3675,3585,3645,13891,42886.0,5882914.0
2015-12-21,3645,3670,3565,3625,25737,42651.0,5882914.0
2015-12-22,3585,3665,3555,3620,18174,42592.0,5882914.0
2015-12-23,3615,3625,3560,3595,22246,42298.0,5882914.0
2015-12-24,3625,3625,3550,3625,36683,42651.0,5882914.0
2015-12-28,3695,3695,3550,3625,12260,42651.0,5882914.0
2015-12-29,3590,3655,3550,3625,19503,42651.0,5882914.0
2015-12-30,3645,3645,3580,3605,15385,42416.0,5882914.0
2016-01-04,3650,3650,3550,3590,14509,42239.0,5882914.0
2016-01-05,3590,3625,3530,3605,25647,42416.0,5882914.0
2016-01-06,3640,3895,3600,3785,240690,44534.0,5882914.0
2016-01-07,3835,3890,3690,3885,329302,45710.0,5882914.0
2016-01-08,3780,3865,3750,3835,138503,45122.0,5882914.0
2016-01-11,3865,3990,3760,3835,126523,45122.0,5882914.0
2016-01-12,3875,3875,3720,3780,79695,44475.0,5882914.0
2016-01-13,3780,3830,3685,3730,74997,43887.0,5882914.0
2016-01-14,3690,3840,3605,3745,50604,44063.0,5882914.0
2016-01-15,3805,3895,3725,3895,151840,45828.0,5882914.0
2016-01-18,3870,3935,3790,3915,98993,46063.0,5882914.0
2016-01-19,3865,3900,3775,3845,100084,45240.0,5882914.0
2016-01-20,3840,3850,3670,3715,81238,43710.0,5882914.0
2016-01-21,3745,3785,3675,3690,48075,43416.0,5882914.0
2016-01-22,3690,3745,3635,3635,36914,42769.0,5882914.0
2016-01-25,3635,3720,3625,3660,57149,43063.0,5882914.0
2016-01-26,3690,3700,3615,3635,42557,42769.0,5882914.0
2016-01-27,3615,3675,3575,3585,34726,42180.0,5882914.0
2016-01-28,3610,3620,3555,3595,38203,42298.0,5882914.0
2016-01-29,3595,3725,3580,3685,65052,43357.0,5882914.0
2016-02-01,3740,3740,3645,3700,21342,43534.0,5882914.0
2016-02-02,3725,3725,3610,3650,20756,42945.0,5882914.0
2016-02-03,3670,3670,3580,3635,43360,42769.0,5882914.0
2016-02-04,3620,3685,3600,3655,20090,43004.0,5882914.0
2016-02-05,3685,3725,3615,3700,41157,43534.0,5882914.0
2016-02-11,3640,3690,3585,3640,28360,42828.0,5882914.0
2016-02-12,3590,3640,3100,3410,62661,40121.0,5882914.0
2016-02-15,3280,3440,3250,3315,42541,39004.0,5882914.0
2016-02-16,3345,3360,3250,3355,34506,39474.0,5882914.0
2016-02-17,3390,3480,3365,3395,16079,39945.0,5882914.0
2016-02-18,3430,3460,3375,3425,4763,40298.0,5882914.0
2016-02-19,3440,3450,3395,3440,3246,40474.0,5882914.0
2016-02-22,3470,3635,3410,3575,55933,42063.0,5882914.0
2016-02-23,3545,3585,3475,3520,14055,41416.0,5882914.0
2016-02-24,3550,3600,3475,3560,34133,41886.0,5882914.0
2016-02-25,3600,3615,3530,3590,24117,42239.0,5882914.0
2016-02-26,3610,3610,3550,3590,18592,42239.0,5882914.0
2016-02-29,3590,3600,3500,3545,21980,41710.0,5882914.0
2016-03-02,3600,3600,3510,3550,11194,41769.0,5882914.0
2016-03-03,3550,3565,3485,3500,15466,41180.0,5882914.0
2016-03-04,3535,3555,3485,3500,26256,41180.0,5882914.0
2016-03-07,3550,3550,3455,3495,23719,41122.0,5882914.0
2016-03-08,3495,3530,3450,3500,25306,41180.0,5882914.0
2016-03-09,3540,3540,3465,3520,4328,41416.0,5882914.0
2016-03-10,3545,3545,3490,3525,9883,41475.0,5882914.0
2016-03-11,3540,3540,3450,3495,12362,41122.0,5882914.0
2016-03-14,3515,3550,3465,3500,7859,41180.0,5882914.0
2016-03-15,3500,3505,3430,3470,11776,40827.0,5882914.0
2016-03-16,3495,3585,3400,3550,92362,41769.0,5882914.0
2016-03-17,3570,3595,3480,3545,12791,41710.0,5882914.0
2016-03-18,3555,3620,3485,3620,53763,42592.0,5882914.0
2016-03-21,3680,3725,3525,3535,95033,41592.0,5882914.0
2016-03-22,3565,3565,3500,3535,19545,41592.0,5882914.0
2016-03-23,3535,3535,3470,3480,14427,40945.0,5882914.0
2016-03-24,3480,3530,3455,3495,28903,41122.0,5882914.0
2016-03-25,3475,3500,3425,3465,18356,40769.0,5882914.0
2016-03-28,3490,3490,3390,3390,23334,39886.0,5882914.0
2016-03-29,3375,3425,3345,3345,56614,39357.0,5882914.0
2016-03-30,3350,3400,3345,3390,28360,39886.0,5882914.0
2016-03-31,3400,3400,3350,3360,15504,39533.0,5882914.0
2016-04-01,3350,3380,3340,3365,20270,39592.0,5882914.0
2016-04-04,3350,3370,3320,3345,27818,39357.0,5882914.0
2016-04-05,3345,3345,3300,3315,24690,39004.0,5882914.0
2016-04-06,3335,3335,3250,3280,23242,38592.0,5882914.0
2016-04-07,3300,3345,3285,3340,45334,39298.0,5882914.0
2016-04-08,3350,3370,3305,3360,14548,39533.0,5882914.0
2016-04-11,3400,3475,3380,3380,49749,39768.0,5882914.0
2016-04-12,3440,3440,3365,3380,7801,39768.0,5882914.0
2016-04-14,3440,3440,3305,3435,32240,40416.0,5882914.0
2016-04-15,3430,3430,3360,3370,9529,39651.0,5882914.0
2016-04-18,3370,3490,3350,3430,83044,40357.0,5882914.0
2016-04-19,3435,3485,3435,3480,46400,40945.0,5882914.0
2016-04-20,3500,3550,3445,3515,54704,41357.0,5882914.0
2016-04-21,3515,3535,3450,3495,27855,41122.0,5882914.0
2016-04-22,3490,3540,3490,3505,14001,41239.0,5882914.0
2016-04-25,3565,3565,3480,3495,31964,41122.0,5882914.0
2016-04-26,3520,3520,3430,3465,14853,40769.0,5882914.0
2016-04-27,3500,3505,3450,3455,12892,40651.0,5882914.0
2016-04-28,3490,3515,3455,3455,28618,40651.0,5882914.0
2016-04-29,3490,3500,3405,3465,32236,40769.0,5882914.0
2016-05-02,3490,3490,3385,3385,41680,39827.0,5882914.0
2016-05-03,3385,3540,3360,3520,53047,41416.0,5882914.0
2016-05-04,3510,3515,3410,3425,20768,40298.0,5882914.0
2016-05-09,3425,3440,3330,3330,37652,39180.0,5882914.0
2016-05-10,3330,3445,3325,3355,19457,39474.0,5882914.0
2016-05-11,3360,3390,3345,3370,7988,39651.0,5882914.0
2016-05-12,3335,3420,3335,3350,15118,39416.0,5882914.0
2016-05-13,3405,3405,3345,3365,24092,39592.0,5882914.0
2016-05-16,3390,3390,3210,3290,26685,38710.0,5882914.0
2016-05-17,3345,3345,3090,3100,91149,36474.0,5882914.0
2016-05-18,3070,3100,2930,2930,1078786,34474.0,5882914.0
2016-05-19,2995,3075,2980,3025,69034,35592.0,5882914.0
2016-05-20,3025,3120,3025,3070,30298,36121.0,5882914.0
2016-05-23,3070,3070,3000,3015,27399,35474.0,5882914.0
2016-05-24,3020,3080,3000,3030,12921,35650.0,5882914.0
2016-05-25,3015,3055,3005,3035,35454,35709.0,5882914.0
2016-05-26,3005,3040,2995,3030,13597,35650.0,5882914.0
2016-05-27,3010,3070,2990,2995,28177,35239.0,5882914.0
2016-05-30,2995,3010,2950,2955,12730,34768.0,5882914.0
2016-05-31,2955,2980,2930,2930,15612,34474.0,5882914.0
2016-06-01,2930,2970,2925,2950,10495,34709.0,5882914.0
2016-06-02,2955,2955,2780,2870,174007,33768.0,5882914.0
2016-06-03,2885,2885,2790,2860,41408,33650.0,5882914.0
2016-06-07,2875,2875,2810,2845,24107,33474.0,5882914.0
2016-06-08,2845,2880,2775,2810,60630,33062.0,5882914.0
2016-06-09,2810,2825,2780,2785,21630,32768.0,5882914.0
2016-06-10,2815,2825,2780,2800,11018,32944.0,5882914.0
2016-06-13,2800,2800,2685,2695,52659,31709.0,5882914.0
2016-06-14,2695,2790,2690,2750,22828,32356.0,5882914.0
2016-06-15,2725,2785,2720,2735,12956,32180.0,5882914.0
2016-06-16,2735,2770,2625,2645,33020,31121.0,5882914.0
2016-06-17,2635,2680,2625,2650,15121,31179.0,5882914.0
2016-06-20,2650,2715,2605,2615,23839,30768.0,5882914.0
2016-06-21,2645,2725,2615,2720,38094,32003.0,5882914.0
2016-06-22,2725,2775,2675,2695,21568,31709.0,5882914.0
2016-06-23,2715,2715,2600,2605,31663,30650.0,5882914.0
2016-06-24,2615,2715,2355,2585,80612,30415.0,5882914.0
2016-06-27,2427,2560,2427,2520,14311,29650.0,5882914.0
2016-06-28,2505,2550,2492,2540,17602,29885.0,5882914.0
2016-06-29,2565,2650,2560,2620,19801,30826.0,5882914.0
2016-06-30,2610,2745,2610,2715,60594,31944.0,5882914.0
2016-07-01,2685,2810,2670,2745,35360,32297.0,5882914.0
2016-07-04,2775,2775,2695,2720,4883,32003.0,5882914.0
2016-07-05,2720,2720,2665,2695,6793,31709.0,5882914.0
2016-07-06,2710,2710,2600,2700,14547,31768.0,5882914.0
2016-07-07,2700,2775,2655,2730,12082,32121.0,5882914.0
2016-07-08,2705,2775,2705,2730,11993,32121.0,5882914.0
2016-07-11,2730,2750,2720,2725,5362,32062.0,5882914.0
