게임빌(063080),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-07-30,19800,20400,16850,16850,2609970,92419.0,5484780.0
2009-07-31,16100,17250,15350,15350,1666746,84191.0,5484780.0
2009-08-03,15850,16000,15100,15300,702820,83917.0,5484780.0
2009-08-04,15500,15700,14650,14650,510391,80352.0,5484780.0
2009-08-05,14650,16750,14600,15450,2001155,84740.0,5484780.0
2009-08-06,15650,16250,15100,15200,505671,83369.0,5484780.0
2009-08-07,15250,15400,15000,15150,234886,83094.0,5484780.0
2009-08-10,15200,15300,15000,15100,199618,82820.0,5484780.0
2009-08-11,15200,15650,15100,15250,180627,83643.0,5484780.0
2009-08-12,15250,15650,15050,15600,164893,85563.0,5484780.0
2009-08-13,15800,16300,15700,15700,312810,86111.0,5484780.0
2009-08-14,15700,15900,15450,15450,142042,85041.0,5504255.0
2009-08-17,15350,15500,14800,14850,147343,81738.0,5504255.0
2009-08-18,14900,15100,14200,14250,136146,78436.0,5504255.0
2009-08-19,14550,14950,14350,14350,112872,78986.0,5504255.0
2009-08-20,14350,14650,14200,14550,89309,80087.0,5504255.0
2009-08-21,14600,14750,14250,14350,89672,78986.0,5504255.0
2009-08-24,14650,14850,14450,14550,70155,80087.0,5504255.0
2009-08-25,14650,14700,14250,14250,52096,78436.0,5504255.0
2009-08-26,14350,15250,14350,14800,210828,81463.0,5504255.0
2009-08-27,14850,14850,14200,14250,112192,78436.0,5504255.0
2009-08-28,14400,14600,14250,14500,60710,79812.0,5504255.0
2009-08-31,14500,14550,14050,14050,56363,77335.0,5504255.0
2009-09-01,14050,14200,13850,14000,71434,77060.0,5504255.0
2009-09-02,13750,14150,13750,13800,54671,75959.0,5504255.0
2009-09-03,14050,14300,13800,13800,86915,75959.0,5504255.0
2009-09-04,14200,14200,13600,13750,97266,75684.0,5504255.0
2009-09-07,14000,14050,13650,13650,107768,75133.0,5504255.0
2009-09-08,13700,13850,13250,13450,106169,74032.0,5504255.0
2009-09-09,13500,13900,13300,13750,111435,75684.0,5504255.0
2009-09-10,13800,15500,13750,15150,468547,83389.0,5504255.0
2009-09-11,15350,16000,15150,16000,332766,88068.0,5504255.0
2009-09-14,15700,16350,15050,15950,186001,87793.0,5504255.0
2009-09-15,16000,16650,15600,16450,190402,90545.0,5504255.0
2009-09-16,16650,16750,16150,16700,144967,91921.0,5504255.0
2009-09-17,16750,17300,15750,15750,473162,86692.0,5504255.0
2009-09-18,15850,16700,15600,16200,150708,89169.0,5504255.0
2009-09-21,16500,16950,16250,16800,100167,92471.0,5504255.0
2009-09-22,16700,17050,16350,16700,89451,91921.0,5504255.0
2009-09-23,16900,17550,16550,16750,219896,92196.0,5504255.0
2009-09-24,16550,17600,16000,17600,182063,96875.0,5504255.0
2009-09-25,17600,18600,17300,17550,517255,96600.0,5504255.0
2009-09-28,17650,17900,16700,17500,124933,96324.0,5504255.0
2009-09-29,17600,17600,16850,17400,60897,95774.0,5504255.0
2009-09-30,17200,18150,17200,17450,196224,96049.0,5504255.0
2009-10-01,18000,18000,16900,17450,128467,96049.0,5504255.0
2009-10-05,17450,17450,16900,16900,99968,93022.0,5504255.0
2009-10-06,17500,18300,17100,17300,377848,95224.0,5504255.0
2009-10-07,17500,18050,17450,17750,149706,97701.0,5504255.0
2009-10-08,18300,19150,18000,18900,444192,104030.0,5504255.0
2009-10-09,18750,19250,18400,18950,252165,104306.0,5504255.0
2009-10-12,19250,19250,18500,18850,164855,103755.0,5504255.0
2009-10-13,19100,19150,18200,18900,158237,104030.0,5504255.0
2009-10-14,18650,20000,18650,19600,236727,107883.0,5504255.0
2009-10-15,19600,19700,19050,19350,92096,106507.0,5504255.0
2009-10-16,19550,19800,19250,19400,91319,106783.0,5504255.0
2009-10-19,19700,19700,18800,18900,65263,104030.0,5504255.0
2009-10-20,19000,19600,18850,18900,138033,104030.0,5504255.0
2009-10-21,18900,19000,18400,18800,127688,103480.0,5504255.0
2009-10-22,18600,19500,18550,19400,124842,106783.0,5504255.0
2009-10-23,19500,19600,19100,19500,64696,107333.0,5504255.0
2009-10-26,19500,19900,19150,19900,95501,109535.0,5504255.0
2009-10-27,19900,20150,19650,19850,96515,109259.0,5504255.0
2009-10-28,19800,19950,18800,19300,152092,106232.0,5504255.0
2009-10-29,18800,18900,18050,18500,121782,101829.0,5504255.0
2009-10-30,18600,18950,18200,18850,120406,103755.0,5504255.0
2009-11-02,18100,19200,18050,19000,70180,104581.0,5504255.0
2009-11-03,18950,19250,18950,18950,41157,104306.0,5504255.0
2009-11-04,19000,19800,19000,19750,100308,108709.0,5504255.0
2009-11-05,19750,20450,19350,19900,210837,109535.0,5504255.0
2009-11-06,20050,20450,19800,20250,113042,111461.0,5504255.0
2009-11-09,20450,21300,20300,21300,153621,117241.0,5504255.0
2009-11-10,21500,21600,20750,21000,123998,115589.0,5504255.0
2009-11-11,21500,21500,20800,20800,82105,114489.0,5504255.0
2009-11-12,20900,21200,20250,20400,87954,112287.0,5504255.0
2009-11-13,20600,23400,20550,21700,312875,119442.0,5504255.0
2009-11-16,22000,23500,21650,22750,277243,125222.0,5504255.0
2009-11-17,23050,23700,22450,22650,231901,124671.0,5504255.0
2009-11-18,22400,23300,21450,23050,275841,126873.0,5504255.0
2009-11-19,23150,26500,22500,26200,527933,144211.0,5504255.0
2009-11-20,26000,29000,25600,27900,641546,153569.0,5504255.0
2009-11-23,28200,28500,27500,27900,203616,153569.0,5504255.0
2009-11-24,27800,27800,26600,26700,205815,146964.0,5504255.0
2009-11-25,26700,28700,25200,28700,462455,157972.0,5504255.0
2009-11-26,29000,32350,28800,30000,631141,165128.0,5504255.0
2009-11-27,28800,31350,28800,29700,468120,163476.0,5504255.0
2009-11-30,31200,34000,30600,34000,697624,187145.0,5504255.0
2009-12-01,34950,35700,32650,33800,473463,186044.0,5504255.0
2009-12-02,33350,34500,32100,32400,358158,178338.0,5504255.0
2009-12-03,32400,33850,30450,30600,378755,168430.0,5504255.0
2009-12-04,31200,33700,30400,33700,542132,185493.0,5504255.0
2009-12-07,34600,35000,32050,32350,320241,178063.0,5504255.0
2009-12-08,32000,32250,30100,30500,327791,167880.0,5504255.0
2009-12-09,30850,32050,30800,31500,245734,173384.0,5504255.0
2009-12-10,31650,32200,30900,31150,162655,171458.0,5504255.0
2009-12-11,31500,34000,31500,33100,437008,182191.0,5504255.0
2009-12-14,33800,34600,33250,33350,220136,183567.0,5504255.0
2009-12-15,33500,33500,32400,32700,150564,179989.0,5504255.0
2009-12-16,32750,32800,31700,32400,147260,178338.0,5504255.0
2009-12-17,32250,33350,32000,32300,123757,177787.0,5504255.0
2009-12-18,32600,37100,32600,37100,688777,204208.0,5504255.0
2009-12-21,39000,41800,36900,37400,1097311,205859.0,5504255.0
2009-12-22,37250,39500,36300,37200,687053,204758.0,5504255.0
2009-12-23,37200,38700,36850,37600,300148,206960.0,5504255.0
2009-12-24,38100,39000,37300,37350,290596,205584.0,5504255.0
2009-12-28,35800,38650,35400,36150,287888,198979.0,5504255.0
2009-12-29,37200,37450,36150,36500,152234,200905.0,5504255.0
2009-12-30,37200,38300,36800,36800,218592,202557.0,5504255.0
2010-01-04,37050,41450,37050,40700,552626,224023.0,5504255.0
2010-01-05,41400,41400,39100,39450,382964,217143.0,5504255.0
2010-01-06,39500,40200,38550,40200,183141,221271.0,5504255.0
2010-01-07,40200,40650,38100,38100,190811,209712.0,5504255.0
2010-01-08,38800,38900,36400,37500,187464,206410.0,5504255.0
2010-01-11,38000,39100,36700,37000,165035,203657.0,5504255.0
2010-01-12,36900,37800,36200,37750,170481,207786.0,5504255.0
2010-01-13,38000,38450,36900,37000,115790,203657.0,5504255.0
2010-01-14,37900,38000,36500,36900,188827,203107.0,5504255.0
2010-01-15,37350,37350,34800,35400,306758,194851.0,5504255.0
2010-01-18,35200,36550,34600,36250,199467,199529.0,5504255.0
2010-01-19,36700,36700,33650,33850,252620,186319.0,5504255.0
2010-01-20,34150,34450,31700,32100,287468,176687.0,5504255.0
2010-01-21,32100,33950,31050,33200,317398,182741.0,5504255.0
2010-01-22,32000,33000,30900,32150,163078,176962.0,5504255.0
2010-01-25,31200,32800,30350,30900,167388,170081.0,5504255.0
2010-01-26,31100,31400,27900,28700,324161,157972.0,5504255.0
2010-01-27,29250,31100,28600,30600,318708,168430.0,5504255.0
2010-01-28,31500,31600,29350,30900,213487,170081.0,5504255.0
2010-01-29,29750,30150,27600,28450,211074,156596.0,5504255.0
2010-02-01,28700,29600,28050,29200,143676,160724.0,5504255.0
2010-02-02,29900,31650,29700,29700,319733,163476.0,5504255.0
2010-02-03,31200,31250,30200,31100,170804,171182.0,5504255.0
2010-02-04,31000,32200,30650,31100,179271,171182.0,5504255.0
2010-02-05,29100,30000,28600,29600,173814,162926.0,5504255.0
2010-02-08,29600,29600,28200,29000,100041,159623.0,5504255.0
2010-02-09,28700,30150,28450,29750,119259,163752.0,5504255.0
2010-02-10,30200,31050,29400,29550,200413,162651.0,5504255.0
2010-02-11,30100,30900,29850,30650,128576,168705.0,5504255.0
2010-02-12,31400,34400,31400,32300,658810,177787.0,5504255.0
2010-02-16,32300,32750,31200,32700,205650,179989.0,5504255.0
2010-02-17,33700,34050,33300,33400,239198,183842.0,5504255.0
2010-02-18,33900,34650,33700,33700,176800,185493.0,5504255.0
2010-02-19,33300,34050,32050,32450,177003,178613.0,5504255.0
2010-02-22,33000,33600,32750,32900,75356,181090.0,5504255.0
