한화수성스팩(265920),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-06-08,1962,1962,1904,1914,336276,8747.0,4440000.0
2017-06-09,1923,1923,1899,1905,38956,8702.0,4440000.0
2017-06-12,1943,1943,1904,1909,15838,8725.0,4440000.0
2017-06-13,1943,1943,1904,1914,21680,8747.0,4440000.0
2017-06-14,1914,1914,1904,1909,13632,8725.0,4440000.0
2017-06-15,1909,1933,1899,1914,37849,8747.0,4440000.0
2017-06-16,1923,1923,1894,1900,54691,8680.0,4440000.0
2017-06-19,1899,1909,1894,1900,27213,8680.0,4440000.0
2017-06-20,1894,1909,1889,1895,26295,8658.0,4440000.0
2017-06-21,1909,1909,1885,1890,42429,8636.0,4440000.0
2017-06-22,1885,1899,1885,1890,612,8636.0,4440000.0
2017-06-23,1894,1909,1894,1905,12865,8702.0,4440000.0
2017-06-26,1904,1904,1899,1905,4764,8702.0,4440000.0
2017-06-27,1923,1923,1899,1905,16018,8702.0,4440000.0
2017-06-28,1899,1933,1899,1905,25599,8702.0,4440000.0
2017-06-29,1894,1933,1894,1900,58479,8680.0,4440000.0
2017-06-30,1904,1948,1899,1939,98425,8858.0,4440000.0
2017-07-03,1957,1962,1923,1934,26063,8836.0,4440000.0
2017-07-04,1933,1943,1933,1939,16159,8858.0,4440000.0
2017-07-05,1957,1957,1928,1939,13379,8858.0,4440000.0
2017-07-06,1923,1938,1923,1939,18004,8858.0,4440000.0
2017-07-07,1933,1948,1933,1948,28915,8902.0,4440000.0
2017-07-10,1933,1943,1933,1943,21475,8880.0,4440000.0
2017-07-11,1948,1953,1943,1953,45829,8924.0,4440000.0
2017-07-12,1957,1972,1943,1948,83002,8902.0,4440000.0
2017-07-13,1948,1957,1943,1953,30412,8924.0,4440000.0
2017-07-14,1953,1977,1948,1953,17619,8924.0,4440000.0
2017-07-17,1962,1962,1948,1963,1636,8969.0,4440000.0
2017-07-18,1953,1957,1948,1948,13666,8902.0,4440000.0
2017-07-19,1948,1962,1943,1963,13143,8969.0,4440000.0
2017-07-20,1953,1953,1948,1953,620,8924.0,4440000.0
2017-07-21,1938,1938,1938,1939,100,8858.0,4440000.0
2017-07-24,1938,1943,1938,1943,26101,8880.0,4440000.0
2017-07-25,1943,1962,1943,1943,1228,8880.0,4440000.0
2017-07-26,1943,1943,1943,1943,3502,8880.0,4440000.0
2017-07-27,1943,1953,1938,1939,2660,8858.0,4440000.0
2017-07-28,1938,1943,1938,1939,3627,8858.0,4440000.0
2017-07-31,1933,1943,1933,1943,2100,8880.0,4440000.0
2017-08-01,1938,1938,1928,1929,50000,8813.0,4440000.0
2017-08-02,1933,1933,1933,1934,100,8836.0,4440000.0
2017-08-03,1938,1943,1938,1939,8102,8858.0,4440000.0
2017-08-04,1938,1938,1938,1939,1025,8858.0,4440000.0
2017-08-07,1938,1938,1938,1939,1200,8858.0,4440000.0
2017-08-08,1938,1943,1938,1939,1012,8858.0,4440000.0
2017-08-09,1938,1943,1938,1939,647,8858.0,4440000.0
2017-08-10,1938,1943,1938,1943,3110,8880.0,4440000.0
2017-08-11,1943,1943,1938,1939,24709,8858.0,4440000.0
2017-08-14,1943,1943,1938,1939,2105,8858.0,4440000.0
2017-08-16,1938,1943,1938,1939,617,8858.0,4440000.0
2017-08-17,1938,1943,1938,1943,2875,8880.0,4440000.0
2017-08-18,1943,1943,1943,1943,4693,8880.0,4440000.0
2017-08-21,1943,1943,1938,1943,9189,8880.0,4440000.0
2017-08-22,1943,1943,1938,1943,4606,8880.0,4440000.0
2017-08-23,1943,1943,1943,1943,4403,8880.0,4440000.0
2017-08-24,1948,1948,1943,1943,731,8880.0,4440000.0
2017-08-25,1953,1962,1948,1948,81641,8902.0,4440000.0
2017-08-28,1953,1957,1953,1958,2911,8947.0,4440000.0
2017-08-29,1957,1957,1957,1958,10000,8947.0,4440000.0
2017-08-30,1957,1957,1957,1958,0,8947.0,4440000.0
2017-08-31,1972,1972,1957,1963,2012,8969.0,4440000.0
2017-09-01,1948,1957,1948,1953,10401,8924.0,4440000.0
2017-09-04,1948,1953,1948,1948,10173,8902.0,4440000.0
2017-09-05,1953,2035,1943,1948,45251,8902.0,4440000.0
2017-09-06,1948,1948,1948,1948,2152,8902.0,4440000.0
2017-09-07,1948,1948,1948,1948,4,8902.0,4440000.0
2017-09-08,1948,1948,1948,1948,150,8902.0,4440000.0
2017-09-11,1948,1948,1948,1948,181,8902.0,4440000.0
2017-09-12,1948,1948,1948,1948,200,8902.0,4440000.0
2017-09-13,1948,1948,1948,1948,7512,8902.0,4440000.0
2017-09-14,1948,1948,1943,1948,4883,8902.0,4440000.0
2017-09-15,1967,1967,1948,1958,202,8947.0,4440000.0
2017-09-18,1957,1962,1957,1963,26084,8969.0,4440000.0
2017-09-19,1948,1948,1948,1948,926,8902.0,4440000.0
2017-09-20,1948,1948,1948,1948,2344,8902.0,4440000.0
2017-09-21,1948,1948,1948,1948,600,8902.0,4440000.0
2017-09-22,1948,1948,1948,1948,0,8902.0,4440000.0
2017-09-25,1953,1953,1953,1953,2510,8924.0,4440000.0
2017-09-26,1953,1953,1953,1953,1200,8924.0,4440000.0
2017-09-27,1982,1982,1953,1953,1101,8924.0,4440000.0
2017-09-28,1957,1957,1953,1953,5340,8924.0,4440000.0
2017-09-29,1948,1948,1943,1948,1626,8902.0,4440000.0
2017-10-10,1953,1953,1953,1953,8391,8924.0,4440000.0
2017-10-11,1948,1957,1943,1958,7100,8947.0,4440000.0
2017-10-12,1957,1957,1943,1943,1001,8880.0,4440000.0
2017-10-13,1948,1948,1948,1948,0,8902.0,4440000.0
2017-10-16,1957,1957,1953,1953,3201,8924.0,4440000.0
2017-10-17,1957,1957,1943,1943,80965,8880.0,4440000.0
2017-10-18,1957,1957,1948,1953,8102,8924.0,4440000.0
2017-10-19,1957,1957,1948,1948,10536,8902.0,4440000.0
2017-10-20,1943,1957,1943,1948,10807,8902.0,4440000.0
2017-10-23,1957,1957,1948,1948,10930,8902.0,4440000.0
2017-10-24,1957,1957,1943,1943,31588,8880.0,4440000.0
2017-10-25,1943,1957,1943,1953,2615,8924.0,4440000.0
2017-10-26,1957,1957,1957,1958,2599,8947.0,4440000.0
2017-10-27,1943,1953,1938,1939,42245,8858.0,4440000.0
2017-10-30,1938,1953,1938,1948,2522,8902.0,4440000.0
2017-10-31,1953,1953,1953,1953,1791,8924.0,4440000.0
2017-11-01,1953,1957,1953,1958,2001,8947.0,4440000.0
2017-11-02,1953,1953,1953,1953,1571,8924.0,4440000.0
2017-11-03,1953,1953,1953,1953,50,8924.0,4440000.0
2017-11-06,1943,1943,1938,1943,9565,8880.0,4440000.0
2017-11-07,1938,1943,1938,1939,5416,8858.0,4440000.0
2017-11-08,1953,1953,1933,1934,32014,8836.0,4440000.0
2017-11-09,1943,1943,1938,1939,59022,8858.0,4440000.0
2017-11-10,1933,1953,1933,1939,16394,8858.0,4440000.0
2017-11-13,1943,1943,1933,1934,10070,8836.0,4440000.0
2017-11-14,1938,1943,1938,1939,23134,8858.0,4440000.0
2017-11-15,1943,1943,1938,1939,11791,8858.0,4440000.0
2017-11-16,1938,1943,1933,1934,10381,8836.0,4440000.0
2017-11-17,1943,1943,1933,1934,2,8836.0,4440000.0
2017-11-20,1933,1933,1928,1934,9449,8836.0,4440000.0
2017-11-21,1928,1943,1928,1934,18840,8836.0,4440000.0
2017-11-22,1933,1938,1933,1934,1169,8836.0,4440000.0
2017-11-23,1928,1933,1923,1934,2099,8836.0,4440000.0
2017-11-24,1923,1943,1923,1943,10270,8880.0,4440000.0
2017-11-27,1943,1943,1933,1934,1100,8836.0,4440000.0
2017-11-28,1919,1943,1919,1943,5111,8880.0,4440000.0
2017-11-29,1919,1943,1919,1939,4215,8858.0,4440000.0
2017-11-30,1919,1943,1914,1943,4045,8880.0,4440000.0
