링크제니시스(219420),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-07-29,12600,12600,11200,11200,397,22706.0,2027300.0
2016-08-01,11200,11200,11200,11200,0,22706.0,2027300.0
2016-08-02,11200,11200,11200,11200,0,,
2016-08-03,11200,11200,11200,11200,0,,
2016-08-04,11200,11200,11200,11200,0,,
2016-08-05,11000,11000,11000,11000,10,22300.0,2027300.0
2016-08-08,11000,11000,11000,11000,0,22300.0,2027300.0
2016-08-09,11000,11000,11000,11000,0,,
2016-08-10,11000,11000,11000,11000,0,,
2016-08-11,11500,11500,11500,11500,0,23314.0,2027300.0
2016-08-12,12000,12000,12000,12000,0,24328.0,2027300.0
2016-08-16,12500,12500,12500,12500,0,25341.0,2027300.0
2016-08-17,12500,12500,12500,12500,0,25341.0,2027300.0
2016-08-18,12500,12500,12500,12500,0,,
2016-08-19,12500,12500,12500,12500,0,,
2016-08-22,12500,12500,12500,12500,0,,
2016-08-23,12500,12500,12500,12500,0,,
2016-08-24,12500,12500,12500,12500,0,,
2016-08-25,12500,12500,12500,12500,0,,
2016-08-26,12500,12500,12500,12500,0,,
2016-08-29,12500,12500,12500,12500,0,,
2016-08-30,12500,12500,12500,12500,0,,
2016-08-31,12500,12500,12500,12500,0,,
2016-09-01,12500,12500,12500,12500,0,,
2016-09-02,12500,12500,12500,12500,0,,
2016-09-05,12500,12500,12500,12500,0,,
2016-09-06,12500,12500,12500,12500,0,,
2016-09-07,12500,12500,12500,12500,0,,
2016-09-08,12500,12500,12500,12500,0,,
2016-09-09,12500,12500,12500,12500,0,,
2016-09-12,12500,12500,12500,12500,0,,
2016-09-13,12500,12500,12500,12500,0,,
2016-09-19,12500,12500,12500,12500,0,,
2016-09-20,12500,12500,12500,12500,0,,
2016-09-21,13000,13000,13000,13000,0,26355.0,2027300.0
2016-09-22,12300,12300,12300,12300,100,24936.0,2027300.0
2016-09-23,12300,12300,12300,12300,0,24936.0,2027300.0
2016-09-26,12250,12250,12250,12250,0,24834.0,2027300.0
2016-09-27,12250,12250,12250,12250,0,24834.0,2027300.0
2016-09-28,12250,12250,12250,12250,0,,
2016-09-29,12250,12250,12250,12250,0,,
2016-09-30,12250,12250,12250,12250,0,,
2016-10-04,12250,12250,12250,12250,0,,
2016-10-05,12250,12250,12250,12250,0,,
2016-10-06,12250,12250,12250,12250,10,24834.0,2027300.0
2016-10-07,10450,10450,10450,10450,1,21185.0,2027300.0
2016-10-10,10450,10450,10450,10450,0,21185.0,2027300.0
2016-10-11,8910,8910,8910,8910,1,18063.0,2027300.0
2016-10-12,9630,9630,9630,9630,0,19523.0,2027300.0
2016-10-13,10200,10200,10200,10200,100,20678.0,2027300.0
2016-10-14,10200,10200,10200,10200,0,20678.0,2027300.0
2016-10-17,11600,11600,11600,11600,14,23517.0,2027300.0
2016-10-18,13000,13000,13000,13000,0,26355.0,2027300.0
2016-10-19,13000,13000,13000,13000,0,26355.0,2027300.0
2016-10-20,14000,14000,14000,14000,0,28382.0,2027300.0
2016-10-21,14000,14000,14000,14000,0,28382.0,2027300.0
2016-10-24,14950,14950,14950,14950,0,30308.0,2027300.0
2016-10-25,17000,17000,17000,17000,0,34464.0,2027300.0
2016-10-26,14450,14450,14450,14450,100,29294.0,2027300.0
2016-10-27,12300,12300,12300,12300,100,24936.0,2027300.0
2016-10-28,12300,12300,12300,12300,0,,
2016-10-31,12300,12300,12300,12300,100,24936.0,2027300.0
2016-11-01,12950,12950,12950,12950,0,26254.0,2027300.0
2016-11-02,12300,12300,12300,12300,100,24936.0,2027300.0
