에스에너지(095910),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2007-10-16,19000,21850,19000,21850,17949,189715.0,4341305.0
2007-10-17,25100,25100,25100,25100,389401,217934.0,4341305.0
2007-10-18,27950,28850,26850,28850,590936,250493.0,4341305.0
2007-10-19,31000,32500,27449,27750,1068191,240942.0,4341305.0
2007-10-22,24500,26450,23600,23600,456562,204910.0,4341305.0
2007-10-23,24750,27100,24250,27100,220474,235299.0,4341305.0
2007-10-24,29999,31150,24750,26750,978492,232260.0,4341305.0
2007-10-25,28900,30750,27499,30200,775518,262215.0,4341305.0
2007-10-26,31250,31850,28300,29250,478764,258003.0,4410305.0
2007-10-29,30250,30250,26500,26750,374366,235951.0,4410305.0
2007-10-30,27050,28650,25650,27250,260423,240362.0,4410305.0
2007-10-31,27500,27600,25700,26150,234654,230659.0,4410305.0
2007-11-01,26450,27050,25200,25500,345868,224926.0,4410305.0
2007-11-02,24100,24700,22999,23500,217864,207284.0,4410305.0
2007-11-05,23800,23925,20000,20100,286119,177294.0,4410305.0
2007-11-06,20250,22750,19000,21525,340830,189864.0,4410305.0
2007-11-07,22900,23400,20500,20750,229905,183028.0,4410305.0
2007-11-08,20125,20500,19450,20425,104821,180161.0,4410305.0
2007-11-09,20750,21500,20075,20325,153454,179279.0,4410305.0
2007-11-12,19500,19875,17300,17350,155031,153038.0,4410305.0
2007-11-13,17499,17975,14850,15500,220128,136719.0,4410305.0
2007-11-14,16074,16450,14700,15000,162142,132309.0,4410305.0
2007-11-15,14900,16875,13550,15075,622476,132971.0,4410305.0
2007-11-16,13750,14725,13250,13250,547515,116873.0,4410305.0
2007-11-19,13525,14375,13100,13300,338805,117314.0,4410305.0
2007-11-20,13250,13275,12000,12550,226818,110699.0,4410305.0
2007-11-21,12650,14425,12475,13675,952200,120622.0,4410305.0
2007-11-22,13375,14850,13300,13900,755731,122606.0,4410305.0
2007-11-23,14099,14150,11825,11850,408422,104524.0,4410305.0
2007-11-26,12425,13625,12050,13625,503706,120181.0,4410305.0
2007-11-27,13050,15300,12775,14600,843719,128781.0,4410305.0
2007-11-28,15050,15100,13900,14000,273203,123489.0,4410305.0
2007-11-29,14650,14699,13499,13750,186661,121283.0,4410305.0
2007-11-30,13900,14750,13825,14500,309080,127899.0,4410305.0
2007-12-03,14550,14975,14125,14325,260221,126355.0,4410305.0
2007-12-04,14349,16450,13700,15900,1087717,140248.0,4410305.0
2007-12-05,16000,17299,15525,16100,591714,142012.0,4410305.0
2007-12-06,16325,17225,15750,16000,624708,141130.0,4410305.0
2007-12-07,16300,17000,15850,15975,390522,140909.0,4410305.0
2007-12-10,16000,16225,14675,14675,220308,129442.0,4410305.0
2007-12-11,15000,15325,14575,15325,152266,135176.0,4410305.0
2007-12-12,14600,15274,14574,15000,146980,132309.0,4410305.0
2007-12-13,15275,15475,14650,14650,146480,129222.0,4410305.0
2007-12-14,14650,14850,13600,13750,204836,121283.0,4410305.0
2007-12-17,13200,13399,12175,12175,221974,107391.0,4410305.0
2007-12-18,11499,13175,11499,12350,316554,108935.0,4410305.0
2007-12-20,12775,12825,11550,11550,178524,101878.0,4410305.0
2007-12-21,11900,12050,11300,11450,109651,100996.0,4410305.0
2007-12-24,11650,11900,11450,11450,114354,100996.0,4410305.0
2007-12-26,11600,11850,11375,11400,114097,100555.0,4410305.0
2007-12-27,11500,12350,11500,11700,209483,103201.0,4410305.0
2007-12-28,11750,12425,11700,12325,206673,108714.0,4410305.0
2008-01-02,12400,12400,11500,11500,146747,101437.0,4410305.0
2008-01-03,11725,13225,11650,13225,188643,116653.0,4410305.0
2008-01-04,14250,15175,13600,14800,1079835,130545.0,4410305.0
2008-01-07,14300,15949,13900,13900,645505,122606.0,4410305.0
2008-01-08,14250,14950,13525,13750,344742,121283.0,4410305.0
2008-01-09,13900,15800,13700,15800,747637,139366.0,4410305.0
2008-01-10,16400,16650,15150,15250,651084,134514.0,4410305.0
2008-01-11,15500,15625,14025,14275,276309,125914.0,4410305.0
2008-01-14,14100,14875,13850,14375,254964,126796.0,4410305.0
2008-01-15,14875,15400,13575,13900,395050,122606.0,4410305.0
2008-01-16,13300,13749,12125,12300,207591,108494.0,4410305.0
2008-01-17,12750,13175,12049,12500,174674,110258.0,4410305.0
2008-01-18,12325,14350,12150,14350,229163,126576.0,4410305.0
2008-01-21,14425,14749,13275,13500,260134,119078.0,4410305.0
2008-01-22,12998,14250,12650,13825,351771,121945.0,4410305.0
2008-01-23,14250,15875,14199,15875,376261,140027.0,4410305.0
2008-01-24,16800,17675,15175,15650,1168794,138043.0,4410305.0
2008-01-25,16250,17300,15748,17250,1032863,152156.0,4410305.0
2008-01-28,16900,17825,16000,16000,731451,141130.0,4410305.0
2008-01-29,16600,17175,15325,15325,568162,135176.0,4410305.0
2008-01-30,15675,15825,14275,14850,346845,130986.0,4410305.0
2008-01-31,14875,15849,14649,15700,347381,138484.0,4410305.0
2008-02-01,16200,16550,15825,15975,332464,140909.0,4410305.0
2008-02-04,16300,16575,15850,15900,359804,140248.0,4410305.0
2008-02-05,15850,16250,15175,15350,259653,135396.0,4410305.0
2008-02-11,14825,15225,14825,14850,136660,130986.0,4410305.0
2008-02-12,15275,16425,14950,15600,394564,137602.0,4410305.0
2008-02-13,15950,16125,14850,14850,233222,130986.0,4410305.0
2008-02-14,15500,16200,15350,15850,448464,139807.0,4410305.0
2008-02-15,15600,16650,15550,16225,400127,143114.0,4410305.0
2008-02-18,16350,16650,15875,16000,271448,141130.0,4410305.0
2008-02-19,16300,18400,16000,18400,764897,162299.0,4410305.0
2008-02-20,19250,20075,18400,18900,1669453,166710.0,4410305.0
2008-02-21,19450,19950,18800,18900,689752,166710.0,4410305.0
2008-02-22,18900,20525,18600,20100,735527,177294.0,4410305.0
2008-02-25,20350,20900,19625,19625,656930,173104.0,4410305.0
2008-02-26,20050,22175,19900,20775,1212921,183248.0,4410305.0
2008-02-27,21100,21275,19850,19850,479663,175089.0,4410305.0
2008-02-28,19850,20425,19075,19125,452247,168694.0,4410305.0
2008-02-29,19125,19650,18900,18900,244311,166710.0,4410305.0
2008-03-03,18350,18750,18225,18525,155458,163402.0,4410305.0
2008-03-04,19000,20700,18950,19400,580311,171120.0,4410305.0
2008-03-05,19600,20200,19150,19475,267606,171781.0,4410305.0
2008-03-06,19850,20550,19600,19650,317007,173325.0,4410305.0
2008-03-07,19300,20250,19300,20100,259115,177294.0,4410305.0
2008-03-10,20250,20925,19800,20050,503826,176853.0,4410305.0
2008-03-11,20200,21100,20000,20900,420217,184351.0,4410305.0
2008-03-12,21700,21875,20375,20400,437376,179940.0,4410305.0
2008-03-13,20675,20975,19400,19625,259836,173104.0,4410305.0
