에이디테크놀로지(200710),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-12-16,6862,7473,5922,7117,2252753,56136.0,4009695.0
2014-12-17,7345,7955,6939,7676,651104,60546.0,4009695.0
2014-12-18,7549,7803,7066,7473,228312,58943.0,4009695.0
2014-12-19,7422,7752,7371,7651,112697,60346.0,4009695.0
2014-12-22,7650,7803,7345,7397,110962,58341.0,4009695.0
2014-12-23,7498,7930,7244,7753,357942,61148.0,4009695.0
2014-12-24,7701,8159,7600,7803,395690,61549.0,4009695.0
2014-12-26,7905,8972,7752,8973,895806,70771.0,4009695.0
2014-12-29,10116,10294,10065,10294,234414,81196.0,4009695.0
2014-12-30,11260,11438,10447,11210,1235202,88414.0,4009695.0
2015-01-02,10777,11539,10497,11235,786958,88614.0,4009695.0
2015-01-05,11590,11794,10752,11006,577157,87206.0,4027995.0
2015-01-06,10828,11006,10447,10447,333614,82775.0,4027995.0
2015-01-07,10269,10319,9735,9913,438228,78546.0,4027995.0
2015-01-08,10065,10980,9989,10549,817826,83581.0,4027995.0
2015-01-09,10675,10777,10065,10066,307980,79754.0,4027995.0
2015-01-12,10065,10675,10040,10625,346389,84185.0,4027995.0
2015-01-13,10675,11590,10472,10727,628485,84991.0,4027995.0
2015-01-14,10701,10879,9964,10422,235324,82574.0,4027995.0
2015-01-15,10523,11107,10294,10930,284182,86602.0,4027995.0
2015-01-16,10752,12556,10726,12557,1426905,99491.0,4027995.0
2015-01-19,13014,14336,12709,13955,1086135,110568.0,4027995.0
2015-01-20,13776,14336,13293,14260,542813,112985.0,4027995.0
2015-01-21,14107,15403,13853,14743,610319,116812.0,4027995.0
2015-01-22,14691,15073,13980,13980,309614,110770.0,4027995.0
2015-01-23,14336,15149,14183,14666,339017,116208.0,4027995.0
2015-01-26,14793,15098,13903,13904,309712,110166.0,4027995.0
2015-01-27,13929,14539,13751,13904,267972,111238.0,4067195.0
2015-01-28,13776,14132,13675,13751,126220,110018.0,4067195.0
2015-01-29,13776,14996,13293,13472,561140,107781.0,4067195.0
2015-01-30,13471,13675,12810,12811,274163,102493.0,4067195.0
2015-02-02,12887,13471,12658,13472,190685,107781.0,4067195.0
2015-02-03,13675,14081,13039,13980,168158,111848.0,4067195.0
2015-02-04,13903,14183,13624,13853,136223,110831.0,4067195.0
2015-02-05,14361,14615,14056,14412,291388,115305.0,4067195.0
2015-02-06,14818,15556,13827,14184,535929,113475.0,4067195.0
2015-02-09,14285,14513,13802,13980,152880,111848.0,4067195.0
2015-02-10,13954,14361,13192,13726,121598,109814.0,4067195.0
2015-02-11,13675,14005,13446,13904,118818,111238.0,4067195.0
2015-02-12,13980,14539,13573,14184,325373,113475.0,4067195.0
2015-02-13,14183,14234,13166,13243,246789,105950.0,4067195.0
2015-02-16,13166,13344,11946,12404,265336,99240.0,4067195.0
2015-02-17,12150,12938,12099,12404,110215,99240.0,4067195.0
2015-02-23,12277,12632,12277,12480,52431,99850.0,4067195.0
2015-02-24,12480,14081,12404,13523,345763,108187.0,4067195.0
2015-02-25,13649,13954,12988,13523,110946,108187.0,4067195.0
2015-02-26,13725,13802,13090,13091,131352,104730.0,4067195.0
2015-02-27,12938,13395,12810,12963,98112,103713.0,4067195.0
2015-03-02,13192,13446,12887,13091,83610,104730.0,4067195.0
2015-03-03,13090,13217,12455,12608,116871,100866.0,4067195.0
2015-03-04,12480,12658,12251,12633,83991,101070.0,4067195.0
2015-03-05,12734,13370,12683,12887,149285,103103.0,4067195.0
2015-03-06,12938,13090,12327,12455,81403,100014.0,4082195.0
2015-03-09,12327,12531,11946,12480,76164,100218.0,4082195.0
2015-03-10,12734,12734,11921,12023,66627,96544.0,4082195.0
2015-03-11,11641,11845,11260,11565,127231,92870.0,4082195.0
2015-03-12,11641,12836,11311,12328,246280,98993.0,4082195.0
2015-03-13,12455,12480,11794,11794,114836,94707.0,4082195.0
2015-03-16,11794,12124,11565,12074,84810,96952.0,4082195.0
2015-03-17,12124,12277,11641,11693,91788,93890.0,4082195.0
2015-03-18,11794,11997,11540,11540,76807,92666.0,4082195.0
2015-03-19,11717,11717,11336,11540,45267,92666.0,4082195.0
