팜스웰바이오(043090),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-10-11,13184,13184,13184,13184,138222,50700.0,3380000.0
2001-10-12,14766,14766,11866,12481,906104,47996.0,3380000.0
2001-10-15,12921,13712,12657,13052,440332,50193.0,3380000.0
2001-10-16,12745,12921,11514,11558,241064,44447.0,3380000.0
2001-10-17,11646,12921,11338,12921,257568,49686.0,3380000.0
2001-10-18,13800,14460,12525,12569,546347,48334.0,3380000.0
2001-10-19,12657,13096,11602,12042,209604,46306.0,3380000.0
2001-10-22,12393,12569,11954,12217,205559,46982.0,3380000.0
2001-10-23,12393,13668,12217,13668,474557,52559.0,3380000.0
2001-10-24,13799,15294,13756,14283,1005358,54925.0,3380000.0
2001-10-25,14327,14854,14239,14503,208653,55770.0,3380000.0
2001-10-26,14503,14854,13887,14063,155861,54080.0,3380000.0
2001-10-29,13712,15733,13536,14678,567862,56446.0,3380000.0
2001-10-30,14063,15206,13536,14678,242315,56446.0,3380000.0
2001-10-31,14942,16085,13799,14151,777935,54418.0,3380000.0
2001-11-01,14151,14283,13712,13843,218481,53235.0,3380000.0
2001-11-02,13887,14415,13096,13448,170434,51714.0,3380000.0
2001-11-05,13448,13624,13008,13404,119603,51545.0,3380000.0
2001-11-06,13272,14063,13272,13712,159293,52728.0,3380000.0
2001-11-07,14283,15338,14063,14854,495648,57122.0,3380000.0
2001-11-08,14591,15030,14151,14503,157242,55770.0,3380000.0
2001-11-09,14942,14942,13975,14239,154697,54756.0,3380000.0
2001-11-12,14195,14678,14107,14503,90921,55770.0,3380000.0
2001-11-13,14371,15557,14195,15294,307859,58812.0,3380000.0
2001-11-14,15557,17096,15206,17096,384876,65741.0,3380000.0
2001-11-15,17535,18458,16656,17139,407741,65910.0,3380000.0
2001-11-16,17052,17579,16524,17579,156158,67600.0,3380000.0
2001-11-19,18018,18018,16964,17227,99470,66248.0,3380000.0
2001-11-20,17052,17491,15513,15733,132295,60502.0,3380000.0
2001-11-21,15733,16436,15469,16217,63101,62361.0,3380000.0
2001-11-22,16173,16261,15689,15997,48728,61516.0,3380000.0
2001-11-23,15645,17008,15645,16173,91208,62192.0,3380000.0
2001-11-26,16788,16788,15689,15733,107290,60502.0,3380000.0
2001-11-27,15821,16347,14986,15030,78668,57798.0,3380000.0
2001-11-28,15118,15382,13448,13668,134577,52559.0,3380000.0
2001-11-29,13360,14327,13272,14063,52847,54080.0,3380000.0
2001-11-30,14239,14503,13975,14503,73578,55770.0,3380000.0
2001-12-03,14942,15909,14722,15821,242767,60840.0,3380000.0
2001-12-04,14942,15997,14942,14942,93395,57460.0,3380000.0
2001-12-05,15118,15338,14634,15030,79468,57798.0,3380000.0
2001-12-06,15294,15645,14766,15162,64991,58305.0,3380000.0
2001-12-07,14986,16700,14942,15733,194041,60502.0,3380000.0
2001-12-10,15733,15997,15118,15118,44652,58136.0,3380000.0
2001-12-11,15118,15689,15118,15118,44389,58136.0,3380000.0
2001-12-12,15206,15338,14898,14942,35678,57460.0,3380000.0
2001-12-13,15074,15074,14503,14547,52391,55939.0,3380000.0
2001-12-14,14547,15557,14547,14722,41528,56615.0,3380000.0
2001-12-17,14854,14942,13887,14678,35595,56446.0,3380000.0
2001-12-18,15118,15909,14678,14678,93375,56446.0,3380000.0
2001-12-19,14678,15118,14063,14371,23100,55263.0,3380000.0
2001-12-20,14415,14722,13360,13360,86942,51376.0,3380000.0
2001-12-21,13140,14063,12921,13624,65077,52390.0,3380000.0
2001-12-24,13448,13712,13140,13580,21903,52221.0,3380000.0
2001-12-26,11954,13448,11954,13008,39934,50024.0,3380000.0
2001-12-27,13184,13624,12305,12525,36917,48165.0,3380000.0
2001-12-28,12701,13184,12305,13184,63278,50700.0,3380000.0
2002-01-02,13184,13492,12921,13492,28430,51883.0,3380000.0
2002-01-03,13316,13843,13316,13492,38210,51883.0,3380000.0
2002-01-04,13624,13887,13360,13580,30906,52221.0,3380000.0
2002-01-07,13316,13580,12921,13052,25348,50193.0,3380000.0
2002-01-08,12833,13712,12525,12525,70535,48165.0,3380000.0
2002-01-09,12569,12789,12129,12569,61193,48334.0,3380000.0
2002-01-10,12305,12569,12042,12217,43752,46982.0,3380000.0
2002-01-11,12305,12745,12042,12217,58340,46982.0,3380000.0
2002-01-14,12042,13008,12042,12261,53835,47151.0,3380000.0
2002-01-15,12217,12481,11866,11910,25902,45799.0,3380000.0
2002-01-16,11954,11998,11514,11690,17442,44954.0,3380000.0
2002-01-17,11690,11866,11251,11514,32759,44278.0,3380000.0
2002-01-18,11294,11602,11251,11558,21127,44447.0,3380000.0
2002-01-21,11426,11558,11294,11426,17020,43940.0,3380000.0
2002-01-22,11426,11690,11294,11602,30806,44616.0,3380000.0
2002-01-23,11602,12305,11602,11866,43504,45630.0,3380000.0
2002-01-24,12042,12921,11998,12613,75261,48503.0,3380000.0
2002-01-25,12613,12745,12173,12305,24030,47320.0,3380000.0
2002-01-28,12305,13008,12305,12613,51928,48503.0,3380000.0
2002-01-29,12745,12789,12349,12481,21707,47996.0,3380000.0
2002-01-30,12173,12305,11690,11866,26409,45630.0,3380000.0
2002-01-31,11866,12217,11866,12129,15263,46644.0,3380000.0
2002-02-01,12613,13096,12481,12569,71597,48334.0,3380000.0
2002-02-04,12613,13184,12569,12745,80995,49010.0,3380000.0
2002-02-05,12481,12877,11866,12042,43218,46306.0,3380000.0
2002-02-06,12349,12657,12217,12569,42932,48334.0,3380000.0
2002-02-07,12481,12481,11954,12129,24607,46644.0,3380000.0
2002-02-08,12129,12349,11690,11690,28483,44954.0,3380000.0
2002-02-14,12042,12086,11690,11866,22503,45630.0,3380000.0
2002-02-15,11646,11998,11426,11426,25643,43940.0,3380000.0
2002-02-18,11426,12086,11338,11954,41638,45968.0,3380000.0
2002-02-19,12217,12305,11954,12042,37662,46306.0,3380000.0
2002-02-20,12042,12569,11954,12569,41089,48334.0,3380000.0
2002-02-21,13008,13052,12657,12964,74387,49855.0,3380000.0
2002-02-22,12569,12921,12481,12569,43733,48334.0,3380000.0
2002-02-25,12657,12921,12349,12789,36033,49179.0,3380000.0
2002-02-26,12745,12833,12393,12525,41269,48165.0,3380000.0
2002-02-27,12437,12745,12305,12701,30005,48841.0,3380000.0
2002-02-28,12745,13536,12525,13140,52939,50531.0,3380000.0
2002-03-04,13975,14063,13404,13712,108262,52728.0,3380000.0
2002-03-05,14063,14151,13272,13360,88926,51376.0,3380000.0
2002-03-06,13228,13536,13008,13360,35856,51376.0,3380000.0
2002-03-07,13624,13756,12569,12613,79544,48503.0,3380000.0
2002-03-08,12349,12657,12129,12569,59957,48334.0,3380000.0
2002-03-11,12745,13404,12305,13184,151934,50700.0,3380000.0
2002-03-12,13360,14371,13184,14239,535510,54756.0,3380000.0
2002-03-13,14503,14986,13887,14151,480171,54418.0,3380000.0
2002-03-14,14283,14283,13624,14151,103399,54418.0,3380000.0
2002-03-15,14283,15821,14239,15821,472769,60840.0,3380000.0
2002-03-18,15821,16568,15469,16173,370465,62192.0,3380000.0
2002-03-19,16173,16920,15645,16217,136256,62361.0,3380000.0
2002-03-20,15909,16173,15382,15426,131182,59319.0,3380000.0
2002-03-21,14986,15338,14634,14898,132619,57291.0,3380000.0
2002-03-22,14898,15469,14503,14766,122955,56784.0,3380000.0
2002-03-25,14678,15294,14547,14986,105045,57629.0,3380000.0
2002-03-26,14503,14986,14063,14327,104439,55094.0,3380000.0
2002-03-27,14239,14942,14239,14503,73103,55770.0,3380000.0
2002-03-28,15118,15382,14415,14766,118073,56784.0,3380000.0
2002-03-29,14766,15030,13360,14327,71899,55094.0,3380000.0
2002-04-01,14327,14547,13712,13756,62416,52897.0,3380000.0
2002-04-02,13272,14327,13272,13668,83442,52559.0,3380000.0
2002-04-03,13360,13887,12877,13184,70709,50700.0,3380000.0
2002-04-04,13096,13448,13096,13316,36460,51207.0,3380000.0
2002-04-08,13316,13492,13140,13184,47245,50700.0,3380000.0
2002-04-09,13272,13447,12481,12525,63804,48165.0,3380000.0
2002-04-10,12305,12525,11998,12393,35496,47658.0,3380000.0
2002-04-11,12481,12745,12261,12393,23012,47658.0,3380000.0
2002-04-12,12042,12437,11910,11910,35618,45799.0,3380000.0
2002-04-15,11954,12745,11954,12393,28044,47658.0,3380000.0
2002-04-16,12129,12833,12129,12437,23145,47827.0,3380000.0
2002-04-17,12481,12877,12393,12657,26237,48672.0,3380000.0
2002-04-18,12745,12745,12217,12393,29947,47658.0,3380000.0
2002-04-19,12437,12437,12042,12305,24826,47320.0,3380000.0
2002-04-22,11778,12437,11514,11778,30141,45292.0,3380000.0
2002-04-23,11470,11734,11251,11514,31253,44278.0,3380000.0
2002-04-24,11734,11734,11075,11426,40422,43940.0,3380000.0
2002-04-25,11294,11602,11031,11426,23265,43940.0,3380000.0
2002-04-26,11294,11470,11163,11163,17204,42926.0,3380000.0
2002-04-29,11032,11076,9844,10064,59470,38701.0,3380000.0
2002-04-30,9888,10328,9668,9932,45806,38194.0,3380000.0
2002-05-02,10108,10108,9844,10108,61893,38870.0,3380000.0
2002-05-03,10108,10899,9888,10811,120026,41574.0,3380000.0
2002-05-06,10196,10591,10108,10108,32211,38870.0,3380000.0
2002-05-07,9932,10591,9712,10503,66559,40391.0,3380000.0
2002-05-08,10459,10635,10284,10416,37380,40053.0,3380000.0
2002-05-09,10591,10679,10416,10547,48422,40560.0,3380000.0
2002-05-10,10372,10635,10108,10284,15520,39546.0,3380000.0
2002-05-13,10284,10416,10020,10284,40931,39546.0,3380000.0
2002-05-14,10547,10635,10152,10459,47906,40222.0,3380000.0
2002-05-15,10855,10943,10547,10767,58842,41405.0,3380000.0
2002-05-16,10855,10899,10591,10635,22780,40898.0,3380000.0
2002-05-17,10635,11382,10547,11382,77434,43771.0,3380000.0
2002-05-20,11690,12745,11690,12217,180685,46982.0,3380000.0
2002-05-21,12217,12217,11251,11426,83630,43940.0,3380000.0
2002-05-22,11426,11998,10899,11514,68209,44278.0,3380000.0
2002-05-23,11735,11735,10899,10899,49126,41912.0,3380000.0
2002-05-24,10723,11163,10723,10987,16739,42250.0,3380000.0
2002-05-27,10723,11251,10723,10811,32350,41574.0,3380000.0
2002-05-28,10547,10855,9888,10196,23369,39208.0,3380000.0
2002-05-29,10372,10723,9932,10196,25835,39208.0,3380000.0
2002-05-30,10284,10459,10020,10328,21204,39715.0,3380000.0
2002-05-31,10284,10547,9493,9668,45661,37180.0,3380000.0
2002-06-03,9141,9756,8789,9053,21454,34814.0,3380000.0
2002-06-04,9141,9141,7998,7998,117338,30758.0,3380000.0
2002-06-05,7998,8482,7998,8350,50778,32110.0,3380000.0
2002-06-07,8218,8218,7997,8183,10424,31468.0,3380000.0
2002-06-10,8042,8543,8042,8183,70481,31468.0,3380000.0
2002-06-11,8173,8429,8173,8350,19616,32110.0,3380000.0
2002-06-12,8350,8394,8174,8306,9979,31941.0,3380000.0
2002-06-14,8306,9273,8306,9273,55502,35659.0,3380000.0
2002-06-17,9317,9405,8833,9317,36018,35828.0,3380000.0
2002-06-18,9405,9756,9141,9361,38774,35997.0,3380000.0
2002-06-19,9141,9229,8262,8271,21431,31806.0,3380000.0
2002-06-20,8262,8921,8086,8684,9475,33394.0,3380000.0
2002-06-21,8174,8614,8174,8420,33500,32380.0,3380000.0
2002-06-24,8306,8746,8086,8614,15346,33124.0,3380000.0
2002-06-25,8306,8833,8306,8438,27746,32448.0,3380000.0
2002-06-26,7998,8350,7647,7946,22573,30555.0,3380000.0
2002-06-27,7998,8350,7998,8086,8522,31096.0,3380000.0
2002-06-28,8086,8772,8086,8763,25882,33699.0,3380000.0
2002-07-02,8174,8710,8174,8710,14065,33496.0,3380000.0
2002-07-03,8702,8710,8403,8561,18991,32921.0,3380000.0
2002-07-04,8614,8965,8614,8789,7989,33800.0,3380000.0
2002-07-05,8965,9141,8702,9009,32061,34645.0,3380000.0
2002-07-08,9141,9537,8746,8921,25350,34307.0,3380000.0
2002-07-09,9009,9009,8658,8965,26545,34476.0,3380000.0
2002-07-10,8877,9273,8746,9141,30978,35152.0,3380000.0
2002-07-11,8965,9317,8702,9273,60385,35659.0,3380000.0
2002-07-12,9361,9537,9185,9493,33031,36504.0,3380000.0
2002-07-15,9449,9624,9141,9405,22132,36166.0,3380000.0
2002-07-16,9493,9493,9097,9185,17675,35321.0,3380000.0
2002-07-18,9229,9449,9229,9361,16065,35997.0,3380000.0
2002-07-19,9317,9361,9009,9361,16560,35997.0,3380000.0
2002-07-22,9053,9141,8781,8921,30579,34307.0,3380000.0
2002-07-23,9229,9229,8789,9229,26479,35490.0,3380000.0
2002-07-24,9053,9185,8833,9185,19528,35321.0,3380000.0
2002-07-25,9185,9581,9185,9405,37576,36166.0,3380000.0
2002-07-26,9712,10108,9581,9932,58359,38194.0,3380000.0
2002-07-29,10108,10459,9668,10064,91938,38701.0,3380000.0
2002-07-30,10152,10152,9800,9844,44056,37856.0,3380000.0
2002-07-31,9844,10240,9756,10020,30509,38532.0,3380000.0
2002-08-01,10372,10372,9844,10020,25103,38532.0,3380000.0
2002-08-02,9800,10108,9712,9888,16262,38025.0,3380000.0
2002-08-05,9756,9888,9449,9537,23230,36673.0,3380000.0
2002-08-06,9581,9624,9405,9581,21987,36842.0,3380000.0
2002-08-07,9668,9800,9624,9756,21635,37518.0,3380000.0
2002-08-08,9932,10064,9712,10064,17738,38701.0,3380000.0
2002-08-09,11207,11207,10459,10547,152114,40560.0,3380000.0
2002-08-12,10547,10679,10108,10679,36686,41067.0,3380000.0
2002-08-13,10635,10987,10591,10811,47584,41574.0,3380000.0
2002-08-14,10547,10899,10503,10855,28689,41743.0,3380000.0
2002-08-16,10855,10943,10679,10767,38026,41405.0,3380000.0
2002-08-19,10811,10811,10547,10591,18655,40729.0,3380000.0
2002-08-20,10767,10767,10459,10723,54755,41236.0,3380000.0
2002-08-21,10547,10723,10547,10723,34276,41236.0,3380000.0
2002-08-22,10987,11382,10723,11382,63734,43771.0,3380000.0
2002-08-23,11382,11866,11382,11866,50201,45630.0,3380000.0
2002-08-26,11866,11998,11602,11866,64451,45630.0,3380000.0
2002-08-27,12042,12086,11514,11646,43264,44785.0,3380000.0
2002-08-28,11602,11734,11294,11426,50396,43940.0,3380000.0
2002-08-29,11294,11426,10723,11426,31441,43940.0,3380000.0
2002-08-30,11075,11602,11075,11514,24465,44278.0,3380000.0
2002-09-02,11514,11734,11163,11734,54488,45123.0,3380000.0
2002-09-03,11734,11954,11514,11954,39739,45968.0,3380000.0
2002-09-04,11822,11954,11690,11778,26286,45292.0,3380000.0
2002-09-05,11866,12217,10635,11426,210078,43940.0,3380000.0
2002-09-06,11338,11426,10547,11426,40701,43940.0,3380000.0
2002-09-09,11426,11602,11207,11426,64482,43940.0,3380000.0
2002-09-10,11558,12745,11426,11602,447535,44616.0,3380000.0
2002-09-11,11778,11778,11338,11646,83095,44785.0,3380000.0
2002-09-12,11602,11734,11426,11734,51075,45123.0,3380000.0
2002-09-13,11470,12042,11470,12042,49967,46306.0,3380000.0
2002-09-16,12086,12173,11778,12173,50472,46813.0,3380000.0
2002-09-17,12129,12217,11954,12086,57073,46475.0,3380000.0
2002-09-18,12086,12481,11558,11646,91060,44785.0,3380000.0
2002-09-19,11558,11734,11294,11602,32601,44616.0,3380000.0
2002-09-23,11251,11514,10635,10723,44998,41236.0,3380000.0
2002-09-24,10372,10459,10196,10196,35242,39208.0,3380000.0
2002-09-25,9712,10547,9712,10459,49688,40222.0,3380000.0
2002-09-26,10547,10767,10459,10591,27237,40729.0,3380000.0
2002-09-27,10635,11075,10503,10987,29118,42250.0,3380000.0
2002-09-30,11075,11338,10723,10899,44399,41912.0,3380000.0
