세틀뱅크(234340),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-07-12,49500,57900,46750,51600,5262280,478177.0,9267000.0
2019-07-15,52500,53500,48550,48600,836696,450376.0,9267000.0
2019-07-16,48200,48200,41300,41500,1119568,384580.0,9267000.0
2019-07-17,41550,44850,40300,43250,790962,400798.0,9267000.0
2019-07-18,43000,45250,42500,44100,382953,408675.0,9267000.0
2019-07-19,45000,51500,42950,47750,1873598,442499.0,9267000.0
2019-07-22,47200,48250,46100,46800,232138,433696.0,9267000.0
2019-07-23,46900,48200,44850,45000,258819,417015.0,9267000.0
2019-07-24,45050,45650,42600,43250,194107,400798.0,9267000.0
2019-07-25,42800,43800,40500,41100,266900,380874.0,9267000.0
2019-07-26,41100,43000,40550,41300,180141,382727.0,9267000.0
2019-07-29,41050,42000,38600,39100,210146,362340.0,9267000.0
2019-07-30,39800,40150,39100,39200,95624,363266.0,9267000.0
2019-07-31,39500,39600,36650,37550,211106,347976.0,9267000.0
2019-08-01,37100,41700,35950,40000,336129,370680.0,9267000.0
2019-08-02,39300,41400,38800,40500,140719,375314.0,9267000.0
2019-08-05,40650,41400,39000,39250,104367,363730.0,9267000.0
2019-08-06,37900,38900,36000,37950,96805,351683.0,9267000.0
2019-08-07,38100,40400,37800,40000,105193,370680.0,9267000.0
2019-08-08,39850,41100,39350,40900,90182,379020.0,9267000.0
2019-08-09,41400,43750,40550,41900,192222,388287.0,9267000.0
2019-08-12,41900,43150,40800,41000,120254,379947.0,9267000.0
2019-08-13,40500,43550,40150,42100,162805,390141.0,9267000.0
2019-08-14,43500,45400,42000,42350,286798,392457.0,9267000.0
2019-08-16,42000,42800,41100,41300,104331,382727.0,9267000.0
2019-08-19,41950,43200,41600,41750,114974,386897.0,9267000.0
2019-08-20,42300,45100,42150,44550,257347,412845.0,9267000.0
2019-08-21,44200,45200,43150,43700,135071,404968.0,9267000.0
2019-08-22,43600,44000,42600,42800,83946,396628.0,9267000.0
2019-08-23,42100,42650,41700,42000,66450,389214.0,9267000.0
2019-08-26,40500,41400,39550,40100,92349,371607.0,9267000.0
2019-08-27,40700,41500,40500,41000,63799,379947.0,9267000.0
2019-08-28,41050,41400,39200,39650,113071,367437.0,9267000.0
2019-08-29,40050,40050,38050,38350,64916,355389.0,9267000.0
2019-08-30,38950,39450,38150,38400,71475,355853.0,9267000.0
2019-09-02,38400,38950,37600,38750,46241,359096.0,9267000.0
2019-09-03,38950,39650,38750,39300,41208,364193.0,9267000.0
2019-09-04,39000,39550,38800,39100,45949,362340.0,9267000.0
2019-09-05,39600,40800,39350,39950,72948,370217.0,9267000.0
2019-09-06,40500,40500,39450,39500,35188,366046.0,9267000.0
2019-09-09,39850,40350,38100,38100,77462,353073.0,9267000.0
2019-09-10,38300,38750,37950,38200,34154,353999.0,9267000.0
2019-09-11,38200,38600,37950,38050,45654,352609.0,9267000.0
2019-09-16,38000,38800,37800,38000,38574,352146.0,9267000.0
2019-09-17,38000,38350,37750,38250,40098,354463.0,9267000.0
2019-09-18,37650,38150,36850,37000,156508,342879.0,9267000.0
2019-09-19,37100,39250,37000,39000,131501,361413.0,9267000.0
2019-09-20,39500,39900,38600,39050,63513,361876.0,9267000.0
2019-09-23,39100,39700,38800,39250,27991,363730.0,9267000.0
2019-09-24,39000,39450,38800,39100,25427,362340.0,9267000.0
2019-09-25,39750,40500,39000,39100,100441,362340.0,9267000.0
2019-09-26,39450,40500,39150,40500,84381,375314.0,9267000.0
2019-09-27,40900,40900,39400,39700,64091,367900.0,9267000.0
2019-09-30,39950,40250,39350,39700,41899,367900.0,9267000.0
2019-10-01,39950,39950,38500,38700,64869,358633.0,9267000.0
2019-10-02,38250,38650,37750,37900,44411,351219.0,9267000.0
2019-10-04,37650,38150,37350,37450,36891,347049.0,9267000.0
2019-10-07,37450,38350,37450,38000,29379,352146.0,9267000.0
