이테크건설(016250),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2005-07-28,7550,7550,7220,7400,13212,20720.0,2800000.0
2005-07-29,7400,7600,7190,7320,9644,20496.0,2800000.0
2005-08-01,7210,7240,7140,7240,8174,20272.0,2800000.0
2005-08-02,7110,7660,7100,7300,13635,20440.0,2800000.0
2005-08-03,7210,7510,7210,7450,14474,20860.0,2800000.0
2005-08-04,7490,7490,7180,7330,3237,20524.0,2800000.0
2005-08-05,7340,7340,7170,7210,4163,20188.0,2800000.0
2005-08-08,7350,7350,7080,7080,4594,19824.0,2800000.0
2005-08-09,7020,7200,7020,7200,2022,20160.0,2800000.0
2005-08-10,7200,7240,7100,7180,4841,20104.0,2800000.0
2005-08-11,7200,7200,7030,7100,3790,19880.0,2800000.0
2005-08-12,7190,7540,7080,7290,74359,20412.0,2800000.0
2005-08-16,7300,7490,7150,7300,7745,20440.0,2800000.0
2005-08-17,7000,7290,7000,7120,4047,19936.0,2800000.0
2005-08-18,7100,7310,7100,7280,4992,20384.0,2800000.0
2005-08-19,7020,7300,7020,7200,5744,20160.0,2800000.0
2005-08-22,7250,7250,7110,7230,2875,20244.0,2800000.0
2005-08-23,7250,7350,7200,7350,2417,20580.0,2800000.0
