싸이맥스(160980),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-06-17,9593,10350,8646,8837,2004094,74968.0,5354863.0
2015-06-18,9025,9278,8362,8615,646980,73094.0,5354863.0
2015-06-19,8899,8899,8457,8679,317722,73629.0,5354863.0
2015-06-22,8615,8741,8331,8363,298080,70952.0,5354863.0
2015-06-23,8426,8615,8141,8363,303600,70952.0,5354863.0
2015-06-24,8331,8552,8268,8426,261757,71487.0,5354863.0
2015-06-25,8426,8930,8331,8742,339364,74165.0,5354863.0
2015-06-26,8867,9025,8583,8868,220505,75236.0,5354863.0
2015-06-29,8583,8678,8047,8079,132697,68542.0,5354863.0
2015-06-30,8078,8236,7763,7889,99881,66936.0,5354863.0
2015-07-01,7984,8142,7920,7985,80281,67739.0,5354863.0
2015-07-02,8110,8204,7794,7858,98964,66668.0,5354863.0
2015-07-03,8015,8141,7731,8111,86384,68810.0,5354863.0
2015-07-06,7920,7984,7258,7416,104426,62920.0,5354863.0
2015-07-07,7479,7574,7006,7164,112065,60778.0,5354863.0
2015-07-08,7132,7290,6753,6848,119345,58100.0,5354863.0
2015-07-09,6721,7416,6469,7101,210923,60242.0,5354863.0
2015-07-10,7068,7258,7006,7037,59113,59707.0,5354863.0
2015-07-13,7163,7668,7006,7605,80220,64526.0,5354863.0
2015-07-14,7574,7668,7321,7353,62154,62384.0,5354863.0
2015-07-15,7226,7352,7068,7195,93515,61045.0,5354863.0
2015-07-16,7258,7731,7100,7448,141247,63187.0,5354863.0
2015-07-17,7416,7542,7068,7195,87665,61627.0,5405863.0
2015-07-20,7321,7636,7195,7511,113425,64330.0,5405863.0
2015-07-21,7510,7700,7289,7543,106011,64600.0,5405863.0
2015-07-22,7574,7636,7290,7290,50532,62438.0,5405863.0
2015-07-23,7226,7479,7226,7385,82910,63249.0,5405863.0
2015-07-24,7384,7574,7290,7479,92540,64059.0,5405863.0
2015-07-27,7479,7574,7321,7448,77125,63789.0,5405863.0
2015-07-28,7384,7826,7258,7795,156128,66762.0,5405863.0
2015-07-29,7858,8204,7794,7858,177285,67303.0,5405863.0
2015-07-30,8047,8299,7763,7858,190892,67303.0,5405863.0
2015-07-31,7858,7984,7700,7827,51117,67033.0,5405863.0
2015-08-03,7731,7763,7384,7448,75472,63789.0,5405863.0
2015-08-04,7416,7574,7416,7479,39359,64059.0,5405863.0
2015-08-05,7541,7700,7447,7511,26424,64330.0,5405863.0
2015-08-06,7510,7952,7510,7827,103688,67033.0,5405863.0
2015-08-07,7794,7826,7668,7763,37261,66492.0,5405863.0
2015-08-10,7825,7825,7510,7543,34589,64600.0,5405863.0
2015-08-11,7542,7574,6753,7006,151170,60005.0,5405863.0
2015-08-12,6848,7006,6721,6817,62700,58383.0,5405863.0
2015-08-13,6942,7068,6753,6943,31680,59464.0,5405863.0
2015-08-17,7068,7574,7068,7321,115589,62708.0,5405863.0
2015-08-18,7352,7447,7100,7195,53030,61627.0,5405863.0
2015-08-19,7132,7226,6753,6911,57724,59194.0,5405863.0
2015-08-20,6784,7006,6626,6753,21458,57843.0,5405863.0
2015-08-21,6374,6500,5705,6123,68358,52437.0,5405863.0
2015-08-24,6058,6305,5844,6059,28106,51896.0,5405863.0
2015-08-25,6122,6216,5964,6154,89053,52707.0,5405863.0
2015-08-26,6096,6248,6096,6217,34929,53248.0,5405863.0
2015-08-27,6280,6500,6166,6167,53944,52815.0,5405863.0
2015-08-28,6311,6500,6210,6501,48836,55680.0,5405863.0
2015-08-31,6532,6532,6254,6438,18907,55140.0,5405863.0
2015-09-01,6437,6532,6198,6274,32524,53734.0,5405863.0
2015-09-02,6160,6216,6034,6097,37509,52221.0,5405863.0
2015-09-03,6160,6305,6160,6185,17905,52977.0,5405863.0
2015-09-04,6204,6273,5976,5996,23485,51356.0,5405863.0
2015-09-07,5996,6090,5888,5939,21475,50869.0,5405863.0
2015-09-08,6040,6040,5806,5895,18494,50491.0,5405863.0
2015-09-09,5983,6122,5964,6097,26628,52221.0,5405863.0
2015-09-10,6058,6172,5996,6103,25831,52275.0,5405863.0
2015-09-11,6128,6128,5926,5952,21554,50977.0,5405863.0
2015-09-14,5958,5989,5850,5958,9043,51031.0,5405863.0
2015-09-15,5958,5996,5863,5927,13967,50761.0,5405863.0
2015-09-16,5932,6034,5926,5990,25641,51302.0,5405863.0
2015-09-17,6046,6342,6002,6154,54442,52707.0,5405863.0
2015-09-18,6198,6879,6198,6691,98656,57302.0,5405863.0
2015-09-21,6626,6658,6342,6596,31263,56491.0,5405863.0
2015-09-22,6564,6753,6469,6627,33680,56762.0,5405863.0
2015-09-23,6626,7258,6500,6911,201356,59194.0,5405863.0
2015-09-24,6816,7006,6753,6911,48604,59194.0,5405863.0
2015-09-25,6911,6974,6564,6627,32826,56762.0,5405863.0
2015-09-30,6532,6532,6235,6287,74256,53842.0,5405863.0
2015-10-01,6342,6469,6292,6375,23200,54599.0,5405863.0
2015-10-02,6374,6500,6311,6438,26020,55140.0,5405863.0
2015-10-05,6500,6595,6342,6343,16653,54329.0,5405863.0
2015-10-06,6437,6469,6185,6211,61147,53194.0,5405863.0
2015-10-07,6216,6311,6191,6299,21083,53951.0,5405863.0
2015-10-08,6911,7352,6564,6627,393824,56762.0,5405863.0
2015-10-12,6753,6816,6532,6596,51681,56491.0,5405863.0
2015-10-13,6816,6879,6626,6691,60288,57302.0,5405863.0
2015-10-14,6658,6848,6595,6722,40851,57572.0,5405863.0
2015-10-15,6658,6784,6532,6691,39922,57302.0,5405863.0
2015-10-16,6658,6690,6532,6627,35305,56762.0,5405863.0
2015-10-19,6626,6658,6532,6596,14614,56491.0,5405863.0
2015-10-20,6564,6626,6500,6596,13951,56491.0,5405863.0
2015-10-21,6626,6942,6500,6722,73327,57572.0,5405863.0
2015-10-22,6753,6753,6437,6469,36821,55410.0,5405863.0
2015-10-23,6532,6532,6406,6407,24326,54870.0,5405863.0
2015-10-26,6437,6564,6374,6501,12280,55680.0,5405863.0
2015-10-27,6469,6532,6406,6533,11224,55951.0,5405863.0
2015-10-28,6500,6658,6469,6533,20010,55951.0,5405863.0
2015-10-29,6532,6626,6342,6438,17467,55140.0,5405863.0
2015-10-30,6437,6437,6273,6274,16013,53734.0,5405863.0
2015-11-02,6254,6342,6242,6274,19751,53734.0,5405863.0
2015-11-03,6280,6286,6185,6217,26478,53248.0,5405863.0
2015-11-04,6185,6260,6147,6173,29107,52869.0,5405863.0
2015-11-05,6153,6273,6147,6217,10419,53248.0,5405863.0
2015-11-06,6229,6564,6204,6312,61592,54059.0,5405863.0
2015-11-09,6342,6469,6185,6255,19597,53572.0,5405863.0
2015-11-10,6242,6532,6153,6407,58816,54870.0,5405863.0
2015-11-11,6406,6595,6311,6469,20475,55410.0,5405863.0
2015-11-12,6500,6532,6374,6533,23084,55951.0,5405863.0
2015-11-13,6437,6532,6305,6407,55530,54870.0,5405863.0
2015-11-16,6406,6406,6280,6280,27660,53788.0,5405863.0
2015-11-17,6280,6406,6260,6375,19248,54599.0,5405863.0
2015-11-18,6406,6437,6342,6407,26263,54870.0,5405863.0
2015-11-19,6406,6532,6298,6375,44535,54599.0,5405863.0
2015-11-20,6342,6374,6305,6343,25674,54329.0,5405863.0
2015-11-23,6374,6374,6242,6287,19008,53842.0,5405863.0
2015-11-24,6254,6292,6204,6230,20453,53356.0,5405863.0
2015-11-25,6280,6280,6191,6223,16987,53302.0,5405863.0
2015-11-26,6229,6342,6178,6230,21122,53356.0,5405863.0
2015-11-27,6229,6342,6216,6242,26814,53464.0,5405863.0
