SK4호스팩(307070),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-12-07,2020,2020,2010,2010,207915,10372.0,5160000.0
2018-12-10,2010,2015,2010,2015,1559,10397.0,5160000.0
2018-12-11,2015,2015,2010,2010,30944,10372.0,5160000.0
2018-12-12,2010,2015,2005,2005,43662,10346.0,5160000.0
2018-12-13,2000,2010,2000,2010,824,10372.0,5160000.0
2018-12-14,2005,2005,2005,2005,76,10346.0,5160000.0
2018-12-17,2010,2010,2005,2010,5516,10372.0,5160000.0
2018-12-18,2010,2010,2005,2005,20793,10346.0,5160000.0
2018-12-19,2005,2010,2005,2005,13414,10346.0,5160000.0
2018-12-20,2005,2005,2005,2005,19,10346.0,5160000.0
2018-12-21,2000,2010,2000,2000,7257,10320.0,5160000.0
2018-12-24,2010,2025,2000,2025,79757,10449.0,5160000.0
2018-12-26,2015,2030,2015,2020,22513,10423.0,5160000.0
2018-12-27,2010,2010,2010,2010,1065,10372.0,5160000.0
2018-12-28,2010,2010,2010,2010,40,10372.0,5160000.0
2019-01-02,2010,2010,2010,2010,4,10372.0,5160000.0
2019-01-03,2010,2015,2010,2010,2380,10372.0,5160000.0
2019-01-04,2010,2010,2010,2010,4906,10372.0,5160000.0
2019-01-07,2010,2010,2010,2010,18,10372.0,5160000.0
2019-01-08,2015,2025,2015,2025,12572,10449.0,5160000.0
2019-01-09,2025,2040,2020,2020,27440,10423.0,5160000.0
2019-01-10,2010,2010,2010,2010,23,10372.0,5160000.0
2019-01-11,2010,2030,2010,2030,301,10475.0,5160000.0
2019-01-14,2025,2025,2025,2025,2,10449.0,5160000.0
2019-01-15,2010,2010,2010,2010,23,10372.0,5160000.0
2019-01-16,2010,2010,2010,2010,4,,
2019-01-17,2010,2010,2010,2010,14,10372.0,5160000.0
2019-01-18,2015,2015,2015,2015,0,10397.0,5160000.0
2019-01-21,2015,2015,2015,2015,2,10397.0,5160000.0
2019-01-22,2015,2015,2015,2015,11,10397.0,5160000.0
2019-01-23,2015,2015,2015,2015,0,10397.0,5160000.0
2019-01-24,2015,2015,2015,2015,0,,
2019-01-25,2010,2015,2005,2010,15022,10372.0,5160000.0
2019-01-28,2015,2015,2010,2010,108,10372.0,5160000.0
2019-01-29,2010,2015,2010,2015,503,10397.0,5160000.0
2019-01-30,2015,2015,2015,2015,5419,10397.0,5160000.0
2019-01-31,2020,2020,2010,2010,5,10372.0,5160000.0
2019-02-01,2010,2015,2010,2015,131,10397.0,5160000.0
2019-02-07,2020,2020,2015,2020,16,10423.0,5160000.0
2019-02-08,2025,2025,2020,2020,469,10423.0,5160000.0
2019-02-11,2025,2025,2020,2020,9,10423.0,5160000.0
2019-02-12,2025,2025,2025,2025,481,10449.0,5160000.0
2019-02-13,2025,2025,2020,2020,481,10423.0,5160000.0
2019-02-14,2020,2020,2010,2020,8,10423.0,5160000.0
2019-02-15,2025,2025,2025,2025,1,10449.0,5160000.0
2019-02-18,2025,2025,2015,2020,4027,10423.0,5160000.0
2019-02-19,2025,2025,2010,2020,457,10423.0,5160000.0
