이노테라피(246960),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-02-01,22200,23700,18950,19350,3286227,96154.0,4969184.0
2019-02-07,19500,19550,17800,18350,593729,91185.0,4969184.0
2019-02-08,18600,20450,18500,18650,1387280,92675.0,4969184.0
2019-02-11,19400,19500,18750,18750,315805,93172.0,4969184.0
2019-02-12,18900,18900,17600,17650,749932,87706.0,4969184.0
2019-02-13,17800,18250,17500,17900,268578,88948.0,4969184.0
2019-02-14,17850,17900,16700,16800,316769,83482.0,4969184.0
2019-02-15,16750,16800,15750,15750,350770,78265.0,4969184.0
2019-02-18,15900,16150,15700,15950,179311,79258.0,4969184.0
2019-02-19,16150,16900,15850,16550,310012,82240.0,4969184.0
2019-02-20,16550,17150,16150,16500,249626,81992.0,4969184.0
2019-02-21,16450,16900,16300,16600,122726,82488.0,4969184.0
2019-02-22,16500,17100,16400,16400,192008,81495.0,4969184.0
2019-02-25,16600,16700,16250,16600,148037,82488.0,4969184.0
2019-02-26,17350,17500,16700,16750,299679,83234.0,4969184.0
2019-02-27,16900,16900,16500,16600,90563,82488.0,4969184.0
2019-02-28,16600,16850,15850,15950,127739,79258.0,4969184.0
2019-03-04,16250,16400,15850,16400,101319,81495.0,4969184.0
2019-03-05,16300,16900,16100,16850,136990,83731.0,4969184.0
2019-03-06,16900,17050,16350,16850,161262,83731.0,4969184.0
2019-03-07,17250,17450,16600,16600,376905,82488.0,4969184.0
2019-03-08,16450,16600,16100,16300,102638,80998.0,4969184.0
2019-03-11,16400,17050,16150,16950,186916,84228.0,4969184.0
2019-03-12,17100,17200,16750,16900,122856,83979.0,4969184.0
2019-03-13,17000,18250,16900,18100,847650,89942.0,4969184.0
2019-03-14,18300,18550,17650,18100,406694,89942.0,4969184.0
2019-03-15,18050,18850,17450,18300,818759,90936.0,4969184.0
2019-03-18,18600,19500,18200,19100,738459,94911.0,4969184.0
2019-03-19,19400,20150,18600,19050,830871,94663.0,4969184.0
2019-03-20,19050,19200,17500,18400,340563,91433.0,4969184.0
2019-03-21,18200,18500,17600,17950,235654,89197.0,4969184.0
2019-03-22,18050,18250,17500,18150,150676,90191.0,4969184.0
2019-03-25,17550,18000,17450,17550,132640,87209.0,4969184.0
2019-03-26,17750,17900,16500,17700,201145,87955.0,4969184.0
2019-03-27,17700,18400,17000,18300,134472,90936.0,4969184.0
2019-03-28,18200,18400,17600,17650,128638,87706.0,4969184.0
2019-03-29,17400,17750,17050,17300,103355,85967.0,4969184.0
2019-04-01,17300,17400,16800,17200,66181,85470.0,4969184.0
2019-04-02,17450,17700,17100,17550,72718,87209.0,4969184.0
2019-04-03,17500,18250,17400,18000,113998,89445.0,4969184.0
2019-04-04,18000,18350,17700,18250,104964,90688.0,4969184.0
2019-04-05,18300,18550,18000,18150,74935,90191.0,4969184.0
2019-04-08,18100,18350,17800,17850,85437,88700.0,4969184.0
2019-04-09,18050,18600,17750,18450,137077,91681.0,4969184.0
2019-04-10,18500,18900,18200,18200,147761,90439.0,4969184.0
2019-04-11,18100,18350,17850,17900,103273,88948.0,4969184.0
2019-04-12,17800,18100,17750,17750,71493,88203.0,4969184.0
2019-04-15,17750,17750,17300,17350,117762,86215.0,4969184.0
2019-04-16,17300,17650,17100,17550,68996,87209.0,4969184.0
2019-04-17,17600,17800,17400,17550,55965,87209.0,4969184.0
2019-04-18,17550,17700,17250,17350,52798,86215.0,4969184.0
2019-04-19,17300,17600,17300,17500,41018,86961.0,4969184.0
2019-04-22,17700,18050,17500,18000,100719,89445.0,4969184.0
2019-04-23,18050,18200,17750,17900,59308,88948.0,4969184.0
2019-04-24,17750,17900,17400,17500,70823,86961.0,4969184.0
2019-04-25,17400,17500,17100,17100,62073,84973.0,4969184.0
2019-04-26,17050,17300,16800,16900,58692,83979.0,4969184.0
2019-04-29,16900,17250,16800,17200,42950,85470.0,4969184.0
2019-04-30,17300,17350,17000,17200,43006,86760.0,5044184.0
2019-05-02,17000,18000,16850,17900,174822,90291.0,5044184.0
2019-05-03,17900,18000,17550,17650,62632,89030.0,5044184.0
2019-05-07,17300,17700,17100,17300,61458,87264.0,5044184.0
2019-05-08,17000,17450,16900,17300,55792,87264.0,5044184.0
2019-05-09,17300,17350,15800,16000,190884,80707.0,5044184.0
2019-05-10,16000,16500,15500,16500,118098,83229.0,5044184.0
2019-05-13,16500,17550,16200,16450,122506,82977.0,5044184.0
2019-05-14,15900,16500,15600,16000,66769,80707.0,5044184.0
2019-05-15,16250,18500,15900,17250,593314,87012.0,5044184.0
2019-05-16,17100,17100,16500,16500,120238,83229.0,5044184.0
