로고스바이오(238120),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-11-03,25500,29800,20850,21350,2395285,76043.0,3561724.0
2016-11-04,21350,21500,17650,17950,617451,63933.0,3561724.0
2016-11-07,18150,19200,16900,18200,419032,64823.0,3561724.0
2016-11-08,18550,20400,18250,18650,836207,66426.0,3561724.0
2016-11-09,18800,19350,15700,16700,392860,59481.0,3561724.0
2016-11-10,17550,21100,17400,18550,649565,66070.0,3561724.0
2016-11-11,18800,19650,18250,18900,151325,67317.0,3561724.0
2016-11-14,18700,19200,18400,18400,63374,65536.0,3561724.0
2016-11-15,18400,18600,17650,18100,65508,64467.0,3561724.0
2016-11-16,18200,21250,18100,19500,591585,69454.0,3561724.0
2016-11-17,19600,19650,18900,19350,79792,68919.0,3561724.0
2016-11-18,19300,19300,18100,18150,89580,64645.0,3561724.0
2016-11-21,18050,18800,17850,18000,43724,64111.0,3561724.0
2016-11-22,18100,18350,17350,17350,35379,61796.0,3561724.0
2016-11-23,17300,17650,15700,16300,85224,58056.0,3561724.0
2016-11-24,16500,16500,15350,16300,43819,58056.0,3561724.0
2016-11-25,16250,16600,15750,15750,28729,56097.0,3561724.0
2016-11-28,15950,16300,15550,15700,32269,55919.0,3561724.0
2016-11-29,15750,17300,15500,16200,70854,57700.0,3561724.0
2016-11-30,16200,19800,16050,17800,483919,63399.0,3561724.0
2016-12-01,17900,17900,16800,16850,71600,60015.0,3561724.0
2016-12-02,16750,16750,15800,15800,58954,56275.0,3561724.0
2016-12-05,15650,16250,15400,15400,22524,54851.0,3561724.0
2016-12-06,15500,16450,15400,15750,66770,56097.0,3561724.0
2016-12-07,15900,15950,15050,15150,41641,53960.0,3561724.0
2016-12-08,15150,17200,15150,15650,132353,55741.0,3561724.0
2016-12-09,15900,15950,15450,15900,22044,56631.0,3561724.0
2016-12-12,16200,16200,15800,16050,34420,57166.0,3561724.0
2016-12-13,16150,17250,15850,16650,50460,59303.0,3561724.0
2016-12-14,16850,17300,16600,17000,47935,60549.0,3561724.0
