미투온(201490),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-10-10,3420,4445,3230,4445,27105801,133177.0,29961122.0
2016-10-11,4780,5620,4580,5200,23491301,155798.0,29961122.0
2016-10-12,5040,5350,4665,5290,11135981,158494.0,29961122.0
2016-10-13,5790,6100,4600,4600,10856878,137821.0,29961122.0
2016-10-14,4500,5150,4500,4745,7756079,142166.0,29961122.0
2016-10-17,4950,6160,4885,6160,14746772,184561.0,29961122.0
2016-10-18,6670,6740,5450,5580,21988466,167183.0,29961122.0
2016-10-19,5580,5980,5510,5770,8558944,172876.0,29961122.0
2016-10-20,5900,6180,5600,6180,11558966,185160.0,29961122.0
2016-10-21,5950,7700,5840,7080,31007521,212125.0,29961122.0
2016-10-24,7210,8100,6960,7750,20463435,232199.0,29961122.0
2016-10-25,7730,8300,7260,7300,16342893,218716.0,29961122.0
2016-10-26,7350,7910,6660,7350,9078015,220214.0,29961122.0
2016-10-27,7130,7590,6700,6700,5159064,200740.0,29961122.0
2016-10-28,6500,7450,6500,6900,8511303,206732.0,29961122.0
2016-10-31,6980,7240,6530,6530,4376807,196665.0,30117122.0
2016-11-01,6540,6750,5320,5770,6138414,173776.0,30117122.0
2016-11-02,6550,7500,6420,7500,19434842,225878.0,30117122.0
2016-11-03,7660,8110,7080,7220,18404544,217446.0,30117122.0
2016-11-04,7110,7350,6600,6850,5712246,206302.0,30117122.0
2016-11-07,6860,7130,6650,6650,5030817,200279.0,30117122.0
2016-11-08,6810,7200,6750,6930,7330510,208712.0,30117122.0
2016-11-09,6980,7060,5600,6370,6418462,191846.0,30117122.0
2016-11-10,6410,6760,6410,6460,3323810,194557.0,30117122.0
2016-11-11,6490,6640,6050,6080,3276638,183112.0,30117122.0
2016-11-14,6100,6430,5820,5970,3392271,179853.0,30126122.0
2016-11-15,6270,6490,6110,6180,3432642,186179.0,30126122.0
2016-11-16,6220,6280,6050,6100,1742583,183769.0,30126122.0
2016-11-17,6120,6230,6000,6060,1369256,182564.0,30126122.0
2016-11-18,6040,7760,5800,7300,9902048,219921.0,30126122.0
2016-11-21,7010,7390,6740,6940,6059716,209075.0,30126122.0
2016-11-22,7000,7080,6470,6470,3854888,194916.0,30126122.0
2016-11-23,6370,6650,6100,6100,3430136,183769.0,30126122.0
2016-11-24,6180,6280,6040,6150,2102073,185276.0,30126122.0
2016-11-25,6170,6850,6150,6470,6569469,194916.0,30126122.0
2016-11-28,6540,7370,6480,6710,9780977,202146.0,30126122.0
2016-11-29,6810,7200,6600,6900,5455132,207870.0,30126122.0
2016-11-30,6860,7150,6700,7100,3018037,213895.0,30126122.0
2016-12-01,6990,7200,6940,6940,2572726,209075.0,30126122.0
2016-12-02,6850,6940,6670,6750,1426262,203351.0,30126122.0
2016-12-05,6600,7170,6520,7120,3310564,214498.0,30126122.0
