인트론바이오(048530),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-01-26,4715,5412,4020,4020,1875377,95299.0,9163333.0
2011-01-27,3672,3784,3420,3421,3560197,81095.0,9163333.0
2011-01-28,3401,3537,3038,3128,3313473,74131.0,9163333.0
2011-01-31,3057,3099,2694,2706,1706354,64143.0,9163333.0
2011-02-01,2779,2941,2601,2609,2239312,61852.0,9163333.0
2011-02-07,2643,2802,2609,2706,977761,64143.0,9163333.0
2011-02-08,2709,3111,2655,3112,2683669,73765.0,9163333.0
2011-02-09,3169,3451,2786,2872,3238246,68084.0,9163333.0
2011-02-10,2860,2899,2647,2648,1028923,62769.0,9163333.0
2011-02-11,2670,2706,2423,2455,646533,58187.0,9163333.0
2011-02-14,2404,2512,2338,2350,932801,55713.0,9163333.0
2011-02-15,2327,2450,2303,2331,382037,55255.0,9163333.0
2011-02-16,2354,2678,2311,2451,2526049,58096.0,9163333.0
2011-02-17,2427,2493,2183,2184,727817,51773.0,9163333.0
2011-02-18,2203,2210,2017,2165,526703,51315.0,9163333.0
2011-02-21,2210,2300,2126,2126,462030,50398.0,9163333.0
2011-02-22,2118,2210,2095,2211,397533,52414.0,9163333.0
2011-02-23,2218,2319,2160,2227,763365,52781.0,9163333.0
2011-02-24,2241,2396,2168,2200,946617,52139.0,9163333.0
2011-02-25,2199,2307,2199,2265,445673,53697.0,9163333.0
2011-02-28,2300,2373,2222,2273,381081,53880.0,9163333.0
2011-03-02,2253,2284,2149,2165,349524,51315.0,9163333.0
2011-03-03,2168,2489,2145,2304,1988224,54613.0,9163333.0
2011-03-04,2330,2334,2222,2242,423783,53147.0,9163333.0
2011-03-07,2264,2438,2222,2439,625919,57821.0,9163333.0
2011-03-08,2481,2725,2423,2532,1629446,60020.0,9163333.0
2011-03-09,2501,2647,2411,2420,624401,57362.0,9163333.0
2011-03-10,2446,2578,2400,2552,556751,60478.0,9163333.0
2011-03-11,2512,2821,2450,2590,807316,61394.0,9163333.0
2011-03-14,2570,2624,2396,2408,567668,57088.0,9163333.0
2011-03-15,2408,2493,2052,2250,661408,53331.0,9163333.0
2011-03-16,2249,2307,2141,2169,278290,51406.0,9163333.0
2011-03-17,2052,2129,2040,2103,287648,49849.0,9163333.0
2011-03-18,2164,2199,2114,2169,149362,51406.0,9163333.0
2011-03-21,2207,2303,2207,2269,216177,53789.0,9163333.0
2011-03-22,2292,2319,2230,2246,167559,53239.0,9163333.0
2011-03-23,2272,2570,2245,2455,1021327,58187.0,9163333.0
2011-03-24,2454,2524,2415,2505,495090,59378.0,9163333.0
2011-03-25,2520,2666,2427,2428,684864,57546.0,9163333.0
2011-03-28,2427,2454,2311,2350,364784,55713.0,9163333.0
2011-03-29,2377,2423,2319,2377,196267,56354.0,9163333.0
2011-03-30,2415,2531,2369,2501,493154,59287.0,9163333.0
2011-03-31,2501,2531,2438,2532,260899,60020.0,9163333.0
2011-04-01,2531,2543,2427,2428,271612,57546.0,9163333.0
2011-04-04,2415,2473,2411,2451,170040,58096.0,9163333.0
2011-04-05,2489,2547,2450,2482,256097,58829.0,9163333.0
2011-04-06,2497,2582,2411,2428,359098,57546.0,9163333.0
2011-04-07,2450,2450,2354,2362,196215,55988.0,9163333.0
2011-04-08,2408,2408,2354,2358,204944,55896.0,9163333.0
2011-04-11,2377,2446,2357,2435,139137,57729.0,9163333.0
2011-04-12,2473,2473,2280,2281,170303,54064.0,9163333.0
2011-04-13,2300,2311,2261,2304,121035,54613.0,9163333.0
2011-04-14,2300,2330,2268,2281,100001,54064.0,9163333.0
2011-04-15,2241,2300,2241,2281,84553,54064.0,9163333.0
2011-04-18,2288,2369,2288,2339,183032,55438.0,9163333.0
2011-04-19,2292,2624,2280,2397,1031886,56813.0,9163333.0
2011-04-20,2423,2756,2396,2756,2588040,65335.0,9163333.0
2011-04-21,2860,3053,2775,2849,3932955,67534.0,9163333.0
2011-04-22,2945,3258,2883,3158,3979178,74864.0,9163333.0
2011-04-25,3216,3486,2867,2900,3825407,68725.0,9163333.0
2011-04-26,2887,3003,2748,2807,1797365,66526.0,9163333.0
2011-04-27,2821,3022,2756,3023,1390541,71657.0,9163333.0
2011-04-28,3080,3231,2752,2764,2070642,65518.0,9163333.0
2011-04-29,2748,2937,2643,2741,1075590,64968.0,9163333.0
2011-05-02,2783,2976,2748,2861,639115,67809.0,9163333.0
2011-05-03,2844,3200,2829,2977,1291977,70558.0,9163333.0
2011-05-04,2953,3045,2783,2783,527971,65976.0,9163333.0
2011-05-06,2729,2856,2686,2814,458857,66709.0,9163333.0
2011-05-09,2852,2968,2802,2818,381237,66801.0,9163333.0
2011-05-11,2918,3239,2899,3239,1766789,76789.0,9163333.0
2011-05-12,3285,3304,2953,3011,3333048,71382.0,9163333.0
2011-05-13,3119,3308,2968,3139,2750794,74406.0,9163333.0
2011-05-16,3158,3285,2926,2957,2009519,70099.0,9163333.0
2011-05-17,2926,2972,2690,2756,689981,65335.0,9163333.0
2011-05-18,2760,2837,2659,2686,414692,63685.0,9163333.0
2011-05-19,2690,2806,2647,2667,445440,63227.0,9163333.0
2011-05-20,2647,2698,2558,2594,232245,61486.0,9163333.0
2011-05-23,2593,2593,2296,2354,460341,55805.0,9163333.0
2011-05-24,2249,2408,2249,2389,245235,56629.0,9163333.0
2011-05-25,2408,2508,2319,2320,313638,54980.0,9163333.0
2011-05-26,2377,2535,2330,2439,455154,57821.0,9163333.0
2011-05-27,2497,2570,2346,2389,334927,56629.0,9163333.0
2011-05-30,2709,2744,2663,2745,1144814,65060.0,9163333.0
2011-05-31,2860,3042,2674,2938,2250099,69641.0,9163333.0
2011-06-01,2972,2995,2783,2861,858165,67809.0,9163333.0
2011-06-02,2794,3289,2736,3290,2024538,77980.0,9163333.0
2011-06-03,3324,3672,3142,3537,6626286,83844.0,9163333.0
2011-06-07,3884,3981,3440,3440,3734400,81554.0,9163333.0
2011-06-08,3393,3525,3007,3131,2813495,74223.0,9163333.0
2011-06-09,3119,3162,2891,2969,2136060,70374.0,9163333.0
2011-06-10,3007,3150,2706,2745,2930771,65060.0,9163333.0
2011-06-13,2864,2991,2628,2699,1935609,63960.0,9163333.0
2011-06-14,2740,2903,2698,2807,1582838,66526.0,9163333.0
2011-06-15,2887,3045,2813,2861,2051459,67809.0,9163333.0
2011-06-16,2802,2840,2706,2745,607233,65060.0,9163333.0
2011-06-17,2779,3154,2756,2911,3318656,69000.0,9163333.0
2011-06-20,3034,3088,2910,2927,833376,69366.0,9163333.0
2011-06-21,2926,2964,2760,2841,478325,67350.0,9163333.0
2011-06-22,2840,2871,2744,2764,531887,65518.0,9163333.0
2011-06-23,2763,2867,2752,2768,517741,65609.0,9163333.0
2011-06-24,2802,3045,2779,2903,1275262,68817.0,9163333.0
2011-06-27,2903,3065,2903,2981,917412,70649.0,9163333.0
2011-06-28,3034,3038,2783,2783,669029,65976.0,9163333.0
2011-06-29,2783,2871,2775,2791,318157,66159.0,9163333.0
2011-06-30,2879,2891,2786,2795,397257,66251.0,9163333.0
2011-07-01,2802,2957,2802,2834,521235,67167.0,9163333.0
2011-07-04,2844,2860,2771,2787,457147,66068.0,9163333.0
2011-07-05,2810,2852,2798,2834,227934,67167.0,9163333.0
2011-07-06,2856,2945,2840,2849,526769,67534.0,9163333.0
2011-07-07,2883,3007,2825,2988,842011,70833.0,9163333.0
2011-07-08,3015,3262,2995,3054,1744066,72390.0,9163333.0
2011-07-11,3131,3192,3030,3035,887311,71932.0,9163333.0
2011-07-12,2976,3007,2817,2822,563751,66892.0,9163333.0
2011-07-13,2802,2922,2798,2841,325264,67350.0,9163333.0
2011-07-14,2860,2968,2856,2969,254653,70374.0,9163333.0
2011-07-15,2976,3038,2899,2911,328789,69000.0,9163333.0
2011-07-18,2910,3026,2899,3027,373326,71749.0,9163333.0
2011-07-19,3072,3142,3022,3108,749881,73673.0,9163333.0
2011-07-20,3150,3219,3011,3015,545453,71474.0,9163333.0
2011-07-21,3018,3084,2999,3015,325162,71474.0,9163333.0
2011-07-22,3015,3165,3015,3147,488194,74590.0,9163333.0
2011-07-25,3131,3189,3057,3058,423292,72482.0,9163333.0
2011-07-26,3115,3135,3042,3058,444581,72482.0,9163333.0
2011-07-27,3061,3080,2964,2988,501689,70833.0,9163333.0
2011-07-28,3092,3185,3057,3135,1355962,74315.0,9163333.0
2011-07-29,3154,3254,3022,3042,1112308,72115.0,9163333.0
2011-08-01,3057,3099,3003,3069,312493,72757.0,9163333.0
2011-08-02,3053,3111,2910,2977,433408,70558.0,9163333.0
2011-08-03,2894,2922,2748,2822,502338,66892.0,9163333.0
2011-08-04,2860,3138,2810,2822,1205918,66892.0,9163333.0
2011-08-05,2628,2682,2539,2613,331096,61944.0,9163333.0
2011-08-08,2458,2670,2222,2242,378493,53147.0,9163333.0
2011-08-09,1952,2087,1905,1983,454465,47008.0,9163333.0
2011-08-10,2079,2210,2052,2184,369858,51773.0,9163333.0
2011-08-11,2025,2280,2013,2246,350321,53239.0,9163333.0
2011-08-12,2354,2477,2311,2320,359548,54980.0,9163333.0
2011-08-16,2415,2473,2384,2431,336850,57637.0,9163333.0
2011-08-17,2411,2458,2338,2431,280810,57637.0,9163333.0
2011-08-18,2431,2454,2296,2366,264291,56080.0,9163333.0
2011-08-19,2249,2334,2129,2146,230202,50856.0,9163333.0
2011-08-22,2126,2241,2067,2223,119572,52689.0,9163333.0
2011-08-23,2253,2330,2241,2296,138077,54430.0,9163333.0
2011-08-24,2311,2404,2284,2289,228661,54247.0,9163333.0
2011-08-25,2346,2454,2288,2323,653692,55072.0,9163333.0
2011-08-26,2334,2454,2280,2443,279160,57912.0,9163333.0
2011-08-29,2512,2605,2473,2605,390575,61761.0,9163333.0
2011-08-30,2605,2794,2501,2505,1045454,59378.0,9163333.0
2011-08-31,2570,2605,2512,2579,234632,61119.0,9163333.0
2011-09-01,2686,2686,2512,2521,234114,59745.0,9163333.0
2011-09-02,2512,2539,2435,2482,168417,58829.0,9163333.0
2011-09-05,2477,2481,2396,2416,127901,57271.0,9163333.0
2011-09-06,2365,2411,2284,2293,154617,54339.0,9163333.0
2011-09-07,2435,2632,2415,2632,1668775,62402.0,9163333.0
2011-09-08,2678,2682,2501,2640,1482631,62586.0,9163333.0
2011-09-09,2752,3034,2666,2764,3634649,65518.0,9163333.0
2011-09-14,2871,2945,2643,2644,906387,62677.0,9163333.0
2011-09-15,2736,2798,2435,2590,571186,61394.0,9163333.0
2011-09-16,2651,2783,2636,2718,582124,64418.0,9163333.0
2011-09-19,2725,2907,2717,2799,781430,66343.0,9163333.0
2011-09-20,2821,3042,2740,2876,1482666,68175.0,9163333.0
2011-09-21,2879,2957,2794,2822,499477,66892.0,9163333.0
2011-09-22,2763,2887,2721,2822,494527,66892.0,9163333.0
2011-09-23,2740,2752,2543,2590,437917,61394.0,9163333.0
2011-09-26,2612,2706,2210,2257,380004,53514.0,9163333.0
2011-09-27,2323,2415,2319,2416,210040,57271.0,9163333.0
2011-09-28,2489,2489,2361,2366,199546,56080.0,9163333.0
2011-09-29,2365,2465,2361,2416,147126,57271.0,9163333.0
2011-09-30,2473,2543,2408,2494,138050,59103.0,9163333.0
2011-10-04,2327,2365,2268,2335,196786,55347.0,9163333.0
2011-10-05,2392,2392,2253,2257,155372,53514.0,9163333.0
2011-10-06,2377,2585,2284,2385,617836,56538.0,9163333.0
2011-10-07,2435,2493,2384,2435,163976,57729.0,9163333.0
2011-10-10,2454,2501,2446,2458,174139,58279.0,9163333.0
2011-10-11,2497,2524,2454,2462,183439,58370.0,9163333.0
2011-10-12,2462,2469,2404,2447,142825,58004.0,9163333.0
2011-10-13,2473,2543,2454,2536,193448,60111.0,9163333.0
2011-10-14,2558,2558,2423,2458,204369,58279.0,9163333.0
2011-10-17,2512,2601,2477,2555,246440,60570.0,9163333.0
2011-10-18,2531,2663,2489,2555,361412,60570.0,9163333.0
2011-10-19,2605,2670,2570,2598,247863,61578.0,9163333.0
2011-10-20,2609,2647,2435,2435,220268,57729.0,9163333.0
2011-10-21,2473,2493,2381,2428,177002,57546.0,9163333.0
2011-10-24,2462,2501,2411,2416,147590,57271.0,9163333.0
2011-10-25,2423,2775,2423,2636,1764227,62494.0,9163333.0
2011-10-26,2702,2887,2663,2745,864560,65060.0,9163333.0
2011-10-27,2744,2864,2632,2667,627974,63227.0,9163333.0
2011-10-28,2729,2875,2666,2822,604942,66892.0,9163333.0
2011-10-31,2860,2879,2763,2799,367880,66343.0,9163333.0
2011-11-01,2783,2856,2709,2718,288347,64418.0,9163333.0
2011-11-02,2589,2740,2585,2656,270509,62952.0,9163333.0
2011-11-03,2698,2740,2639,2679,152881,63502.0,9163333.0
2011-11-04,2709,2752,2678,2718,133815,64418.0,9163333.0
2011-11-07,2744,2771,2678,2679,200927,63502.0,9163333.0
2011-11-08,2706,2848,2678,2706,434274,64143.0,9163333.0
2011-11-09,2783,2783,2690,2695,187750,63868.0,9163333.0
2011-11-10,2589,2643,2473,2517,300073,59653.0,9163333.0
2011-11-11,2558,2601,2516,2586,140409,61303.0,9163333.0
2011-11-14,2628,2821,2589,2756,554378,65335.0,9163333.0
2011-11-15,2763,2894,2729,2783,474030,65976.0,9163333.0
