아스타(246720),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-03-20,9178,11922,8525,11923,11833667,118472.0,9402523.0
2017-03-21,12490,13058,10976,11544,5302860,114711.0,9402523.0
2017-03-22,11780,12726,11354,12632,4219816,125524.0,9402523.0
2017-03-23,12064,12111,11023,11118,2032627,110480.0,9402523.0
2017-03-24,11402,11544,10219,10503,1447914,104368.0,9402523.0
2017-03-27,10550,10739,9651,9983,1160068,99197.0,9402523.0
2017-03-28,10077,10313,9793,10125,984345,100607.0,9402523.0
2017-03-29,10172,10834,9604,9699,1413985,96376.0,9402523.0
2017-03-30,9840,9935,9244,9292,724032,92333.0,9402523.0
2017-03-31,9254,9254,8800,8942,595033,88854.0,9402523.0
2017-04-03,8970,9197,8894,9160,443802,91016.0,9402523.0
2017-04-04,9083,9150,8847,8904,305575,88478.0,9402523.0
2017-04-05,9121,9396,8894,9018,560061,89606.0,9402523.0
2017-04-06,9083,9102,8610,8630,316349,85751.0,9402523.0
2017-04-07,8629,8658,8052,8157,354091,81050.0,9402523.0
2017-04-10,8099,8128,7579,7579,215338,75314.0,9402523.0
2017-04-11,7759,7938,7409,7494,260286,74468.0,9402523.0
2017-04-12,7522,7692,7465,7636,113657,75878.0,9402523.0
2017-04-13,7740,9793,7721,9283,5631665,92239.0,9402523.0
2017-04-14,9046,9046,8345,8374,1084741,83212.0,9402523.0
2017-04-17,8440,9178,8440,8686,1606433,86315.0,9402523.0
2017-04-18,8610,8828,8487,8554,473537,84999.0,9402523.0
2017-04-19,8790,9235,8572,8573,1055159,85187.0,9402523.0
2017-04-20,8733,8762,8326,8374,431585,83212.0,9402523.0
2017-04-21,8430,8430,7806,7967,274851,79169.0,9402523.0
2017-04-24,7901,8014,7560,7731,255168,76819.0,9402523.0
2017-04-25,7920,7976,7730,7816,152987,77665.0,9402523.0
2017-04-26,7759,7920,7730,7731,98703,76819.0,9402523.0
2017-04-27,7730,7768,7588,7636,106566,75878.0,9402523.0
2017-04-28,7636,7778,7484,7551,97204,75032.0,9402523.0
2017-05-02,7550,7560,7390,7418,82551,73716.0,9402523.0
2017-05-04,7475,7655,7418,7655,70965,76066.0,9402523.0
2017-05-08,7692,7759,7579,7579,84067,75314.0,9402523.0
2017-05-10,7617,7645,7333,7390,130022,73434.0,9402523.0
2017-05-11,7390,7522,7314,7409,68642,73622.0,9402523.0
2017-05-12,7418,7484,7153,7182,172077,71365.0,9402523.0
2017-05-15,7153,7153,6935,6983,88988,69391.0,9402523.0
2017-05-16,7002,7011,6765,6775,83500,67322.0,9402523.0
2017-05-17,6699,6841,6670,6813,77303,67698.0,9402523.0
2017-05-18,6793,6793,6708,6747,58104,67040.0,9402523.0
2017-05-19,6746,7068,6737,6908,104410,68638.0,9402523.0
2017-05-22,6935,6935,6746,6803,33394,67604.0,9402523.0
2017-05-23,6803,7021,6803,6936,63837,68920.0,9402523.0
2017-05-24,6879,6992,6822,6955,63454,69109.0,9402523.0
2017-05-25,6992,7115,6898,6955,92358,69109.0,9402523.0
2017-05-26,6954,7002,6888,6908,21839,68638.0,9402523.0
2017-05-29,6879,6983,6689,6690,55419,66476.0,9402523.0
2017-05-30,6699,6765,6661,6671,38359,66288.0,9402523.0
2017-05-31,6661,7948,6661,6860,1473465,68168.0,9402523.0
2017-06-01,6926,7390,6841,6993,448943,69485.0,9402523.0
2017-06-02,6992,7049,6841,6955,146194,69109.0,9402523.0
2017-06-05,6907,7144,6831,7040,255215,69955.0,9402523.0
2017-06-07,7068,7380,7049,7106,283488,70613.0,9402523.0
2017-06-08,7248,7844,7106,7475,818875,74280.0,9402523.0
2017-06-09,7626,7787,7390,7523,424170,74750.0,9402523.0
2017-06-12,7560,7560,7276,7343,118779,72964.0,9402523.0
2017-06-13,7295,7437,7106,7305,170819,72587.0,9402523.0
2017-06-14,7768,9462,7636,9462,6551946,94025.0,9402523.0
2017-06-15,9840,9888,8989,9358,2640084,92991.0,9402523.0
2017-06-16,9273,9556,9027,9358,1514948,92991.0,9402523.0
2017-06-19,9396,9888,9225,9888,1644971,98256.0,9402523.0
2017-06-20,9840,10030,9433,9794,1036231,97316.0,9402523.0
2017-06-21,10077,10361,8913,8914,1369394,88572.0,9402523.0
2017-06-22,8923,8989,8563,8800,438948,87443.0,9402523.0
