인프라웨어(041020),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2005-10-28,4069,4671,3861,4673,1769880,81810.0,7272000.0
2005-10-31,5294,5356,4983,5358,288410,93809.0,7272000.0
2005-11-01,5523,5689,4588,4652,1112964,81446.0,7272000.0
2005-11-02,4651,5274,4485,5109,589399,89446.0,7272000.0
2005-11-03,5233,5856,5108,5856,457184,102535.0,7272000.0
2005-11-04,6188,6354,5544,5877,795619,102899.0,7272000.0
2005-11-07,5792,6332,5792,5982,496549,104717.0,7272000.0
2005-11-08,5855,6104,5606,5670,181621,99263.0,7272000.0
2005-11-09,5481,5896,5481,5566,205453,97445.0,7272000.0
2005-11-10,5543,5626,5232,5400,193342,94536.0,7272000.0
2005-11-11,5502,6209,5482,6189,565983,108353.0,7272000.0
2005-11-14,6437,7101,6229,7103,912781,124351.0,7272000.0
2005-11-15,7185,7226,6645,7165,382754,125442.0,7272000.0
2005-11-16,7163,7392,6852,6979,221958,122170.0,7272000.0
2005-11-17,6873,7060,6249,6646,332046,116352.0,7272000.0
2005-11-18,6666,7641,6666,7643,413987,133805.0,7272000.0
2005-11-21,8099,8597,7891,8141,608569,142531.0,7272000.0
2005-11-22,8265,8617,7808,8473,374861,148349.0,7272000.0
2005-11-23,8639,9740,8597,9740,384083,170528.0,7272000.0
2005-11-24,10030,11193,9989,11194,637330,195980.0,7272000.0
2005-11-25,11837,12210,10964,11339,668141,198526.0,7272000.0
2005-11-28,11630,11816,10197,10987,1866455,192344.0,7272000.0
2005-11-29,10985,12626,10362,12628,1732785,221069.0,7272000.0
2005-11-30,12543,14516,12336,14517,1228668,254156.0,7272000.0
2005-12-01,14163,15908,13478,13811,1063654,241794.0,7272000.0
2005-12-02,14122,15263,13436,14372,674860,251611.0,7272000.0
2005-12-05,14370,14453,12231,12461,718104,218160.0,7272000.0
2005-12-06,12169,13643,12169,12461,641496,218160.0,7272000.0
2005-12-07,12626,14328,12459,13625,1094983,238522.0,7272000.0
2005-12-08,13893,14911,13499,14538,557096,254520.0,7272000.0
2005-12-09,14911,15700,13977,13977,426906,244703.0,7272000.0
2005-12-12,13997,14662,13707,14289,291850,250157.0,7272000.0
2005-12-13,13996,14287,12667,13334,372389,233431.0,7272000.0
2005-12-14,14122,15118,13872,14932,518805,261428.0,7272000.0
2005-12-15,15118,17154,14703,17155,807103,300334.0,7272000.0
2005-12-16,16738,18586,16280,16823,715300,294516.0,7272000.0
2005-12-19,17237,18026,16572,17425,444068,305060.0,7272000.0
