동원개발(013120),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,73,73,73,73,0,861.0,1180000.0
1999-01-05,73,73,73,73,0,,
1999-01-06,73,73,73,73,0,,
1999-01-07,73,73,73,73,0,,
1999-01-08,73,73,73,73,0,,
1999-01-11,73,73,73,73,0,,
1999-01-12,73,73,73,73,0,,
1999-01-13,73,73,73,73,0,,
1999-01-14,73,73,73,73,0,,
1999-01-15,73,73,73,73,0,,
1999-01-18,73,73,73,73,0,,
1999-01-19,73,73,73,73,0,,
1999-01-20,73,73,73,73,0,,
1999-01-21,73,73,73,73,0,,
1999-01-22,73,73,73,73,0,,
1999-01-25,73,73,73,73,0,,
1999-01-26,73,73,73,73,0,6629.0,9080810.0
1999-01-27,73,73,73,73,0,,
1999-01-28,73,73,73,73,0,,
1999-01-29,73,73,73,73,0,,
1999-02-01,73,73,73,73,0,,
1999-02-02,75,75,75,75,0,6811.0,9080810.0
1999-02-03,80,80,80,80,0,7265.0,9080810.0
1999-02-04,86,86,86,86,0,7809.0,9080810.0
1999-02-05,86,86,86,86,0,7809.0,9080810.0
1999-02-08,96,96,96,96,0,8718.0,9080810.0
1999-02-09,107,107,107,107,0,9716.0,9080810.0
1999-02-10,119,119,119,119,0,10806.0,9080810.0
1999-02-11,133,133,133,133,0,12077.0,9080810.0
1999-02-12,148,148,148,148,0,13440.0,9080810.0
1999-02-18,148,148,148,148,0,13440.0,9080810.0
1999-02-19,148,148,148,148,0,,
1999-02-22,148,148,148,148,0,,
1999-02-23,148,148,148,148,0,,
1999-02-24,148,148,148,148,0,,
1999-02-25,148,148,148,148,0,,
1999-02-26,148,148,148,148,0,,
1999-03-02,154,154,154,154,0,13984.0,9080810.0
1999-03-03,154,154,154,154,0,13984.0,9080810.0
1999-03-04,154,154,154,154,0,,
1999-03-05,154,154,154,154,0,,
1999-03-08,154,154,154,154,0,,
1999-03-09,154,154,154,154,0,,
1999-03-10,154,154,154,154,0,,
1999-03-11,154,154,154,154,0,,
1999-03-12,154,154,154,154,0,,
1999-03-15,154,154,154,154,0,,
1999-03-16,154,154,154,154,0,,
1999-03-17,154,154,154,154,0,,
1999-03-18,154,154,154,154,0,,
1999-03-19,154,154,154,154,0,,
1999-03-22,154,154,154,154,0,,
1999-03-23,154,154,154,154,0,,
1999-03-24,154,154,154,154,0,,
1999-03-25,154,154,154,154,0,,
1999-03-26,154,154,154,154,0,,
1999-03-29,154,154,154,154,0,,
1999-03-30,154,154,154,154,0,,
1999-03-31,154,154,154,154,0,,
1999-04-01,154,154,154,154,0,,
1999-04-02,154,154,154,154,0,,
1999-04-06,154,154,154,154,0,,
1999-04-07,154,154,154,154,0,,
1999-04-08,154,154,154,154,0,,
1999-04-09,154,154,154,154,0,,
1999-04-12,154,154,154,154,0,,
1999-04-13,154,154,154,154,0,,
1999-04-14,154,154,154,154,0,,
1999-04-15,154,154,154,154,0,,
