인화정공(101930),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-10-22,15332,15738,13047,13048,2124046,111654.0,4344504.0
2010-10-25,12692,13504,12133,13403,1538246,114695.0,4344504.0
2010-10-26,13352,13403,12844,12946,325523,110785.0,4344504.0
2010-10-27,12870,13403,12819,13149,394159,112523.0,4344504.0
2010-10-28,13200,13326,12666,12743,198732,109047.0,4344504.0
2010-10-29,12743,13783,12641,13276,426597,113609.0,4344504.0
2010-11-01,13428,14342,13326,13962,508718,119474.0,4344504.0
2010-11-02,13910,14520,13733,13962,321892,119474.0,4344504.0
2010-11-03,14063,14951,13733,14825,493560,135411.0,4637361.0
2010-11-04,15027,15027,14469,14622,223072,133556.0,4637361.0
2010-11-05,14723,14773,13656,13962,250775,128771.0,4682599.0
2010-11-08,13961,14240,13733,14190,187683,130879.0,4682599.0
2010-11-09,14266,14266,13809,13809,164384,127367.0,4682599.0
2010-11-10,13656,13758,13276,13403,194052,123621.0,4682599.0
2010-11-11,13301,13555,12768,12768,185282,117767.0,4682599.0
2010-11-12,12996,12996,11245,11855,195155,109339.0,4682599.0
2010-11-15,11575,12032,11397,11575,104987,106763.0,4682599.0
2010-11-16,11600,11626,10991,11525,135200,106295.0,4682599.0
2010-11-17,11296,12083,11169,11728,69096,108168.0,4682599.0
2010-11-18,11880,12260,11651,12185,67840,113582.0,4732599.0
2010-11-19,12260,12260,11930,12134,35506,113109.0,4732599.0
2010-11-22,12083,12336,11727,11829,53958,110270.0,4732599.0
2010-11-23,11829,12083,11448,11448,54497,106720.0,4732599.0
2010-11-24,10813,11296,10763,10966,131355,102224.0,4732599.0
2010-11-25,11194,11270,11016,11093,34160,103407.0,4732599.0
2010-11-26,11169,11220,10661,10865,88632,101278.0,4732599.0
2010-11-29,10763,11016,10763,11017,28737,102697.0,4732599.0
2010-11-30,11016,11473,10813,11474,60451,106957.0,4732599.0
2010-12-01,11448,11676,11372,11652,24943,108613.0,4732599.0
2010-12-02,11651,11778,11448,11525,37915,107430.0,4732599.0
2010-12-03,11626,11676,11194,11499,113158,107193.0,4732599.0
2010-12-06,11524,11905,11296,11905,70402,110979.0,4732599.0
2010-12-07,11778,11930,11575,11931,53185,111216.0,4732599.0
2010-12-08,11803,11880,11524,11626,31528,108377.0,4732599.0
2010-12-09,11676,11829,11473,11626,23099,108377.0,4732599.0
2010-12-10,11676,11676,11423,11652,26750,108613.0,4732599.0
2010-12-13,11499,11626,11423,11575,20360,107903.0,4732599.0
2010-12-14,11651,11676,11423,11575,40013,107903.0,4732599.0
2010-12-15,11600,12362,11600,11956,133210,111453.0,4732599.0
2010-12-16,11981,12006,11626,11778,65889,109796.0,4732599.0
2010-12-17,11778,12133,11778,11931,42223,111216.0,4732599.0
2010-12-20,11829,11981,11499,11677,45191,108850.0,4732599.0
2010-12-21,11879,11879,11651,11702,31747,109086.0,4732599.0
2010-12-22,11727,11854,11600,11652,48764,108613.0,4732599.0
2010-12-23,11676,11778,11473,11550,36388,107667.0,4732599.0
2010-12-24,11550,11600,11397,11601,38949,108140.0,4732599.0
2010-12-27,11550,11651,11524,11652,24936,108613.0,4732599.0
2010-12-28,11575,11930,11575,11778,72802,109796.0,4732599.0
2010-12-29,11473,11499,11245,11322,43670,105537.0,4732599.0
2010-12-30,11270,11372,11067,11322,43797,105537.0,4732599.0
2011-01-03,11321,11321,10991,10992,64929,102461.0,4732599.0
2011-01-04,10966,11093,10864,11017,80639,102697.0,4732599.0
2011-01-05,11067,11169,10915,11068,43095,103171.0,4732599.0
2011-01-06,11143,11321,11016,11118,71382,103644.0,4732599.0
2011-01-07,11169,11194,10915,11068,50464,103171.0,4732599.0
2011-01-10,11067,11245,10991,11068,47573,103171.0,4732599.0
2011-01-11,11118,11220,10839,11220,46753,104590.0,4732599.0
2011-01-12,11220,11854,11093,11753,132260,109560.0,4732599.0
2011-01-13,11854,11854,11473,11626,59533,108377.0,4732599.0
2011-01-14,11626,11778,11423,11753,57214,109560.0,4732599.0
2011-01-17,11854,11854,11321,11499,59751,107193.0,4732599.0
2011-01-18,11423,11575,11321,11550,24362,107667.0,4732599.0
2011-01-19,11600,12057,11448,12032,101386,112163.0,4732599.0
2011-01-20,12032,12616,11880,12565,161297,117132.0,4732599.0
2011-01-21,12946,13022,12438,12565,610462,117132.0,4732599.0
2011-01-24,12463,12540,12083,12261,114612,114292.0,4732599.0
2011-01-25,12387,12387,11854,11855,126685,110506.0,4732599.0
2011-01-26,11829,11854,11651,11829,60165,110270.0,4732599.0
2011-01-27,11676,12083,11676,11855,60782,110506.0,4732599.0
2011-01-28,11854,11956,11448,11474,81681,106957.0,4732599.0
2011-01-31,11194,11550,10991,11169,89204,104117.0,4732599.0
2011-02-01,11143,11423,11093,11322,41227,105537.0,4732599.0
2011-02-07,11372,11524,11245,11322,37235,105537.0,4732599.0
2011-02-08,11372,11448,11194,11322,24482,105537.0,4732599.0
2011-02-09,11372,11372,10839,11017,80467,102697.0,4732599.0
2011-02-10,11016,11067,10407,10687,81132,99621.0,4732599.0
2011-02-11,10534,10686,10204,10560,85005,98438.0,4732599.0
2011-02-14,10712,10763,10306,10535,42937,98201.0,4732599.0
2011-02-15,10534,10610,10306,10408,40555,97018.0,4732599.0
2011-02-16,10407,10509,10001,10154,60252,94652.0,4732599.0
2011-02-17,10153,10280,9823,10128,64082,94415.0,4732599.0
2011-02-18,10153,10433,10153,10382,35162,96782.0,4732599.0
2011-02-21,10306,10737,10306,10712,35978,99858.0,4732599.0
2011-02-22,10864,10940,10433,10611,36578,98911.0,4732599.0
2011-02-23,10585,10585,10255,10408,23049,97018.0,4732599.0
2011-02-24,10204,10407,10153,10154,23240,94652.0,4732599.0
2011-02-25,10356,10433,9900,10433,30674,97255.0,4732599.0
2011-02-28,10407,10483,10077,10306,36253,96072.0,4732599.0
2011-03-02,10255,10280,10001,10128,21393,94415.0,4732599.0
2011-03-03,10204,10306,10077,10179,36369,94889.0,4732599.0
2011-03-04,10204,10534,10052,10408,51163,97018.0,4732599.0
2011-03-07,10356,10966,10356,10890,114046,101514.0,4732599.0
2011-03-08,11067,11550,11016,11448,210810,106720.0,4732599.0
2011-03-09,11372,11524,11169,11271,55251,105064.0,4732599.0
2011-03-10,11220,11346,10966,11093,60423,103407.0,4732599.0
2011-03-11,10813,11042,10737,10865,35579,101278.0,4732599.0
2011-03-14,10864,10864,9823,10205,96557,95125.0,4732599.0
2011-03-15,10052,10560,9468,9951,53855,92759.0,4732599.0
2011-03-16,9950,10153,9747,9976,31331,92996.0,4732599.0
2011-03-17,9874,9950,9519,9646,49293,89919.0,4732599.0
2011-03-18,9696,9976,9646,9849,40441,91812.0,4732599.0
2011-03-21,9773,10204,9773,10103,31453,94179.0,4732599.0
2011-03-22,10204,10230,10001,10103,24625,94179.0,4732599.0
2011-03-23,10128,10128,9925,9925,24578,92522.0,4732599.0
2011-03-24,10026,10458,9900,10458,74891,97492.0,4732599.0
2011-03-25,10458,10813,10280,10458,54411,97492.0,4732599.0
2011-03-28,10458,10560,10255,10382,21285,96782.0,4732599.0
2011-03-29,10382,10737,10255,10738,58164,100094.0,4732599.0
2011-03-30,10737,10763,10458,10662,45301,99385.0,4732599.0
2011-03-31,10610,10712,10458,10687,47422,99621.0,4732599.0
2011-04-01,10737,10763,10509,10687,48526,99621.0,4732599.0
2011-04-04,10610,10712,10509,10662,45384,99385.0,4732599.0
2011-04-05,10686,10991,10560,10941,99835,101988.0,4732599.0
2011-04-06,10940,11245,10686,11169,185535,104117.0,4732599.0
2011-04-07,11270,11296,10991,11169,67539,104117.0,4732599.0
2011-04-08,11220,11397,11093,11372,85895,106010.0,4732599.0
2011-04-11,11448,11448,11169,11245,34293,104827.0,4732599.0
2011-04-12,11194,11372,10915,11271,88797,105064.0,4732599.0
2011-04-13,11321,11372,11219,11322,62741,105537.0,4732599.0
2011-04-14,11321,11651,11321,11626,175488,108377.0,4732599.0
2011-04-15,11702,12362,11575,12159,217688,113346.0,4732599.0
2011-04-18,12133,12209,11803,11956,85160,111453.0,4732599.0
2011-04-19,11829,11930,11626,11804,64635,110033.0,4732599.0
2011-04-20,11905,11905,11448,11829,224423,110270.0,4732599.0
2011-04-21,11829,11930,11676,11829,80814,110270.0,4732599.0
2011-04-22,11829,11880,11473,11575,63327,107903.0,4732599.0
2011-04-25,11676,11829,11448,11525,70391,107430.0,4732599.0
2011-04-26,11524,11803,11397,11677,86619,108850.0,4732599.0
2011-04-27,11753,11778,11448,11525,59545,107430.0,4732599.0
2011-04-28,11524,11651,11448,11575,47212,107903.0,4732599.0
2011-04-29,11676,11905,11194,11347,89165,105774.0,4732599.0
2011-05-02,11423,11423,11169,11347,25284,105774.0,4732599.0
2011-05-03,11346,11423,10940,11271,36988,105064.0,4732599.0
2011-05-04,11118,11321,11016,11169,14800,104117.0,4732599.0
2011-05-06,11093,11169,10788,10915,16961,101751.0,4732599.0
2011-05-09,10864,11093,10686,11093,26629,103407.0,4732599.0
2011-05-11,11067,11220,11016,11118,10768,103644.0,4732599.0
2011-05-12,11016,11093,10890,11042,10491,102934.0,4732599.0
2011-05-13,11143,11143,10864,10966,16002,102224.0,4732599.0
2011-05-16,10966,11067,10839,10966,15321,102224.0,4732599.0
2011-05-17,10890,11067,10890,10915,11811,101751.0,4732599.0
2011-05-18,10915,11245,10915,11195,31144,104354.0,4732599.0
2011-05-19,11194,11296,10966,10992,16501,102461.0,4732599.0
2011-05-20,10991,11042,10534,10585,37341,98675.0,4732599.0
2011-05-23,10534,10560,10077,10078,24876,93942.0,4732599.0
2011-05-24,10052,10306,10052,10205,15135,95125.0,4732599.0
2011-05-25,10179,10407,10052,10230,17709,95362.0,4732599.0
2011-05-26,10255,10534,10204,10484,14794,97728.0,4732599.0
2011-05-27,10356,10509,10153,10154,17905,94652.0,4732599.0
2011-05-30,10306,10356,10128,10281,20237,95835.0,4732599.0
2011-05-31,10382,10610,10230,10611,25561,98911.0,4732599.0
2011-06-01,10610,10636,10458,10535,15235,98201.0,4732599.0
2011-06-02,10407,10483,10255,10382,18335,96782.0,4732599.0
2011-06-03,10483,10661,10306,10662,20346,99385.0,4732599.0
2011-06-07,10636,10712,10407,10662,20810,99385.0,4732599.0
2011-06-08,10661,10763,10509,10636,34216,99148.0,4732599.0
2011-06-09,10712,10712,10407,10560,8613,98438.0,4732599.0
2011-06-10,10560,10560,10306,10382,7818,96782.0,4732599.0
2011-06-13,10280,10407,10052,10103,13421,94179.0,4732599.0
2011-06-14,10103,10128,9925,10052,15885,93705.0,4732599.0
2011-06-15,10001,10128,9925,10128,8557,94415.0,4732599.0
2011-06-16,10077,10128,9747,9824,18135,91576.0,4732599.0
2011-06-17,9849,9849,9493,9595,21872,89446.0,4732599.0
2011-06-20,9696,9874,9443,9748,27519,90866.0,4732599.0
2011-06-21,9900,9900,9595,9748,16313,90866.0,4732599.0
2011-06-22,9798,9798,9570,9722,9912,90629.0,4732599.0
2011-06-23,9747,9773,9595,9748,9520,90866.0,4732599.0
2011-06-24,9823,9950,9747,9951,14728,92759.0,4732599.0
2011-06-27,9823,9950,9620,9900,20478,92286.0,4732599.0
2011-06-28,9900,10001,9773,9773,8936,91103.0,4732599.0
2011-06-29,9976,9976,9620,9773,12062,91103.0,4732599.0
2011-06-30,9773,9823,9493,9621,32523,89683.0,4732599.0
2011-07-01,9646,9798,9620,9773,23191,91103.0,4732599.0
2011-07-04,9798,10128,9798,10002,22259,93232.0,4732599.0
2011-07-05,10052,10128,9925,9976,13500,92996.0,4732599.0
2011-07-06,9950,10306,9950,10281,16325,95835.0,4732599.0
2011-07-07,10255,10356,10179,10205,16635,95125.0,4732599.0
2011-07-08,10280,10433,10204,10357,23107,96545.0,4732599.0
2011-07-11,10382,10382,10204,10332,7952,96308.0,4732599.0
2011-07-12,10306,10306,9950,9951,22602,92759.0,4732599.0
2011-07-13,10026,10052,9900,10002,10985,93232.0,4732599.0
2011-07-14,10001,10077,9900,10027,12900,93469.0,4732599.0
2011-07-15,10026,10560,10026,10560,48483,98438.0,4732599.0
2011-07-18,10712,10712,10458,10662,23187,99385.0,4732599.0
2011-07-19,10661,10991,10534,10890,47509,101514.0,4732599.0
2011-07-20,10940,10966,10610,10712,36670,99858.0,4732599.0
2011-07-21,10737,10788,10509,10636,21971,99148.0,4732599.0
2011-07-22,10788,10788,10509,10636,26536,99148.0,4732599.0
2011-07-25,10864,11220,10813,11144,78547,103881.0,4732599.0
2011-07-26,11016,11118,10915,10992,34761,102461.0,4732599.0
2011-07-27,11042,11042,10839,10966,28214,102224.0,4732599.0
2011-07-28,10890,10890,10763,10788,25905,100568.0,4732599.0
2011-07-29,10788,10864,10560,10585,47402,98675.0,4732599.0
2011-08-01,10585,10737,10534,10585,22729,98675.0,4732599.0
2011-08-02,10712,10712,10382,10433,30236,97255.0,4732599.0
2011-08-03,10407,10407,10052,10205,32925,95125.0,4732599.0
2011-08-04,10230,10255,9747,9849,37754,91812.0,4732599.0
2011-08-05,9392,9443,9011,9189,70036,85660.0,4732599.0
2011-08-08,8910,9138,8123,8783,80744,81874.0,4732599.0
2011-08-09,8376,8478,7564,7971,81190,74302.0,4732599.0
2011-08-10,8402,8757,8326,8656,52462,80691.0,4732599.0
2011-08-11,8072,8783,7869,8631,47797,80454.0,4732599.0
2011-08-12,8833,8986,8529,8529,49982,79508.0,4732599.0
2011-08-16,8808,8910,8757,8834,22480,82347.0,4732599.0
2011-08-17,8859,8884,8630,8707,35967,81164.0,4732599.0
2011-08-18,8757,8833,8275,8504,62547,79271.0,4732599.0
2011-08-19,8123,8453,7945,8199,41087,76431.0,4732599.0
2011-08-22,8326,8326,7869,7869,31278,73355.0,4732599.0
2011-08-23,7894,8123,7894,8123,14682,75722.0,4732599.0
2011-08-24,8173,8453,8123,8174,14159,76195.0,4732599.0
2011-08-25,8326,8376,8148,8275,10114,77141.0,4732599.0
2011-08-26,8173,8376,8148,8275,15489,77141.0,4732599.0
2011-08-29,8402,8554,8326,8529,15531,79508.0,4732599.0
2011-08-30,8605,8630,8427,8529,13927,79508.0,4732599.0
2011-08-31,8554,8605,8224,8529,11556,79508.0,4732599.0
2011-09-01,8554,8808,8529,8580,17017,79981.0,4732599.0
2011-09-02,8453,8580,8376,8478,7627,79034.0,4732599.0
2011-09-05,8326,8402,8072,8199,14448,76431.0,4732599.0
2011-09-06,7996,8326,7920,8098,23606,75485.0,4732599.0
2011-09-07,8250,8275,8097,8275,23722,77141.0,4732599.0
2011-09-08,8326,8326,8173,8275,9126,77141.0,4732599.0
2011-09-09,8275,8275,8123,8199,2796,76431.0,4732599.0
2011-09-14,7945,8173,7945,8022,25399,74775.0,4732599.0
2011-09-15,8199,8224,7894,8022,6308,74775.0,4732599.0
2011-09-16,8097,8224,8021,8199,12217,76431.0,4732599.0
2011-09-19,8199,8250,8072,8199,5937,76431.0,4732599.0
2011-09-20,8199,8275,8123,8275,3477,77141.0,4732599.0
2011-09-21,8376,8376,8199,8275,4791,77141.0,4732599.0
